actor_3_facebook_likes,gross,language,content_rating,budget
322,150315155,English,PG-13,50000000
10000,127997349,English,PG,50000000
277,88504640,English,R,45000000
416,81517441,English,R,50000000
293,81022333,English,PG-13,50000000
1000,75621915,English,PG,
329,79948113,English,PG-13,50000000
11000,88658172,English,PG-13,50000000
874,75888270,English,PG-13,
7000,84244877,English,PG-13,50000000
58,75367693,English,PG,35000000
660,73701902,English,PG,60000000
11000,75605492,English,PG-13,50000000
808,67823573,English,R,50000000
660,91439400,English,PG-13,50000000
433,67128202,English,PG,65000000
443,70496802,English,R,54000000
55,60470220,English,PG-13,50000000
132,,English,,
1000,58336565,English,G,50000000
541,66002004,English,G,50000000
477,54997476,English,R,50000000
467,55682070,English,R,50000000
372,52752475,English,R,50000000
144,55092830,English,PG-13,60000000
414,50815288,English,R,50000000
681,52822418,English,R,50000000
679,50150619,English,PG,50000000
935,48745150,English,PG-13,50000000
826,50007168,English,R,50000000
957,48154732,English,R,50000000
283,48265581,English,R,50000000
368,46982632,English,R,50000000
585,44737059,English,PG-13,50000000
1000,56724080,English,R,50000000
294,44484065,English,R,50000000
159,47553512,English,PG-13,50000000
174,42610000,English,R,55000000
767,41482207,English,PG-13,50000000
3000,47105085,English,R,50000000
258,41256277,English,R,50000000
706,50740078,English,R,45000000
186,40203020,English,R,40000000
323,40905277,English,R,50000000
158,38590500,English,R,50000000
717,39177541,English,PG,50000000
39,39778599,English,R,50000000
434,37486138,English,PG-13,50000000
72,38105077,English,R,40000000
432,35168395,English,PG-13,50000000
5,,English,,
210,32800000,English,R,40000000
1000,33643461,English,PG,50000000
447,32741596,English,PG-13,50000000
401,31874869,English,R,50000000
282,30306268,English,R,50000000
163,27667947,English,R,50000000
323,27067160,English,R,50000000
201,26616999,English,PG-13,40000000
511,26536120,English,R,50000000
581,26199517,English,R,50000000
294,25450527,English,R,50000000
764,25407250,English,R,50000000
398,,English,,
521,23159305,English,PG,70000000
639,24006726,English,R,50000000
303,20389967,English,R,50000000
256,19593740,English,R,50000000
730,19118247,English,PG-13,40000000
655,26442251,English,R,50000000
509,17114882,English,R,25000000
795,18472363,English,PG-13,50000000
15,14131298,English,R,390000000
11000,21557240,English,R,49900000
692,21283440,English,PG-13,55000000
317,10556196,English,PG-13,50000000
479,16671505,English,PG,50000000
2000,10400000,English,R,50000000
405,9528092,English,PG-13,22000000
600,,English,TV-MA,
897,10137232,English,R,50000000
602,9795017,English,R,50000000
1000,20488579,English,R,50000000
592,19445217,English,PG-13,60000000
809,8355815,English,R,55000000
1000,28837115,English,PG-13,50000000
338,6471394,English,PG-13,50000000
591,6291602,English,R,50000000
982,10706786,English,R,50000000
77,8742261,English,PG-13,18000000
848,43905746,English,PG-13,49000000
184,,English,TV-MA,
380,21413502,English,R,40000000
830,7994115,English,R,
215,124107476,English,R,48000000
440,197171806,English,PG-13,48000000
0,12802907,English,R,
502,31569268,English,R,49000000
308,66488090,English,R,48000000
237,95308367,English,R,48000000
235,,English,,1500000
393,60652036,English,R,48000000
194,1206135,English,R,50000000
261,56607223,English,PG-13,48000000
1000,50173190,English,PG-13,48000000
821,47095453,English,PG-13,48000000
484,37879996,English,PG-13,48000000
886,25900000,English,R,58000000
600,53574088,English,R,55000000
482,89253340,English,PG-13,48000000
23,37339525,English,R,48000000
302,60154431,English,PG-13,47000000
59,528972,Hindi,Unrated,
327,103738726,English,PG,100000000
835,69304264,English,R,48000000
807,29781453,English,PG-13,48000000
535,,English,R,14000000
12,,Russian,PG,1000000
677,15519841,English,PG,47000000
77,5600000,English,R,47000000
692,126805112,English,PG-13,46000000
135,93607673,English,PG-13,48000000
319,67263182,English,R,46000000
906,92001027,English,PG-13,45000000
364,10539414,English,PG-13,47000000
826,58918501,English,R,46000000
255,181395380,English,PG-13,45000000
345,14946229,English,R,25000000
522,,English,PG,48000000
628,130512915,English,PG,45000000
558,139852971,English,PG-13,45000000
750,110000082,English,PG-13,48000000
213,106807667,English,PG-13,45000000
311,101702060,English,PG,45000000
995,95149435,English,G,40000000
956,100768056,English,PG-13,45000000
551,92115211,English,PG-13,45000000
760,93452056,English,PG-13,45000000
308,83287363,English,R,45000000
586,82931301,English,PG-13,60000000
1000,60962878,English,R,46000000
854,76261036,English,R,45000000
436,71423726,English,PG,45000000
179,71277420,English,R,45000000
84,88625922,English,PG,45000000
595,70001065,English,R,45000000
730,67253092,English,PG-13,30000000
67,66790248,English,R,45000000
514,65557989,English,PG-13,45000000
560,60786269,English,PG-13,45000000
548,59365105,English,R,45000000
1000,162792677,English,G,120000000
140,31598308,English,R,35000000
20,57362581,English,R,45000000
808,53854588,English,R,45000000
559,,English,Unrated,2500000
3000,52580895,English,PG,45000000
651,51019112,English,PG,50000000
631,48114556,English,PG,26000000
443,50648679,English,R,45000000
734,46280507,English,PG-13,40000000
501,38360195,English,PG-13,45000000
132,46815748,English,PG-13,45000000
563,35617599,English,PG,45000000
404,47307550,English,R,45000000
167,32003620,English,PG-13,25000000
252,27972410,English,PG,35000000
8000,28133159,English,PG,50000000
202,27400000,English,PG-13,40000000
107,24343673,English,PG-13,45000000
10000,22877808,English,R,35000000
795,36883539,English,PG-13,52000000
510,22531698,English,PG-13,70000000
322,20400913,English,R,45000000
451,20101861,English,PG-13,45000000
553,25200412,English,PG,45000000
19,19719930,English,R,45000000
2000,19377727,English,PG-13,45000000
20,13401683,English,R,35000000
579,17300889,English,PG,45000000
820,15527125,English,PG-13,57000000
805,13560960,English,R,50000000
501,15523168,English,PG-13,45000000
855,11146409,English,R,45000000
826,7916887,English,R,45000000
10,6565495,Mandarin,R,45000000
61,15279680,English,R,40000000
865,7262288,English,PG-13,40000000
50,4584886,English,R,45000000
114,,French,TV-MA,
269,2154540,English,R,45000000
104,8129455,English,PG,45000000
500,,English,PG,65000000
650,136019448,English,R,44500000
812,183875760,English,PG-13,44000000
789,67061228,English,PG-13,40000000
893,53300852,English,R,44000000
668,150415432,English,R,44000000
643,44834712,English,R,44000000
40,84300000,English,Approved,2600000
678,1500000,English,R,44000000
520,62318875,English,R,50000000
287,5773519,English,PG-13,40000000
225,51768623,English,PG-13,43000000
664,37035515,English,PG-13,43000000
5000,24520892,English,R,45000000
16,24430272,English,R,43000000
957,158348400,English,R,42000000
135,31136950,English,PG-13,44000000
350,29113588,English,R,40000000
839,138447667,English,R,42000000
427,116006080,English,PG-13,42000000
206,106793915,English,G,45000000
650,87856565,English,PG-13,42000000
547,70100000,English,R,40000000
749,159578352,English,R,43000000
595,57750000,English,Approved,31115000
491,45290318,English,PG,42000000
505,41543207,English,PG-13,42000000
292,41252428,English,PG-13,42000000
395,35228696,English,PG-13,32000000
412,59992760,English,R,42000000
