actor_2_name,actor_2_facebook_likes
Ed Speleers,762
Ryan Corr,468
Cara Delevingne,548
Emma Kenney,151
Angelina Jolie Pitt,11000
Mark Margolis,1000
Djimon Hounsou,3000
Matthew McConaughey,11000
Rene Auberjonois,710
Patrick Muldoon,475
Jim Sturgess,5000
Richard Roxburgh,653
Christopher Heyerdahl,825
Rufus Sewell,3000
Martin Short,770
Anna Friel,735
Sylvester Stallone,13000
Edgar Ramírez,897
Traylor Howard,294
Benjamin Walker,911
Randy Quaid,695
Sean Huze,537
Venus Schultheis,42
Felicity Huffman,508
Brendan Fraser,3000
Liam Neeson,14000
Ni Ni,196
Zooey Deschanel,11000
Matthew Broderick,2000
Sam Shepard,820
Thomas Middleditch,331
Bruce Willis,13000
Liza Minnelli,740
Rosie Perez,919
Josh Gad,1000
Derek Jacobi,520
AJ Michalka,560
Stephen Root,939
Billy Boyd,857
Orlando Bloom,5000
Djimon Hounsou,3000
Noah Taylor,509
Morgan Freeman,11000
Trevor Morgan,595
David Oyelowo,1000
Tod Fennell,419
Cole Hauser,787
Marc Blucas,973
Craig T. Nelson,723
Frank Langella,903
Rosario Dawson,3000
Rip Torn,826
John Ratzenberger,1000
Rosario Dawson,3000
John Lone,165
Amber Valletta,627
Bobb'e J. Thompson,526
Maile Flanagan,256
Adrian Martinez,806
LL Cool J,1000
Matt Damon,13000
Harvey Fierstein,500
Steve Coogan,1000
Goran Visnjic,1000
Aldis Hodge,559
Eddie Marsan,979
Ayelet Zurer,745
Jim Varney,802
Joshua Mikel,1000
Tom Wilkinson,1000
Sayed Badreya,600
Adam Sandler,11000
William Hurt,882
Rachael Harris,569
Tom Skerritt,1000
Kim Dickens,624
George Harris,249
Leven Rambin,956
Angelina Jolie Pitt,11000
Morgan Freeman,11000
Michael Byrne,117
Stephen Dillane,577
Connie Nielsen,933
Wanda Sykes,560
Oliver Platt,1000
Anne Heche,643
Brad Pitt,11000
Christian Camargo,602
Reg E. Cathey,360
Mako,691
Bruce McGill,655
Nathan Lane,886
Michael Angarano,947
Alan Ruck,946
Vin Diesel,14000
Paul Sanchez,410
Hugh Jackman,20000
Joan Allen,805
Gary Oldman,10000
Bernie Mac,1000
Logan Lerman,8000
Adam Sandler,11000
Teala Dunn,142
Scott Thompson,183
Ryan Reynolds,16000
Eric Idle,795
Gabourey Sidibe,906
Rufus Sewell,3000
Jake Busey,660
Hunter Parrish,2000
Matt Damon,13000
Debra Messing,650
Theo James,5000
Gabriel Thomson,35
Rosario Dawson,3000
Tom Noonan,442
Mako,691
Zachery Ty Bryan,227
Imelda Staunton,579
Brad Pitt,11000
Rick Worthy,174
Ben Vereen,388
Nathan Lane,886
Kieran Culkin,1000
Tchéky Karyo,345
Janet Jackson,592
Linda Cardellini,2000
Jason Cope,107
Cameron Monaghan,1000
Hal Holbrook,826
Sean Hayes,760
Hayden Christensen,4000
Iván Kamarás,169
Jake Gyllenhaal,15000
Michael Rapaport,975
Steve Carell,7000
Sylvester Stallone,13000
Kristin Scott Thomas,1000
Josh Hutcherson,14000
Mason Lee,670
Vincent Schiavelli,811
Steve Carell,7000
