director_name,duration,genres,facenumber_in_poster,num_user_for_reviews,country,budget,actor_2_facebook_likes,imdb_score
Brian Dannelly,92,Comedy|Drama,5,324,USA,5000000,835,6.9
Denys Arcand,112,Comedy|Crime|Drama|Mystery|Romance,2,166,Canada,6000000,28,7.7
Richard Lester,106,Adventure|Drama|Romance,10,90,USA,5000000,249,6.6
J.S. Cardone,90,Horror|Thriller,4,131,USA,5000000,591,5.3
Guy Hamilton,126,Action|Drama|War,2,80,UK,5000000,794,6.3
Jay Levey,150,Comedy|Drama,1,198,USA,5000000,448,7.0
Nicholaus Goossen,90,Comedy,0,202,USA,,936,7.0
Tamara Jenkins,91,Comedy|Drama,0,79,USA,5000000,778,6.6
Sergio Leone,145,Western,1,565,Italy,5000000,423,8.6
Jon Favreau,95,Comedy|Crime|Drama|Thriller,2,165,USA,5000000,585,6.4
Duncan Jones,97,Drama|Mystery|Sci-Fi,0,485,UK,5000000,572,7.9
Scott Marshall,90,Comedy,0,41,USA,,847,5.4
Ronan Chapalain,41,Documentary,0,4,UK,5000000,0,6.9
Atom Egoyan,112,Drama,0,196,Canada,5000000,900,7.7
Xavier Beauvois,122,Drama,0,89,France,4000000,135,7.2
Randall Miller,110,Comedy|Drama,0,89,USA,5000000,579,6.8
Jerry Belson,87,Comedy|Music|Sci-Fi,0,32,USA,5000000,162,6.2
Peter Jackson,108,Biography|Crime|Drama|Romance|Thriller,2,265,New Zealand,5000000,433,7.4
Michael Polish,121,Drama,0,29,USA,5000000,849,4.6
Dan Rush,97,Comedy|Drama,1,86,USA,5000000,981,6.4
Jake Kasdan,116,Comedy|Crime|Drama|Mystery|Thriller,2,151,USA,5000000,385,7.0
Brad Anderson,94,Drama|Thriller,0,458,Spain,5000000,1000,7.7
Paul Schrader,103,Crime|Drama,0,39,USA,5000000,280,6.8
Michael Cuesta,112,Biography|Crime|Drama|Mystery|Thriller,1,99,USA,5000000,963,7.0
John Cameron Mitchell,91,Drama,0,144,USA,5000000,289,7.0
Fenton Bailey,98,Biography|Crime|Drama|Thriller,1,158,USA,5000000,971,6.3
Jeremy Saulnier,95,Crime|Horror|Music|Thriller,0,125,USA,5000000,442,7.1
Billy Kent,88,Comedy|Drama|Romance,0,56,USA,5000000,625,5.6
James Manera,99,Drama|Mystery|Sci-Fi,0,56,USA,5000000,435,4.4
Wes Anderson,91,Comedy|Crime|Drama,0,184,USA,7000000,96,7.1
Kevin Spacey,97,Crime|Drama|Thriller,3,69,USA,5000000,1000,6.1
Feroz Abbas Khan,136,Biography|Drama|History,0,25,India,,45,7.4
Errol Morris,118,Crime|Documentary|War,0,22,USA,,0,7.5
Dennis Hopper,94,Drama,1,27,Canada,2200000,59,7.2
Eli Craig,89,Comedy|Horror,1,200,Canada,,779,7.6
Nicholas Fackler,90,Drama|Romance,0,15,USA,5000000,1000,7.3
Richard Wallace,95,Adventure|Drama|Romance,1,23,USA,3209000,116,6.2
Morgan J. Freeman,90,Drama,3,28,USA,2000000,697,6.2
Matthew Hastings,95,Comedy|Horror|Sci-Fi,0,66,Canada,5000000,680,4.6
M. Night Shyamalan,94,Horror|Thriller,,455,USA,5000000,309,6.2
Brian De Palma,90,Crime|Thriller|War,0,108,USA,5000000,29,6.2
Klaus Menzel,103,Mystery|Romance|Thriller,0,44,Germany,5000000,522,3.3
,60,Drama|Fantasy,1,47,USA,,1000,7.5
Oren Peli,91,Horror|Sci-Fi|Thriller,0,55,USA,5000000,21,4.2
Jaume Balagueró,102,Drama|Horror|Thriller,0,48,Spain,5000000,93,7.2
Paul Andrew Williams,92,Comedy|Crime|Horror|Thriller,0,82,UK,2500000,337,6.2
Stephen Herek,87,Comedy|Drama|Fantasy,1,80,USA,5000000,738,6.1
Bob Saget,80,Animation|Comedy,0,47,USA,,2000,4.2
Jim Amatulli,90,Drama|Family|Music,6,2,USA,,617,4.5
,44,Comedy|Crime|Mystery,2,127,USA,,922,8.4
William H. Macy,105,Comedy|Drama|Music,1,60,USA,5000000,508,7.5
Barrett Esposito,67,Animation|Family,2,1,USA,10000000,732,6.7
Mitch Davis,95,Comedy,7,15,USA,,970,5.1
Eric Bross,87,Crime|Drama|Thriller,1,3,USA,5000000,699,5.5
Paul Schrader,94,Drama|Thriller,1,47,Bahamas,5000000,316,4.4
Vicky Jewson,109,Action|Drama|Thriller|War,3,3,UK,5000000,266,4.4
Peter Hyams,130,Action|Sci-Fi|Thriller,0,153,USA,5000000,849,6.8
Marc Bennett,,Comedy|Drama,15,2,USA,5000000,900,6.7
Mike Mayhall,88,Family,2,,USA,5000000,763,8.6
Kevin Smith,88,Comedy|Fantasy|Horror|Thriller,7,4,USA,5000000,3000,4.8
Stanton Barrett,97,Action|Horror,1,14,USA,,615,3.4
Jirí Menzel,113,Comedy|Drama|Romance|War,1,27,Czech Republic,84450000,12,7.4
Fatih Akin,99,Comedy|Drama,3,26,Germany,4000000,486,7.3
Billy Bob Thornton,148,Drama,0,309,USA,890000,324,8.0
Nick Murphy,107,Horror|Thriller,1,112,UK,3000000,579,6.5
Eli Roth,93,Horror,0,1516,USA,4800000,1000,5.9
Michael Winterbottom,94,Comedy|Drama,0,123,UK,2800000,887,6.8
Jeff Nichols,121,Drama|Thriller,0,219,USA,5000000,463,7.4
Frank LaLoggia,118,Fantasy|Horror|Mystery|Thriller,0,69,USA,4700000,733,6.7
Jeremy Brock,98,Comedy|Drama,0,70,UK,,838,6.8
Scott Foley,82,Comedy|Crime,2,11,USA,5000000,833,5.4
Tobe Hooper,101,Comedy|Horror,3,258,USA,4700000,28,5.5
Sam Peckinpah,106,Biography|Drama|Romance|Western,0,106,USA,4638783,476,7.4
Nicolas Winding Refn,90,Crime|Drama,1,475,Denmark,4800000,1000,5.7
Christophe Ali,79,Drama,0,6,France,,40,5.4
Gabriela Tagliavini,87,Comedy,6,12,USA,4700000,345,3.2
Shekar,,Comedy|Romance,2,1,India,,0,7.1
Shona Auerbach,105,Drama|Romance,0,182,UK,,66,7.8
Leonard Farlinger,89,Western,2,8,Canada,5000000,580,5.3
Michel Leclerc,100,Comedy|Drama|Romance,1,21,France,4600000,52,7.2
Analeine Cal y Mayor,92,Comedy|Drama,1,3,Mexico,4700000,480,6.2
Tom Kalin,97,Drama,1,65,Spain,4600000,1000,5.9
Robert Sarkies,100,Crime|Drama,0,22,New Zealand,,10,7.3
Hugh Wilson,96,Comedy,0,133,USA,4500000,760,6.7
Randal Kleiser,104,Adventure|Drama|Romance,0,140,USA,4500000,511,5.7
Mike Newell,117,Comedy|Drama|Romance,4,197,UK,4500000,398,7.1
Amy Heckerling,90,Comedy|Drama,1,228,USA,4500000,901,7.2
John Huston,115,Adventure|Drama,0,115,USA,4500000,169,7.4
