director_facebook_likes,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,gross,genres,movie_title,num_voted_users,cast_total_facebook_likes,actor_3_name,content_rating,actor_2_facebook_likes,movie_facebook_likes
82,139,Ron Moody,695,16800000,Drama|Family|Musical,Oliver! ,25303,1593,Jack Wild,G,275,0
108,186,Penelope Wilton,1000,46377022,Comedy|Drama,The Best Exotic Marigold Hotel ,75306,1898,Celia Imrie,PG-13,400,48000
6,345,Andrew Lawrence,759,36696761,Animation|Comedy|Family|Mystery|Sci-Fi,Recess: School's Out ,6808,2197,Dabney Coleman,G,563,227
750,60,Bruce Spence,794,36200000,Action|Adventure|Sci-Fi|Thriller,Mad Max Beyond Thunderdome ,101840,1529,Angelo Rossitto,PG-13,531,0
73,581,Vernon Wells,1000,,Action|Adventure|Thriller,Commando ,111649,3192,Rae Dawn Chong,R,745,0
19,130,Rupert Evans,4000,35794166,Horror|Mystery|Thriller,The Boy ,35654,4687,Stephanie Lemelin,PG-13,334,20000
66,816,Bokeem Woodbine,2000,33583175,Horror|Mystery|Thriller,Devil ,104089,5628,Geoffrey Arend,PG-13,904,16000
7,615,Mike Epps,723,32983713,Comedy|Drama,Friday After Next ,19284,3712,Katt Williams,R,706,981
482,482,Hayley Kiyoko,852,52200504,Fantasy|Horror|Thriller,Insidious: Chapter 3 ,54190,2426,Leigh Whannell,PG-13,542,29000
78,619,Vanity,854,33000000,Action|Comedy|Drama|Music,The Last Dragon ,9424,3394,Keshia Knight Pulliam,PG-13,841,0
0,1000,Brad Pitt,26000,30093107,Comedy|Crime,Snatch ,600996,39175,Jason Flemyng,R,11000,27000
32,120,Austin O'Brien,535,32101000,Horror|Sci-Fi,The Lawnmower Man ,27800,1109,Troy Evans,R,211,0
6,617,Alexis Dziena,904,31487293,Comedy|Drama|Music|Romance,Nick and Norah's Infinite Playlist ,74887,2807,Aaron Yoo,PG-13,715,0
0,769,Janeane Garofalo,13000,30651422,Adventure|Comedy|Drama|Fantasy,Dogma ,181737,16693,George Carlin,R,1000,10000
7,73,Eva Amurri Martino,931,30306281,Comedy|Drama,The Banger Sisters ,12388,1917,Sal Lopez,R,797,744
287,257,Al Leong,745,29500000,Fantasy|Horror|Sci-Fi,Twilight Zone: The Movie ,25613,1954,Vic Morrow,PG,730,0
9,466,Kevin Tighe,623,30050028,Action|Thriller,Road House ,42987,2484,Kelly Lynch,R,472,0
322,534,Salli Richardson-Whitfield,851,29392418,Action|Comedy|Crime,A Low Down Dirty Shame ,3924,3190,Charles S. Dutton,R,543,368
21,782,Shiri Appleby,931,28563926,Drama|Thriller,Swimfan ,16300,3819,Jason Ritter,PG-13,855,720
27,534,Danny Woodburn,1000,28435406,Comedy|Romance,Employee of the Month ,37681,4441,Jessica Simpson,PG-13,809,0
4,678,Lauren Ambrose,982,25339117,Comedy|Romance,Can't Hardly Wait ,37885,4259,Charlie Korsmo,PG-13,945,0
0,699,William Smith,10000,25600000,Crime|Drama,The Outsiders ,57363,12097,Tom Waits,PG-13,919,10000
38,190,Oona Laurence,3000,,Adventure|Family|Fantasy,Pete's Dragon ,408,3691,Isiah Whitlock Jr.,PG,424,21000
0,275,Herbert Lom,1000,,Horror|Sci-Fi|Thriller,The Dead Zone ,44804,2013,Anthony Zerbe,R,278,0
11,220,James Ransone,1000,27736779,Horror|Mystery|Thriller,Sinister 2 ,25210,2403,Jaden Klein,R,412,13000
70,706,Curtis Armstrong,1000,24397469,Drama|Music,Sparkle ,5161,5804,Mike Epps,PG-13,876,0
9,448,Jessica Capshaw,690,20384136,Horror|Mystery|Thriller,Valentine ,20467,2402,Johnny Whitworth,R,533,0
58,242,Will Patton,14000,25464480,Mystery|Sci-Fi|Thriller,The Fourth Kind ,63108,15251,Hakeem Kae-Kazim,PG-13,537,15000
500,718,Virginia Madsen,11000,20338609,Comedy|Drama|Music,A Prairie Home Companion ,19655,12946,Lily Tomlin,PG-13,912,683
5,338,Clarence Williams III,556,18272447,Drama|Thriller,Sugar Hill ,3119,2149,Steve Harris,R,475,331
17,53,Richard Lynch,371,,Action|Thriller,Invasion U.S.A. ,6143,857,Eddie Jones,R,324,0
92,826,Brandon T. Jackson,2000,17378977,Comedy|Drama|Music|Romance,Roll Bounce ,5585,7552,Shad Moss,PG-13,918,997
0,766,Connie Nielsen,13000,17096053,Comedy|Drama,Rushmore ,134458,15716,Olivia Williams,R,933,5000
25,861,Donald Faison,929,21371425,Action|Sci-Fi|Thriller,Skyline ,76199,3679,Brittany Daniel,PG-13,927,13000
108,111,Celia Imrie,220,33071558,Comedy|Drama,The Second Best Exotic Marigold Hotel ,22369,583,Ronald Pickup,PG,186,21000
22,558,Jane Krakowski,918,17655201,Drama|Family,Kit Kittredge: An American Girl ,4719,3317,Willow Smith,G,624,851
15,804,Chris Noth,1000,16247775,Comedy|Family|Romance,The Perfect Man ,23527,4789,Vanessa Lengies,PG,962,767
