director_name,actor_3_facebook_likes,genres,actor_1_name,cast_total_facebook_likes,num_user_for_reviews,title_year
Brad Furman,681,Crime|Thriller,Justin Timberlake,5706,95,2013
Peter Howitt,91,Action|Crime|Drama|Thriller,Tyler Labine,1297,221,2001
Edward Zwick,2000,Drama|History|War,Denzel Washington,32930,365,1989
Sergio Leone,642,Crime|Drama,Robert De Niro,24719,495,1984
Niels Arden Oplev,174,Action|Crime|Drama|Thriller,Dominic Cooper,4253,127,2013
Michael Radford,548,Drama|Romance,Al Pacino,16252,161,2004
Neil Jordan,345,Action|Crime|Drama|Romance|Thriller,Emir Kusturica,2759,103,2002
Steve Boyum,826,Action|Drama|Romance|Sport,Channing Tatum,21519,38,2005
Chris Noonan,135,Biography|Drama|Romance,Emily Watson,1518,142,2006
Kaige Chen,107,Action|Drama|Fantasy,Dong-gun Jang,949,132,2005
Corey Yuen,748,Action|Adventure,Steve Howey,4473,180,2006
Andrew Dominik,820,Biography|Crime|Drama|History|Western,Brad Pitt,22516,415,2007
Li Zhang,187,Action|Adventure|Drama|History|War,Bingbing Li,1887,27,2011
Laurent Tirard,55,Comedy|Family,Louise Bourgoin,545,17,2009
Simon West,700,Action|Crime|Drama|Thriller,Jason Statham,29773,114,2015
Marc Forster,313,Action|Biography|Crime|Drama,Gerard Butler,19620,124,2011
Reinhard Klooss,480,Animation|Comedy|Family,Jim Broadbent,3095,44,2010
Bille August,11,Biography|Drama|History,Terry Pheto,143,23,2007
Frédéric Auburtin,432,Drama|History|Sport,Fisher Stevens,2725,22,2014
Olivier Dahan,520,Biography|Drama|Romance,Paz Vega,2806,62,2014
Maksim Fadeev,21,Adventure|Animation|Fantasy,Konstantin Khabenskiy,229,7,2015
Liliana Cavani,24,Crime|Drama|Mystery|Thriller,Ray Winstone,1831,108,2002
Greg Tiernan,365,Adventure|Animation|Comedy|Fantasy,James Franco,15795,14,2016
Elizabeth Banks,751,Comedy|Music,Anna Kendrick,13159,185,2015
James Mangold,154,Biography|Drama|Music|Romance,Sandra Ellis Lafferty,1383,815,2005
,442,Adventure|Drama|Mystery|Sci-Fi|Thriller,Amanda Schull,3309,56,
Edward Norton,754,Comedy|Drama|Romance,Lisa Edelstein,5404,259,2000
Peter Hewitt,373,Adventure|Comedy|Family|Fantasy,Jim Broadbent,2056,39,1997
Ron Howard,1000,Drama,Toby Jones,6161,241,2008
George Clooney,89,Biography|Comedy|Crime|Drama|Romance|Thriller,Dick Clark,810,276,2002
Reginald Hudlin,584,Comedy|Romance,Matthew Perry,4169,101,2002
Ben Falcone,265,Comedy,Peter Dinklage,23562,96,2016
Richard Attenborough,400,Biography|Drama|History,Denzel Washington,18855,51,1987
Lawrence Kasdan,933,Comedy|Drama,Zooey Deschanel,17873,123,1999
Don Mancini,363,Comedy|Fantasy|Horror|Thriller,Jason Flemyng,2567,214,2004
John Maybury,566,Drama|Mystery|Sci-Fi|Thriller,Jennifer Jason Leigh,5085,263,2005
Ron Clements,631,Adventure|Animation|Comedy|Family|Fantasy|Musical|Romance,Robin Williams,52970,244,1992
F. Gary Gray,303,Biography|Crime|Drama|History|Music,Aldis Hodge,2702,331,2015
Steven Spielberg,237,Action|Adventure,Harrison Ford,11898,524,1984
Igor Kovalyov,368,Adventure|Animation|Comedy|Drama|Family|Musical,Elizabeth Daily,3438,67,1998
Lee Tamahori,878,Crime|Drama|Thriller,Morgan Freeman,17109,317,2001
Stephen Frears,83,Biography|Comedy|Drama|Music|Romance,Meryl Streep,11534,32,2016
Robert Rodriguez,876,Action|Crime|Thriller,Johnny Depp,46186,471,2003
John McTiernan,541,Action|Thriller,Alan Rickman,40585,722,1988
David Wain,526,Comedy,Joe Lo Truglio,3400,170,2008
Adam McKay,767,Biography|Comedy|Drama|History,Ryan Gosling,57308,374,2015
Ang Lee,210,Comedy|Drama|Music,Imelda Staunton,1500,71,2009
Gavin O'Connor,250,Biography|Drama|History|Sport,Eddie Cahill,1845,289,2004
Zack Snyder,1000,Action|Horror|Thriller,Ty Burrell,10438,1057,2004
Adam Shankman,968,Comedy|Romance,Matthew McConaughey,17533,229,2001
Shinji Aramaki,47,Adventure|Animation|Sci-Fi,Shun Oguri,386,28,2013
Wes Anderson,327,Comedy|Drama,Bill Murray,14609,962,2001
James Mangold,660,Mystery|Thriller,Clea DuVall,3969,714,2003
Jon Turteltaub,966,Comedy|Romance,Robert De Niro,35694,173,2013
John Glen,244,Action|Adventure|Thriller,Julian Glover,2118,263,1981
Peter Chelsom,6,Comedy|Romance,Lilli Lavine,37,374,2001
Peter Hyams,186,Action|Crime|Sci-Fi|Thriller,Mia Sara,2010,115,1994
Ben Stiller,8000,Comedy,Milla Jovovich,34565,523,2001
Lasse Hallström,325,Drama|Romance|Thriller,David Lyons,1554,160,2013
Kenny Ortega,115,Comedy|Family|Fantasy,Vinessa Shaw,1275,132,1993
Scott Hicks,559,Comedy|Drama|Romance,Zoë Kravitz,3497,128,2007
Matthew Vaughn,385,Action|Comedy,Elizabeth McGovern,2357,801,2010
Ruben Fleischer,459,Action|Comedy|Crime,Bianca Kajlich,1987,122,2011
Patrick Lussier,1000,Action|Fantasy|Horror|Thriller,Gerard Butler,23344,365,2000
Miguel Arteta,3000,Comedy|Family,Bella Thorne,47677,85,2014
Joe Wright,241,Drama|Romance,Talulah Riley,1083,1058,2005
Ridley Scott,521,Sci-Fi|Thriller,Harrison Ford,13877,1168,1982
Michael Caton-Jones,902,Adventure|Biography,Liam Neeson,16125,126,1995
McG,114,Action|Drama|Thriller,Connie Nielsen,1286,211,2014
James Gray,97,Crime|Drama|Thriller,Robert Duvall,3681,199,2007
Janusz Kaminski,258,Drama|Horror|Thriller,Philip Baker Hall,1805,167,2000
Jacques Perrin,,Documentary,Jacques Perrin,66,153,2001
Donald Petrie,585,Comedy|Fantasy|Romance,Samaire Armstrong,3211,149,2006
Jay Roach,385,Comedy|Drama|Sport,Scott Grimes,2171,123,1999
Brian Levant,453,Action|Comedy|Family,Madeline Carroll,3436,71,2010
Michael Ritchie,899,Comedy|Family|Fantasy,Mara Wilson,5535,21,1997
John Carpenter,900,Action|Horror|Sci-Fi,Jason Statham,28867,460,2001
David Gordon Green,660,Comedy|Drama,Dominic Flores,3944,50,2015
Burr Steers,845,Action|Horror|Romance,Matt Smith,4710,134,2016
Martin Scorsese,0,Biography|Drama|History|War,Tenzin Thuthob Tsarong,4,117,1997
Robert B. Weide,87,Comedy|Drama|Romance,James Corden,858,98,2008
Jeff Wadlow,405,Action|Comedy|Crime,Chloë Grace Moretz,19168,378,2013
Agustín Díaz Yanes,278,Adventure|Drama|History|Romance|Thriller|War,Viggo Mortensen,11669,84,2006
Camille Delamarre,561,Action|Crime|Drama|Thriller,Paul Walker,25387,112,2014
John Glen,293,Action|Adventure|Thriller,Louis Jourdan,1898,225,1983
Judd Apatow,529,Comedy|Romance,Harold Ramis,12874,559,2007
Nick Cassavetes,228,Drama,Jason Patric,1775,184,2009
Malcolm D. Lee,436,Comedy|Drama|Romance,Mo'Nique,3565,39,2008
David Lean,162,Adventure|Drama|History,Richard Wilson,1334,89,1984
Richard Eyre,78,Crime|Drama|Romance|Thriller,Phil Davis,646,281,2006
Gavin Hood,11000,Drama|Thriller,J.K. Simmons,50950,197,2007
,535,Crime|Drama|Sci-Fi|Thriller,Colin Salmon,2707,131,
Nicholas Meyer,664,Action|Adventure|Sci-Fi|Thriller,Leonard Nimoy,16230,188,1991
Callie Khouri,477,Drama,Ellen Burstyn,3845,199,2002
Jon Favreau,591,Adventure|Drama|Family|Fantasy,Scarlett Johansson,32921,398,2016
Gary Fleder,685,Crime|Drama|Mystery|Thriller,Morgan Freeman,14322,143,1997
John Landis,326,Action|Comedy|Crime|Music,John Belushi,2566,319,1980
Sanaa Hamri,523,Comedy|Drama|Family|Romance,America Ferrera,3525,33,2008
Todd Graff,715,Comedy|Music,Dolly Parton,3389,71,2012
Chris Weitz,3,Comedy|Drama|Romance,Sharon Small,74,391,2002
Steve Miner,429,Action|Comedy|Horror,Oliver Platt,3313,366,1999
Paul McGuigan,1000,Crime|Drama|Mystery|Thriller,Bruce Willis,26451,507,2006
Philip Kaufman,820,Adventure|Drama|History,Dennis Quaid,6341,170,1983
Roland Emmerich,358,Drama|History|Thriller,Vanessa Redgrave,2452,136,2011
Wolfgang Petersen,271,Adventure|Drama|Family|Fantasy,Gerald McRaney,1560,284,1984
Alex Proyas,531,Action|Drama|Fantasy|Mystery|Sci-Fi|Thriller,Rufus Sewell,4696,624,1998
Saul Dibb,844,Biography|Drama|History|Romance,Dominic Cooper,6420,140,2008
,94,Comedy|Family,Jackie Gleason,812,31,
Walter Murch,137,Adventure|Family|Fantasy|Horror|Mystery,Piper Laurie,960,208,1985
Richard Linklater,324,Action|Crime|Drama|History|Western,Matthew McConaughey,11969,39,1998
Christian Alvart,355,Horror|Mystery|Thriller,Bradley Cooper,15790,174,2009
E. Elias Merhige,398,Crime|Drama|Mystery|Thriller,Harry Lennix,1721,139,2004
Menno Meyjes,460,Comedy|Drama|Family,Oliver Platt,2495,71,2007
Robert Rodriguez,640,Action|Adventure|Comedy|Family|Sci-Fi,Alexa PenaVega,4311,83,2011
Jodie Foster,638,Crime|Drama|Thriller,Julia Roberts,10894,103,2016
Ronny Yu,57,Action|Comedy|Crime|Thriller,Meat Loaf,1044,167,2001
Joel Schumacher,638,Comedy|Crime|Drama,Robert De Niro,46022,105,1999
Renny Harlin,749,Crime|Horror|Mystery|Thriller,LL Cool J,4186,226,2004
Barry Levinson,17000,Comedy|Drama,Robert De Niro,71973,111,2008
Norman Jewison,387,Drama|Thriller,Charlotte Rampling,3286,52,2003
Kenneth Branagh,3,Drama|Musical|Romance,Kim-Marie Woodhouse,24,19,2006
Steve Carr,328,Action|Comedy|Crime,Erick Avari,2954,201,2009
Mark Waters,512,Comedy|Family|Fantasy|Music|Romance,Jamie Lee Curtis,3984,271,2003
Judd Apatow,218,Comedy|Romance,Steve Carell,8341,546,2005
John Madden,239,Comedy|Drama|Romance,Tom Wilkinson,1690,752,1998
Scott Frank,313,Crime|Drama|Mystery|Thriller,Liam Neeson,15428,207,2014
Ivan Reitman,344,Action|Comedy|Crime,Richard Tyson,2403,109,1990
David Gordon Green,919,Action|Comedy|Crime,James Franco,15590,374,2008
Andy Tennant,343,Comedy|Drama|Romance,Anjelica Huston,2747,345,1998
Kevin Costner,648,Drama|Romance|Western,Robert Duvall,5458,494,2003
Joel Schumacher,442,Drama|Horror|Sci-Fi|Thriller,Julia Roberts,10493,148,1990
,424,Comedy,Rob McElhenney,1784,151,
Richard Attenborough,14,Drama|History|War,Ryan O'Neal,669,210,1977
Wes Craven,178,Mystery|Thriller,Robert Pine,1090,673,2005
David R. Ellis,392,Horror|Thriller,Sarah Carter,3172,472,2003
Joel Coen,577,Adventure|Comedy|Crime|Music,Holly Hunter,3066,862,2000
Scott Stewart,534,Action|Fantasy|Horror,Dennis Quaid,3889,315,2010
Michael Bay,385,Comedy|Crime|Drama,Dwayne Johnson,13573,287,2013
Paul Weitz,2000,Comedy|Drama|Romance,Scarlett Johansson,28493,214,2004
Jonathan Frakes,528,Action|Adventure|Comedy|Sci-Fi|Thriller,Michael Biehn,3917,94,2002
Lawrence Kasdan,67,Action|Crime|Drama|Western,Scott Glenn,1154,149,1985
Jim Sheridan,3000,Drama|Thriller,Natalie Portman,42473,201,2009
Kevin Allen,588,Action|Adventure|Comedy|Family|Romance|Sci-Fi,Daniel Roebuck,3742,44,2004
Garry Marshall,307,Comedy|Romance,Robert De Niro,23456,134,2011
Michael Cristofer,155,Drama|Mystery|Romance|Thriller,Angelina Jolie Pitt,11662,181,2001
James McTeigue,427,Crime|Mystery|Thriller,Pam Ferris,2356,190,2012
Donald Petrie,509,Comedy|Romance,Rip Torn,2466,95,2004
Andrew Morahan,535,Action|Fantasy|Romance|Sci-Fi,Christopher Lambert,2960,79,1994
Bob Rafelson,223,Crime|Drama|Thriller,Harold Perrineau,2228,55,1996
Michael Cohn,512,Fantasy|Horror,David Conrad,2170,69,1997
Woody Allen,277,Comedy|Crime|Mystery|Romance,Woody Allen,12534,178,2001
David O. Russell,816,Comedy|Romance,Jake Gyllenhaal,19068,28,2015
Alan Shapiro,26,Adventure|Family,Paul Hogan,616,26,1996
Tarsem Singh,523,Action|Mystery|Sci-Fi|Thriller,Ryan Reynolds,17847,126,2015
Fernando Meirelles,151,Drama|Mystery|Romance|Thriller,Archie Panjabi,1565,568,2005
Mel Gibson,113,Drama,Christo Jivkov,705,2814,2004
Chris Columbus,711,Comedy|Drama|Family|Romance,Robin Williams,52201,223,1993
Barry Levinson,628,Drama,Tom Cruise,12285,331,1988
Clint Eastwood,198,Drama,Clint Eastwood,17347,871,2008
Oliver Stone,655,Biography|Drama|History,Toby Jones,4264,320,2008
Pierre Morel,485,Action|Thriller,Liam Neeson,16461,974,2008
Michael Hoffman,437,Drama|Romance,Luke Bracey,3197,99,2014
Mick Jackson,164,Action|Drama|Music|Romance,Bill Cobbs,2551,126,1992
Steven Spielberg,212,Biography|Drama|History,Liam Neeson,15233,1273,1993
Tate Taylor,2000,Drama,Emma Stone,23227,460,2011
Bill Condon,203,Biography|Drama|Thriller,Benedict Cumberbatch,36337,105,2013
Raja Gosnell,596,Adventure|Comedy|Family|Fantasy|Horror|Mystery,Sarah Michelle Gellar,7800,149,2004
Oleg Stepchenko,48,Adventure|Fantasy|Mystery|Thriller,Jason Flemyng,1166,18,2014
Ronny Yu,662,Action|Horror|Thriller,Katharine Isabelle,4692,885,2003
Michael Winterbottom,127,Drama,Cara Delevingne,1041,25,2014
John A. Davis,179,Action|Adventure|Animation|Comedy|Family|Sci-Fi,Martin Short,2251,118,2001
Matt Reeves,387,Action|Adventure|Horror|Sci-Fi,Mike Vogel,3958,2192,2008
Michael Pressman,445,Action|Adventure|Comedy|Family|Sci-Fi,Kevin Nash,2501,93,1991
Brian De Palma,188,Crime|Drama|Thriller,Robert De Niro,22767,418,1987
Ethan Coen,883,Crime|Drama|Thriller,Kelly Macdonald,4738,1518,2007
Tim Story,460,Action|Comedy|Crime|Romance,Bruce McGill,2394,109,2014
Sharon Maguire,887,Comedy|Drama|Romance,Colin Firth,16999,571,2001
Lasse Hallström,163,Drama|Romance,Lena Olin,1323,498,2000
Charles Herman-Wurmfeld,643,Comedy,Mary Lynn Rajskub,3500,297,2003
Andy Fickman,433,Comedy|Family,Bailee Madison,5740,107,2012
Ivan Reitman,766,Comedy|Romance,Natalie Portman,22739,178,2011
George P. Cosmatos,472,Action|Biography|Drama|History|Romance|Western,Michael Biehn,4453,439,1993
Andrzej Bartkowiak,775,Action|Crime|Thriller,Jet Li,9082,365,2000
Richard Donner,108,Fantasy|Horror|Mystery,Lee Remick,673,310,1976
James Wong,318,Horror,Chelan Simmons,2420,571,2006
Scott Hicks,204,Drama|Romance,Blythe Danner,1852,106,2012
Gabor Csupo,3000,Adventure|Drama|Family|Fantasy,Josh Hutcherson,28071,522,2007
Marc Forster,2000,Biography|Drama|Family,Johnny Depp,58823,632,2004
Tyler Perry,400,Comedy|Drama,Alicia Witt,3202,27,2013
Joe Carnahan,726,Action|Adventure|Drama|Thriller,Liam Neeson,16606,755,2011
John Polson,317,Drama|Horror|Mystery|Thriller,Robert De Niro,23328,450,2005
Adam McKay,7000,Comedy,Darcy Donavan,656730,577,2004
Martin Scorsese,635,Biography|Crime|Drama,Robert De Niro,24783,989,1990
Harald Zwart,434,Action|Adventure|Comedy|Crime|Family|Romance|Thriller,Daniel Roebuck,3037,104,2003
Kirk Jones,579,Comedy|Family|Fantasy,Colin Firth,17278,181,2005
Brian De Palma,638,Crime|Drama,Al Pacino,16464,851,1983
Steve Oedekerk,468,Action|Adventure|Comedy|Crime,Kelly Preston,2457,92,1997
Bernardo Bertolucci,400,Biography|Drama|History,Cary-Hiroyuki Tagawa,2451,133,1987
Baltasar Kormákur,733,Action|Crime|Drama|Thriller,J.K. Simmons,26625,161,2012
Brett Ratner,585,Action|Comedy|Crime|Thriller,Heather Locklear,2530,41,1997
Paul Thomas Anderson,104,Drama,Jim Meskimen,533,1107,2007
Cathy Malkasian,503,Adventure|Animation|Comedy|Family|Fantasy,Alfre Woodard,2908,33,2002
John Eng,362,Adventure|Animation|Comedy|Family|Fantasy|Musical,Elizabeth Daily,3017,35,2003
Malcolm D. Lee,466,Action|Comedy,Dave Chappelle,3001,179,2002
Ken Kwapis,917,Comedy|Drama|Family|Romance,Mike Vogel,6862,223,2005
Chris Nahon,872,Action|Crime|Drama|Thriller,Jet Li,7945,254,2001
Fred Wolf,816,Comedy|Romance,Emma Stone,18789,126,2008
Bille Woodruff,485,Comedy,Alfre Woodard,3535,59,2005
Craig Gillespie,367,Biography|Drama|Sport,Jon Hamm,6393,96,2014
Phillip Noyce,10000,Drama|Romance|Sci-Fi,Jeff Bridges,36064,260,2014
Dennie Gordon,742,Comedy|Drama|Family|Romance,Colin Firth,16400,194,2003
Victor Salva,177,Horror,Nicki Aycox,1340,316,2003
Mark Helfrich,440,Comedy|Romance,Dane Cook,2822,150,2007
Andrzej Bartkowiak,432,Action|Crime|Drama|Thriller,Jet Li,6867,185,2003
Stephen Daldry,530,Drama|Romance,Meryl Streep,12624,660,2002
Andy Fickman,960,Comedy|Romance,Channing Tatum,20109,261,2006
Steve Bendelack,100,Comedy|Family,Lily Atkinson,794,235,2007
Dwight H. Little,522,Action|Adventure|Horror|Thriller,Nicholas Gonzalez,2730,144,2004
Guillaume Canet,745,Crime|Drama|Thriller,Mila Kunis,18442,41,2013
Kirsten Sheridan,403,Drama|Music,Robin Williams,50927,364,2007
Shekhar Kapur,240,Biography|Drama|History,Fanny Ardant,1006,409,1998
Ronny Yu,71,Comedy|Fantasy|Horror|Romance,Alexis Arquette,667,292,1998
Richard Fleischer,288,Action|Drama|History|War,Joseph Cotten,1548,159,1970
Bob Spiers,199,Comedy|Family|Music,Jason Flemyng,2176,261,1997
David Gordon Green,370,Comedy,Ari Graynor,3850,114,2011
Damien Dante Wayans,571,Action|Comedy|Music,Damon Wayans Jr.,4378,50,2009
Frank Darabont,461,Crime|Drama,Morgan Freeman,13495,4144,1994
Simon Wincer,162,Adventure|Comedy|Crime,Jere Burns,1315,119,2001
