actor_1_facebook_likes,gross,actor_1_name,num_voted_users,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,movie_imdb_link,aspect_ratio
1000,43771291,Busy Philipps,79909,3215,Wendell Pierce,1,http://www.imdb.com/title/tt4178092/?ref_=fn_tt_tt_1,2.35
772,11703287,Chase Ellison,4360,1058,Jack Guzman,3,http://www.imdb.com/title/tt0399862/?ref_=fn_tt_tt_1,2.35
15000,11560259,Mila Kunis,15617,22485,Carmen Electra,1,http://www.imdb.com/title/tt0192071/?ref_=fn_tt_tt_1,2.35
989,10824921,Gary Cole,200293,3462,Diedrich Bader,0,http://www.imdb.com/title/tt0151804/?ref_=fn_tt_tt_1,1.85
4000,10561238,Kirsten Dunst,27265,6388,Ellen Barkin,0,http://www.imdb.com/title/tt0157503/?ref_=fn_tt_tt_1,1.85
11000,14479776,Christoph Waltz,55539,12418,Jon Polito,3,http://www.imdb.com/title/tt1126590/?ref_=fn_tt_tt_1,1.85
4000,9801782,Jon Favreau,39331,6046,Jeanne Tripplehorn,0,http://www.imdb.com/title/tt0124198/?ref_=fn_tt_tt_1,1.85
7000,8070311,Steve Carell,12706,13626,Hunter Parrish,9,http://www.imdb.com/title/tt0368975/?ref_=fn_tt_tt_1,1.85
537,,Melanie Griffith,20113,1856,Gregg Henry,0,http://www.imdb.com/title/tt0086984/?ref_=fn_tt_tt_1,1.85
1000,8460995,Jasper Cole,35888,2618,Powers Boothe,3,http://www.imdb.com/title/tt1470023/?ref_=fn_tt_tt_1,2.35
460,8111360,Sophie Okonedo,34848,1334,Sergi López,1,http://www.imdb.com/title/tt0301199/?ref_=fn_tt_tt_1,1.85
20000,8828771,Hugh Jackman,79146,41059,Seth MacFarlane,10,http://www.imdb.com/title/tt1333125/?ref_=fn_tt_tt_1,1.85
40000,67631157,Johnny Depp,176606,55175,Rufus Sewell,0,http://www.imdb.com/title/tt1243957/?ref_=fn_tt_tt_1,2.35
939,7563670,Stephen Root,21268,3651,Wendi McLendon-Covey,0,http://www.imdb.com/title/tt0785007/?ref_=fn_tt_tt_1,2.35
7000,6619173,Steve Carell,87203,7747,Rob Huebel,2,http://www.imdb.com/title/tt1307068/?ref_=fn_tt_tt_1,2.35
1000,6857503,Kurtwood Smith,32697,4769,Alia Shawkat,1,http://www.imdb.com/title/tt1477837/?ref_=fn_tt_tt_1,1.85
1000,,Michaela Conlin,111506,2198,Tamara Taylor,2,http://www.imdb.com/title/tt0460627/?ref_=fn_tt_tt_1,1.78
1000,6712241,Ethan Suplee,782437,3858,Stacy Keach,2,http://www.imdb.com/title/tt0120586/?ref_=fn_tt_tt_1,1.85
1000,6842058,Daniel Sharman,36029,3818,Lee Tergesen,0,http://www.imdb.com/title/tt1748227/?ref_=fn_tt_tt_1,2.35
886,6491350,Nathan Lane,1231,5139,Jerry Stiller,0,http://www.imdb.com/title/tt0350194/?ref_=fn_tt_tt_1,1.85
24,9473382,Johannes Silberschneider,26832,29,Carlo Cecchi,3,http://www.imdb.com/title/tt0120802/?ref_=fn_tt_tt_1,1.85
874,6197866,Sissy Spacek,63733,1351,Everett McGill,0,http://www.imdb.com/title/tt0166896/?ref_=fn_tt_tt_1,2.35
12000,6044618,Norman Reedus,6200,26961,Frankie Muniz,1,http://www.imdb.com/title/tt0231448/?ref_=fn_tt_tt_1,2.35
628,7764027,Beth Grant,38459,2061,Patricia Belcher,0,http://www.imdb.com/title/tt2170299/?ref_=fn_tt_tt_1,2.35
427,5998971,Dylan Moran,58509,1022,India de Beaufort,0,http://www.imdb.com/title/tt0425413/?ref_=fn_tt_tt_1,2.35
753,,Bernadette Peters,1040,2791,Christopher Guest,0,http://www.imdb.com/title/tt0082507/?ref_=fn_tt_tt_1,2.35
1000,21569041,Jennifer Ehle,8058,3745,Jillian Estell,2,http://www.imdb.com/title/tt2883434/?ref_=fn_tt_tt_1,2.35
719,4356743,Jerry Stiller,3662,2446,Dave Foley,2,http://www.imdb.com/title/tt0279286/?ref_=fn_tt_tt_1,1.85
23000,5484375,Christian Bale,84641,24270,François Chau,0,http://www.imdb.com/title/tt0462504/?ref_=fn_tt_tt_1,1.85
14000,5348317,Al Pacino,20810,18712,Melissa Benoist,0,http://www.imdb.com/title/tt1772288/?ref_=fn_tt_tt_1,
2000,4244155,Judy Greer,56005,3374,Rae Dawn Chong,5,http://www.imdb.com/title/tt1588334/?ref_=fn_tt_tt_1,1.85
144,5004648,Flavio Parenti,14031,474,Alba Rohrwacher,1,http://www.imdb.com/title/tt1226236/?ref_=fn_tt_tt_1,1.85
823,3333823,Robert Picardo,5612,5262,Esai Morales,0,http://www.imdb.com/title/tt1985017/?ref_=fn_tt_tt_1,2.35
10000,3275585,Gary Oldman,10735,13160,Lena Olin,1,http://www.imdb.com/title/tt0107983/?ref_=fn_tt_tt_1,1.85
402,3193102,Peter Fonda,24412,1335,William Lucking,0,http://www.imdb.com/title/tt0165854/?ref_=fn_tt_tt_1,1.85
3000,54557348,Don Cheadle,361169,5732,Jennifer Esposito,0,http://www.imdb.com/title/tt0375679/?ref_=fn_tt_tt_1,2.35
902,3041803,Eric Stoltz,6377,2735,Elizabeth McGovern,0,http://www.imdb.com/title/tt0200720/?ref_=fn_tt_tt_1,2.35
754,3060858,Cliff Robertson,1768,1891,Dennis Burkley,4,http://www.imdb.com/title/tt0093483/?ref_=fn_tt_tt_1,1.85
634,1055654,Scott Mechlowicz,20426,2673,Agnes Bruckner,1,http://www.imdb.com/title/tt0438315/?ref_=fn_tt_tt_1,2.35
982,2331318,Don Johnson,9541,2603,Nicholas Turturro,1,http://www.imdb.com/title/tt1411664/?ref_=fn_tt_tt_1,1.85
1000,2185266,Gillian White,8720,4266,Jada Pinkett Smith,0,http://www.imdb.com/title/tt0215545/?ref_=fn_tt_tt_1,1.85
533,26583369,Eoin Macken,20837,578,Gen Seto,1,http://www.imdb.com/title/tt3387542/?ref_=fn_tt_tt_1,1.85
902,800000,Frank Langella,892,2079,John Gielgud,0,http://www.imdb.com/title/tt0083113/?ref_=fn_tt_tt_1,2.35
6000,7574066,Naomi Watts,30325,6322,Dree Hemingway,2,http://www.imdb.com/title/tt1791682/?ref_=fn_tt_tt_1,1.85
749,1754319,Demián Bichir,13174,2214,Robert Peters,0,http://www.imdb.com/title/tt1554091/?ref_=fn_tt_tt_1,1.85
530,1641788,Miranda Richardson,30096,1381,Lynn Redgrave,0,http://www.imdb.com/title/tt0278731/?ref_=fn_tt_tt_1,1.78
14000,1631839,Liam Neeson,5936,17665,Mitch Pileggi,0,http://www.imdb.com/title/tt0171356/?ref_=fn_tt_tt_1,1.85
16000,1309849,Charlie Hunnam,9395,29177,Jim Broadbent,1,http://www.imdb.com/title/tt0309912/?ref_=fn_tt_tt_1,2.35
11000,1939441,Chris Evans,55567,23187,Robert Davi,1,http://www.imdb.com/title/tt1491044/?ref_=fn_tt_tt_1,1.85
20,447093,Krystyna Janda,12591,25,Olgierd Lukaszewicz,0,http://www.imdb.com/title/tt0092337/?ref_=fn_tt_tt_1,1.33
307,,Naseeruddin Shah,12411,616,Sharat Saxena,0,http://www.imdb.com/title/tt0432637/?ref_=fn_tt_tt_1,2.35
975,1276984,Alicia Witt,11403,3059,Kevin Nealon,2,http://www.imdb.com/title/tt0173716/?ref_=fn_tt_tt_1,1.85
11000,1987762,Matthew McConaughey,59297,11853,Carol Sutton,0,http://www.imdb.com/title/tt1726669/?ref_=fn_tt_tt_1,1.85
2000,1474508,Demi Moore,33473,4607,Robert Pralgo,4,http://www.imdb.com/title/tt1285309/?ref_=fn_tt_tt_1,2.35
22000,1011054,Philip Seymour Hoffman,10585,23513,Maury Chaykin,1,http://www.imdb.com/title/tt0285861/?ref_=fn_tt_tt_1,2.35
966,900926,Jenna Fischer,9517,3307,Will Forte,2,http://www.imdb.com/title/tt0784972/?ref_=fn_tt_tt_1,1.85
20000,866778,Natalie Portman,44208,20364,Adriane Lenox,3,http://www.imdb.com/title/tt0765120/?ref_=fn_tt_tt_1,2.35
816,836641,Beverly D'Angelo,1402,1585,George DiCenzo,0,http://www.imdb.com/title/tt0120709/?ref_=fn_tt_tt_1,1.85
990,598645,Bruce Greenwood,13145,2006,David Thornton,0,http://www.imdb.com/title/tt0291502/?ref_=fn_tt_tt_1,1.85
603,578527,Bashar Rahal,20008,988,Ned Bellamy,3,http://www.imdb.com/title/tt0884224/?ref_=fn_tt_tt_1,1.78
478,488872,Wei Zhao,56923,700,Kwok-Kwan Chan,2,http://www.imdb.com/title/tt0286112/?ref_=fn_tt_tt_1,1.85
787,365734,Vincent Gallo,11487,883,Anna Vareschi,0,http://www.imdb.com/title/tt0330099/?ref_=fn_tt_tt_1,1.66
