director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_2_name,actor_1_facebook_likes,actor_1_name,num_voted_users,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,plot_keywords,num_user_for_reviews,language,content_rating,title_year,actor_2_facebook_likes,aspect_ratio
Rob Cohen,187,106,357,Vin Diesel,23000,Paul Walker,272223,45327,Jordana Brewster,2,eighteen wheeler|illegal street racing|truck|trucker|undercover cop,988,English,PG-13,2001,14000,2.35
Robert Zemeckis,221,143,0,Paul Sanchez,15000,Tom Hanks,394317,15838,Nick Searcy,1,christmas|island|love|survival|talking to inanimate object,1051,English,PG-13,2000,410,1.85
George Miller,206,108,750,Hugh Jackman,49000,Robin Williams,132501,70996,Elizabeth Daily,0,dance|emperor penguin|friend|penguin|song,548,English,PG,2006,20000,2.35
Paul Greengrass,239,108,521,Joan Allen,13000,Matt Damon,348232,14161,Oksana Akinshina,1,assassin|car chase|cia|hidden truth|one against many,806,English,PG-13,2004,805,2.35
Wolfgang Petersen,142,124,249,Gary Oldman,11000,Harrison Ford,146134,23603,Dean Stockwell,1,ex soldier|hijacker|hostage|president|terrorist,393,English,R,1997,10000,2.35
Steven Soderbergh,186,116,0,Bernie Mac,11000,Brad Pitt,402645,13028,Elliott Gould,4,card dealer|casino|criminal mastermind|recruiting|ulcer,845,English,PG-13,2001,1000,2.35
Paul W.S. Anderson,228,110,545,Logan Lerman,14000,Milla Jovovich,88542,27694,Orlando Bloom,8,box office flop|cardinal richelieu|critically bashed|duel|musketeer,254,English,PG-13,2011,8000,2.35
Genndy Tartakovsky,256,91,266,Adam Sandler,12000,Steve Buscemi,164148,37142,Jon Lovitz,2,dracula|hotel|invisible man|monster|transylvania,168,English,PG,2012,11000,1.85
Kevin Lima,222,107,36,Teala Dunn,283,Jeff Bennett,142496,662,Fred Tatasciore,2,fairy tale|lawyer|love|new york|prince,399,English,PG,2007,142,2.35
,103,44,,Scott Thompson,544,Caroline Dhavernas,159910,996,Hettienne Park,1,blood|cannibalism|fbi|manipulation|psychiatrist,270,English,TV-14,,183,1.78
Daniel Espinosa,298,115,79,Ryan Reynolds,18000,Denzel Washington,166693,36237,Sam Shepard,1,cia|cia agent|consulate|on the run|safe house,276,English,R,2012,16000,2.35
Kevin Lima,84,100,36,Eric Idle,2000,Ioan Gruffudd,26413,4182,Jim Carter,1,dog|parole|parole officer|prison|puppy,77,English,G,2000,795,1.85
Brett Ratner,236,104,420,Gabourey Sidibe,2000,Matthew Broderick,110073,3768,Judd Hirsch,5,apartment|fbi|fraud|heist|manager,194,English,PG-13,2011,906,2.35
Nancy Meyers,157,138,278,Rufus Sewell,14000,Kate Winslet,182757,17423,Sarah Parish,3,book|composer|house|love|self esteem,483,English,PG-13,2006,3000,1.85
Tony Scott,81,140,12000,Jake Busey,10000,Will Smith,188116,11951,Lisa Bonet,4,congressman|lawyer|nsa|on the run|surveillance,415,English,R,1998,660,2.35
Nancy Meyers,187,120,278,Hunter Parrish,11000,Meryl Streep,69860,15226,Zoe Kazan,2,affair|divorce|graduation|vomiting|watching television,214,English,R,2009,2000,1.85
Steven Soderbergh,238,122,0,Matt Damon,14000,Al Pacino,256928,43499,Brad Pitt,3,casino|heist|manmade earthquake|revenge|tunnel boring machine,288,English,PG-13,2007,13000,2.35
Roger Allers,107,83,28,Debra Messing,4000,Jon Favreau,65270,6081,Jane Krakowski,1,bear|deer|forest|grizzly bear|hunter,100,English,PG,2006,650,1.85
Neil Burger,459,139,168,Theo James,14000,Kate Winslet,341058,22226,Mekhi Phifer,2,army|brother sister relationship|dystopia|father son relationship|narrated by character,713,English,PG-13,2014,5000,2.35
