director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_1_facebook_likes,actor_1_name,num_voted_users,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,num_user_for_reviews,country,budget,title_year,actor_2_facebook_likes,imdb_score,aspect_ratio
Jeff Franklin,45,94,24,834,Ivana Milicevic,4377,2662,Bridgette Wilson-Sampras,3,85,USA,4000000,1999,625,5.8,1.85
John Dahl,121,93,131,497,Philip Baker Hall,16224,776,Jayne Eastwood,1,76,USA,4000000,2007,113,6.5,2.55
Mike Mills,114,96,101,730,Kelli Garner,18762,1208,Nancy O'Dell,0,91,USA,4000000,2005,394,6.6,2.35
Kevin Smith,270,88,0,1000,Anna Gunn,53342,4777,Stephen Root,0,287,USA,4000000,2011,947,6.2,1.85
Dave McKean,116,101,21,420,Stephanie Leonidas,20275,1215,Rob Brydon,0,151,UK,4000000,2005,291,6.9,1.85
Ron Fricke,115,102,330,48,Collin Alfredo St. Dic,22457,48,Puti Sri Candra Dewi,0,69,USA,4000000,2011,0,8.5,2.35
Ruggero Deodato,15,87,101,721,Michael Berryman,2308,1700,Richard Lynch,0,35,USA,4000000,1987,576,4.8,1.85
Gavin Wiesen,122,83,19,947,Michael Angarano,45293,2353,Rita Wilson,1,71,USA,,2011,685,6.6,2.35
Mora Stephens,35,103,5,1000,Ray Winstone,4091,3408,Elena Satine,0,20,USA,4500000,2015,1000,5.7,2.35
Mars Callahan,41,99,60,979,Chazz Palminteri,8535,3130,Ernie Reyes Jr.,4,113,USA,4000000,2002,665,7.0,1.85
Mike Figgis,31,106,81,2000,Kelly Macdonald,2877,4343,Julian Sands,0,70,USA,4000000,1999,811,5.4,1.78
Leos Carax,332,115,227,690,Kylie Minogue,29440,1298,Denis Lavant,0,110,France,,2012,227,7.1,1.85
David Gordon Green,232,117,234,12000,Nicolas Cage,36494,13607,Ronnie Gene Blevins,2,118,USA,4000000,2013,1000,6.9,2.35
Stefan Schwartz,43,99,13,419,Peter McNamara,6705,975,Ralph Ineson,3,53,UK,3000000,1997,254,6.6,2.35
Renny Harlin,68,102,212,10000,Viggo Mortensen,2705,11083,Hal Landon Jr.,0,38,USA,1300000,1987,633,5.9,1.85
Robert Lee King,51,85,0,945,Lauren Ambrose,4617,2282,Beth Broderick,1,93,Australia,1500000,2000,774,6.3,1.85
Kevin Allen,33,86,8,759,Craig Ferguson,2133,2805,Mary McCormack,1,31,UK,4000000,1999,638,6.3,1.85
Jorge Ramírez Suárez,26,120,45,623,Hector Kotsifakis,2112,824,Arcelia Ramírez,0,7,Mexico,4000000,2013,85,7.7,2.35
David Schwimmer,109,106,0,617,Noah Emmerich,34224,916,Zoe Levin,0,137,USA,9500000,2010,163,7.0,2.35
Barry Levinson,34,103,272,736,Anna Friel,1398,1403,Pauline McLynn,4,26,USA,14000000,2000,450,6.3,1.85
Sam Miller,31,93,12,578,Rachel Griffiths,811,643,Rob Jarvis,1,26,UK,2500000,1998,29,5.9,
Anne Fontaine,141,112,105,18000,Robin Wright,23334,25269,Ben Mendelsohn,0,87,Australia,16000000,2013,6000,6.2,2.35
Dan Ireland,19,100,137,4000,Salma Hayek,1555,5796,Olivia d'Abo,0,40,USA,4000000,1998,575,5.0,2.35
Fernando León de Aranoa,64,113,58,331,Luis Tosar,9913,387,Aida Folch,1,38,Spain,4000000,2002,27,7.7,1.85
Jim Mickle,215,98,53,530,Connor Paolo,34263,1038,Nick Damici,1,141,USA,650000,2010,238,6.5,2.35
,5,23,,254,Doug Brochu,7673,915,Brandon Mychal Smith,1,47,USA,,,248,6.1,1.33
Stephen Kay,12,92,19,18000,Keanu Reeves,1686,20135,Gretchen Mol,1,28,USA,4000000,1997,759,5.8,1.85
Karim Aïnouz,70,106,19,585,Wagner Moura,1738,629,Jesuíta Barbosa,2,10,Brazil,4000000,2014,29,6.1,2.35
Sam Levinson,46,119,8,3000,George Kennedy,3297,10984,Demi Moore,4,42,USA,4000000,2011,3000,6.0,2.35
Julian Gilbey,135,99,7,762,Ed Speleers,22220,2631,Sean Harris,1,97,UK,4000000,2011,706,6.3,2.35
Vincenzo Natali,38,90,165,686,David Hewlett,5137,1298,Marie-Josée Croze,0,50,Canada,,2003,246,6.3,2.35
Aleksandr Veledinskiy,8,120,0,114,Konstantin Khabenskiy,2488,183,Eugenia Khirivskaya,0,3,Russia,4000000,2013,45,7.5,
Peter H. Hunt,34,168,0,713,Blythe Danner,6303,1541,Howard Caine,0,129,USA,4000000,1972,649,7.6,2.35
Ruba Nadda,36,93,55,223,Saad Siddiqui,2086,242,Fadia Nadda,3,20,Canada,4000000,2012,11,5.2,2.35
Howard Hughes,35,96,177,431,Jean Harlow,3753,457,James Hall,1,53,USA,3950000,1930,12,7.8,1.2
Edward Burns,6,103,0,650,Debra Messing,2727,1585,Peter Jacobson,5,19,USA,4000000,2007,536,6.6,1.85
Phil Joanou,39,93,21,763,Lily Rabe,4146,2651,Kira McLean,2,29,USA,4000000,2016,637,4.7,2.35
Sean Byrne,182,84,18,399,Robin McLeavy,27781,644,Victoria Thaine,1,104,Australia,,2009,129,6.7,2.35
Chris Stokes,14,81,548,166,Kristen Quintrall,1561,609,Black Thomas,0,21,USA,4000000,2012,134,4.2,
Mark Griffiths,3,84,4,637,Eric Mabius,1929,1932,Brooke D'Orsay,2,4,USA,4000000,2012,346,6.3,1.78
Bruce Macdonald,3,94,103,544,Rachel Hendrix,724,1150,Diana Vickers,1,15,South Africa,4000000,2014,476,4.7,
Timur Bekmambetov,1,141,335,11000,Morgan Freeman,67,13391,Moises Arias,2,1,USA,100000000,2016,744,6.0,2.35
Fred Zinnemann,62,120,160,559,Robert Shaw,23713,1238,Paul Scofield,0,167,UK,2000000,1966,269,7.9,1.66
Sidney Lumet,161,121,0,3000,Robert Duvall,103493,5987,William Holden,0,317,USA,3800000,1976,977,8.1,1.85
Victor Fleming,157,226,149,503,Hattie McDaniel,215340,1862,Thomas Mitchell,1,706,USA,3977000,1939,384,8.2,1.37
Richard Raymond,31,104,10,507,Tom Cullen,1177,1281,Marama Corlett,0,10,UK,4000000,2014,236,6.0,2.35
Sam Peckinpah,53,152,541,773,James Coburn,5294,2888,Warren Oates,2,67,USA,3800000,1965,575,6.8,2.35
Alan Jacobs,1,92,2,881,Snoop Dogg,257,3229,Nicholas Gonzalez,3,6,USA,,2009,826,7.3,1.85
George Sidney,21,107,24,277,Keenan Wynn,3167,731,Betty Hutton,0,90,USA,3768785,1950,244,7.0,1.37
Christopher Morris,246,97,69,414,Kayvan Novak,55982,1269,Alex Macqueen,0,148,UK,,2010,365,7.3,1.85
Andrucha Waddington,42,115,6,119,Fernanda Montenegro,2650,222,Fernanda Torres,1,35,Brazil,8000000,2005,69,7.5,2.35
Peter Stebbings,78,95,89,963,Michael Kelly,31836,2658,Charlotte Sullivan,0,90,Canada,3500000,2009,654,6.8,2.35
Vincente Minnelli,41,102,136,89,Gladys Cooper,3258,282,Ellen Ross,0,54,USA,3700000,1948,78,7.1,1.37
Dagur Kári,61,99,29,117,Alice Olivia Clarke,3579,298,Stephen Henderson,2,14,Iceland,3800000,2009,64,6.9,2.35
Nicholas Hytner,112,109,13,3000,Dominic Cooper,17770,5977,James Corden,0,172,UK,2000000,2006,796,6.9,1.85
Jaume Collet-Serra,349,113,174,14000,Liam Neeson,210548,17151,Aidan Quinn,3,332,UK,30000000,2011,902,6.9,2.35
,55,25,,443,David Ogden Stiers,36265,2195,Mike Farrell,5,147,USA,,,421,8.4,4.0
John Schlesinger,88,113,154,183,Brenda Vaccaro,76616,465,John McGiver,2,334,USA,3600000,1969,89,7.9,1.85
Peter Cattaneo,122,91,11,1000,Tom Wilkinson,82232,2323,Lesley Sharp,3,174,UK,3500000,1997,891,7.2,1.85
Jim Abrahams,134,88,104,628,Peter Graves,160281,2726,Barbara Billingsley,0,427,USA,3500000,1980,575,7.8,1.85
Kevin Carraway,11,88,2,2000,Michael Jai White,801,2886,Jon Osbeck,3,14,USA,5000000,2015,872,3.5,1.33
F. Gary Gray,20,97,473,826,Nia Long,74626,3455,Tony Cox,1,157,USA,3500000,1995,723,7.3,1.85
Albert Hughes,28,97,117,851,Jada Pinkett Smith,39508,3036,Khandi Alexander,2,96,USA,3500000,1993,582,7.5,1.85
,22,42,,912,Ta'Rhonda Jones,27418,4337,Malik Yoba,2,92,USA,,,906,7.8,16.0
Michael Gornick,95,85,10,3000,George Kennedy,15956,3617,Dorothy Lamour,0,118,USA,3500000,1987,273,6.0,1.85
Sam Peckinpah,31,121,541,575,Slim Pickens,6350,1970,L.Q. Jones,2,62,USA,3716946,1970,372,7.3,1.85
Richard Brooks,79,134,174,255,John Forsythe,19026,970,Will Geer,1,128,USA,3500000,1967,220,8.0,2.35
Fred Zinnemann,25,149,160,157,Colleen Dewhurst,7071,646,Beatrice Straight,0,83,USA,3500000,1959,139,7.6,1.78
Jack Smight,22,121,22,606,Janet Leigh,5941,2402,Shelley Winters,1,74,USA,3500000,1966,481,7.0,2.35
Alfred Hitchcock,110,116,13000,195,Bernard Cribbins,30982,771,Clive Swift,0,199,UK,2000000,1972,146,7.5,1.85
Robert Eggers,425,92,22,648,Julian Richings,66483,1122,Ralph Ineson,0,452,USA,3500000,2015,191,6.8,1.66
Michael Martin,19,93,0,625,Joe Estevez,1721,987,Anthony Johnson,2,38,USA,3500000,1998,118,3.9,1.85
Edward Burns,43,96,0,385,John Mahoney,13949,995,Michael McGlone,2,98,USA,3500000,1996,356,6.1,1.85
