director_name,director_facebook_likes,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,facenumber_in_poster,country,actor_2_facebook_likes,imdb_score,movie_facebook_likes
Josef Rusnak,9,363,Craig Bierko,599,0,Germany,380,7.0,0
Lance Rivera,3,578,Vincent Pastore,1000,1,USA,584,3.6,177
Ronald Neame,38,316,Karl Malden,940,7,USA,416,4.9,392
Bruce Paltrow,28,215,Marian Seldes,555,0,USA,403,6.0,573
Woody Allen,11000,642,Debra Messing,11000,0,USA,650,6.6,762
Adam Rifkin,89,322,Lin Shaye,1000,0,USA,852,6.8,0
Russell Mulcahy,85,186,Jon Polito,1000,1,UK,309,7.2,0
Susanne Bier,369,295,Omar Benson Miller,1000,1,USA,418,7.2,0
Kenneth Johnson,34,465,Annabeth Gish,503,1,USA,489,2.8,0
James Gray,115,310,Dagmara Dominczyk,10000,3,USA,316,6.6,0
James Ivory,133,258,Natasha Richardson,898,0,UK,708,6.7,356
Danny Boyle,0,888,Spencer Wilding,3000,0,UK,1000,7.0,23000
Jessy Terrero,29,618,Snoop Dogg,939,9,USA,881,4.4,0
Dany Boon,172,27,Kad Merad,172,2,France,55,7.1,3000
Vicente Amorim,6,227,Jodie Whittaker,10000,1,UK,304,6.2,921
Gaspar Noé,929,116,Emily Alyn Lind,488,0,France,289,7.3,23000
Amy Heckerling,143,613,Justin Kirk,1000,2,USA,945,5.1,0
Lasse Hallström,529,805,Sarah Roemer,1000,0,USA,884,8.1,115000
Jérôme Salle,22,44,Tanya van Graan,5000,0,France,170,6.7,0
Tommy Lee Jones,0,567,Tim Blake Nelson,883,1,USA,596,6.6,0
Jesse Vaughan,10,574,Jenifer Lewis,890,3,USA,578,4.5,939
,,15,Trond Fausa,422,0,Norway,57,8.1,16000
Atom Egoyan,460,125,Marie-Josée Croze,232,1,Canada,150,6.6,824
William Bindley,4,518,Jake Lloyd,844,0,USA,626,6.5,282
Wayne Beach,7,922,LL Cool J,1000,0,USA,1000,5.9,191
Gérard Krawczyk,7,17,Ryôko Hirosue,235,1,France,46,6.6,0
James Gunn,571,102,Gregg Henry,499,0,Canada,298,6.5,0
Martin Brest,102,383,Ronny Cox,901,1,USA,605,7.3,0
Chris Columbus,0,925,Devin Ratray,3000,5,USA,1000,7.5,20000
Leonard Nimoy,12000,801,Ted Danson,19000,4,USA,875,5.9,3000
Sydney Pollack,521,481,Sydney Pollack,13000,1,USA,521,7.4,0
Tony Scott,12000,555,Tom Skerritt,10000,2,USA,1000,6.9,19000
Ang Lee,0,5,Pei-Pei Cheng,103,3,Taiwan,21,7.9,0
Sam Mendes,0,158,Peter Gallagher,18000,0,USA,828,8.4,22000
Tom Hooper,0,520,Jennifer Ehle,14000,0,UK,1000,8.0,64000
Ivan Reitman,425,247,Tony Jay,742,1,USA,384,6.0,0
,,260,Bobby Campo,460,0,USA,292,7.3,0
Udayan Prasad,4,882,Eddie Redmayne,17000,1,USA,13000,6.8,1000
Steven Spielberg,14000,271,Rae Dawn Chong,852,0,USA,581,7.8,6000
JK Youn,2,13,Ji-won Ha,94,2,South Korea,80,5.7,558
Timur Bekmambetov,335,635,Ayelet Zurer,11000,2,USA,744,6.1,0
Morten Tyldum,77,305,Rory Kinnear,19000,1,UK,393,8.1,165000
Howard Zieff,6,271,Albert Brooks,1000,1,USA,745,6.1,855
Michael Apted,150,572,Beverly D'Angelo,874,0,USA,816,7.5,0
Thor Freudenthal,87,569,Zachary Gordon,17000,1,USA,975,6.2,0
Andrés Muschietti,127,250,Megan Charpentier,1000,1,Canada,340,6.2,57000
John Carpenter,0,598,Donald Pleasence,2000,0,USA,742,7.9,12000
Harold Ramis,11000,624,Randy Quaid,816,1,USA,695,7.4,0
Jeff Tremaine,79,27,Georgina Cates,925,0,USA,38,6.6,26000
Stephen Frears,350,39,Sylvia Syms,326,0,UK,48,7.3,0
Tim Burton,13000,217,Jeffrey Jones,925,3,USA,692,7.5,15000
Tyler Perry,0,607,Tasha Smith,2000,8,USA,721,5.6,1000
Gillian Armstrong,44,902,Kirsten Dunst,23000,4,USA,4000,7.3,0
James Watkins,43,259,Roger Allam,11000,0,UK,326,6.4,29000
Simon West,165,383,Tessa Thompson,1000,0,USA,431,5.0,0
Shawn Levy,189,799,Donald Faison,934,1,USA,927,5.4,896
Michael Cimino,517,652,Meryl Streep,22000,2,UK,11000,8.2,11000
Barry Levinson,272,957,Kirsten Dunst,22000,0,USA,4000,7.1,12000
