num_critic_for_reviews,duration,actor_3_facebook_likes,actor_1_facebook_likes,gross,actor_1_name,num_voted_users,facenumber_in_poster,plot_keywords,movie_imdb_link,language,country,title_year,actor_2_facebook_likes,imdb_score,movie_facebook_likes
318,106,482,852,83574831,Lin Shaye,109214,0,barricading a door|injection in leg|police detective|supernatural|taser,http://www.imdb.com/title/tt2226417/?ref_=fn_tt_tt_1,English,USA,2013,618,6.6,35000
250,95,651,1000,87025093,Emmanuelle Vaugier,188679,0,death|detective|nerve gas|serial killer|trap,http://www.imdb.com/title/tt0432348/?ref_=fn_tt_tt_1,English,USA,2005,654,6.6,0
411,104,82,14000,71897215,Bradley Cooper,126893,0,alien|bunker|car crash|kidnapping|minimal cast,http://www.imdb.com/title/tt1179933/?ref_=fn_tt_tt_1,English,USA,2016,338,7.3,33000
106,87,218,608,64267897,Bam Margera,67992,0,alligator|golf|japan|panda|stunt,http://www.imdb.com/title/tt0322802/?ref_=fn_tt_tt_1,English,USA,2002,362,6.6,0
159,81,300,2000,56536016,Billy Burke,13523,0,based on short film|reference to avenged sevenfold|reference to slayer|switching lights on and off|two word title,http://www.imdb.com/title/tt4786282/?ref_=fn_tt_tt_1,English,USA,2016,509,6.9,0
251,94,434,581,104007828,Johanna Braddy,76828,0,animate object|imaginary friend|reference to macgyver|whispering|woman wearing only a man's shirt,http://www.imdb.com/title/tt1778304/?ref_=fn_tt_tt_1,English,USA,2011,438,5.8,24000
183,89,704,852,50820940,Lin Shaye,31915,0,death of girlfriend|funeral|ghost|ouija|spirit,http://www.imdb.com/title/tt1204977/?ref_=fn_tt_tt_1,English,USA,2014,707,4.4,18000
131,88,150,506,44793200,John Saxon,49820,0,dream|freddy krueger|killer|nightmare|springwood ohio,http://www.imdb.com/title/tt0093629/?ref_=fn_tt_tt_1,English,USA,1987,449,6.6,0
297,108,458,1000,43771291,Busy Philipps,79916,1,compulsive liar|fired from a job|gift|rape|substance abuse,http://www.imdb.com/title/tt4178092/?ref_=fn_tt_tt_1,English,USA,2015,562,7.1,15000
41,115,83,399,44456509,Eugenio Derbez,22105,1,father daughter relationship,http://www.imdb.com/title/tt2378281/?ref_=fn_tt_tt_1,Spanish,Mexico,2013,89,7.6,14000
248,96,113,235,53884821,Matt Shively,51204,0,boy in a bathtub|demon|laptop computer|pulled underwater|walking in the dark,http://www.imdb.com/title/tt2109184/?ref_=fn_tt_tt_1,English,USA,2012,119,4.6,26000
42,135,275,726,36000000,Richard Burton,6359,1,box office hit|crucifixion|nightmare|palestine|robe,http://www.imdb.com/title/tt0046247/?ref_=fn_tt_tt_1,English,USA,1953,422,6.8,0
33,113,80,462,,Burt Kwouk,19596,0,clouseau|diamond|panther|pink|pink panther,http://www.imdb.com/title/tt0072081/?ref_=fn_tt_tt_1,English,UK,1975,278,7.1,620
91,93,581,40000,34872293,Johnny Depp,30765,0,dark comedy|dream|freddy krueger|nightmare|serial murder,http://www.imdb.com/title/tt0101917/?ref_=fn_tt_tt_1,English,USA,1991,618,4.9,963
185,109,592,9000,34468224,Charlize Theron,105568,2,beach|female criminal|hooker|lesbian|prostitute,http://www.imdb.com/title/tt0340855/?ref_=fn_tt_tt_1,English,USA,2003,844,7.3,0
69,127,51,617,,James Mason,22123,0,captain|expedition|sea|submarine|whale,http://www.imdb.com/title/tt0046672/?ref_=fn_tt_tt_1,English,USA,1954,53,7.2,0
220,101,332,510,32453345,Richard Cabral,31791,0,apartment|blood|demonic possession|neighbor|pentagram,http://www.imdb.com/title/tt2473682/?ref_=fn_tt_tt_1,English,USA,2014,358,5.0,10000
117,124,452,12000,,Anthony Hopkins,161972,1,curiosity|exploitation|freak|hospital|physical deformity,http://www.imdb.com/title/tt0080678/?ref_=fn_tt_tt_1,English,USA,1980,754,8.2,9000
471,117,896,11000,27296514,Matthew McConaughey,326494,0,drugs|fda|gay community|hiv|homophobia,http://www.imdb.com/title/tt0790636/?ref_=fn_tt_tt_1,English,USA,2013,3000,8.0,65000
152,83,801,10000,25799043,Olivia Wilde,28513,0,electrocuted|experiment|hell|serum|university,http://www.imdb.com/title/tt2918436/?ref_=fn_tt_tt_1,English,USA,2015,830,5.2,0
274,113,379,716,25530884,Callum Rennie,845580,0,flashback|memory|murder|short term memory|telephone,http://www.imdb.com/title/tt0209144/?ref_=fn_tt_tt_1,English,USA,2000,651,8.5,40000
336,104,202,972,27689474,James Lafferty,85688,0,home office|mirror|released from a mental hospital|trauma|video camera,http://www.imdb.com/title/tt2388715/?ref_=fn_tt_tt_1,English,USA,2013,407,6.5,23000
174,97,657,1000,24138847,Ethan Suplee,114797,3,fast food|fast food restaurant|new jersey|quick stop|restaurant,http://www.imdb.com/title/tt0424345/?ref_=fn_tt_tt_1,English,USA,2006,898,7.4,0
151,110,34,838,21994911,Julie Walters,98354,0,audition|ballet|boxing|miner|miners strike,http://www.imdb.com/title/tt0249462/?ref_=fn_tt_tt_1,English,UK,2000,203,7.7,0
276,103,424,7000,21501098,Steve Carell,115813,1,awkward boy|shy kid|summer|vacation|water park,http://www.imdb.com/title/tt1727388/?ref_=fn_tt_tt_1,English,USA,2013,468,7.4,22000
12,94,287,901,19281235,William Schallert,3571,0,college|misogyny|money|new friend|party,http://www.imdb.com/title/tt0102065/?ref_=fn_tt_tt_1,English,USA,1991,413,5.1,232
18,102,75,492,,Tony Bonner,5894,0,australia|brumby|ranch|stallion|twin,http://www.imdb.com/title/tt0084296/?ref_=fn_tt_tt_1,English,Australia,1982,155,7.3,0
28,77,73,2000,19421271,Frank Welker,2448,1,dance|friend|monster|reference to batman|valentine,http://www.imdb.com/title/tt0187819/?ref_=fn_tt_tt_1,English,USA,1999,804,5.0,122
95,134,77,205,20733485,John Beasley,11622,1,church|louisiana|minister|preacher|texas,http://www.imdb.com/title/tt0118632/?ref_=fn_tt_tt_1,English,USA,1997,130,7.2,1000
74,129,157,977,,Faye Dunaway,10564,1,abusive mother|adopted daughter|borderline personality disorder|perfection|sadistic cruelty,http://www.imdb.com/title/tt0082766/?ref_=fn_tt_tt_1,English,USA,1981,485,6.7,0
179,90,1000,11000,24809547,Zooey Deschanel,74875,1,art model|farmer|jail|nude model|three sisters,http://www.imdb.com/title/tt1637706/?ref_=fn_tt_tt_1,English,USA,2011,3000,6.4,11000
125,134,388,882,19097994,William Hurt,11744,0,1930s|athlete|nazi germany|olympics|track and field,http://www.imdb.com/title/tt3499096/?ref_=fn_tt_tt_1,English,Canada,2016,845,7.1,0
22,104,498,1000,23031390,Bernie Mac,4345,9,catfight|dominatrix|rape|spanking|stripper,http://www.imdb.com/title/tt0119905/?ref_=fn_tt_tt_1,English,USA,1998,597,5.6,575
92,95,697,1000,16017403,Mekhi Phifer,17333,2,basketball|basketball player|boarding school|love|shakespeare's othello,http://www.imdb.com/title/tt0184791/?ref_=fn_tt_tt_1,English,USA,2001,835,6.2,0
196,93,161,1000,21197315,Ben Feldman,49948,0,archeologist|catacomb|found footage|paris france|philosopher's stone,http://www.imdb.com/title/tt2870612/?ref_=fn_tt_tt_1,English,USA,2014,200,6.1,14000
9,106,467,1000,17382982,Boris Kodjoe,5975,0,adultery|attraction|lust|obsession|temptation,http://www.imdb.com/title/tt2205401/?ref_=fn_tt_tt_1,Spanish,USA,2014,694,5.2,0
31,109,426,2000,14821531,Jurnee Smollett-Bell,6915,2,doctor|louisiana|secret|title directed by female|witchcraft,http://www.imdb.com/title/tt0119080/?ref_=fn_tt_tt_1,English,USA,1997,434,7.3,599
