director_facebook_likes,actor_3_facebook_likes,actor_1_facebook_likes,gross,num_voted_users,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,plot_keywords,movie_imdb_link,country,content_rating,actor_2_facebook_likes,aspect_ratio
13,600,3000,296665,12675,5185,Marilyn Manson,1,drug dealer|drugs|gay|homosexual|party,http://www.imdb.com/title/tt0320244/?ref_=fn_tt_tt_1,USA,R,971,1.85
57,233,727,3219029,28845,1836,Joe Cole,0,murder|neo nazi|punk band|skinhead|suspense,http://www.imdb.com/title/tt4062536/?ref_=fn_tt_tt_1,USA,R,442,2.35
0,276,740,,5494,1665,Winter Ave Zoli,0,marriage|orgasm|school|sex|swimming,http://www.imdb.com/title/tt0422861/?ref_=fn_tt_tt_1,USA,R,625,2.35
0,361,578,830210,1900,3382,Kristoffer Polaha,0,box office flop|critically bashed|economy|individual versus society|rescue,http://www.imdb.com/title/tt2800038/?ref_=fn_tt_tt_1,USA,PG-13,435,
0,65,387,1040879,54478,648,Lumi Cavazos,0,caper|escapade|motel|robbery|texas,http://www.imdb.com/title/tt0115734/?ref_=fn_tt_tt_1,USA,R,96,1.85
18000,977,10000,326308,6632,13718,Faye Dunaway,3,bar|box office flop|hostage|new orleans louisiana|police,http://www.imdb.com/title/tt0115495/?ref_=fn_tt_tt_1,USA,R,1000,2.35
0,14,75,240425,1311,172,Darshan Jariwala,0,africa|hindu|india|muslim|south africa,http://www.imdb.com/title/tt0459293/?ref_=fn_tt_tt_1,India,,45,2.35
239,0,6,228830,3329,6,Ken Davis,0,abu ghraib|abuse|prison|slow motion|torture,http://www.imdb.com/title/tt0896866/?ref_=fn_tt_tt_1,USA,R,0,2.35
0,51,311,,1599,498,Jim Byrnes,1,explosion|hitchhiking|punk|trauma|truck driver,http://www.imdb.com/title/tt0081291/?ref_=fn_tt_tt_1,Canada,R,59,1.85
27,440,948,223615,127842,2958,Chelan Simmons,1,cabin|chainsaw|college kid|hillbilly|vacation,http://www.imdb.com/title/tt1465522/?ref_=fn_tt_tt_1,Canada,R,779,2.35
6,940,3000,124720,1560,4987,Martin Landau,0,christmas|fable|old man,http://www.imdb.com/title/tt1150947/?ref_=fn_tt_tt_1,USA,PG,1000,1.85
5,100,197,,989,538,Laraine Day,1,engineer|ethics|mountain|railroad|south america,http://www.imdb.com/title/tt0039927/?ref_=fn_tt_tt_1,USA,Approved,116,1.37
204,697,1000,99147,1884,3207,Sara Gilbert,3,cola|desert|ice cream cone|teenage girl|vomiting,http://www.imdb.com/title/tt0126261/?ref_=fn_tt_tt_1,USA,R,697,1.85
3,383,889,,4041,2984,Corey Sevier,0,breasts|campus|college|tentacle|virginity,http://www.imdb.com/title/tt0357585/?ref_=fn_tt_tt_1,Canada,R,680,1.85
0,99,432,65069140,65299,1010,Olivia DeJonge,,farm|handheld camera|impostor|rap|rock paper scissors,http://www.imdb.com/title/tt3567288/?ref_=fn_tt_tt_1,USA,PG-13,309,1.85
0,15,343,65087,8824,408,Kel O'Neill,0,blood splatter|iraq|murder|rape|soldier,http://www.imdb.com/title/tt0937237/?ref_=fn_tt_tt_1,USA,R,29,1.85
34,227,811,16066,1207,1789,Alice Evans,0,death|love|marriage|secret|suspicion,http://www.imdb.com/title/tt0305632/?ref_=fn_tt_tt_1,Germany,R,522,2.35
,904,1000,,3852,5203,Bokeem Woodbine,1,catholic|death row|inmate|oklahoma city|sexual promiscuity,http://www.imdb.com/title/tt0830900/?ref_=fn_tt_tt_1,USA,TV-MA,1000,1.78
110,14,46,,7888,117,Jelena Nik,0,alien|alien abduction|conspiracy|secret base|ufo,http://www.imdb.com/title/tt1519461/?ref_=fn_tt_tt_1,USA,R,21,
57,78,331,,23756,526,Marta Etura,0,apartment|concierge|girl|hitchcockian|stalking,http://www.imdb.com/title/tt1437358/?ref_=fn_tt_tt_1,Spain,Not Rated,93,2.35
46,141,570,,10056,1258,Georgia Groome,0,countryside|deformed|farmer|gangster|kidnapping,http://www.imdb.com/title/tt0465430/?ref_=fn_tt_tt_1,UK,Unrated,337,2.35
65,686,866,,10734,3724,Shenae Grimes-Beech,1,african american policeman|police|policeman|policewoman|vomiting,http://www.imdb.com/title/tt1079444/?ref_=fn_tt_tt_1,USA,R,738,1.78
799,854,3000,,4322,10727,Jim Belushi,0,flatulence|march|penguin|south pole|spoof,http://www.imdb.com/title/tt0488539/?ref_=fn_tt_tt_1,USA,R,2000,1.85
0,483,695,,215,3217,Katie Leclerc,6,,http://www.imdb.com/title/tt1131732/?ref_=fn_tt_tt_1,USA,PG-13,617,
,816,1000,,67315,4092,Timothy Omundson,2,best friend|friend|police|police department|psychic,http://www.imdb.com/title/tt0491738/?ref_=fn_tt_tt_1,USA,TV-PG,922,1.78
0,394,745,37440,12672,1986,David Adam Flannery,1,demo tape|directed by cast member|grieving father|guitar|guitar player,http://www.imdb.com/title/tt1798243/?ref_=fn_tt_tt_1,USA,R,508,
0,388,979,,83,2509,Danny Aiello,2,bare butt|baseball|children|new york yankees|surrealism,http://www.imdb.com/title/tt1460798/?ref_=fn_tt_tt_1,USA,PG,732,
7,541,989,,1091,3514,Cheryl Hines,7,,http://www.imdb.com/title/tt3703148/?ref_=fn_tt_tt_1,USA,PG,970,
49,601,708,,216,3059,Nicholas Gonzalez,1,abduction|based on true story|mexico,http://www.imdb.com/title/tt2063015/?ref_=fn_tt_tt_1,USA,TV-PG,699,1.78
261,179,12000,,6964,12676,Tomiwa Edun,1,cia|individualism|mental illness|religion|revenge,http://www.imdb.com/title/tt1274586/?ref_=fn_tt_tt_1,Bahamas,R,316,2.35
3,126,1000,,237,1681,Lisa Kay,3,fight|mina|murder|revenge|terrorist,http://www.imdb.com/title/tt1554921/?ref_=fn_tt_tt_1,UK,R,266,
0,826,1000,,15988,5191,Hal Holbrook,0,astronaut|hoax|journalist|mission|nasa,http://www.imdb.com/title/tt0077294/?ref_=fn_tt_tt_1,USA,PG,849,2.35
3,723,975,,38,4991,Costas Mandylor,15,,http://www.imdb.com/title/tt1717210/?ref_=fn_tt_tt_1,USA,,900,
14,668,784,,8,3021,Martin Kove,2,,http://www.imdb.com/title/tt4453560/?ref_=fn_tt_tt_1,USA,,763,
0,1000,40000,,849,46115,Natasha Lyonne,7,part of trilogy|second part,http://www.imdb.com/title/tt3838992/?ref_=fn_tt_tt_1,USA,PG-13,3000,
20,538,741,,928,2849,Ed Quinn,1,building|infection|navy seal|shot through the head|zombie,http://www.imdb.com/title/tt4511566/?ref_=fn_tt_tt_1,USA,,615,
44,4,61,617228,6183,92,Milan Lasica,1,hotel|legs|lingerie|waiter|wealth,http://www.imdb.com/title/tt0284363/?ref_=fn_tt_tt_1,Czech Republic,R,12,1.85
766,269,595,274385,29203,1519,Birol Ünel,3,2000s|burglar|chef|cook|restaurant,http://www.imdb.com/title/tt1244668/?ref_=fn_tt_tt_1,Germany,,486,1.85
0,263,3000,24475416,72443,3967,J.T. Walsh,0,friend|mental institution|murder|repair shop|small town,http://www.imdb.com/title/tt0117666/?ref_=fn_tt_tt_1,USA,R,324,1.85
58,537,874,,46347,2363,Joseph Mawle,1,boarding school|boy|british horror|ghost|school,http://www.imdb.com/title/tt1687901/?ref_=fn_tt_tt_1,UK,R,579,2.35
0,581,1000,47277326,138814,2990,Rick Hoffman,0,bratislava|hostel|sadistic horror|torture|travel,http://www.imdb.com/title/tt0450278/?ref_=fn_tt_tt_1,USA,R,1000,2.35
187,427,1000,1247453,11202,3690,Dylan Moran,0,actor playing himself|battle|boots|penis|womb,http://www.imdb.com/title/tt0423409/?ref_=fn_tt_tt_1,UK,R,887,2.35
337,41,982,1729969,68211,1520,Robert Longstreet,0,ambiguous ending|firefly|mysterious event|schizophrenia|storm,http://www.imdb.com/title/tt1675192/?ref_=fn_tt_tt_1,USA,R,463,2.35
7,339,968,1705139,4695,2545,Katherine Helmond,0,1960s|boy|ghost|murder|small town,http://www.imdb.com/title/tt0095484/?ref_=fn_tt_tt_1,USA,R,733,1.85
