num_critic_for_reviews,gross,genres,actor_1_name,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,title_year,actor_2_facebook_likes,movie_facebook_likes
173,176781728,Action|Drama|Romance,Tom Cruise,13069,Adrian Pasdar,2,1986,1000,19000
287,128067808,Action|Drama|Romance,Chen Chang,129,Sihung Lung,3,2000,21,0
176,130058047,Drama,Kevin Spacey,19078,Ara Celi,0,1999,828,22000
479,138795342,Biography|Drama|History|Romance,Colin Firth,15732,Derek Jacobi,0,2010,1000,64000
27,111936400,Comedy|Crime,Kelly Preston,2151,Hugh O'Brian,1,1988,384,0
20,,Crime|Drama|Horror|Mystery|Thriller,Bex Taylor-Klaus,2380,Jason Wiles,0,,292,0
60,317040,Drama|Romance,Kristen Stewart,30978,William Hurt,1,2008,13000,1000
70,94175854,Drama,Oprah Winfrey,2592,Dana Ivey,0,1985,581,6000
43,,Action|Comedy|Drama|Thriller,Nicole Dionne,213,Kyung-gu Sol,2,2009,80,558
1,,Adventure|Drama|History,Morgan Freeman,13390,Moises Arias,2,2016,744,0
454,91121452,Biography|Drama|Thriller|War,Benedict Cumberbatch,20295,Allen Leech,1,2014,393,165000
25,69800000,Comedy|War,Eileen Brennan,2419,Alan Oppenheimer,1,1980,745,855
46,79900000,Biography|Drama|Music|Musical,Sissy Spacek,2667,Levon Helm,0,1980,816,0
111,64001297,Comedy|Family,Chloë Grace Moretz,20154,Rachael Harris,1,2010,975,0
393,71588220,Fantasy|Horror,Javier Botet,1949,Isabelle Nélisse,1,2013,340,57000
318,47000000,Horror|Thriller,Jamie Lee Curtis,4400,P.J. Soles,0,1978,742,12000
55,61400000,Adventure|Comedy,Beverly D'Angelo,3617,Jane Krakowski,1,1983,695,0
157,101978840,Comedy,Jackson Nicoll,1018,Grasie Mercedes,0,2013,38,26000
280,56437947,Biography|Drama,Roger Allam,486,Alex Jennings,0,2006,48,0
109,73326666,Comedy|Fantasy,Catherine O'Hara,1953,Glenn Shadix,3,1988,692,15000
41,55184721,Comedy|Drama,Michael Jai White,6510,Lamman Rucker,8,2007,721,1000
27,50003300,Drama|Family|Romance,Christian Bale,29370,Eric Stoltz,4,1994,4000,0
462,54322273,Drama|Fantasy|Horror|Thriller,Daniel Radcliffe,11946,Jessica Raine,0,2012,326,29000
152,47860214,Horror|Thriller,Madeline Carroll,2452,Brian Geraghty,0,2006,431,0
69,47811275,Adventure|Comedy|Family,Frankie Muniz,3707,Lee Majors,1,2002,927,896
140,,Drama|War,Robert De Niro,34025,John Savage,2,1978,11000,11000
130,43022524,Comedy|Drama,Robert De Niro,29252,John Michael Higgins,0,1997,4000,12000
66,42672630,Adventure|Comedy|Family|Music|Romance,Clayton Snyder,3423,Alex Borstein,1,2003,738,0
238,42919096,Action|Drama|Thriller,Dwayne Johnson,15800,Nadine Velazquez,1,2013,1000,12000
198,42592530,Comedy|Fantasy|Horror,Adam Scott,4567,Allison Tolman,0,2015,658,27000
154,40064955,Horror|Mystery|Sci-Fi,Jordana Brewster,12170,Clea DuVall,1,1998,4000,0
19,39100956,Biography|Drama|Music,Rae'Ven Kelly,114,Dororthy Thorton,0,1993,22,0
131,44886089,Crime|Drama|Thriller,Robert De Niro,40117,Janeane Garofalo,3,1997,13000,2000
97,37882551,Comedy,Chris Evans,15369,Mia Kirshner,0,2001,983,0
355,40983001,Crime|Drama|Thriller,Jake Gyllenhaal,27788,America Ferrera,2,2012,10000,38000
138,20991497,Comedy|Drama|Romance,Emma Stone,44037,Bill Murray,1,2015,14000,11000
102,35007180,Action|Crime|Drama|Thriller,Paul Walker,26652,William Petersen,0,2000,1000,0
419,35887263,Biography|Drama|Romance,Eddie Redmayne,14100,Simon McBurney,0,2014,876,90000
37,34308901,Comedy|Crime,Greg Grunberg,4435,Blair Underwood,3,2003,807,0
78,33771174,Comedy|Drama|Romance,Natalie Portman,22383,Stockard Channing,2,2000,1000,0
