num_critic_for_reviews,duration,director_facebook_likes,gross,movie_title,num_voted_users,cast_total_facebook_likes,movie_imdb_link,budget,imdb_score,aspect_ratio
287,96,83,51774002,Ghost Rider: Spirit of Vengeance ,87745,16121,http://www.imdb.com/title/tt1071875/?ref_=fn_tt_tt_1,57000000,4.3,2.35
96,131,108,25528495,Captain Corelli's Mandolin ,28099,23325,http://www.imdb.com/title/tt0238112/?ref_=fn_tt_tt_1,57000000,5.9,2.35
26,22,,,Anger Management             ,26992,4115,http://www.imdb.com/title/tt1986770/?ref_=fn_tt_tt_1,,6.7,16.0
125,95,163,113006880,The Pacifier ,66308,16884,http://www.imdb.com/title/tt0395699/?ref_=fn_tt_tt_1,56000000,5.5,2.35
117,86,10,45860039,Walking Tall ,53118,14146,http://www.imdb.com/title/tt0351977/?ref_=fn_tt_tt_1,56000000,6.2,2.35
149,142,0,329691196,Forrest Gump ,1251222,15700,http://www.imdb.com/title/tt0109830/?ref_=fn_tt_tt_1,55000000,8.8,2.35
131,92,25,217326336,Alvin and the Chipmunks ,57276,2847,http://www.imdb.com/title/tt0952640/?ref_=fn_tt_tt_1,60000000,5.2,1.85
150,108,116,166225040,Meet the Parents ,260442,24286,http://www.imdb.com/title/tt0212338/?ref_=fn_tt_tt_1,55000000,7.0,1.85
92,84,12,141600000,Pocahontas ,119675,26754,http://www.imdb.com/title/tt0114148/?ref_=fn_tt_tt_1,55000000,6.6,1.78
169,188,503,134218018,Superman ,126357,12940,http://www.imdb.com/title/tt0078346/?ref_=fn_tt_tt_1,55000000,7.3,2.35
57,95,293,128769345,The Nutty Professor ,86556,3155,http://www.imdb.com/title/tt0117218/?ref_=fn_tt_tt_1,54000000,5.6,1.85
171,118,72,177575142,Hitch ,244840,13426,http://www.imdb.com/title/tt0386588/?ref_=fn_tt_tt_1,70000000,6.6,2.35
53,92,39,105263257,George of the Jungle ,56168,4518,http://www.imdb.com/title/tt0119190/?ref_=fn_tt_tt_1,55000000,5.4,1.85
153,74,58,104354205,American Wedding ,162331,5713,http://www.imdb.com/title/tt0328828/?ref_=fn_tt_tt_1,55000000,6.3,2.35
491,134,521,107100855,Captain Phillips ,323353,16281,http://www.imdb.com/title/tt1535109/?ref_=fn_tt_tt_1,55000000,7.9,2.35
247,101,189,98711404,Date Night ,127571,39822,http://www.imdb.com/title/tt1279935/?ref_=fn_tt_tt_1,55000000,6.3,2.35
26,100,52,100328194,Casper ,85903,2638,http://www.imdb.com/title/tt0112642/?ref_=fn_tt_tt_1,50000000,6.0,1.85
292,132,845,101530738,The Equalizer ,229574,37605,http://www.imdb.com/title/tt0455944/?ref_=fn_tt_tt_1,55000000,7.2,2.35
114,105,61,93815117,Maid in Manhattan ,68417,7184,http://www.imdb.com/title/tt0252076/?ref_=fn_tt_tt_1,55000000,5.1,2.35
82,123,12000,91400000,Crimson Tide ,81026,30132,http://www.imdb.com/title/tt0112740/?ref_=fn_tt_tt_1,53000000,7.3,2.35
201,117,125,162586036,The Pursuit of Happyness ,338383,11036,http://www.imdb.com/title/tt0454921/?ref_=fn_tt_tt_1,55000000,8.0,2.35
231,98,124,89706988,Flightplan ,126746,2287,http://www.imdb.com/title/tt0408790/?ref_=fn_tt_tt_1,55000000,6.2,2.35
55,128,272,83000000,Disclosure ,36587,3888,http://www.imdb.com/title/tt0109635/?ref_=fn_tt_tt_1,55000000,6.0,2.35
110,114,52,78745923,City of Angels ,94407,13905,http://www.imdb.com/title/tt0120632/?ref_=fn_tt_tt_1,55000000,6.7,2.35
354,111,16000,70098138,Kill Bill: Vol. 1 ,735784,3983,http://www.imdb.com/title/tt0266697/?ref_=fn_tt_tt_1,30000000,8.1,2.35
140,85,0,66365290,Bowfinger ,56874,22458,http://www.imdb.com/title/tt0131325/?ref_=fn_tt_tt_1,55000000,6.4,1.37
77,44,,,Stargate SG-1             ,63982,1359,http://www.imdb.com/title/tt0118480/?ref_=fn_tt_tt_1,1400000,8.4,1.33
304,137,16000,66207920,Kill Bill: Vol. 2 ,512749,1959,http://www.imdb.com/title/tt0378194/?ref_=fn_tt_tt_1,30000000,8.0,2.35
45,97,96,63408614,Tango & Cash ,75365,14432,http://www.imdb.com/title/tt0098439/?ref_=fn_tt_tt_1,55000000,6.3,2.35
49,104,0,58422650,Death Becomes Her ,78974,25599,http://www.imdb.com/title/tt0104070/?ref_=fn_tt_tt_1,55000000,6.4,1.85
146,110,9,56932305,Shanghai Noon ,96690,939,http://www.imdb.com/title/tt0184894/?ref_=fn_tt_tt_1,55000000,6.6,2.35
60,133,53,68750000,Executive Decision ,40858,2916,http://www.imdb.com/title/tt0116253/?ref_=fn_tt_tt_1,55000000,6.4,2.35
189,94,70,68218041,Mr. Popper's Penguins ,67191,2820,http://www.imdb.com/title/tt1396218/?ref_=fn_tt_tt_1,55000000,6.0,1.85
206,104,50,25040293,The Forbidden Kingdom ,88049,7247,http://www.imdb.com/title/tt0865556/?ref_=fn_tt_tt_1,55000000,6.6,2.35
118,91,39,55747724,Free Birds ,18042,3104,http://www.imdb.com/title/tt1621039/?ref_=fn_tt_tt_1,55000000,5.9,1.85
210,145,21000,55473600,Alien 3 ,207686,1543,http://www.imdb.com/title/tt0103644/?ref_=fn_tt_tt_1,50000000,6.4,2.35
76,135,317,49994804,Evita ,29205,164,http://www.imdb.com/title/tt0116250/?ref_=fn_tt_tt_1,55000000,6.3,2.35
149,122,287,41609593,Ronin ,145422,24270,http://www.imdb.com/title/tt0122690/?ref_=fn_tt_tt_1,55000000,7.3,2.35
62,110,81,38553833,The Ghost and the Darkness ,46239,1752,http://www.imdb.com/title/tt0116409/?ref_=fn_tt_tt_1,55000000,6.8,2.35
224,95,17,76137505,Paddington ,49207,3697,http://www.imdb.com/title/tt1109624/?ref_=fn_tt_tt_1,55000000,7.2,2.35
265,102,82,34350553,The Watch ,104066,2488,http://www.imdb.com/title/tt1298649/?ref_=fn_tt_tt_1,68000000,5.7,2.35
135,94,607,34238611,The Hunted ,35830,2248,http://www.imdb.com/title/tt0269347/?ref_=fn_tt_tt_1,55000000,6.0,1.85
100,126,226,34098563,Instinct ,27191,13406,http://www.imdb.com/title/tt0128278/?ref_=fn_tt_tt_1,55000000,6.5,2.35
123,118,101,33828318,Stuck on You ,44453,14036,http://www.imdb.com/title/tt0338466/?ref_=fn_tt_tt_1,55000000,5.8,2.35
164,99,3,33472850,Semi-Pro ,67005,10026,http://www.imdb.com/title/tt0839980/?ref_=fn_tt_tt_1,55000000,5.8,2.35
238,88,91,31051126,The Pirates! Band of Misfits ,36877,6254,http://www.imdb.com/title/tt1430626/?ref_=fn_tt_tt_1,55000000,6.7,2.35
264,141,16000,35707327,Changeling ,199056,12840,http://www.imdb.com/title/tt0824747/?ref_=fn_tt_tt_1,55000000,7.8,2.35
47,107,99,20550712,Chain Reaction ,40346,31014,http://www.imdb.com/title/tt0115857/?ref_=fn_tt_tt_1,50000000,5.6,1.85
50,116,12000,18573791,The Fan ,38533,24618,http://www.imdb.com/title/tt0116277/?ref_=fn_tt_tt_1,55000000,5.8,2.35
