director_name,director_facebook_likes,actor_2_name,actor_1_facebook_likes,actor_1_name,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,movie_imdb_link,num_user_for_reviews,country,movie_facebook_likes
Robert Wise,338,Angela Cartwright,354,Eleanor Parker,1495,Nicholas Hammond,3,http://www.imdb.com/title/tt0059742/?ref_=fn_tt_tt_1,406,USA,15000
Ron Howard,2000,Howard Morris,15000,Tom Hanks,15361,Patrick Cronin,2,http://www.imdb.com/title/tt0088161/?ref_=fn_tt_tt_1,99,USA,0
Jonathan Dayton,36,Steven Christopher Parker,7000,Steve Carell,7227,Jill Talley,1,http://www.imdb.com/title/tt0449059/?ref_=fn_tt_tt_1,889,USA,15000
Rob Reiner,0,Frances Lee McCain,217,Marshall Bell,644,Casey Siemaszko,2,http://www.imdb.com/title/tt0092005/?ref_=fn_tt_tt_1,584,USA,24000
Danny Boyle,0,Megan Burns,133,Noah Huntley,241,David Schneider,0,http://www.imdb.com/title/tt0289043/?ref_=fn_tt_tt_1,1441,UK,11000
Chris Stokes,548,Marques Houston,389,Jennifer Freeman,1792,Steve Harvey,0,http://www.imdb.com/title/tt0365957/?ref_=fn_tt_tt_1,247,USA,0
Don Siegel,152,Patrick McGoohan,16000,Clint Eastwood,17568,Fred Ward,0,http://www.imdb.com/title/tt0079116/?ref_=fn_tt_tt_1,142,USA,0
Rick Famuyiwa,44,Sanaa Lathan,1000,Boris Kodjoe,3199,Wendell Pierce,1,http://www.imdb.com/title/tt0297037/?ref_=fn_tt_tt_1,60,USA,0
Martin Lawrence,0,Lynn Whitfield,585,Faizon Love,3023,Della Reese,2,http://www.imdb.com/title/tt0117891/?ref_=fn_tt_tt_1,14,USA,559
Jonathan Levine,129,Anna Kendrick,23000,Joseph Gordon-Levitt,39807,Bryce Dallas Howard,2,http://www.imdb.com/title/tt1306980/?ref_=fn_tt_tt_1,378,USA,40000
Masayuki Ochiai,5,David Denman,449,James Kyson,1534,Daisy Betts,1,http://www.imdb.com/title/tt0482599/?ref_=fn_tt_tt_1,148,USA,0
George A. Romero,0,Hal Holbrook,875,Ted Danson,2662,Adrienne Barbeau,0,http://www.imdb.com/title/tt0083767/?ref_=fn_tt_tt_1,211,USA,0
Tom Gormican,19,Lola Glaudini,363,Mackenzie Davis,1024,Josh Pais,3,http://www.imdb.com/title/tt1800246/?ref_=fn_tt_tt_1,100,USA,0
Ken Shapiro,2,Dabney Coleman,484,Brian Doyle-Murray,1455,Mary Kay Place,1,http://www.imdb.com/title/tt0082763/?ref_=fn_tt_tt_1,48,USA,495
Justin Tipping,2,Natalie Stephany Aguilar,861,Tina Gilton,1279,Justin Hall,,http://www.imdb.com/title/tt4254584/?ref_=fn_tt_tt_1,6,USA,240
Kenneth Branagh,0,Denzel Washington,18000,Keanu Reeves,37645,Brian Blessed,0,http://www.imdb.com/title/tt0107616/?ref_=fn_tt_tt_1,165,UK,0
Peter R. Hunt,13,George Lazenby,803,Telly Savalas,1769,Desmond Llewelyn,2,http://www.imdb.com/title/tt0064757/?ref_=fn_tt_tt_1,452,UK,0
,,Philip Winchester,666,Nick Wechsler,4043,Jeff Marlow,2,http://www.imdb.com/title/tt4474310/?ref_=fn_tt_tt_1,25,USA,0
Wes Craven,0,Heather Langenkamp,969,Miko Hughes,1775,Tracy Middendorf,0,http://www.imdb.com/title/tt0111686/?ref_=fn_tt_tt_1,271,USA,0
John Schultz,13,Mark Webber,452,Stephen Collins,1760,Keri Lynn Pratt,2,http://www.imdb.com/title/tt0164114/?ref_=fn_tt_tt_1,147,USA,0
Doug Atchison,3,Sean Michael Afable,876,Curtis Armstrong,2832,Tzi Ma,0,http://www.imdb.com/title/tt0437800/?ref_=fn_tt_tt_1,172,USA,0
Tamra Davis,33,Harland Williams,744,Dave Chappelle,2400,Clarence Williams III,0,http://www.imdb.com/title/tt0120693/?ref_=fn_tt_tt_1,164,USA,0
Jonas Elmer,3,Frances Conroy,24000,J.K. Simmons,25792,Harry Connick Jr.,1,http://www.imdb.com/title/tt1095174/?ref_=fn_tt_tt_1,78,USA,0
Stephen Gaghan,79,Amr Waked,13000,Matt Damon,14747,Kayvan Novak,0,http://www.imdb.com/title/tt0365737/?ref_=fn_tt_tt_1,625,USA,0
Mary Harron,126,Justin Theroux,23000,Christian Bale,25462,Samantha Mathis,1,http://www.imdb.com/title/tt0144084/?ref_=fn_tt_tt_1,1061,USA,18000
Miguel Arteta,44,Zooey Deschanel,15000,Jake Gyllenhaal,27646,Tim Blake Nelson,3,http://www.imdb.com/title/tt0279113/?ref_=fn_tt_tt_1,298,USA,938
Erik Canuel,31,Richard Howland,539,Colm Feore,895,Sarain Boylan,2,http://www.imdb.com/title/tt0479647/?ref_=fn_tt_tt_1,90,Canada,758
Troy Duffy,78,Julie Benz,12000,Norman Reedus,17524,Clifton Collins Jr.,0,http://www.imdb.com/title/tt1300851/?ref_=fn_tt_tt_1,188,USA,0
James Ivory,133,Omar Metwally,471,Alexandra Maria Lara,858,Diego Velazquez,1,http://www.imdb.com/title/tt0896923/?ref_=fn_tt_tt_1,25,USA,638
Nicole Holofcener,132,Ben Falcone,434,Christopher Nicholas Smith,1183,Michaela Watkins,2,http://www.imdb.com/title/tt2390361/?ref_=fn_tt_tt_1,142,USA,12000
Will Gluck,87,Dan Byrd,15000,Emma Stone,16982,Fred Armisen,1,http://www.imdb.com/title/tt1282140/?ref_=fn_tt_tt_1,264,USA,19000
Matty Rich,10,Joe Morton,851,Jada Pinkett Smith,3293,Larenz Tate,0,http://www.imdb.com/title/tt0110137/?ref_=fn_tt_tt_1,11,USA,160
E. Elias Merhige,54,Udo Kier,776,Eddie Izzard,1761,Catherine McCormack,1,http://www.imdb.com/title/tt0189998/?ref_=fn_tt_tt_1,339,UK,0
Joe Nussbaum,18,Thomas McDonell,1000,Cameron Monaghan,5190,Aimee Teegarden,0,http://www.imdb.com/title/tt1604171/?ref_=fn_tt_tt_1,32,USA,0
Matt Reeves,198,Michael Rapaport,1000,Mark Margolis,3502,Carol Kane,2,http://www.imdb.com/title/tt0117283/?ref_=fn_tt_tt_1,55,USA,125
Steve Rash,15,Nia Long,883,Barry Corbin,3291,Jake Busey,2,http://www.imdb.com/title/tt0165831/?ref_=fn_tt_tt_1,34,USA,77
Fina Torres,26,John de Lancie,1000,Harold Perrineau,2687,Mark Feuerstein,0,http://www.imdb.com/title/tt0206420/?ref_=fn_tt_tt_1,86,USA,859
James Ivory,133,Vanessa Redgrave,12000,Anthony Hopkins,13180,Samuel West,3,http://www.imdb.com/title/tt0104454/?ref_=fn_tt_tt_1,86,UK,788
,,Joseph Gilgun,3000,Dominic Cooper,6034,Ruth Negga,0,http://www.imdb.com/title/tt5016504/?ref_=fn_tt_tt_1,85,,18000
Duke Johnson,26,Tom Noonan,1000,Jennifer Jason Leigh,1442,David Thewlis,0,http://www.imdb.com/title/tt2401878/?ref_=fn_tt_tt_1,140,USA,0
Mike Leigh,608,Imelda Staunton,1000,Jim Broadbent,2265,Phil Davis,0,http://www.imdb.com/title/tt1431181/?ref_=fn_tt_tt_1,141,UK,0
François Ozon,341,Isabelle Huppert,963,Catherine Deneuve,3543,Emmanuelle Béart,1,http://www.imdb.com/title/tt0283832/?ref_=fn_tt_tt_1,162,France,0
Mark L. Lester,73,Tia Carrere,1000,Cary-Hiroyuki Tagawa,2404,Vernee Watson,2,http://www.imdb.com/title/tt0102915/?ref_=fn_tt_tt_1,102,USA,0
David Dobkin,71,Vince Vieluf,1000,Janeane Garofalo,1795,Kevin Rahm,1,http://www.imdb.com/title/tt0118863/?ref_=fn_tt_tt_1,109,Germany,515
Anna Boden,16,Jeremy Davies,943,Zoë Kravitz,2786,Jim Gaffigan,3,http://www.imdb.com/title/tt0804497/?ref_=fn_tt_tt_1,150,USA,20000
Nigel Cole,13,Robbie Kay,5000,Bob Hoskins,7692,Sally Hawkins,6,http://www.imdb.com/title/tt1371155/?ref_=fn_tt_tt_1,73,UK,0
Anand Tucker,14,Jim Broadbent,14000,Colin Firth,15848,Gina McKee,2,http://www.imdb.com/title/tt0829098/?ref_=fn_tt_tt_1,34,UK,429
Steve James,23,Laurel Holloman,1000,Kurtwood Smith,1610,Amy Locane,2,http://www.imdb.com/title/tt0119937/?ref_=fn_tt_tt_1,37,USA,0
Michael Winner,136,Marina Sirtis,977,Faye Dunaway,2413,John Gielgud,0,http://www.imdb.com/title/tt0086582/?ref_=fn_tt_tt_1,15,UK,79
Tomm Moore,45,Mick Lally,61,Sean Lennon,75,Evan McGuire,0,http://www.imdb.com/title/tt0485601/?ref_=fn_tt_tt_1,71,France,11000
John Carney,109,Karen Pittman,480,James Corden,517,Mary Catherine Garrison,1,http://www.imdb.com/title/tt1980929/?ref_=fn_tt_tt_1,182,USA,43000
David Jacobson,12,Bruce Dern,2000,Hunter Parrish,3921,Rory Culkin,2,http://www.imdb.com/title/tt0398027/?ref_=fn_tt_tt_1,110,USA,412
Michael Corrente,30,Tony Devon,480,Jerry Ferrara,1234,Alexa Havins,3,http://www.imdb.com/title/tt0283503/?ref_=fn_tt_tt_1,48,USA,226
Edward Hall,0,Hayley Atwell,3000,Rufus Sewell,6343,Charlotte Rampling,2,http://www.imdb.com/title/tt2241676/?ref_=fn_tt_tt_1,12,UK,434
Keith Gordon,200,Robin Wright,21000,Robert Downey Jr.,41645,Alfre Woodard,2,http://www.imdb.com/title/tt0314676/?ref_=fn_tt_tt_1,79,USA,494
David Leland,2,Catherine McCormack,735,Anna Friel,1378,Steven Mackintosh,3,http://www.imdb.com/title/tt0119494/?ref_=fn_tt_tt_1,27,UK,75
Andrew Currie,8,Henry Czerny,553,Alexia Fast,786,Kesun Loder,1,http://www.imdb.com/title/tt0457572/?ref_=fn_tt_tt_1,98,Canada,0
Andrew Wilson,387,Eddie Griffin,8000,Will Ferrell,9608,Jacob Vargas,4,http://www.imdb.com/title/tt0373445/?ref_=fn_tt_tt_1,27,USA,143
Jonathan Lynn,36,Rupert Everett,10000,Rupert Grint,11770,Geoff Bell,4,http://www.imdb.com/title/tt1235189/?ref_=fn_tt_tt_1,86,UK,0
Marc Schölermann,3,Larry Drake,905,John de Lancie,3185,Johnny Whitworth,0,http://www.imdb.com/title/tt0964539/?ref_=fn_tt_tt_1,107,USA,3000
,,Jack O'Connell,27000,Tom Hardy,29196,Kevin McNally,2,http://www.imdb.com/title/tt1238834/?ref_=fn_tt_tt_1,33,UK,0
Robert Moresco,53,Brad Renfro,954,Brian Dennehy,2512,Dash Mihok,5,http://www.imdb.com/title/tt0360323/?ref_=fn_tt_tt_1,34,USA,294
