director_name,actor_1_name,movie_title,num_voted_users,actor_3_name,facenumber_in_poster,movie_imdb_link,num_user_for_reviews,content_rating,title_year,imdb_score,aspect_ratio,movie_facebook_likes
Neal Brennan,Rob Riggle,The Goods: Live Hard, Sell Hard ,17790,Charles Napier,5,http://www.imdb.com/title/tt1092633/?ref_=fn_tt_tt_1,59,R,2009,5.8,1.85,0
Tuck Tucker,Jennifer Jason Leigh,Hey Arnold! The Movie ,4564,Paul Sorvino,0,http://www.imdb.com/title/tt0314166/?ref_=fn_tt_tt_1,43,PG,2002,5.9,1.85,227
Simon Curtis,Eddie Redmayne,My Week with Marilyn ,71679,Julia Ormond,1,http://www.imdb.com/title/tt1655420/?ref_=fn_tt_tt_1,216,R,2011,7.0,2.35,17000
Richard Shepard,Adam Scott,The Matador ,40514,Hope Davis,0,http://www.imdb.com/title/tt0365485/?ref_=fn_tt_tt_1,234,R,2005,6.8,2.35,808
Theodore Witcher,Leonard Roberts,Love Jones ,2801,Larenz Tate,0,http://www.imdb.com/title/tt0119572/?ref_=fn_tt_tt_1,28,R,1997,7.4,1.85,1000
Joel Edgerton,Busy Philipps,The Gift ,79909,Wendell Pierce,1,http://www.imdb.com/title/tt4178092/?ref_=fn_tt_tt_1,279,R,2015,7.1,2.35,15000
Jim Hanon,Chase Ellison,End of the Spear ,4360,Jack Guzman,3,http://www.imdb.com/title/tt0399862/?ref_=fn_tt_tt_1,148,PG-13,2005,7.0,2.35,1000
Tommy O'Haver,Mila Kunis,Get Over It ,15617,Carmen Electra,1,http://www.imdb.com/title/tt0192071/?ref_=fn_tt_tt_1,180,PG-13,2001,5.8,2.35,0
Mike Judge,Gary Cole,Office Space ,200293,Diedrich Bader,0,http://www.imdb.com/title/tt0151804/?ref_=fn_tt_tt_1,621,R,1999,7.8,1.85,16000
Michael Patrick Jann,Kirsten Dunst,Drop Dead Gorgeous ,27265,Ellen Barkin,0,http://www.imdb.com/title/tt0157503/?ref_=fn_tt_tt_1,321,PG-13,1999,6.5,1.85,0
Tim Burton,Christoph Waltz,Big Eyes ,55539,Jon Polito,3,http://www.imdb.com/title/tt1126590/?ref_=fn_tt_tt_1,147,PG-13,2014,7.0,1.85,20000
Peter Berg,Jon Favreau,Very Bad Things ,39331,Jeanne Tripplehorn,0,http://www.imdb.com/title/tt0124198/?ref_=fn_tt_tt_1,481,R,1998,6.3,1.85,0
Joe Nussbaum,Steve Carell,Sleepover ,12706,Hunter Parrish,9,http://www.imdb.com/title/tt0368975/?ref_=fn_tt_tt_1,75,PG,2004,5.3,1.85,0
Brian De Palma,Melanie Griffith,Body Double ,20113,Gregg Henry,0,http://www.imdb.com/title/tt0086984/?ref_=fn_tt_tt_1,178,R,1984,6.8,1.85,0
Jorma Taccone,Jasper Cole,MacGruber ,35888,Powers Boothe,3,http://www.imdb.com/title/tt1470023/?ref_=fn_tt_tt_1,125,R,2010,5.5,2.35,0
Stephen Frears,Sophie Okonedo,Dirty Pretty Things ,34848,Sergi López,1,http://www.imdb.com/title/tt0301199/?ref_=fn_tt_tt_1,203,R,2002,7.4,1.85,0
