num_critic_for_reviews,actor_1_name,movie_title,num_user_for_reviews
421,John Ratzenberger,WALL·E ,1043
162,Tzi Ma,Rush Hour 3 ,221
367,Oliver Platt,2012 ,1055
240,Robin Wright,A Christmas Carol ,249
384,Channing Tatum,Jupiter Ascending ,720
248,Christoph Waltz,The Legend of Tarzan ,239
284,Jim Broadbent,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe ",1463
396,Jennifer Lawrence,X-Men: Apocalypse ,622
645,Christian Bale,The Dark Knight ,4667
408,John Ratzenberger,Up ,704
219,Amy Poehler,Monsters vs. Aliens ,187
486,Robert Downey Jr.,Iron Man ,1055
682,Chloë Grace Moretz,Hugo ,678
85,Will Smith,Wild Wild West ,648
264,Jet Li,The Mummy: Tomb of the Dragon Emperor ,501
418,Will Smith,Suicide Squad ,971
186,Jimmy Bennett,Evan Almighty ,257
585,Tom Cruise,Edge of Tomorrow ,741
91,Jeanne Tripplehorn,Waterworld ,309
250,Joseph Gordon-Levitt,G.I. Joe: The Rise of Cobra ,534
536,Amy Poehler,Inside Out ,773
370,Scarlett Johansson,The Jungle Book ,398
453,Robert Downey Jr.,Iron Man 2 ,723
416,Chris Hemsworth,Snow White and the Huntsman ,710
401,Angelina Jolie Pitt,Maleficent ,634
521,Gary Oldman,Dawn of the Planet of the Apes ,620
10,Tamsin Egerton,The Lovers ,15
218,Keanu Reeves,47 Ronin ,324
576,Scarlett Johansson,Captain America: The Winter Soldier ,742
226,Jon Hamm,Shrek Forever After ,173
443,Judy Greer,Tomorrowland ,497
384,Damon Wayans Jr.,Big Hero 6 ,433
377,Jack McBrayer,Wreck-It Ralph ,345
188,Tom Hanks,The Polar Express ,444
286,Vivica A. Fox,Independence Day: Resurgence ,520
288,Gerard Butler,How to Train Your Dragon ,492
280,Nick Stahl,Terminator 3: Rise of the Machines ,1676
653,Bradley Cooper,Guardians of the Galaxy ,1097
712,Matthew McConaughey,Interstellar ,2725
642,Leonardo DiCaprio,Inception ,2803
1,Mark Chinnery,Godzilla Resurgence ,13
645,Aidan Turner,The Hobbit: An Unexpected Journey ,1367
187,Paul Walker,The Fast and the Furious ,988
362,Brad Pitt,The Curious Case of Benjamin Button ,822
500,Jennifer Lawrence,X-Men: First Class ,698
389,Jennifer Lawrence,The Hunger Games: Mockingjay - Part 2 ,383
235,Nicolas Cage,The Sorcerer's Apprentice ,238
231,Jimmy Bennett,Poseidon ,629
218,Johnny Depp,Alice Through the Looking Glass ,131
227,Justin Timberlake,Shrek the Third ,326
275,Dominic Cooper,Warcraft ,781
474,J.K. Simmons,Terminator Genisys ,867
228,Bruce Spence,The Chronicles of Narnia: The Voyage of the Dawn Treader ,227
191,Jennifer Garner,Pearl Harbor ,1999
396,Zack Ward,Transformers ,1782
248,Anthony Hopkins,Alexander ,1390
329,Robert Pattinson,Harry Potter and the Order of the Phoenix ,1108
295,Robert Pattinson,Harry Potter and the Goblet of Fire ,1896
318,Will Smith,Hancock ,590
323,Will Smith,I Am Legend ,1413
276,Johnny Depp,Charlie and the Chocolate Factory ,1361
318,Janeane Garofalo,Ratatouille ,626
478,Christian Bale,Batman Begins ,2685
167,Bernie Mac,Madagascar: Escape 2 Africa ,119
185,Robin Williams,Night at the Museum: Battle of the Smithsonian ,209
350,Hugh Jackman,X-Men Origins: Wolverine ,641
245,Essie Davis,The Matrix Revolutions ,2121
406,Josh Gad,Frozen ,904
275,Steve Bastoni,The Matrix Reloaded ,2789
486,Chris Hemsworth,Thor: The Dark World ,532
739,Tom Hardy,Mad Max: Fury Road ,1588
298,Tom Hanks,Angels & Demons ,435
516,Chris Hemsworth,Thor ,738
225,Chloë Grace Moretz,Bolt ,178
145,Kelli Garner,G-Force ,90
310,Liam Neeson,Wrath of the Titans ,253
526,Johnny Depp,Dark Shadows ,479
465,Tom Cruise,Mission: Impossible - Rogue Nation ,440
357,Anthony Hopkins,The Wolfman ,432
248,Christoph Waltz,The Legend of Tarzan ,239
194,Matthew Broderick,Bee Movie ,206
284,Angelina Jolie Pitt,Kung Fu Panda 2 ,209
280,Seychelle Gabriel,The Last Airbender ,1382
310,Philip Seymour Hoffman,Mission: Impossible III ,871
339,Channing Tatum,White House Down ,434
132,Elisabeth Harnois,Mars Needs Moms ,112
135,Hugh Jackman,Flushed Away ,122
256,Hugh Jackman,Pan ,186
196,Ty Burrell,Mr. Peabody & Sherman ,130
220,Brad Pitt,Troy ,1694
211,Jada Pinkett Smith,Madagascar 3: Europe's Most Wanted ,154
264,Toby Stephens,Die Another Day ,1185
464,Ed Begley Jr.,Ghostbusters ,1211
167,Bruce Willis,Armageddon ,1171
208,Will Smith,Men in Black II ,606
287,Robin Wright,Beowulf ,505
210,J.K. Simmons,Kung Fu Panda 3 ,145
432,Tom Cruise,Mission: Impossible - Ghost Protocol ,512
256,Hugh Jackman,Rise of the Guardians ,174
135,John Michael Higgins,Fun with Dick and Jane ,258
190,Tom Cruise,The Last Samurai ,928
314,Christian Bale,Exodus: Gods and Kings ,657
518,Chris Hemsworth,Star Trek ,1559
291,J.K. Simmons,Spider-Man ,2012
