duration,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,gross,genres,actor_1_name,num_voted_users,actor_3_name,facenumber_in_poster,movie_imdb_link,num_user_for_reviews,language,country,title_year
102,529,Marie Avgeropoulos,946,14793904,Comedy|Romance,Alan Ruck,28209,Shawn Roberts,1,http://www.imdb.com/title/tt1032815/?ref_=fn_tt_tt_1,80,English,Canada,2009
90,729,Ari Graynor,12000,15281286,Comedy|Drama|Romance,Steve Buscemi,64646,Fred Willard,2,http://www.imdb.com/title/tt0403702/?ref_=fn_tt_tt_1,105,English,USA,2009
98,102,Richard Farnsworth,372,8000000,Action|Adventure|Western,Jason Robards,1400,Michael Horse,0,http://www.imdb.com/title/tt0082648/?ref_=fn_tt_tt_1,41,English,USA,1981
109,1000,Jamie Lee Curtis,11000,13491653,Drama|Thriller,Daniel Radcliffe,23728,Mark Margolis,0,http://www.imdb.com/title/tt0236784/?ref_=fn_tt_tt_1,213,English,USA,2001
107,101,Dennis Franz,517,,Mystery|Thriller,Nancy Allen,27629,John McMartin,0,http://www.imdb.com/title/tt0082085/?ref_=fn_tt_tt_1,149,English,USA,1981
90,179,Paul Freeman,210,10494494,Action|Crime|Thriller,Rebecca Budig,19586,Bruce Payne,1,http://www.imdb.com/title/tt2167202/?ref_=fn_tt_tt_1,109,English,USA,2013
112,177,Kate Burton,805,7837632,Drama,Joan Allen,46396,Henry Czerny,0,http://www.imdb.com/title/tt0119349/?ref_=fn_tt_tt_1,287,English,USA,1997
94,197,Annie Parisse,712,15155772,Comedy|Drama|Romance,Yaya DaCosta,8895,Frankie Valli,2,http://www.imdb.com/title/tt2465146/?ref_=fn_tt_tt_1,48,English,USA,2014
105,371,Shelley Long,723,8508843,Adventure|Comedy,Craig T. Nelson,7470,Kellie Martin,1,http://www.imdb.com/title/tt0098519/?ref_=fn_tt_tt_1,35,English,USA,1989
104,202,Shaun Evans,405,7739049,Comedy|Drama|Romance,Miriam Margolyes,10680,Juliet Stevenson,2,http://www.imdb.com/title/tt0340012/?ref_=fn_tt_tt_1,112,English,Canada,2004
112,45,Karen Young,567,6734844,Drama|Romance,David Margulies,29591,Kim Chan,0,http://www.imdb.com/title/tt0091635/?ref_=fn_tt_tt_1,118,English,USA,1986
108,94,Ralph Richardson,1000,6000000,Action|Adventure|Fantasy,Ian McDiarmid,10832,Albert Salmi,0,http://www.imdb.com/title/tt0082288/?ref_=fn_tt_tt_1,102,English,USA,1981
112,231,Kerry Condon,577,6615578,Biography|Drama|Romance,David Masterson,15352,Anne-Marie Duff,2,http://www.imdb.com/title/tt0824758/?ref_=fn_tt_tt_1,82,English,Germany,2009
127,940,Bill Murray,40000,5887457,Biography|Comedy|Drama,Johnny Depp,142416,Martin Landau,1,http://www.imdb.com/title/tt0109707/?ref_=fn_tt_tt_1,420,English,USA,1994
111,405,Kate Winslet,24000,13362308,Drama,J.K. Simmons,31898,Brooke Smith,1,http://www.imdb.com/title/tt1967545/?ref_=fn_tt_tt_1,111,English,USA,2013
126,9,Khulan Chuluun,627,5701643,Adventure|Biography|Drama|History|War,Tadanobu Asano,37635,Honglei Sun,0,http://www.imdb.com/title/tt0416044/?ref_=fn_tt_tt_1,165,Mongolian,Russia,2007
114,1000,Gerard Butler,27000,5694401,Action|Crime|Thriller,Tom Hardy,194489,Tom Wilkinson,4,http://www.imdb.com/title/tt1032755/?ref_=fn_tt_tt_1,192,English,UK,2008
99,251,Michael Beck,456,5333658,Action|Sci-Fi,Barry Bostwick,2541,Henry Silva,2,http://www.imdb.com/title/tt0084316/?ref_=fn_tt_tt_1,54,English,USA,1982
150,401,Brian Blessed,597,4414535,Drama,Julie Christie,30618,Richard Briers,0,http://www.imdb.com/title/tt0116477/?ref_=fn_tt_tt_1,224,English,UK,1996
117,238,Suzie Steen,989,4806750,Biography|Drama|Music|Romance,Bruce Greenwood,6091,Aden Young,0,http://www.imdb.com/title/tt1071812/?ref_=fn_tt_tt_1,53,English,Australia,2009
112,201,Sam Shepard,4000,3707794,Adventure|Drama|Sci-Fi|Thriller,Kirsten Dunst,31359,Paul Sparks,0,http://www.imdb.com/title/tt2649554/?ref_=fn_tt_tt_1,156,English,Greece,2016
108,922,Stockard Channing,11000,3203044,Comedy|Romance,Woody Allen,25165,Fisher Stevens,2,http://www.imdb.com/title/tt0313792/?ref_=fn_tt_tt_1,155,English,USA,2003
116,212,Colin Firth,25000,4435083,Biography|Drama|Romance|War,Jeremy Irvine,27882,Sam Reid,2,http://www.imdb.com/title/tt2058107/?ref_=fn_tt_tt_1,119,English,Australia,2013
60,405,Dylan Walsh,654,,Drama|Mystery,Poppy Montgomery,12854,Dallas Roberts,1,http://www.imdb.com/title/tt1842530/?ref_=fn_tt_tt_1,44,,USA,
144,16,Burghart Klaußner,63,2222647,Drama|Mystery,Ulrich Tukur,52958,Leonie Benesch,0,http://www.imdb.com/title/tt1149362/?ref_=fn_tt_tt_1,193,German,Germany,2009
92,161,Anna Harr,662,,Horror,Zack Ward,436,James Cullen Bressack,0,http://www.imdb.com/title/tt4517738/?ref_=fn_tt_tt_1,6,English,USA,2016
93,415,Randy Quaid,1000,3500000,Action|Horror|Romance|Sci-Fi|Thriller,Clint Howard,10082,Nick Cassavetes,2,http://www.imdb.com/title/tt0092240/?ref_=fn_tt_tt_1,100,English,USA,1986
103,576,Meat Loaf,1000,676698,Crime|Drama|Mystery|Thriller,Adam Goldberg,26730,Anthony LaPaglia,0,http://www.imdb.com/title/tt0235737/?ref_=fn_tt_tt_1,180,English,USA,2002
93,151,Mackenzie Gray,364,3419967,Music,James Hetfield,13359,Lars Ulrich,0,http://www.imdb.com/title/tt2172935/?ref_=fn_tt_tt_1,56,English,USA,2013
98,394,Brad Renfro,663,,Crime|Drama|Thriller,Austin Nichols,14324,Lou Taylor Pucci,1,http://www.imdb.com/title/tt0865554/?ref_=fn_tt_tt_1,93,English,Germany,2008
334,30,Nora von Waldstätten,897,145118,Biography|Crime|Drama|Thriller,Edgar Ramírez,10111,Katharina Schüttler,0,http://www.imdb.com/title/tt1321865/?ref_=fn_tt_tt_1,36,English,France,
114,32,Simón Andreu,84,,Thriller,Takuya Kimura,2541,Shawn Yue,0,http://www.imdb.com/title/tt1024744/?ref_=fn_tt_tt_1,20,English,France,2009
121,353,Joaquim de Almeida,854,229311,Action|Drama|History|Romance|War|Western,Tom Berenger,899,Mark Moses,2,http://www.imdb.com/title/tt0120775/?ref_=fn_tt_tt_1,42,English,Spain,1999
87,83,John Amplas,1000,,Horror,Greg Nicotero,49669,Joseph Pilato,1,http://www.imdb.com/title/tt0088993/?ref_=fn_tt_tt_1,419,English,USA,1985
92,757,Rebecca De Mornay,1000,,Action|Crime|Drama|Thriller,Sam Trammell,4510,Amanda Schull,1,http://www.imdb.com/title/tt3212232/?ref_=fn_tt_tt_1,50,English,USA,2016
105,69,Catherine McCormack,805,63260,Action|Animation|Sci-Fi|Thriller,Romola Garai,14325,Kevork Malikyan,0,http://www.imdb.com/title/tt0386741/?ref_=fn_tt_tt_1,90,English,France,2006
90,720,Landon Liboiron,2000,,Drama|Western,Demi Moore,4693,Michael Wincott,1,http://www.imdb.com/title/tt2271563/?ref_=fn_tt_tt_1,49,English,Canada,2015
89,183,Brigitte Nielsen,444,,Action|Adventure|Fantasy,Ernie Reyes Jr.,30215,Sandahl Bergman,1,http://www.imdb.com/title/tt0089893/?ref_=fn_tt_tt_1,95,English,Netherlands,1985
114,920,Toby Jones,22000,,Drama|Horror|Mystery|Thriller,Robert De Niro,48162,Craig Roberts,2,http://www.imdb.com/title/tt1748179/?ref_=fn_tt_tt_1,140,English,Spain,2012
119,778,Joe Lo Truglio,15000,121463226,Comedy,Emma Stone,422606,Kevin Corrigan,2,http://www.imdb.com/title/tt0829482/?ref_=fn_tt_tt_1,555,English,USA,2007
103,543,Keshia Knight Pulliam,923,90485233,Comedy|Crime|Drama,Vanessa Ferlito,9544,Derek Luke,0,http://www.imdb.com/title/tt1142800/?ref_=fn_tt_tt_1,45,English,USA,2009
91,413,Jennifer Hale,11000,,Action|Horror,Jason Momoa,5693,Stephen McHattie,2,http://www.imdb.com/title/tt1403241/?ref_=fn_tt_tt_1,34,English,France,2014
98,129,Mari Koda,158,58006147,Drama|Music|Musical|Romance,Cassie Ventura,67653,Luis Rosado,2,http://www.imdb.com/title/tt1023481/?ref_=fn_tt_tt_1,108,English,USA,2008
80,854,Chazz Palminteri,11000,51053787,Action|Animation|Comedy|Crime|Family,Anne Hathaway,45900,Jim Belushi,1,http://www.imdb.com/title/tt0443536/?ref_=fn_tt_tt_1,247,English,USA,2005
121,242,Sophie Okonedo,3000,23472900,Drama|History|War,Don Cheadle,264533,Hakeem Kae-Kazim,1,http://www.imdb.com/title/tt0395169/?ref_=fn_tt_tt_1,609,English,UK,2004
94,280,Dougray Scott,866,39687528,Action|Crime|Drama|Thriller,Henry Ian Cusick,140780,Ulrich Thomsen,1,http://www.imdb.com/title/tt0465494/?ref_=fn_tt_tt_1,376,English,France,2007
