num_voted_users,actor_3_name,num_user_for_reviews,budget,movie_facebook_likes
11958,Ryan Donowho,39,20000000,1000
29649,Danny Huston,361,20000000,0
45799,Albert Brooks,180,20000000,0
6904,Caroline Dhavernas,102,20000000,971
14301,Victoria Learn,45,20000000,0
48346,Tyrone Benskin,230,20000000,0
28629,Óscar Jaenada,113,20000000,0
41737,Nora Zehetner,105,20000000,0
55842,Samantha Morton,274,21000000,13000
221552,Billy Crudup,570,2400000000,11000
4293,Virginie Ledoyen,53,20000000,235
2998,Caitlyn Jenner,74,20000000,1000
43205,Danny Huston,232,2000000,0
2302,Brent Anderson,20,20000000,0
4518,Paula Garcés,66,20000000,241
261317,Sean Pertwee,1137,20000000,20000
8087,Matthew Walker,33,40000000,1000
16215,Faye Dunaway,138,24000000,401
14015,Toni Braxton,83,20000000,831
7976,Melvil Poupaud,61,10000000,0
13727,Rosalind Ayres,79,2127519898,973
2613,Jimmy Jean-Louis,46,20000000,445
41249,Frank Langella,67,,0
3843,Sandrine Holt,25,20000000,399
11391,Chi Chung Lam,66,,1000
7147,Marie-Anne Chazel,16,140000000,136
13026,Anita Briem,75,20000000,0
9868,Mark Webber,81,22000000,217
18,Ewen Solon,,,0
6147,Tom Conti,36,20000000,0
20821,Julian Richings,62,,0
118,Elea Oberon,,13000,30
5154,Andy On,29,25000000,314
25450,Callum Rennie,118,20000000,0
5203,Noureen DeWulf,11,20000000,1000
102,Kevin McGowan,1,,58
50,Jacqueline Lovell,3,20000000,70
178,Edgar Ramírez,1,20000000,0
21833,Robert Forster,101,20000000,0
43879,Jodi Lyn O'Keefe,133,27220000,11000
77656,Alan David,220,19400000,0
29602,Martina Gedeck,110,20000000,0
186485,Maury Chaykin,382,22000000,0
160418,Phyllis Smith,296,20000000,16000
30213,Ellen Barkin,112,19000000,0
62861,Julie Gonzalo,232,20000000,0
222018,Roger Jackson,869,15000000,11000
65512,F. Murray Abraham,478,20000000,0
610333,Joe Turkel,1320,19000000,37000
732212,J.J. Cohen,809,19000000,39000
45317,Bridgette Wilson-Sampras,536,19000000,0
8346,Hope Olaide Wilson,59,13000000,1000
60,Cabrina Collesides,6,27000000,1000
77987,Kelli Barrett,120,19000000,0
57479,David Moscow,205,18000000,0
53977,Ludivine Sagnier,125,15000000,14000
29,Paul 'Pauly D' DelVecchio,,,0
2855,Peter Fonda,119,19000000,663
93272,John Aylward,251,20000000,0
417971,Miyu Irino,902,19000000,28000
1904,Terence Yin,12,,332
17982,Laurence Olivier,95,25000000,1000
98741,Roger Allam,236,19000000,53000
72715,Alice Greczyn,103,19000000,0
71276,Dominique McElligott,181,19000000,13000
6156,Stephen Boyd,91,19000000,560
43867,Dan Fogler,83,23000000,0
5147,Dante Brown,37,,0
1153,Margaret Tracey,15,19000000,238
3536,Miranda Richardson,44,19000000,228
550,Tracy Letts,3,,599
80903,Ryan Reynolds,518,19000000,0
143251,Roger Willie,710,19000000,0
78883,Pedro Miguel Arce,662,15000000,0
625,Ching Wan Lau,4,,124
213226,Ellen Barkin,648,18500000,15000
94292,Martin Starr,287,18500000,13000
216581,Ike Barinholtz,397,18000000,21000
265818,Reg E. Cathey,213,18000000,0
153468,John Heard,204,18000000,0
297014,Chester,1198,18000000,0
131801,Alanna Ubach,548,18000000,0
58743,Walter Koenig,192,17000000,0
96569,JR Bourne,522,20000000,0
59380,Bree Turner,202,17000000,0
24854,Quinton Aaron,374,16000000,31000
49077,Tyrone Giordano,475,17000000,0
10104,Kenan Thompson,69,18000000,265
107815,Alex Borstein,485,18000000,10000
183425,Robert Wagner,425,17000000,0
13562,Joey Fatone,103,18000000,19000
18727,Fran Kranz,45,21000000,0
290949,Carl Weathers,629,15000000,13000
270790,Tom Hulce,549,18000000,16000
27664,Collins Pennie,260,20000000,1000
245989,Neil Flynn,554,17000000,0
35718,Mario Monicelli,317,18000000,0
65201,Tom Hollander,651,19800000,0
65785,Tate Donovan,281,,0
27149,Joan Allen,96,18000000,0
395087,Merritt Wever,1101,18000000,114000
150082,Andrew Dice Clay,384,18000000,36000
83374,Susan Blommaert,828,15000000,0
36666,Romeo Miller,144,25000000,0
101889,Matthew Broderick,365,18000000,0
29621,Nicollette Sheridan,76,18000000,588
46492,Janet Leigh,335,1000000,7000
35514,Craig T. Nelson,114,18000000,15000
17277,Martin Balsam,124,18000000,0
52467,Dan Bakkedahl,248,18000000,0
62009,Grace Jones,109,18000000,2000
235133,Frank Vincent,494,18000000,0
25344,Frances Conroy,77,18000000,0
14870,Freddie Jones,86,18000000,0
14062,Megan Mullally,82,18000000,0
279179,Kate Burton,440,18000000,63000
31169,Michael Rapaport,192,18000000,812
15817,Ethan Stiefel,210,18000000,0
9051,Timothée Chalamet,68,17000000,0
8023,Kevin G. Schmidt,49,18000000,591
39105,Kristin Scott Thomas,359,18000000,0
93548,Michael Stuhlbarg,307,30000000,23000
28209,Shawn Roberts,80,18000000,0
64646,Fred Willard,105,18000000,0
1400,Michael Horse,41,18000000,346
23728,Mark Margolis,213,18000000,813
27629,John McMartin,149,18000000,2000
19586,Bruce Payne,109,18000000,4000
46396,Henry Czerny,287,18000000,0
8895,Frankie Valli,48,18000000,3000
7470,Kellie Martin,35,18000000,0
10680,Juliet Stevenson,112,18000000,562
29591,Kim Chan,118,17000000,0
10832,Albert Salmi,102,18000000,0
15352,Anne-Marie Duff,82,13000000,0
142416,Martin Landau,420,18000000,0
31898,Brooke Smith,111,18000000,0
37635,Honglei Sun,165,20000000,0
194489,Tom Wilkinson,192,18000000,12000
2541,Henry Silva,54,20000000,0
30618,Richard Briers,224,18000000,0
6091,Aden Young,53,,0
31359,Paul Sparks,156,18000000,0
25165,Fisher Stevens,155,18000000,827
27882,Sam Reid,119,18000000,18000
12854,Dallas Roberts,44,,0
52958,Leonie Benesch,193,12000000,0
436,James Cullen Bressack,6,,378
10082,Nick Cassavetes,100,2700000,0
26730,Anthony LaPaglia,180,18000000,2000
13359,Lars Ulrich,56,,19000
14324,Lou Taylor Pucci,93,18000000,1000
10111,Katharina Schüttler,36,,0
2541,Shawn Yue,20,18000000,342
899,Mark Moses,42,11350000,271
49669,Joseph Pilato,419,3500000,3000
4510,Amanda Schull,50,18000000,0
14325,Kevork Malikyan,90,14000000,0
4693,Michael Wincott,49,11000000,0
30215,Sandahl Bergman,95,17900000,0
48162,Craig Roberts,140,14000000,10000
422606,Kevin Corrigan,555,20000000,0
9544,Derek Luke,45,,804
5693,Stephen McHattie,34,18000000,0
67653,Luis Rosado,108,23000000,0
45900,Jim Belushi,247,17500000,0
264533,Hakeem Kae-Kazim,609,17500000,12000
140780,Ulrich Thomsen,376,24000000,0
1633,Vondie Curtis-Hall,17,17500000,0
13133,Jessica Lowndes,101,18000000,0
4387,Rob Campbell,67,17500000,204
268581,Eric Sykes,1109,17000000,20000
488537,Jenette Goldstein,1076,18500000,18000
66959,Theodore Bikel,258,17000000,0
