num_critic_for_reviews,actor_3_facebook_likes,actor_1_facebook_likes,gross,actor_3_name,facenumber_in_poster,plot_keywords,country,budget,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes
17,50,603,,Ralitsa Paskaleva,1,castle|dragon|kidnapping|satire|sword and sorcery,Canada,3500000,145,3.3,1.78,721
7,597,2000,,Lew Temple,2,chess|drugs|love|meth|pawn,USA,3500000,660,5.4,1.85,482
9,322,795,,Rita Wilson,0,desert|held at gunpoint|marine|revenge|sex on table,,3500000,535,4.8,2.35,570
3,37,1000,,Glen Murphy,1,gang leader|italian woman|period piece|purgatory|suicide,UK,3440000,53,3.1,2.35,606
55,605,1000,,Dick Van Patten,0,belldon's hysteria|high anxiety|hitchcockian|murder|parody,USA,3400000,628,6.7,1.85,0
169,34,11000,77413017,Romane Bohringer,0,chick|emperor penguin|journey|ocean|penguin,France,8000000,108,7.6,1.85,0
290,969,18000,5354039,Ashley Williams,8,capital management|financial crisis|financial disaster|investment fraud|management,USA,3500000,2000,7.1,1.85,21000
10,43,141,,Edward Conna,1,apartment|gay parent|job interview|male pubic hair|pubic hair,USA,,69,6.1,2.35,224
159,539,1000,2926565,Jonah Bobo,0,choking|friend|hospital|restaurant|scam,USA,3000000,585,6.5,1.66,0
535,535,24000,13092000,Chris Mulkey,0,conservatory|drummer|emotional abuse|music school|obsession,USA,3300000,970,8.5,2.4,129000
214,40,1000,7563397,Alexandre Rodrigues,0,coming of age|male frontal nudity|male nudity|photographer|slum,Brazil,3300000,69,8.7,1.85,28000
47,78,798,104257,Shaun Parkes,2,friday|friend|hip hop|techno rave|weekend,UK,2200000,472,7.1,1.85,0
17,80,632,,Luis Antonio,7,character name in title|depression|drugs|one word title,USA,3400000,144,6.6,,0
85,303,11000,17311,Piper Laurie,0,dead girl|girl|granddaughter|morgue|storage unit,USA,,505,6.7,1.85,799
349,26,74,610968,Hana Shuan,1,deer|gun|gunshot|hunt|kindergarten teacher,Denmark,3800000,69,8.3,2.35,60000
109,378,662,,Scott Schwartz,0,bb gun|boy|bully|christmas|tongue stuck on a pole,USA,4000000,577,8.1,1.85,18000
60,377,625,8108247,Eduardo Verástegui,0,inter cultural|latino|restaurant|soccer|train,USA,3300000,464,7.4,1.85,0
101,129,595,,Timothy Van Patten,4,back to school|city|high school|sadism|teacher,Canada,4300000,251,6.6,1.85,934
1,491,756,,Josh Hopkins,5,bare breasts,USA,3300000,521,4.5,16.0,0
16,405,631,7680,Miriam Margolyes,0,love crime|love triangle|lust|sister sister relationship|unrequited love,USA,2000000,443,6.4,,100
212,0,15,3766595,Angélica Sancio,7,high school|inner city|school|student|teacher,France,,2,7.5,2.35,0
215,449,917,,Charles Grodin,0,devil worship|incubus|paranoia|raped by a demon|satanism,USA,2300000,563,8.0,1.85,13000
107,332,756,,Vera Miles,1,friend|funeral|outlaw|pistol|stagecoach,USA,3200000,423,8.1,1.85,0
122,194,828,2277396,Amy Irving,0,apartment|asperger's syndrome|children|teacher|writer,USA,,390,7.2,2.35,0
155,6,280,6517198,Yenny Paola Vega,0,colombia|colombian|drug mule|money|stomach,Colombia,3000000,11,7.5,1.85,0
261,157,1000,5776314,Mary Page Keller,4,actress|cancer|death|french|gay relationship,USA,3200000,394,7.2,1.85,15000
130,898,164000,,Henry Rollins,0,bar|bloody body of child|dead boy|monster|vomiting,USA,3200000,2000,6.4,2.35,0
94,559,1000,141600000,Tim Matheson,6,academic probation|camera shot of feet|fraternity|school expulsion|smashing a guitar,USA,3000000,783,7.6,1.85,0
164,177,387,51100000,Lois Maxwell,2,bikini|covered in melted gold|fort knox|gold|pilot,UK,3000000,202,7.8,1.37,0
188,463,691,,Caleb Landry Jones,0,celebrity|injection|near future|scalpel|stabbed in the mouth,Canada,3200000,480,5.7,1.85,0
206,248,488,,Thomas Mitchell,0,angel|bank|guardian angel|second chance|small town life,USA,3180000,275,8.6,1.37,41000
134,557,2000,16501785,Ewen Bremner,4,drug culture|drugs|filthy toilet|heroin addict|heroin withdrawal,UK,3500000,887,8.2,1.85,21000
53,360,1000,38168022,Steve Harvey,0,backstage|comedian|concert film|emcee|stand up comedian,USA,3000000,436,6.6,1.85,290
264,189,438,84749884,Micah Sloat,0,california|carlsbad california|house|nanny|security camera,USA,3000000,332,5.7,1.85,14000
94,482,773,24788807,Fionnula Flanagan,0,dead body|death|lottery|small town|village,UK,3000000,588,7.4,2.35,0
215,184,909,21244913,Bill Clinton,2,bank|columbine|columbine high school killings|firearm|school shooting,Germany,4000000,504,8.0,1.85,4000
85,4,878,377420,Ni Yan,1,amnesia|cultural revolution|husband wife relationship|memory|political prisoner,China,,10,7.3,2.35,0
138,217,426,30000000,Marshall Bell,0,freddy krueger|gay|gay subtext|homoeroticism|jock strap,USA,2200000,359,5.4,1.85,0
55,249,687,20966644,Denholm Elliott,0,male nudity|male pubic hair|nude bathing|piano|pubic hair,UK,3000000,443,7.4,1.66,0
361,535,942,64423650,Chris Mulkey,0,class differences|killing spree|one night|suburb|violence,USA,3000000,810,5.7,2.35,31000
411,412,1000,48056940,James Ransone,0,book|found footage|research|snuff film|writer,USA,3000000,419,6.8,2.35,58000
24,12,71,19184015,Dayna Devon,1,actor name in title|colon in title|four word title|live performance|satire,USA,3000000,65,5.4,1.85,63
70,110,253,,Jack Carson,0,cancer|football|homosexuality|marriage|mississippi,USA,3000000,197,8.1,1.85,0
78,158,220,,Victor Buono,0,ape|astronaut|mission|planet|rescue,USA,3000000,162,6.1,2.35,0
35,693,2000,24629916,Michael Jeter,0,basketball|boy|dog|dog movie|golden retriever,USA,3000000,970,5.1,1.85,902
39,49,88,,Lisa Ortiz,0,ash|father|mother|pokemon|professor,Japan,16000000,82,5.6,1.85,38
158,155,956,19472057,Vincent Guastaferro,0,actual animal killed|death|jason voorhees|slasher flick|teen horror,USA,3000000,316,5.9,1.85,0
122,87,682,27200000,Jack Hawkins,2,allies|bridge|construction|jungle|sabotage,UK,3000000,119,8.2,2.35,0
16,175,610,15369573,Tonya Lee Williams,1,alien|halloween|killer robot|outer space|wrestler costume,USA,3000000,232,5.3,1.85,710
67,416,897,,William Devane,1,actor|diamond|heir|kidnapping|ransom,USA,4490375,844,6.8,1.85,609
183,180,516,,David White,2,apartment|elevator|elevator girl|love|mistress,USA,3000000,417,8.3,2.35,0
112,307,935,15935068,Erin Gray,0,brutality|evil|jason voorhees|paranormal phenomena|terror,USA,2500000,805,4.3,1.85,949
64,14,18,,David Opatoshu,1,defection|east germany|germany|iron curtain|scientist,USA,6000000,16,6.7,1.85,933
114,220,989,11694528,Lauryn Hill,0,block party|marching band|neighborhood|new york city|tyrannosaurus rex,USA,3000000,744,7.2,1.85,635
246,748,13000,229094,Ben Mendelsohn,2,american west|bounty hunter|frontier|horse riding|outlaw,UK,,884,6.9,1.66,0
7,77,685,,Bobby Brown,0,actress shares first name with character|bar|car wash|city|d.j.,USA,3000000,178,6.6,,889
49,706,1000,10017041,Mike Epps,3,cocaine|package|slow motion scene|topless female nudity|wrong address,USA,3000000,927,5.9,1.85,545
42,125,556,,Edward Andrews,1,1920s|evangelist|preacher|revival|traveling salesman,USA,3000000,422,7.9,1.66,808
73,760,877,,Spencer Tracy,0,judge|law|nazi|nuremberg|war crime,USA,3000000,862,8.3,1.75,0
16,200,927,9016377,Countess Vaughn,3,apostrophe in title|bare breasts|female nudity|nude black woman|prom,USA,,209,5.2,1.85,143
38,0,11,,Breckin Meyer,0,celebrity|robot|satire|sketch comedy|stop motion animation,USA,,0,7.8,1.33,1000
91,281,862,,Harry Carey Jr.,0,cattle|cattle drive|cowboy|kansas|texas,USA,3000000,376,7.8,1.37,0
37,233,939,7059537,Joyful Drake,0,female protagonist|size positive|thin|title directed by female|wet dream,USA,3000000,407,3.0,1.85,837
405,48,140,8114507,Athina Rachel Tsangari,1,friend|greece|greek|hotel room|twin,USA,3000000,63,7.9,1.85,62000
29,152,641,7888703,Kim Darby,1,falling in love|glowing eyes|insult|teenager|three word title,USA,3000000,168,3.2,1.85,491
81,135,674,7282851,James Le Gros,1,cemetery|female nudity|mortuary|sphere|tall man,USA,3000000,174,6.5,1.85,812
17,469,912,6879730,Clifton Powell,0,abuse|bishop|death|flashback|poverty,USA,,637,6.9,,187
75,453,953,5844929,George Lopez,1,education|factory|high school|mexican american|religious icon,USA,3000000,625,7.0,1.85,595
,110,578,,Luke Ford,0,gallipoli|tv mini series|world war one,Australia,15000000,476,7.4,,367
91,31,1000,3222857,Seema Biswas,0,ashram|india|love|tradition|widow,Canada,,329,7.8,2.35,0
82,163,883,4170647,Om Puri,0,england|marriage|muslim|pakistani|salford,UK,1900000,183,6.9,1.85,1000
48,51,472,4142507,David Heyman,1,dating|diner|masturbation|urination|washington square manhattan new york city,USA,3000000,324,4.4,1.85,131
33,200,729,4109095,Rekha,0,courtesan|friend|kama sutra|seduction|wedding,USA,3000000,257,6.0,1.85,0
133,547,1000,4033268,Ann Morgan Guilbert,0,apartment|first date|neighbor|new york|new york city,USA,,864,6.6,2.35,0
104,124,240,,Julie Dawn Cole,1,candy|chocolate|factory|miniaturization|sudden change in size,USA,3000000,177,7.8,1.33,0
22,222,687,3902679,Paula Marshall,0,druid|eclipse|rune|scalping|warlock,USA,3000000,233,5.3,1.66,217
