director_name,num_critic_for_reviews,duration,gross,movie_title,cast_total_facebook_likes,facenumber_in_poster,language,country,content_rating,budget,title_year,imdb_score,aspect_ratio,movie_facebook_likes
Jared Hess,163,92,80197993,Nacho Libre ,1729,1,English,Germany,PG,32000000,2006,5.7,1.85,0
Paul Feig,371,131,169076745,Bridesmaids ,3229,6,English,USA,R,32500000,2011,6.8,2.35,27000
Evan Goldberg,418,107,101470202,This Is the End ,38751,6,English,USA,R,32000000,2013,6.7,2.35,97000
Rupert Wainwright,131,103,50041732,Stigmata ,3004,0,English,USA,R,29000000,1999,6.2,2.35,0
George Tillman Jr.,98,129,48814909,Men of Honor ,36069,0,English,USA,R,32000000,2000,7.2,2.35,0
John Luessenhop,119,107,57744720,Takers ,31529,5,English,USA,PG-13,20000000,2010,6.2,2.35,0
Justin Zackham,133,89,21784432,The Big Wedding ,74181,8,English,USA,R,35000000,2013,5.6,2.35,0
John Whitesell,88,113,37911876,Big Mommas: Like Father, Like Son ,3500,2,English,USA,PG-13,32000000,2011,4.4,2.35,0
Duncan Jones,522,93,54696902,Source Code ,16034,3,English,USA,PG-13,32000000,2011,7.5,1.85,56000
Frank Marshall,43,120,36733909,Alive ,2054,3,English,USA,R,32000000,1993,7.1,1.85,0
Joel Schumacher,224,98,35063732,The Number 23 ,10938,1,English,USA,R,32000000,2007,6.4,2.35,10000
Jean-Pierre Jeunet,122,105,99462,The Young and Prodigious T.S. Spivet ,1843,1,English,France,PG,33000000,2013,7.1,2.35,5000
Steven Spielberg,56,142,,1941 ,20201,5,English,USA,PG,35000000,1979,5.9,2.35,2000
John Gatins,75,98,32701088,Dreamer: Inspired by a True Story ,1400,1,English,USA,PG,32000000,2005,6.9,2.35,0
David Cronenberg,441,96,31493782,A History of Violence ,12754,1,English,USA,R,32000000,2005,7.5,1.85,0
Louis Leterrier,163,87,43095600,Transporter 2 ,29050,1,English,France,PG-13,32000000,2005,6.3,2.35,0
Sam Raimi,63,107,18636537,The Quick and the Dead ,29743,0,English,Japan,R,32000000,1995,6.4,1.85,0
Peter Howitt,90,90,17848322,Laws of Attraction ,961,1,English,Ireland,PG-13,28000000,2004,5.9,2.35,702
Martin Scorsese,163,121,16640210,Bringing Out the Dead ,13040,0,English,USA,R,55000000,1999,6.8,2.35,0
Miguel Sapochnik,197,119,13763130,Repo Men ,2925,0,English,USA,R,32000000,2010,6.3,2.35,12000
Hyung-rae Shim,93,107,10956379,Dragon Wars: D-War ,3274,0,English,South Korea,PG-13,35000000,2007,3.6,2.35,0
Norman Jewison,15,110,4357000,Bogus ,3864,3,English,USA,PG,30000000,1996,5.3,1.85,350
Don Scardino,260,100,22525921,The Incredible Burt Wonderstone ,32094,4,English,USA,PG-13,30000000,2013,5.9,2.35,13000
Mark Dindal,18,75,3562749,Cats Don't Dance ,7394,0,English,USA,G,32000000,1997,6.9,1.33,643
Tim Robbins,70,132,2899970,Cradle Will Rock ,16878,2,English,USA,R,32000000,1999,6.9,2.35,625
Steven Soderbergh,183,105,1304837,The Good German ,2355,2,English,USA,R,32000000,2006,6.1,1.66,559
Tom Reeve,12,93,,George and the Dragon ,1073,4,English,USA,PG,32000000,2004,5.7,2.35,290
Francis Ford Coppola,261,289,78800000,Apocalypse Now ,25313,1,English,USA,R,31500000,1979,8.5,2.35,19000
Nanette Burstein,167,102,17797316,Going the Distance ,2961,0,English,USA,R,32000000,2010,6.3,2.35,0
Stephen Herek,42,143,82528097,Mr. Holland's Opus ,2223,1,English,USA,PG,6500000,1995,7.3,2.35,0
Ariel Vromen,130,113,14268533,Criminal ,10910,2,English,UK,R,31500000,2016,6.3,2.35,0
Sydney Pollack,66,161,87100000,Out of Africa ,12518,0,English,USA,PG,31000000,1985,7.2,1.85,0
Robert Zemeckis,449,138,93749203,Flight ,20952,0,English,USA,R,31000000,2012,7.3,2.35,64000
Lewis Gilbert,121,126,62700000,Moonraker ,1008,2,English,UK,PG,34000000,1979,6.3,2.35,0
Wes Anderson,536,99,59073773,The Grand Budapest Hotel ,15082,0,English,USA,R,25000000,2014,8.1,1.37,149000
Scott Hicks,135,101,24185781,Hearts in Atlantis ,13811,1,English,USA,PG-13,31000000,2001,6.9,2.35,0
Frank Marshall,74,103,53133888,Arachnophobia ,1440,0,English,USA,PG-13,31000000,1990,6.3,1.85,0
Gregory Hoblit,168,118,44983704,Frequency ,4045,0,English,USA,PG-13,31000000,2000,7.3,2.35,0
Paul Feig,464,116,118099659,Ghostbusters ,2097,4,English,USA,PG-13,144000000,2016,5.5,2.35,62000
John Francis Daley,204,99,58879132,Vacation ,40312,4,English,USA,R,31000000,2015,6.1,2.35,28000
Barry Sonnenfeld,96,105,72077000,Get Shorty ,3439,4,English,USA,R,30250000,1995,6.9,1.85,0
Rob Marshall,223,113,170684505,Chicago ,813,0,English,USA,PG-13,45000000,2002,7.2,1.85,0
Dennis Dugan,112,93,163479795,Big Daddy ,26760,0,English,USA,PG-13,34200000,1999,6.4,1.85,0
J.B. Rogers,142,108,145096820,American Pie 2 ,7872,0,English,USA,R,30000000,2001,6.4,1.85,0
John Lasseter,166,74,191796233,Toy Story ,19046,1,English,USA,G,30000000,1995,8.3,1.85,0
Jan de Bont,114,116,121248145,Speed ,20966,0,English,USA,R,25000000,1994,7.2,2.35,0
Michael Sucsy,214,104,125014030,The Vow ,18322,0,English,USA,PG-13,30000000,2012,6.8,2.35,32000
Tom Vaughan,126,106,11854694,Extraordinary Measures ,17560,2,English,USA,PG,31000000,2010,6.5,1.85,0
Boaz Yakin,157,120,115648585,Remember the Titans ,54877,1,English,USA,PG,30000000,2000,7.8,2.35,0
John McTiernan,104,135,122012643,The Hunt for Red October ,2575,1,English,USA,PG,30000000,1990,7.6,2.35,0
Lee Daniels,304,132,116631310,Lee Daniels' The Butler ,20035,0,English,USA,PG-13,30000000,2013,7.2,1.85,41000
Rawson Marshall Thurber,191,92,114324072,Dodgeball: A True Underdog Story ,4730,0,English,USA,PG-13,20000000,2004,6.7,2.35,0
Barry Sonnenfeld,55,99,113502246,The Addams Family ,3696,0,English,USA,PG-13,38000000,1991,6.8,1.85,5000
Steve Oedekerk,59,90,108360000,Ace Ventura: When Nature Calls ,2203,0,English,USA,PG-13,30000000,1995,6.3,2.35,0
Garry Marshall,108,111,108244774,The Princess Diaries ,13645,2,English,USA,G,37000000,2001,6.2,1.85,0
Hugh Wilson,50,103,105444419,The First Wives Club ,3143,3,English,USA,PG,26000000,1996,6.2,1.85,0
David Fincher,216,127,100125340,Se7en ,22678,0,English,USA,R,33000000,1995,8.6,2.35,39000
Neill Blomkamp,472,112,115646235,District 9 ,2639,0,English,South Africa,R,30000000,2009,8.0,1.85,22000
Stephen Hillenburg,89,87,85416609,The SpongeBob SquarePants Movie ,20097,0,English,USA,PG,30000000,2004,7.0,1.85,0
Clint Eastwood,229,138,90135191,Mystic River ,1942,0,English,USA,R,25000000,2003,8.0,2.35,12000
Clint Eastwood,268,132,100422786,Million Dollar Baby ,28830,1,English,USA,PG-13,30000000,2004,8.1,2.35,14000
Harold Ramis,145,103,106694016,Analyze This ,24333,2,English,USA,R,30000000,1999,6.7,1.85,0
Nick Cassavetes,177,123,64286,The Notebook ,34495,0,English,USA,PG-13,29000000,2004,7.9,2.35,57000
Anne Fletcher,175,111,76806312,27 Dresses ,2978,1,English,USA,PG-13,30000000,2008,6.1,2.35,0
Peter Chelsom,131,102,79566871,Hannah Montana: The Movie ,4516,2,English,USA,G,30000000,2009,4.2,1.85,0
Stig Bergqvist,41,78,76501438,Rugrats in Paris: The Movie ,4527,0,English,Germany,G,30000000,2000,6.1,1.85,181
Barbra Streisand,30,132,74787599,The Prince of Tides ,1936,1,English,USA,R,30000000,1991,6.6,1.85,883
Edward Zwick,57,133,66528842,Legends of the Fall ,26388,2,English,USA,R,30000000,1994,7.5,1.85,11000
Jason Reitman,391,108,83813460,Up in the Air ,35209,0,English,USA,R,25000000,2009,7.4,1.85,19000
Alexander Payne,217,125,65010106,About Schmidt ,1556,1,English,USA,R,30000000,2002,7.2,1.85,0
Jonathan Levine,452,98,66359959,Warm Bodies ,337,0,English,USA,PG-13,35000000,2013,6.9,2.35,81000
Rian Johnson,589,119,66468315,Looper ,37387,0,English,USA,R,30000000,2012,7.4,2.35,75000
Chris Weitz,61,87,64172251,Down to Earth ,2911,1,English,USA,PG-13,30000000,2001,5.4,1.85,602
Chris Noonan,79,91,66600000,Babe ,1185,0,English,Australia,G,30000000,1995,6.8,1.85,5000
David Frankel,234,100,63536011,Hope Springs ,19420,2,English,USA,PG-13,30000000,2012,6.3,2.35,0
Nicholas Stoller,253,118,62877175,Forgetting Sarah Marshall ,16758,1,English,USA,R,30000000,2008,7.2,1.85,0
,51,44,,Friday Night Lights             ,3418,1,English,USA,TV-14,,,8.7,1.78,0
John Singleton,123,109,74484168,Four Brothers ,2740,3,English,USA,R,45000000,2005,6.9,2.35,0
Michael McCullers,145,99,60269340,Baby Mama ,6930,2,English,USA,PG-13,30000000,2008,6.0,1.85,0
Forest Whitaker,65,114,60033780,Hope Floats ,2860,1,English,USA,PG-13,30000000,1998,5.9,1.85,0
Gary Winick,152,89,58715510,Bride Wars ,13794,2,English,USA,PG,30000000,2009,5.4,1.85,0
Steven Brill,94,95,58156435,Without a Paddle ,1266,3,English,USA,PG-13,19000000,2004,5.9,2.35,0
Gary Winick,119,98,56044241,13 Going on 30 ,6742,1,English,USA,PG-13,37000000,2004,6.1,1.85,0
Woody Allen,487,94,56816662,Midnight in Paris ,1289,1,English,Spain,PG-13,17000000,2011,7.7,1.85,78000
Peter Lepeniotis,121,85,64238770,The Nut Job ,18795,0,English,Canada,PG,42000000,2014,5.8,1.85,0
Ted Demme,147,124,52937130,Blow ,43453,1,English,USA,R,30000000,2001,7.6,2.35,13000
Luis Mandoki,85,131,52799004,Message in a Bottle ,19815,0,English,USA,PG-13,55000000,1999,6.1,2.35,0
