actor_2_name,genres,movie_title,cast_total_facebook_likes,plot_keywords,num_user_for_reviews,language,country,budget,title_year,imdb_score,aspect_ratio
Anjelica Huston,Comedy|Drama,The Royal Tenenbaums ,14609,brother brother relationship|family relationships|father daughter relationship|genius|thrown through a window,962,English,USA,21000000,2001,7.6,2.35
Rebecca De Mornay,Mystery|Thriller,Identity ,3969,dissociative identity disorder|motel room key|murder|storm|stranded,714,English,USA,30000000,2003,7.3,2.35
Morgan Freeman,Comedy|Romance,Last Vegas ,35694,bachelor party|bloody mary the drink|bouncer|brooklyn new york city|vegas,173,English,USA,28000000,2013,6.6,2.35
Topol,Action|Adventure|Thriller,For Your Eyes Only ,2118,agent|british|ice skater|ship|spy,263,English,UK,28000000,1981,6.8,2.35
David Sparrow,Comedy|Romance,Serendipity ,37,christmas|destiny|fate|love|serendipity,374,English,USA,28000000,2001,6.9,1.85
Bruce McGill,Action|Crime|Sci-Fi|Thriller,Timecop ,2010,cop|corrupt politician|future|senator|time travel,115,English,Canada,27000000,1994,5.8,2.35
Alexander Skarsgård,Comedy,Zoolander ,34565,fashion|malaysia|male model|reporter|rival,523,English,Germany,28000000,2001,6.6,2.35
Noah Lomax,Drama|Romance|Thriller,Safe Haven ,1554,abusive husband|chick flick|north carolina|secret|widower,160,English,USA,28000000,2013,6.7,2.35
Omri Katz,Comedy|Family|Fantasy,Hocus Pocus ,1275,candle|cat|halloween|spell|virgin,132,English,USA,28000000,1993,6.7,1.85
Lily Rabe,Comedy|Drama|Romance,No Reservations ,3497,chef|cooking|guardian|kitchen|restaurant,128,English,USA,28000000,2007,6.3,2.35
Deborah Twiss,Action|Comedy,Kick-Ass ,2357,comic book|female killer|hit in the crotch|narrated by character|reference to batman,801,English,UK,30000000,2010,7.7,2.35
Dilshad Vadsaria,Action|Comedy|Crime,30 Minutes or Less ,1987,bank heist|bank robbery|heist gone wrong|pizza delivery boy|unlikely criminal,122,English,Germany,28000000,2011,6.1,2.35
Danny Masterson,Action|Fantasy|Horror|Thriller,Dracula 2000 ,23344,dracula|gothic|painting|rescue|van helsing,365,English,USA,28000000,2000,4.9,2.35
Steve Carell,Comedy|Family,Alexander and the Terrible, Horrible, No Good, Very Bad Day ,47677,bad day|based on book|birthday|job interview|long title,85,English,USA,28000000,2014,6.2,2.39
Brenda Blethyn,Drama|Romance,Pride & Prejudice ,1083,bachelor|england|gentleman|georgian|love,1058,English,France,28000000,2005,7.8,2.35
Sean Young,Sci-Fi|Thriller,Blade Runner ,13877,artificial intelligence|human android relationship|megacorporation|police detective|tech noir,1168,English,USA,28000000,1982,8.2,2.35
