director_name,num_critic_for_reviews,duration,actor_2_name,gross,genres,num_voted_users,facenumber_in_poster,country,content_rating,imdb_score
Jerry Jameson,32,119,Jason Robards,7000000,Action|Adventure|Drama|Thriller,2933,0,UK,PG,4.7
Mic Rodgers,75,83,Daniel von Bargen,10431220,Action|Sci-Fi,24216,0,USA,R,4.1
Christian Alvart,219,108,Dennis Quaid,10326062,Action|Horror|Mystery|Sci-Fi|Thriller,121432,0,Germany,R,6.8
Gary Fleder,83,102,Mekhi Phifer,6114237,Drama|Mystery|Sci-Fi|Thriller,19986,4,USA,R,6.2
Christian Duguay,53,93,Bridgette Wilson-Sampras,4835968,Action|Adventure|Thriller,4821,0,UK,PG-13,4.5
Jean-Marie Poiré,61,84,Matt Ross,4777007,Comedy|Fantasy|Sci-Fi,15130,3,France,PG-13,5.8
Danny Boyle,308,107,Benedict Wong,3675072,Adventure|Sci-Fi|Thriller,190132,0,UK,R,7.3
Brian Robbins,70,91,Lou Saliba,18438149,Comedy|Drama,30842,8,USA,PG-13,5.9
Marc F. Adler,41,94,Anne Bancroft,511920,Adventure|Animation|Comedy|Fantasy|Romance,2458,1,USA,PG,4.4
Pierre Morel,224,115,Mark Rylance,10640645,Action|Crime|Drama|Mystery|Thriller,28429,0,USA,R,5.8
Geoffrey Sax,66,93,Sophie Okonedo,652526,Action|Adventure|Family|Thriller,20201,3,Germany,PG,5.1
D.J. Caruso,253,105,Aaron Yoo,80050171,Drama|Mystery|Thriller,186982,0,USA,PG-13,6.9
Iain Softley,79,107,Fisher Stevens,7564000,Comedy|Crime|Drama|Thriller,54650,1,USA,PG-13,6.2
Richard Shepard,94,101,Zan Marolt,876671,Adventure|Comedy|Drama|Romance|Thriller|War,22010,2,USA,R,6.9
Joel Coen,77,111,Bill Cobbs,2869369,Comedy|Fantasy,65474,2,UK,PG,7.3
Peter Ho-Sun Chan,106,113,Takeshi Kaneshiro,128978,Action|Drama|History|Romance|War,22897,2,Hong Kong,R,7.1
Sergey Bodrov,30,112,Kuno Becker,77231,Drama|History|War,3322,0,France,R,6.0
Joon-ho Bong,488,126,Ewen Bremner,4563029,Action|Drama|Sci-Fi|Thriller,181472,5,South Korea,R,7.0
Bibo Bergeron,63,90,Bob Balaban,,Adventure|Animation|Comedy|Fantasy|Music|Romance,15790,0,France,PG,6.8
