num_critic_for_reviews,actor_3_facebook_likes,actor_2_name,gross,genres,movie_title,num_voted_users,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,language,imdb_score,aspect_ratio,movie_facebook_likes
47,182,Paul Guilfoyle,17305211,Crime|Drama|Mystery|Thriller,Extreme Measures ,14066,24547,Bill Nunn,0,English,6.1,2.35,352
107,108,Dagmara Dominczyk,16991902,Drama|Music,Rock Star ,34592,1265,Matthew Glave,0,English,6.2,2.35,0
323,736,Gabourey Sidibe,47536959,Drama,Precious ,86955,3277,Mariah Carey,0,English,7.3,1.85,12000
37,982,Jason Marsden,10300000,Adventure|Drama,White Squall ,17859,16237,Ethan Embry,4,English,6.6,2.35,911
297,145,Richard Masur,13782838,Horror|Mystery|Sci-Fi,The Thing ,258078,1757,David Clennon,0,English,8.2,2.35,23000
302,904,Nolan Gerard Funk,41997790,Action|Sci-Fi|Thriller,Riddick ,125305,17551,Bokeem Woodbine,0,English,6.4,2.35,39000
38,12,Claudia Stedelin,6482195,Crime|Mystery|Thriller,Switchback ,9740,74,Ted Markland,1,English,6.4,2.35,389
31,427,Usher Raymond,623374,Action|Adventure|Drama|Thriller|Western,Texas Rangers ,4757,2120,Leonor Varela,2,English,5.2,2.35,474
118,260,Toby Jones,7871693,Adventure|Family|Fantasy|Sci-Fi,City of Ember ,52908,15494,Harry Treadaway,0,English,6.5,2.35,0
546,15,Jeffrey W. Jenkins,16377274,Drama,The Master ,105144,427,Bruce Goodchild,31,English,7.1,1.85,27000
21,217,Ryan Cartwright,,Adventure|Comedy|History|Romance,Virgin Territory ,6691,4900,David Walliams,2,English,4.8,1.85,366
86,534,Nicole Beharie,9589875,Biography|Drama|Sport,The Express ,16673,5162,Charles S. Dutton,0,English,7.3,2.35,0
194,724,Maggie Siff,34912982,Action|Adventure|Sci-Fi|Thriller,The 5th Wave ,55617,19974,Nick Robinson,0,English,5.2,2.35,14000
437,531,Phylicia Rashad,109712885,Drama|Sport,Creed ,146708,15106,Graham McTavish,1,English,7.7,2.35,70000
378,206,Jon Hamm,92173235,Crime|Drama|Thriller,The Town ,280228,14296,Owen Burke,7,English,7.6,2.35,29000
170,651,Dennis Quaid,41102171,Comedy|Drama|Romance,What to Expect When You're Expecting ,57266,13396,Thomas Lennon,12,English,5.7,2.35,14000
341,681,Brad Pitt,60338891,Comedy|Drama,Burn After Reading ,248468,36093,Kevin Sussman,0,English,7.0,1.85,0
139,35,Anthony Simcoe,48006503,Adventure|Comedy|Family|Fantasy,Nim's Island ,28109,18178,Christopher James Baker,3,English,6.0,2.35,0
393,471,Olivia Wilde,26903709,Action|Biography|Drama|Sport,Rush ,312629,37206,Alexandra Maria Lara,0,English,8.1,2.35,83000
224,272,Neil Flynn,22450975,Drama,Magnolia ,241030,1906,Jim Meskimen,1,English,8.0,2.35,13000
203,574,Tracy Morgan,44867349,Action|Comedy|Crime,Cop Out ,75347,14483,Kevin Pollak,2,English,5.6,2.35,0
148,591,Damon Wayans Jr.,46813366,Comedy|Romance,How to Be Single ,39440,4882,Nicholas Braun,4,English,6.1,2.35,15000
131,631,Michael Roark,72279690,Drama|Family,Dolphin Tale ,17948,14209,Harry Connick Jr.,5,English,6.9,1.85,0
350,10000,Taylor Lautner,191449475,Drama|Fantasy|Romance,Twilight ,348007,44060,Anna Kendrick,1,English,5.2,2.35,19000
129,644,Laura Harring,71026631,Crime|Drama|Thriller,John Q ,98899,20970,Anne Heche,1,English,7.0,1.85,0
40,405,Dave Chappelle,68208190,Action|Comedy|Crime|Thriller,Blue Streak ,60572,2986,Tamala Jones,1,English,6.3,1.85,0
