director_name,duration,actor_2_name,genres,num_voted_users,actor_3_name,facenumber_in_poster,num_user_for_reviews,content_rating,title_year,actor_2_facebook_likes,imdb_score
Jim Gillespie,99,Sarah Michelle Gellar,Horror|Mystery|Thriller,105585,Anne Heche,1,419,R,1997,4000,5.6
Luke Greenfield,104,Damon Wayans Jr.,Comedy,106820,James D'Arcy,1,147,R,2014,756,6.5
Alexander Payne,126,Patrick Gallagher,Adventure|Comedy|Drama|Romance,149966,M.C. Gainey,0,835,R,2004,306,7.5
Jay Chandrasekhar,110,Owain Yeoman,Comedy,54710,Jay Chandrasekhar,2,177,R,2006,459,6.3
John Carpenter,101,Donald Pleasence,Horror|Thriller,157857,P.J. Soles,0,1191,R,1978,742,7.9
Yimou Zhang,80,Tony Chiu Wai Leung,Action|Adventure|History,149414,Maggie Cheung,4,841,PG-13,2002,643,7.9
John Hoffman,87,Molly Shannon,Comedy|Drama|Family|Fantasy|Sci-Fi,3407,Kevin Nealon,1,48,PG,2003,636,5.1
Malcolm D. Lee,123,Sanaa Lathan,Comedy|Drama,11600,Eddie Cibrian,5,64,R,2013,886,6.7
Joe Carnahan,109,Common,Action|Crime|Drama|Thriller,121058,Alex Rocco,0,482,R,2006,988,6.7
Kevin Greutert,90,Gina Holden,Horror|Mystery,67978,Betsy Russell,0,279,R,2010,346,5.6
Michael Lehmann,96,Vinessa Shaw,Comedy|Romance,62272,Paulo Costanzo,0,207,R,2002,580,5.6
Joseph Kosinski,125,Olivia Wilde,Action|Adventure|Sci-Fi,264186,James Frain,0,665,PG,2010,10000,6.8
John Fortenberry,82,Chris Kattan,Comedy|Music|Romance,48458,Dan Hedaya,2,239,PG-13,1998,357,6.2
Daniel Barnz,86,Mary-Kate Olsen,Drama|Fantasy|Romance,64190,Erik Knudsen,1,129,PG-13,2011,976,5.6
Alexandre Aja,108,Greg Nicotero,Horror,129719,Vinessa Shaw,0,855,R,2006,1000,6.4
Sam Weisman,98,Jenna Boyd,Comedy,11815,Mary McCormack,1,117,PG-13,2003,517,5.6
Niki Caro,129,Valente Rodriguez,Biography|Drama|Sport,23480,Diana Maria Riva,0,83,PG,2015,234,7.4
Erik White,99,Loretta Devine,Comedy,7991,Shad Moss,7,30,PG-13,2010,912,4.9
Chris Robinson,105,Adam Boyer,Comedy|Crime|Drama|Music|Romance,8522,Malika,0,92,PG-13,2006,503,6.0
Jason Moore,112,Hana Mae Lee,Comedy|Music|Romance,213898,Ben Platt,4,250,PG-13,2012,751,7.2
Michael Tollin,108,Brian Dennehy,Comedy|Drama|Romance|Sport,12993,Bruce Davison,2,107,PG-13,2001,954,4.9
Sam Raimi,121,Bridget Fonda,Crime|Drama|Thriller,50656,Chelcie Ross,1,416,R,1998,888,7.5
Robert Harmon,89,Ethan Embry,Horror|Mystery|Thriller,10885,Marc Blucas,0,271,PG-13,2002,982,4.8
Trent Cooper,89,Larry the Cable Guy,Comedy|Romance,9104,Megyn Price,2,112,PG-13,2006,400,3.1
Gary Halvorson,73,Kevin Clash,Adventure|Comedy|Family|Fantasy|Musical,2045,Caroll Spinney,0,37,G,1999,436,5.8
Antoine Fuqua,132,Lili Taylor,Crime|Drama|Thriller,52852,Armando Riesco,1,138,R,2009,960,6.7
Nicholas Ray,154,David Niven,Action|Adventure|Drama|History|War,4550,John Ireland,3,50,Unrated,1963,490,6.8
Fede Alvarez,96,Elizabeth Blackmore,Horror,125016,Ellen Sandweiss,0,789,R,2013,150,6.5
Donald Petrie,98,Harland Williams,Comedy|Romance,15033,Rachel Dratch,1,75,PG-13,2009,503,5.9
Paul Weitz,107,Dennis Quaid,Comedy|Music,22639,Chris Klein,6,217,PG-13,2006,2000,5.5
Sidney J. Furie,134,Margot Kidder,Action|Adventure|Family|Sci-Fi,33570,William Hootkins,6,259,PG,1987,593,3.6
Ian Iqbal Rashid,94,Clé Bennett,Drama,4600,Conrad Coates,0,18,PG-13,2007,122,3.3
Wayne Kramer,122,Chazz Palminteri,Action|Crime|Drama|Thriller,88590,Ivana Milicevic,2,419,R,2006,979,7.4
Rowdy Herrington,128,Jeremy Northam,Biography|Drama|Romance|Sport,3222,Paul Freeman,3,64,PG,2004,327,6.7
Jim Goddard,97,Paul Freeman,Adventure|Crime|Drama|Romance,4081,Clyde Kusatsu,0,28,PG-13,1986,193,3.0
Neil Burger,110,Eddie Marsan,Drama|Mystery|Romance|Thriller,295375,Jake Wood,3,645,PG-13,2006,979,7.6
Noel Marshall,102,Melanie Griffith,Adventure|Horror|Thriller,1275,Zakes Mokae,0,27,PG,1981,537,6.4
Joel Schumacher,98,David Murray,Biography|Crime|Drama|Thriller,16234,Gerard McSorley,1,113,R,2003,96,6.9
Andrea Di Stefano,120,Brady Corbet,Crime|Drama|Romance|Thriller,13762,Carlos Bardem,1,39,R,2014,287,6.6
Richard Kelly,160,Curtis Armstrong,Comedy|Mystery|Sci-Fi|Thriller,32671,Chris Andrew Ciulla,6,238,R,2006,876,5.5
Guillaume Ivernel,80,Jess Harnell,Adventure|Animation|Family|Fantasy,10706,Mary Mouser,0,39,PG,2008,262,6.6
Jack Smight,91,Jan-Michael Vincent,Sci-Fi,3701,Paul Winfield,0,71,PG,1977,642,5.2
Todd Lincoln,83,Rick Gomez,Horror|Thriller,16268,Tim Williams,1,108,PG-13,2012,152,4.1
Howard Zieff,102,Jamie Lee Curtis,Comedy|Drama|Family|Romance,55895,Griffin Dunne,1,115,PG-13,1991,2000,6.8
Steven Shainberg,122,Ty Burrell,Biography|Drama|Romance,13239,Matt Servitto,2,97,R,2006,3000,6.5
Neil Burger,110,Eddie Marsan,Drama|Mystery|Romance|Thriller,295375,Jake Wood,3,645,PG-13,2006,979,7.6
Oliver Stone,126,Tamara Tunie,Crime|Drama,119150,James Karen,2,219,R,1987,508,7.4
Ang Lee,136,Kate Winslet,Drama|Romance,78392,Tom Wilkinson,2,196,PG,1995,14000,7.7
Julian Jarrold,120,Julie Walters,Biography|Drama|Romance,46204,Laurence Fox,1,151,PG,2007,838,7.1
Joe Nussbaum,108,Matt Long,Comedy|Romance,37700,Samm Levine,2,50,PG-13,2007,701,6.3
Vadim Perelman,126,Kim Dickens,Drama,56665,Ron Eldard,0,469,R,2003,624,7.6
Peter Weir,128,Josh Charles,Comedy|Drama,277451,Kurtwood Smith,0,491,PG,1989,1000,8.0
Peter Farrelly,113,Mike Starr,Comedy,288451,Teri Garr,2,438,PG-13,1994,854,7.3
Rob Reiner,89,Gretchen Palmer,Comedy|Drama|Romance,149108,Harley Jane Kozak,0,273,R,1989,73,7.6
Sidney Lumet,129,James Mason,Drama,26310,Jack Warden,0,154,R,1982,617,7.8
Todd Phillips,94,Rachel Blanchard,Comedy,132963,Paulo Costanzo,5,302,R,2000,490,6.5
Brian Robbins,106,Ron Lester,Comedy|Drama|Romance|Sport,35312,Mark Walters,0,267,R,1999,255,6.4
Michel Hazanavicius,100,Ed Lauter,Comedy|Drama|Romance,190030,Beth Grant,0,583,PG-13,2011,897,8.0
David S. Goyer,89,Atticus Shaffer,Drama|Fantasy|Horror|Mystery|Thriller,42182,Rachel Brosnahan,1,230,PG-13,2009,787,4.8
Wes Anderson,94,Bill Murray,Adventure|Comedy|Drama|Romance,237848,Bob Balaban,2,377,PG-13,2012,13000,7.8
Jonathan Liebesman,83,Jordana Brewster,Horror,56269,Lew Temple,0,366,R,2006,4000,5.9
Cyrus Nowrasteh,111,Vincent Walsh,Drama,1449,Finn Ireland,0,30,PG-13,2016,118,5.4
Perry Andelin Blake,80,Kenan Thompson,Comedy|Family,18254,James Brolin,2,307,PG,2002,521,3.3
Guillermo del Toro,112,Maribel Verdú,Drama|Fantasy|War,467234,Sergi López,0,1083,R,2006,269,8.2
,60,Jessika Van,Drama|Fantasy|Mystery|Thriller,7210,Riley Smith,0,57,,,921,6.6
John Whitesell,94,Angus T. Jones,Action|Comedy|Crime|Family,7392,Paul Sorvino,0,53,PG,2001,1000,5.4
