director_name,duration,director_facebook_likes,actor_3_facebook_likes,movie_title,num_voted_users,actor_3_name,facenumber_in_poster,plot_keywords,num_user_for_reviews,language,content_rating,budget,title_year,movie_facebook_likes
,60,,109,Space: Above and Beyond             ,6381,Kristen Cloke,0,alien|born in vitro|in vitro fertilization|marine|outer space,79,English,,5000000,,963
Sadyk Sher-Niyaz,135,135,0,Queen of the Mountains ,3144,Mirlan Abdulayev,1,19th century|central asia|mother son relationship|ruler|russian empire,24,English,PG-13,1400000,2014,0
Paul Donovan,88,4,13,Def-Con 4 ,1339,Tim Choate,0,canuxploitation|independent film|post apocalypse|remake|survival,46,English,R,1750000,1985,220
Jonathan Kesselman,87,4,624,The Hebrew Hammer ,4182,Tony Cox,1,blaxploitation|hanukkah|jewish|kwanzaa|santa claus,53,English,R,1000000,2003,3000
Arjun Sablok,97,0,40,Neal 'N' Nikki ,1167,Samantha McLeod,2,interrupted sex|kiss|love|mistaken sex scene|sex in car,24,English,,1500000,2005,66
Craig Moss,82,19,134,The 41-Year-Old Virgin Who Knocked Up Sarah Marshall and Felt Superbad About It ,5579,Matt Crabtree,3,masturbation|porn actor in mainstream movie|sex|spoof|virginity,42,English,R,1300000,2010,0
Tyler Oliver,103,0,511,Forget Me Not ,4866,Christopher Atkins,1,,38,English,R,1300000,2009,969
Alfred Hitchcock,130,13000,333,Rebecca ,87424,George Sanders,2,death|estate|housekeeper|love|monte carlo,276,English,Not Rated,1288000,1940,0
Steve Miner,87,49,59,Friday the 13th Part 2 ,39690,Amy Steel,0,ice pick|jason voorhees|lake|pitchfork|shack,394,English,R,1250000,1981,0
Billy Wilder,101,0,66,The Lost Weekend ,24959,Frank Faylen,4,addiction|alcoholic|alcoholism|paranoia|suicidal thoughts,136,English,Not Rated,1250000,1945,0
Douglas Cheek,96,4,132,C.H.U.D. ,7528,Sam McMurray,0,bum|city|mutant|new york city|street,88,English,R,1250000,1984,0
Youssef Delara,80,8,183,Filly Brown ,910,Jorge Diaz,1,,11,English,R,427000,2012,0
