num_critic_for_reviews,duration,genres,num_voted_users,movie_imdb_link,num_user_for_reviews,content_rating,title_year,aspect_ratio
73,119,Comedy|Drama|Family|Romance,22304,http://www.imdb.com/title/tt1018785/?ref_=fn_tt_tt_1,33,PG-13,2008,1.85
98,118,Comedy|Music,6476,http://www.imdb.com/title/tt1710396/?ref_=fn_tt_tt_1,71,PG-13,2012,2.35
158,101,Comedy|Drama|Romance,144021,http://www.imdb.com/title/tt0276751/?ref_=fn_tt_tt_1,391,PG-13,2002,2.35
152,82,Action|Comedy|Horror,42761,http://www.imdb.com/title/tt0139414/?ref_=fn_tt_tt_1,366,R,1999,2.35
202,110,Crime|Drama|Mystery|Thriller,262153,http://www.imdb.com/title/tt0425210/?ref_=fn_tt_tt_1,507,R,2006,2.35
80,193,Adventure|Drama|History,45271,http://www.imdb.com/title/tt0086197/?ref_=fn_tt_tt_1,170,PG,1983,1.85
288,130,Drama|History|Thriller,34488,http://www.imdb.com/title/tt1521197/?ref_=fn_tt_tt_1,136,PG-13,2011,2.35
99,94,Adventure|Drama|Family|Fantasy,99557,http://www.imdb.com/title/tt0088323/?ref_=fn_tt_tt_1,284,PG,1984,2.35
222,111,Action|Drama|Fantasy|Mystery|Sci-Fi|Thriller,156929,http://www.imdb.com/title/tt0118929/?ref_=fn_tt_tt_1,624,R,1998,2.35
194,110,Biography|Drama|History|Romance,61777,http://www.imdb.com/title/tt0864761/?ref_=fn_tt_tt_1,140,PG-13,2008,2.35
15,30,Comedy|Family,3446,http://www.imdb.com/title/tt0042114/?ref_=fn_tt_tt_1,31,,,1.33
56,109,Adventure|Family|Fantasy|Horror|Mystery,19568,http://www.imdb.com/title/tt0089908/?ref_=fn_tt_tt_1,208,PG,1985,1.85
63,123,Action|Crime|Drama|History|Western,8309,http://www.imdb.com/title/tt0120769/?ref_=fn_tt_tt_1,39,PG-13,1998,2.35
167,109,Horror|Mystery|Thriller,60555,http://www.imdb.com/title/tt0795351/?ref_=fn_tt_tt_1,174,R,2009,2.35
101,99,Crime|Drama|Mystery|Thriller,16555,http://www.imdb.com/title/tt0324127/?ref_=fn_tt_tt_1,139,R,2004,1.33
118,106,Comedy|Drama|Family,17436,http://www.imdb.com/title/tt0415965/?ref_=fn_tt_tt_1,71,PG,2007,1.85
76,89,Action|Adventure|Comedy|Family|Sci-Fi,15866,http://www.imdb.com/title/tt1517489/?ref_=fn_tt_tt_1,83,PG,2011,1.85
268,98,Crime|Drama|Thriller,19611,http://www.imdb.com/title/tt2241351/?ref_=fn_tt_tt_1,103,R,2016,2.35
95,93,Action|Comedy|Crime|Thriller,42876,http://www.imdb.com/title/tt0227984/?ref_=fn_tt_tt_1,167,R,2001,2.35
78,112,Comedy|Crime|Drama,14612,http://www.imdb.com/title/tt0155711/?ref_=fn_tt_tt_1,105,R,1999,1.85
127,101,Crime|Horror|Mystery|Thriller,49405,http://www.imdb.com/title/tt0297284/?ref_=fn_tt_tt_1,226,R,2004,2.35
137,104,Comedy|Drama,23767,http://www.imdb.com/title/tt0486674/?ref_=fn_tt_tt_1,111,R,2008,2.35
54,120,Drama|Thriller,4257,http://www.imdb.com/title/tt0340376/?ref_=fn_tt_tt_1,52,R,2003,1.85
38,135,Drama|Musical|Romance,926,http://www.imdb.com/title/tt0475331/?ref_=fn_tt_tt_1,19,,2006,2.35
167,91,Action|Comedy|Crime,84209,http://www.imdb.com/title/tt1114740/?ref_=fn_tt_tt_1,201,PG,2009,1.85
129,97,Comedy|Family|Fantasy|Music|Romance,96693,http://www.imdb.com/title/tt0322330/?ref_=fn_tt_tt_1,271,PG,2003,1.85
217,133,Comedy|Romance,313797,http://www.imdb.com/title/tt0405422/?ref_=fn_tt_tt_1,546,R,2005,1.85
134,123,Comedy|Drama|Romance,175524,http://www.imdb.com/title/tt0138097/?ref_=fn_tt_tt_1,752,R,1998,2.35
253,114,Crime|Drama|Mystery|Thriller,87950,http://www.imdb.com/title/tt0365907/?ref_=fn_tt_tt_1,207,R,2014,2.35
46,111,Action|Comedy|Crime,107801,http://www.imdb.com/title/tt0099938/?ref_=fn_tt_tt_1,109,PG-13,1990,1.85
232,117,Action|Comedy|Crime,255257,http://www.imdb.com/title/tt0910936/?ref_=fn_tt_tt_1,374,R,2008,2.35
92,121,Comedy|Drama|Romance,57958,http://www.imdb.com/title/tt0120631/?ref_=fn_tt_tt_1,345,PG-13,1998,2.35
153,139,Drama|Romance|Western,54096,http://www.imdb.com/title/tt0316356/?ref_=fn_tt_tt_1,494,R,2003,2.35
49,115,Drama|Horror|Sci-Fi|Thriller,62037,http://www.imdb.com/title/tt0099582/?ref_=fn_tt_tt_1,148,R,1990,2.35
79,22,Comedy,133415,http://www.imdb.com/title/tt0472954/?ref_=fn_tt_tt_1,151,TV-MA,,1.33
56,175,Drama|History|War,40277,http://www.imdb.com/title/tt0075784/?ref_=fn_tt_tt_1,210,PG,1977,2.35
224,85,Mystery|Thriller,94108,http://www.imdb.com/title/tt0421239/?ref_=fn_tt_tt_1,673,PG-13,2005,2.35
175,90,Horror|Thriller,120786,http://www.imdb.com/title/tt0309593/?ref_=fn_tt_tt_1,472,R,2003,1.85
197,107,Adventure|Comedy|Crime|Music,225102,http://www.imdb.com/title/tt0190590/?ref_=fn_tt_tt_1,862,PG-13,2000,2.35
226,100,Action|Fantasy|Horror,80870,http://www.imdb.com/title/tt1038686/?ref_=fn_tt_tt_1,315,R,2010,2.35
335,129,Comedy|Crime|Drama,161168,http://www.imdb.com/title/tt1980209/?ref_=fn_tt_tt_1,287,R,2013,2.35
157,109,Comedy|Drama|Romance,48973,http://www.imdb.com/title/tt0385267/?ref_=fn_tt_tt_1,214,PG-13,2004,1.85
69,94,Action|Adventure|Comedy|Sci-Fi|Thriller,11212,http://www.imdb.com/title/tt0157472/?ref_=fn_tt_tt_1,94,PG,2002,1.85
46,133,Action|Crime|Drama|Western,28247,http://www.imdb.com/title/tt0090022/?ref_=fn_tt_tt_1,149,PG-13,1985,2.35
217,105,Drama|Thriller,88035,http://www.imdb.com/title/tt0765010/?ref_=fn_tt_tt_1,201,R,2009,2.35
55,100,Action|Adventure|Comedy|Family|Romance|Sci-Fi,11092,http://www.imdb.com/title/tt0358349/?ref_=fn_tt_tt_1,44,PG,2004,2.35
200,113,Comedy|Romance,66579,http://www.imdb.com/title/tt1598822/?ref_=fn_tt_tt_1,134,PG-13,2011,1.85
93,118,Drama|Mystery|Romance|Thriller,44913,http://www.imdb.com/title/tt0218922/?ref_=fn_tt_tt_1,181,R,2001,2.35
265,110,Crime|Mystery|Thriller,72886,http://www.imdb.com/title/tt1486192/?ref_=fn_tt_tt_1,190,R,2012,2.35
82,110,Comedy|Romance,10667,http://www.imdb.com/title/tt0361925/?ref_=fn_tt_tt_1,95,PG-13,2004,1.85
32,99,Action|Fantasy|Romance|Sci-Fi,16194,http://www.imdb.com/title/tt0110027/?ref_=fn_tt_tt_1,79,PG-13,1994,2.35
42,101,Crime|Drama|Thriller,7772,http://www.imdb.com/title/tt0115710/?ref_=fn_tt_tt_1,55,R,1996,1.85
22,100,Fantasy|Horror,8118,http://www.imdb.com/title/tt0119227/?ref_=fn_tt_tt_1,69,R,1997,1.85
116,103,Comedy|Crime|Mystery|Romance,31798,http://www.imdb.com/title/tt0256524/?ref_=fn_tt_tt_1,178,PG-13,2001,1.37
56,100,Comedy|Romance,5006,http://www.imdb.com/title/tt1137470/?ref_=fn_tt_tt_1,28,PG-13,2015,1.85
23,95,Adventure|Family,8008,http://www.imdb.com/title/tt0116322/?ref_=fn_tt_tt_1,26,PG,1996,2.35
178,117,Action|Mystery|Sci-Fi|Thriller,57674,http://www.imdb.com/title/tt2140379/?ref_=fn_tt_tt_1,126,PG-13,2015,2.35
226,129,Drama|Mystery|Romance|Thriller,111351,http://www.imdb.com/title/tt0387131/?ref_=fn_tt_tt_1,568,R,2005,1.85
406,120,Drama,179235,http://www.imdb.com/title/tt0335345/?ref_=fn_tt_tt_1,2814,R,2004,2.35
57,125,Comedy|Drama|Family|Romance,181380,http://www.imdb.com/title/tt0107614/?ref_=fn_tt_tt_1,223,PG-13,1993,2.35
100,133,Drama,383784,http://www.imdb.com/title/tt0095953/?ref_=fn_tt_tt_1,331,R,1988,1.85
366,116,Drama,561773,http://www.imdb.com/title/tt1205489/?ref_=fn_tt_tt_1,871,R,2008,2.35
242,129,Biography|Drama|History,40941,http://www.imdb.com/title/tt1175491/?ref_=fn_tt_tt_1,320,PG-13,2008,2.35
309,93,Action|Thriller,483756,http://www.imdb.com/title/tt0936501/?ref_=fn_tt_tt_1,974,PG-13,2008,2.35
85,118,Drama|Romance,43084,http://www.imdb.com/title/tt1972779/?ref_=fn_tt_tt_1,99,PG-13,2014,2.35
48,129,Action|Drama|Music|Romance,89972,http://www.imdb.com/title/tt0103855/?ref_=fn_tt_tt_1,126,R,1992,1.85
174,185,Biography|Drama|History,865020,http://www.imdb.com/title/tt0108052/?ref_=fn_tt_tt_1,1273,R,1993,1.85
373,146,Drama,318955,http://www.imdb.com/title/tt1454029/?ref_=fn_tt_tt_1,460,PG-13,2011,1.85
224,128,Biography|Drama|Thriller,29282,http://www.imdb.com/title/tt1837703/?ref_=fn_tt_tt_1,105,R,2013,2.35
94,93,Adventure|Comedy|Family|Fantasy|Horror|Mystery,33180,http://www.imdb.com/title/tt0331632/?ref_=fn_tt_tt_1,149,PG,2004,1.85
25,107,Adventure|Fantasy|Mystery|Thriller,3170,http://www.imdb.com/title/tt1224378/?ref_=fn_tt_tt_1,18,,2014,1.85
273,97,Action|Horror|Thriller,89101,http://www.imdb.com/title/tt0329101/?ref_=fn_tt_tt_1,885,R,2003,2.35
78,101,Drama,2863,http://www.imdb.com/title/tt2967008/?ref_=fn_tt_tt_1,25,Not Rated,2014,2.35
66,82,Action|Adventure|Animation|Comedy|Family|Sci-Fi,23943,http://www.imdb.com/title/tt0268397/?ref_=fn_tt_tt_1,118,G,2001,1.85
459,85,Action|Adventure|Horror|Sci-Fi,296787,http://www.imdb.com/title/tt1060277/?ref_=fn_tt_tt_1,2192,PG-13,2008,1.85
68,88,Action|Adventure|Comedy|Family|Sci-Fi,42765,http://www.imdb.com/title/tt0103060/?ref_=fn_tt_tt_1,93,PG,1991,1.85
123,119,Crime|Drama|Thriller,219008,http://www.imdb.com/title/tt0094226/?ref_=fn_tt_tt_1,418,R,1987,2.35
488,122,Crime|Drama|Thriller,612060,http://www.imdb.com/title/tt0477348/?ref_=fn_tt_tt_1,1518,R,2007,2.35
146,99,Action|Comedy|Crime|Romance,75903,http://www.imdb.com/title/tt1408253/?ref_=fn_tt_tt_1,109,PG-13,2014,2.35
168,97,Comedy|Drama|Romance,171568,http://www.imdb.com/title/tt0243155/?ref_=fn_tt_tt_1,571,R,2001,2.35
152,121,Drama|Romance,150308,http://www.imdb.com/title/tt0241303/?ref_=fn_tt_tt_1,498,PG-13,2000,1.85
133,95,Comedy,46417,http://www.imdb.com/title/tt0333780/?ref_=fn_tt_tt_1,297,PG-13,2003,1.85
139,105,Comedy|Family,21176,http://www.imdb.com/title/tt1047540/?ref_=fn_tt_tt_1,107,PG,2012,1.85
245,108,Comedy|Romance,168717,http://www.imdb.com/title/tt1411238/?ref_=fn_tt_tt_1,178,R,2011,2.35
84,134,Action|Biography|Drama|History|Romance|Western,95241,http://www.imdb.com/title/tt0108358/?ref_=fn_tt_tt_1,439,R,1993,2.35
70,115,Action|Crime|Thriller,57040,http://www.imdb.com/title/tt0165929/?ref_=fn_tt_tt_1,365,R,2000,2.35
154,107,Fantasy|Horror|Mystery,80958,http://www.imdb.com/title/tt0075005/?ref_=fn_tt_tt_1,310,R,1976,2.35
