actor_3_facebook_likes,num_voted_users,facenumber_in_poster,title_year,actor_2_facebook_likes
582,72868,2,2004,1000
246,31124,1,2006,729
585,177653,1,2013,1000
182,44891,0,2014,358
497,86504,0,2002,655
10000,184637,3,2010,17000
580,101899,0,2001,10000
975,385943,0,2010,2000
97,32224,1,1995,220
3000,117739,0,2015,11000
334,52496,2,2009,451
776,53970,4,1999,855
681,103230,3,2011,919
680,133526,1,1999,826
531,27481,0,2016,562
135,174248,1,2008,149
982,80338,2,2010,1000
911,128629,0,2012,3000
232,88132,1,1999,427
359,15114,1,,363
745,85720,0,1998,826
112,29285,0,2007,394
13000,881236,2,1998,14000
464,136954,1,2014,3000
912,158864,1,2000,955
835,328159,0,2002,939
354,75573,1,2003,599
655,197412,0,2012,826
99,1217752,3,1999,145
552,208817,0,1995,968
217,240241,0,1990,308
775,34561,0,2002,857
11000,243834,1,2012,13000
744,151812,2,1998,793
105,212499,2,2008,3000
94,135404,0,1998,174
490,272789,3,2010,561
465,103589,0,2014,698
416,60165,1,2000,495
369,96096,1,1993,730
461,77390,2,1996,517
577,34473,1,2000,718
625,67395,0,2006,1000
403,61490,1,2003,4000
174,213863,0,2012,346
521,227071,1,1999,580
929,24735,6,2014,1000
523,149337,0,2015,806
520,147641,3,2012,1000
957,132954,0,2004,1000
919,41776,0,1984,1000
210,23940,0,1998,317
974,104831,0,2012,1000
805,166610,4,2008,872
263,60508,2,1996,380
184,49300,1,2000,192
539,67707,0,2005,14000
637,1347461,2,1999,783
383,46951,0,2006,529
575,8739,0,,773
554,43376,0,1991,773
506,8560,1,2000,909
568,65709,0,2014,593
25,25474,0,2005,85
1000,71202,0,2005,1000
6000,111102,3,2014,13000
970,17025,1,1999,1000
221,134625,0,2015,580
16,190490,0,2006,27
481,162909,2,2002,522
668,25681,1,2009,9000
191,613473,0,1993,610
812,35314,0,1994,925
672,69663,1,1994,913
7,11584,3,2015,18
723,39471,1,2006,862
563,65297,0,2000,919
452,43027,0,1995,517
645,43300,6,2008,966
867,38076,2,2001,904
1000,272839,1,2015,1000
970,129995,2,2007,1000
439,24089,0,2011,664
447,607235,0,2006,13000
708,211296,6,2004,713
664,116681,0,2008,899
693,782610,0,1999,745
311,99989,3,2007,330
397,63912,0,2005,729
625,569841,0,2014,812
73,407601,1,2002,147
345,199025,2,1995,387
475,42705,0,1999,501
576,667983,1,1998,617
145,91093,2,1998,263
522,49486,1,2003,955
459,156898,1,2013,497
405,46031,0,2001,664
82,285623,6,2003,9000
268,85673,2,2002,976
754,124641,0,1998,11000
721,83506,6,2009,722
695,60476,0,1990,3000
2000,42737,6,2005,3000
240,138246,0,2015,960
745,63493,1,2010,8000
627,85844,1,2000,3000
357,238916,4,2010,11000
1000,97047,5,1999,2000
380,32353,0,1998,1000
680,293662,0,2004,851
416,102129,4,2002,1000
579,48753,2,2004,1000
1000,226570,2,2012,3000
811,99043,1,1999,975
6,33158,0,2009,208
175,180479,4,2011,240
226,23476,0,2003,257
57,143121,1,2009,229
751,163130,0,2008,946
451,266310,2,2004,992
722,14888,0,2006,936
767,120795,5,2004,869
626,68406,1,1996,628
160,244566,1,2004,334
521,23302,1,1998,552
586,72287,0,2012,884
460,88225,0,1997,13000
716,89816,0,2003,780
672,11370,2,1996,944
903,31209,0,2008,2000
402,26404,3,,607
107,61966,2,2002,680
488,35918,1,1995,520
288,99035,3,2014,394
14000,75329,3,2015,22000
864,69484,3,2016,992
672,170179,0,1997,720
295,256213,0,2007,467
642,40883,3,2014,668
944,55749,1,1998,967
2000,246698,0,2014,8000
642,51252,2,2005,759
11000,107859,0,2002,18000
300,173530,3,2013,301
485,76770,2,2009,1000
204,124222,1,2009,11000
379,113295,3,2009,748
896,41727,0,2009,1000
230,10883,2,1999,417
206,42144,0,2006,219
480,41259,1,2009,10000
906,58450,0,2002,1000
210,76560,1,2003,399
461,47954,0,2012,897
896,75201,1,2010,1000
308,19176,0,1997,344
236,69319,1,2002,394
1000,73368,2,2008,14000
652,54314,1,1998,968
569,44099,0,2009,939
9000,45296,3,2000,10000
947,207287,1,2000,11000
265,27517,0,2006,1000
218,51349,2,2005,233
77,97089,0,2011,441
82,36144,0,2003,102
552,120416,0,1997,585
19000,995415,3,2012,21000
256,31788,0,2002,265
854,63363,0,2006,972
579,35565,1,2006,779
507,57100,3,2001,848
68,14596,0,2000,290
778,41288,0,2014,882
1000,107028,3,2013,2000
196,31640,1,2008,400
87,44966,2,2005,329
1000,35599,0,1999,1000
466,60232,3,2008,1000
437,53864,1,2008,961
280,47320,2,2015,2000
102,38398,3,2007,368
617,22570,2,2003,708
22,1212,1,2016,107
242,18209,0,2005,298
361,479047,0,2016,805
440,16260,1,1998,730
318,325264,0,2014,962
543,47968,4,2015,1000
271,24420,1,,558
512,82819,1,2005,834
809,15517,0,2000,891
349,92106,1,1988,1000
110,27664,8,2008,117
11000,27019,4,2015,11000
727,29523,2,2009,935
839,159931,2,2013,847
529,131447,1,2010,1000
519,28807,0,2012,664
479,80025,0,,722
9000,259519,2,1997,14000
622,70681,2,2012,3000
40,78343,0,1996,663
455,38298,2,2004,3000
1000,87745,1,2011,1000
58,28099,2,2001,243
676,26992,1,,701
650,66308,0,2005,799
348,53118,1,2004,795
194,1251222,0,1994,294
639,57276,0,2007,718
708,260442,2,2000,713
752,119675,1,1995,2000
467,126357,0,1978,593
744,86556,1,1996,773
681,244840,1,2005,975
458,56168,0,1997,562
729,162331,3,2003,864
186,323353,0,2013,535
7000,127571,2,2010,11000
394,85903,0,1995,419
683,229574,0,2014,17000
708,68417,2,2002,827
665,81026,0,1995,10000
168,338383,0,2006,617
354,126746,1,2005,507
383,36587,0,1994,812
539,94407,1,1998,702
640,735784,0,2003,890
490,56874,2,1999,860
72,63982,4,,440
348,512749,0,2004,387
403,75365,1,1989,549
812,78974,3,1992,11000
