actor_1_facebook_likes,actor_3_name,facenumber_in_poster,country,budget
431,Beverly Randolph,0,USA,4000000
18,Marco D'Amore,5,Italy,
1000,Joey Lauren Adams,6,USA,6000000
1000,Sid Caesar,2,USA,6000000
40000,Kevin Dillon,0,UK,6000000
503,Ricky Martin,0,USA,6000000
640,Kenneth Mars,1,USA,6000000
382,Elsa Lanchester,2,USA,6000000
2000,Judd Hirsch,3,USA,6000000
1000,Cécile De France,0,USA,110000000
804,Richard Beymer,0,USA,6000000
13000,Brian Doyle-Murray,3,USA,6000000
3000,Jenifer Lewis,4,USA,6000000
865,Richard T. Jones,0,USA,6000000
18000,Kevin Pollak,4,USA,6000000
321,Matthew Borlenghi,0,USA,8000000
16000,Erik Estrada,0,Germany,6000000
1000,Ajay Naidu,0,USA,6000000
469,Jennifer Jones,0,USA,8000000
957,Michael McKean,9,USA,6000000
742,Tom Atkins,1,UK,6000000
413,Bill Nunn,4,USA,6500000
555,Tamala Jones,2,USA,6000000
472,Rachel Blakely,1,Hong Kong,
658,Laura Harris,0,USA,
8000,Conchata Ferrell,4,USA,6000000
1000,Lily James,1,UK,
711,John Lynch,1,UK,9000000
1000,David Alan Grier,0,USA,6000000
1000,Abby Mukiibi Nkaaga,1,UK,6000000
742,Troy Evans,1,USA,3000000
11000,Rick Dial,1,USA,5000000
844,,0,UK,6000000
697,Amy Madigan,0,USA,6000000
1000,Gaby Hoffmann,5,USA,6000000
24000,Olivia Wilde,1,USA,6000000
8000,Luis E. Carazo,1,USA,6000000
3000,Dominik García-Lorido,6,USA,6000000
3000,Wale Ojo,0,Ireland,6000000
1000,Haley Bennett,0,USA,6500000
4000,Scott Glenn,0,USA,6000000
1000,Brenda Blethyn,4,UK,
373,Raquel Alessi,2,USA,6000000
17000,Michael Weston,4,USA,6000000
4000,Lawrence Gilliard Jr.,1,Germany,6000000
937,Enrico Colantoni,1,USA,
263,Andrea Martin,0,USA,6000000
97,Todd Susman,1,USA,6000000
397,Alexis Kendra,0,USA,
4000,Cas Anvar,0,USA,6000000
244,Polly Noonan,3,USA,6000000
944,Frederick Weller,2,USA,
682,L.Q. Jones,1,USA,6244087
976,Method Man,2,USA,6000000
187,Pamela Salem,2,UK,6000000
631,Paul Popplewell,0,UK,
721,Marc Singer,2,USA,6000000
767,Sammy Nagi Njuguna,2,USA,6000000
173,Mélanie Doutey,5,France,
1000,Cara Seymour,2,USA,6000000
974,Ji-hyun Jun,0,China,6000000
596,Ritchie Montgomery,0,USA,6000000
773,Peter McNamara,0,UK,6000000
11000,Vanessa Redgrave,2,USA,7840000
11000,Sarah Wright,0,USA,6000000
103,Bill Baird,0,USA,
861,Shawn Hatosy,1,USA,6000000
636,Tim Guinee,1,USA,8600000
592,Robert Wahlberg,1,USA,
16000,Sissy Spacek,1,USA,12000000
933,John Bell,2,Canada,6000000
848,Cole Hauser,1,USA,6000000
805,Rupert Evans,1,UK,
391,Reiner Schwarz,0,Canada,5952000
809,Iddo Goldberg,0,France,5300000
11000,Li Jun Li,1,USA,6000000
33000,Agnes Bruckner,0,USA,50000000
163,Martijn Lakemeier,1,Netherlands,4000000
2000,Bill Duke,0,USA,6000000
343,Michel Simon,0,France,6700000
978,Trieu Tran,2,USA,
778,Johnny Nguyen,0,Thailand,200000000
722,Samuel West,2,UK,
229,James Buckley,0,UK,
883,Anupam Kher,0,UK,3500159
688,Timothy Hutton,6,USA,5600000
592,Eva Marcille,6,USA,5600000
634,Johnny Lever,1,India,
37,Andrea Ros,0,Spain,5600000
25,Kayla Raparelli,9,USA,
1000,Ray Walston,0,USA,5500000
368,John Gielgud,0,UK,5500000
907,Tamara Taylor,0,USA,5500000
509,Nicholas Bell,0,Australia,5500000
23000,Tony Danza,1,USA,3000000
16000,John Hillerman,0,USA,5500000
19000,T.J. Thyne,0,USA,7000000
14000,Kris Marshall,1,UK,5500000
113,Angelo Rossitto,0,USA,
517,Gérard Jugnot,0,France,5500000
636,Claudia Ferri,0,Canada,5000000
715,Franky G,0,USA,5000000
782,Danny Aiello,2,USA,6500000
4000,Joey Lauren Adams,3,USA,5500000
232,Jean-Pierre Darroussin,1,Finland,3850000
56,Jo Prestia,0,France,
31,Shinobu Terajima,0,Japan,5500000
397,Madhavan,0,India,
934,David Dastmalchian,0,USA,
472,Mike Eshaq,5,USA,9000000
4000,Ron Silver,4,USA,5250000
5000,Shane Meadows,2,UK,
286,Julie R. Ølgaard,3,Norway,30300000
796,Bronagh Gallagher,0,UK,4000000
393,Gordon Pinsent,1,Canada,6000000
631,Colin Farrell,2,Norway,5500000
208,George Voskovec,2,USA,5100000
374,Prateik,0,India,
852,Leigh Whannell,0,USA,5000000
1000,Shawnee Smith,0,USA,4000000
14000,Sumalee Montano,0,USA,15000000
608,Chris Pontius,0,USA,5000000
2000,Gabriel Bateman,0,USA,4900000
581,Christopher Nicholas Smith,0,USA,5000000
852,Daren Kagasoff,0,USA,5000000
506,Jennifer Rubin,0,USA,4500000
1000,Wendell Pierce,1,USA,5000000
399,Hugo Stiglitz,1,Mexico,5000000
235,Alisha Boe,0,USA,5000000
726,Victor Mature,1,USA,5000000
462,Catherine Schell,0,UK,5000000
40000,Yaphet Kotto,0,USA,8500000
9000,Pruitt Taylor Vince,2,USA,4500000
617,Paul Lukas,0,USA,5000000
510,Molly Ephraim,0,USA,5000000
12000,Dexter Fletcher,1,USA,5000000
