actor_2_name,gross,genres,actor_3_name,language,content_rating,movie_facebook_likes
Phylicia Rashad,109712885,Drama|Sport,Graham McTavish,English,PG-13,70000
Jon Hamm,92173235,Crime|Drama|Thriller,Owen Burke,English,R,29000
Dennis Quaid,41102171,Comedy|Drama|Romance,Thomas Lennon,English,PG-13,14000
Brad Pitt,60338891,Comedy|Drama,Kevin Sussman,English,R,0
Anthony Simcoe,48006503,Adventure|Comedy|Family|Fantasy,Christopher James Baker,English,PG,0
Olivia Wilde,26903709,Action|Biography|Drama|Sport,Alexandra Maria Lara,English,R,83000
Neil Flynn,22450975,Drama,Jim Meskimen,English,R,13000
Tracy Morgan,44867349,Action|Comedy|Crime,Kevin Pollak,English,R,0
Damon Wayans Jr.,46813366,Comedy|Romance,Nicholas Braun,English,R,15000
Michael Roark,72279690,Drama|Family,Harry Connick Jr.,English,PG,0
Taylor Lautner,191449475,Drama|Fantasy|Romance,Anna Kendrick,English,PG-13,19000
Laura Harring,71026631,Crime|Drama|Thriller,Anne Heche,English,PG-13,0
Dave Chappelle,68208190,Action|Comedy|Crime|Thriller,Tamala Jones,English,PG-13,0
Molly C. Quinn,150368971,Comedy|Crime,Thomas Lennon,English,R,35000
Fedor Bondarchuk,,Action|Adventure|Sci-Fi,Aleksey Serebryakov,Russian,,240
M.C. Gainey,50129186,Action|Crime|Drama|Mystery|Thriller,J.T. Walsh,English,R,0
Klaus Maria Brandauer,55500000,Action|Adventure|Thriller,Barbara Carrera,English,PG,0
Collette Wolfe,50213619,Comedy|Sci-Fi,Crystal Lowe,English,R,12000
Taylor Blackwell,42019483,Drama|Family,Harry Connick Jr.,English,PG,0
James Frain,23360779,Action|Adventure|Crime|Drama|Family|Fantasy|Romance|Thriller,Clarence Williams III,English,R,852
Jeff Kober,26183197,Action|Crime|Drama|Thriller,Larenz Tate,English,R,0
Bradley Cooper,20991497,Comedy|Drama|Romance,Bill Murray,English,PG-13,11000
Virginia Madsen,13052741,Drama|History,Craig T. Nelson,English,PG-13,591
Reeve Carney,14378353,Drama|Mystery|Romance|Thriller,Daniel von Bargen,English,PG-13,846
Colin O'Donoghue,33037754,Drama|Horror|Mystery|Thriller,Toby Jones,English,PG-13,23000
Xander Berkeley,12339633,Drama|Sci-Fi|Thriller,Mason Gamble,English,PG-13,17000
Nathan Lane,2954405,Biography|Comedy|Romance,John Larroquette,English,R,133
Kenan Thompson,30105968,Adventure|Animation|Comedy|Family|Sci-Fi,Omid Abtahi,English,G,279
Dylan Baker,37788228,Comedy,Tracy Morgan,English,PG-13,638
Rob Riggle,277313371,Comedy,Mike Epps,English,R,24000
Lynn Hung,2126511,Action|Biography|Drama|History,Kwok-Kwan Chan,Cantonese,PG-13,12000
Verne Troyer,205399422,Action|Adventure|Comedy|Crime,Robert Wagner,English,PG-13,0
Jack Palance,251188924,Action|Adventure,William Hootkins,English,PG-13,12000
Dougray Scott,1068392,Biography|Drama|War,Lily Cole,English,PG-13,2000
Nick Chinlund,144731527,Action|Crime|Thriller,Stuart Wilson,English,R,0
Quinton Aaron,255950375,Biography|Drama|Sport,Kim Dickens,English,PG-13,38000
Aimee Garcia,,Action|Comedy|Crime,Wendie Malick,English,TV-14,0
Cheech Marin,112692062,Action|Adventure|Comedy|Family|Sci-Fi,Daryl Sabara,English,PG,0
Lindsay Sloane,117528646,Comedy|Crime,Reginald Ballard,English,R,31000
Jeff Bridges,171031347,Adventure|Drama|Western,Bruce Green,English,PG-13,36000
Anne Hathaway,124732962,Comedy|Drama|Romance,Rebecca Mader,English,PG-13,0
Nichelle Nichols,82300000,Adventure|Mystery|Sci-Fi,Walter Koenig,English,PG,0
Eric Stonestreet,134455175,Comedy|Crime,T.I.,English,R,17000
Robert Mitchum,79100000,Crime|Thriller,Joe Don Baker,English,R,0
Jim Sturgess,81159365,Crime|Drama|Thriller,Josh Gad,English,PG-13,0
Randall Park,110008260,Comedy|Romance,Josh Segarra,English,R,25000
Nicole Sullivan,67962333,Comedy|Romance,Sherri Shepherd,English,PG-13,919
Kristin Scott Thomas,78651430,Drama|Romance|War,Jürgen Prochnow,English,R,0
Matt McCoy,64604977,Crime|Drama|Mystery|Thriller,Paul Guilfoyle,English,R,11000
Kelly Preston,63939454,Adventure|Comedy|Family|Sci-Fi,Nicholas Braun,English,PG,0
Wilford Brimley,63826569,Comedy,Lauren Ambrose,English,PG-13,0
Marg Helgenberger,60054449,Action|Horror|Sci-Fi|Thriller,Jordan Lund,English,R,0
Lin Shaye,26505000,Horror,Amanda Wyss,English,X,10000
Jake Weber,61280963,Horror|Sci-Fi|Thriller,James Gammon,English,R,0
Anne Parillaud,56876365,Action|Adventure,Judith Godrèche,English,PG-13,0
Kevin Connolly,59699513,Biography|Drama|Family|History|Sport,Dylan Walsh,English,PG,0
Sarah Michelle Gellar,54132596,Action|Adventure|Animation|Comedy|Family|Fantasy|Sci-Fi,Mako,English,PG,0
Riley Smith,52277485,Biography|Drama|Sport,Debra Winger,English,PG,0
Justin Timberlake,55802754,Comedy|Romance,Masi Oka,English,R,41000
Ike Barinholtz,55291815,Comedy,Kiersey Clemons,English,R,0
Ruth Wilson,83299761,Biography|Comedy|Drama|History|Music,B.J. Novak,English,PG-13,39000
Delroy Lindo,48169908,Biography|Drama|History|Romance,Al Freeman Jr.,English,PG-13,0
Maude Apatow,67523385,Comedy,Mackenzie Aladjem,English,R,18000
Bernie Mac,49474048,Comedy|Family,Ann-Margret,English,PG,0
Kevin Grevioux,45802315,Action|Adventure|Fantasy|Sci-Fi|Thriller,Steven Mackintosh,English,R,0
Christine Taylor,43792641,Comedy|Romance,Mindy Kaling,English,PG-13,913
Jon Heder,57651794,Comedy|Romance|Sport,Tim Meadows,English,PG-13,0
Victor Webster,43894863,Comedy|Romance,Elizabeth Perkins,English,PG-13,0
Al Pacino,41954997,Biography|Crime|Drama,Anne Heche,English,R,0
Jaymes Butler,39532308,Action|Horror|Sci-Fi,Colin Salmon,English,R,0
Zelda Rubinstein,76600000,Fantasy|Horror,Craig T. Nelson,English,PG,11000
Tom Hanks,39692139,Comedy|Crime|Thriller,Stephen Root,English,R,0
Beau Bridges,40687294,Action|Crime|Drama|Mystery|Thriller,Jamie Hector,English,PG-13,0
Olivia Wilde,37553932,Action|Sci-Fi|Thriller,Justin Timberlake,English,PG-13,52000
Noureen DeWulf,37481242,Comedy|Romance,Tom Bosley,English,PG-13,0
Steve Howey,39026186,Comedy|Drama|Romance,Kirsten Day,English,PG-13,13000
Kimberly Elise,,Drama|Romance,Logan Browning,English,,265
Marsha Thomason,33422806,Adventure|Comedy|Fantasy,Vincent Regan,English,PG-13,0
Vic Morrow,,Comedy|Drama|Family|Sport,Joyce Van Patten,English,PG,0
Raul Julia,33423521,Action|Adventure|Comedy|Thriller,Kylie Minogue,English,PG-13,0
Frank Finlay,32519322,Biography|Drama|War,Ed Stoppard,English,R,21000
Jason Flemyng,31598308,Horror|Mystery|Thriller,Ian Richardson,English,R,0
Hiam Abbass,37617947,Drama|Family|Fantasy,Shaun Toub,English,PG,0
Paris Hilton,32048809,Horror,Brian Van Holt,English,R,0
Julia Roberts,33987757,Drama|Romance,Colin Stinton,English,R,12000
Naomi Watts,37304950,Biography|Crime|Drama,Kaitlyn Dever,English,R,16000
Cameron Boyce,30691439,Horror|Mystery,Julian Glover,English,R,5000
Lena Olin,30307804,Drama|Fantasy|Horror,Bruce Spence,English,R,0
Robert Davi,30669413,Action|Horror|Sci-Fi,Kevin Peter Hall,English,R,0
Jesse Tyler Ferguson,28687835,Crime|Drama|Thriller,Joseph Cross,English,R,0
Sissy Spacek,26494611,Comedy|Drama|Romance|Sci-Fi,Douglas Smith,English,PG-13,0
William Hootkins,,Action|Adventure|Sci-Fi,Sam J. Jones,English,PG,12000
Mike Starr,25266129,Comedy|Drama|Romance,George Carlin,English,PG-13,0
Chad Lindberg,25863915,Action|Crime|Mystery|Thriller,Carmen Ejogo,English,PG-13,11000
Bob Gunton,25078937,Crime|Drama|Mystery|Thriller,Leon Rippy,English,R,0
Joshua Mikel,,Action|Crime|Thriller,D.B. Sweeney,English,R,0
Bill Bailey,28995450,Comedy|Family|Fantasy,Eros Vlahos,English,PG,0
J.T. Walsh,24276500,Biography|Crime|Drama,Paul Guilfoyle,English,R,949
Callum Rennie,20981633,Drama|Mystery|Sci-Fi|Thriller,Nicki Aycox,English,PG-13,0
Steve Coogan,22913677,Comedy|Family|Fantasy|Romance,Joanna Lumley,English,PG,0
Eddie Marsan,34531832,Biography|Drama|Sport,Albert Brooks,English,PG-13,23000
Benjamin J. Cain Jr.,28064226,Action|Mystery|Thriller,Richard Cetrone,English,PG-13,13000
Olivia Williams,19447478,Adventure|Animation|Comedy|Family|War,Pip Torrens,English,G,538
Rip Torn,19389454,Comedy|Drama,Richard Thomas,English,R,0
Tracy Morgan,25871834,Action|Comedy|Sci-Fi|Thriller,Marion Ross,English,PG-13,0
James Ransone,19692608,Crime|Drama|Thriller,Michael Beach,English,R,0
Portia de Rossi,19294901,Comedy|Horror,Derek Mears,English,PG-13,0
Dania Ramirez,20275446,Action|Crime|Thriller,Aasif Mandvi,English,PG-13,20000
