director_name,duration,director_facebook_likes,actor_1_facebook_likes,actor_1_name,movie_title,num_voted_users,cast_total_facebook_likes,plot_keywords,movie_imdb_link,language,country,title_year,actor_2_facebook_likes,aspect_ratio
James L. Brooks,139,274,625,Lupe Ontiveros,As Good as It Gets ,224671,1474,dog|friendship|neighbor|unlikely friendship|writer,http://www.imdb.com/title/tt0119822/?ref_=fn_tt_tt_1,English,USA,1997,440,1.85
Tom Shadyac,115,293,49000,Robin Williams,Patch Adams ,80580,74382,doctor|hospital|mental institution|nurse|student,http://www.imdb.com/title/tt0129290/?ref_=fn_tt_tt_1,English,USA,1998,22000,2.35
Adam McKay,143,285,11000,Harrison Ford,Anchorman 2: The Legend Continues ,131227,28176,fame|father son relationship|interracial kiss|interracial relationship|interracial sex,http://www.imdb.com/title/tt1229340/?ref_=fn_tt_tt_1,English,USA,2013,8000,2.35
Steven Brill,96,65,12000,Steve Buscemi,Mr. Deeds ,110432,26826,abbreviation in title|reporter|small town|sudden wealth|unknowing heir,http://www.imdb.com/title/tt0280590/?ref_=fn_tt_tt_1,English,USA,2002,11000,1.85
J.J. Abrams,112,14000,1000,Joel Courtney,Super 8 ,287822,3388,deputy|group of friends|time|train|train crash,http://www.imdb.com/title/tt1650062/?ref_=fn_tt_tt_1,English,USA,2011,560,2.35
Steven Soderbergh,131,0,8000,Julia Roberts,Erin Brockovich ,135246,10003,contamination|corporate crime|environmental issue|female protagonist|working single mother,http://www.imdb.com/title/tt0195685/?ref_=fn_tt_tt_1,English,USA,2000,883,1.85
Donald Petrie,116,80,11000,Matthew McConaughey,How to Lose a Guy in 10 Days ,156717,14087,advertising executive|diamond|magazine|party|wager,http://www.imdb.com/title/tt0251127/?ref_=fn_tt_tt_1,English,USA,2003,1000,1.85
Phil Lord,112,97,17000,Channing Tatum,22 Jump Street ,258186,19428,college|drugs|hidden camera|tattoo|undercover,http://www.imdb.com/title/tt2294449/?ref_=fn_tt_tt_1,English,USA,2014,920,2.35
Neil Jordan,123,277,11000,Brad Pitt,Interview with the Vampire: The Vampire Chronicles ,239752,25697,betrayal|dangerous friend|gothic|monster as victim|vampire,http://www.imdb.com/title/tt0110148/?ref_=fn_tt_tt_1,English,USA,1994,10000,1.85
Peyton Reed,104,235,14000,Bradley Cooper,Yes Man ,271691,29505,best friend|dvd|girlfriend|loan|self help,http://www.imdb.com/title/tt1068680/?ref_=fn_tt_tt_1,English,USA,2008,11000,2.35
Rawson Marshall Thurber,107,43,12000,Dwayne Johnson,Central Intelligence ,33354,14569,accountant|blooper|espionage|facebook|high school reunion,http://www.imdb.com/title/tt1489889/?ref_=fn_tt_tt_1,English,USA,2016,919,2.35
Chris Columbus,124,0,8000,Julia Roberts,Stepmom ,46482,9988,attorney|cancer|custody|fashion photographer|photographer,http://www.imdb.com/title/tt0120686/?ref_=fn_tt_tt_1,English,USA,1998,818,2.35
Sean Anders,96,51,8000,Will Ferrell,Daddy's Home ,54010,10886,biological father|dad|drinking|product placement|wilhelm scream,http://www.imdb.com/title/tt1528854/?ref_=fn_tt_tt_1,English,USA,2015,2000,1.85
Rob Marshall,125,252,40000,Johnny Depp,Into the Woods ,101178,62837,based on stage musical|cinderella|little red riding hood|singing|witch,http://www.imdb.com/title/tt2180411/?ref_=fn_tt_tt_1,English,USA,2014,11000,2.39
Spike Lee,129,0,18000,Denzel Washington,Inside Man ,273108,19148,bank|detective|negotiation|police|robber,http://www.imdb.com/title/tt0454848/?ref_=fn_tt_tt_1,English,USA,2006,412,2.35
Brian Helgeland,90,241,1000,Bill Duke,Payback ,111368,3148,anti hero|criminal|greed|prostitute|tough guy,http://www.imdb.com/title/tt0120784/?ref_=fn_tt_tt_1,English,USA,1999,495,2.35
Frank Marshall,109,155,426,Dylan Walsh,Congo ,34471,1761,captain|congo|expedition|laser|lost city,http://www.imdb.com/title/tt0112715/?ref_=fn_tt_tt_1,English,USA,1995,387,1.85
Cameron Crowe,124,488,19000,Scarlett Johansson,We Bought a Zoo ,111003,36873,blocked road|father son relationship|love at first sight|teenage boy|zookeeper,http://www.imdb.com/title/tt1389137/?ref_=fn_tt_tt_1,English,USA,2011,13000,1.85
Alex Proyas,121,295,12000,Nicolas Cage,Knowing ,186879,13421,disaster|end of the world|number|student|time capsule,http://www.imdb.com/title/tt0448011/?ref_=fn_tt_tt_1,English,USA,2009,748,2.35
Tom Dey,95,9,14000,Bradley Cooper,Failure to Launch ,58412,37967,friend|intervention|moving|secret|slacker,http://www.imdb.com/title/tt0427229/?ref_=fn_tt_tt_1,English,USA,2006,11000,2.35
