content_rating,imdb_score
PG-13,7.7
R,5.7
R,7.6
PG-13,6.4
PG-13,5.6
PG,6.8
R,2.4
PG-13,6.2
R,5.9
G,7.1
PG-13,7.6
PG-13,5.5
R,7.0
R,7.1
R,7.4
R,7.6
R,5.9
PG-13,5.9
PG-13,8.0
R,7.4
PG-13,5.8
PG-13,6.3
PG-13,5.7
PG-13,5.1
R,7.6
R,6.4
R,7.4
R,8.2
R,6.5
PG-13,5.5
R,6.5
PG,5.6
PG,4.9
PG-13,4.6
PG,7.9
PG-13,7.1
PG-13,6.9
R,7.3
R,7.0
PG-13,7.7
PG-13,6.7
PG-13,6.3
PG-13,5.8
PG-13,7.1
R,7.3
PG-13,6.4
R,7.1
R,7.6
PG-13,6.8
PG-13,6.6
PG-13,6.7
PG-13,6.1
PG,6.0
R,7.6
R,7.1
PG-13,5.0
PG,7.1
PG-13,6.2
PG-13,5.6
PG-13,5.4
PG-13,7.4
PG,5.0
PG,5.2
PG-13,7.6
R,6.6
PG-13,7.0
PG,5.7
R,8.2
PG-13,6.2
,7.9
G,6.6
G,4.7
R,6.3
R,6.1
R,6.7
PG-13,6.1
R,7.0
R,7.4
PG,7.3
PG-13,5.8
R,6.7
R,5.8
R,7.8
R,6.6
PG-13,6.5
R,6.7
R,7.3
PG-13,5.8
R,5.5
PG-13,6.3
R,7.4
R,5.9
R,6.2
R,5.9
R,6.5
R,4.4
PG,3.5
R,6.6
PG-13,6.0
R,6.4
PG-13,6.5
,7.8
R,4.3
PG,4.2
PG-13,6.5
R,6.1
R,6.3
R,6.2
R,5.9
PG-13,5.9
R,6.5
R,6.4
R,6.5
R,5.7
,7.5
PG,8.0
R,7.3
R,6.7
R,7.5
PG-13,5.4
R,6.6
R,7.7
PG-13,5.8
R,6.4
R,5.6
PG-13,6.0
PG-13,6.2
PG,5.9
R,5.1
PG-13,6.8
TV-MA,7.0
R,6.0
R,5.1
R,5.8
PG-13,6.2
R,6.4
PG-13,4.8
PG-13,4.9
R,5.6
R,5.5
PG-13,3.7
PG-13,5.9
TV-MA,8.5
R,6.3
R,7.4
R,7.6
PG-13,8.3
R,6.6
R,6.9
R,6.7
R,6.8
,4.6
R,7.1
R,6.4
PG-13,6.4
PG-13,7.4
PG-13,6.4
PG-13,6.0
R,6.5
R,7.8
PG-13,6.0
R,7.0
PG-13,6.0
Unrated,7.8
PG,6.1
R,6.8
PG-13,6.4
R,7.7
PG,8.1
PG,4.5
R,5.8
PG-13,6.3
PG-13,5.7
R,7.2
PG-13,7.6
PG-13,4.7
R,6.6
PG-13,6.8
R,7.3
PG,2.7
PG,4.8
PG-13,6.3
PG-13,5.5
PG-13,6.2
PG,5.8
G,5.7
PG-13,6.5
PG-13,6.7
PG-13,7.4
R,6.9
PG-13,5.5
R,8.1
R,7.7
PG,7.3
R,5.2
PG,7.1
R,7.1
PG-13,7.2
R,6.5
PG-13,4.6
PG-13,5.6
R,7.7
G,7.2
R,6.8
R,5.4
R,6.3
Unrated,7.2
PG,5.6
PG,6.8
PG,4.3
R,6.3
PG-13,6.5
PG-13,6.4
PG-13,6.3
PG,5.9
R,6.5
PG-13,6.5
PG,6.1
PG,5.9
PG-13,6.6
PG-13,7.4
R,7.3
PG-13,6.6
PG-13,5.6
R,5.3
PG-13,6.0
PG,5.4
R,6.8
PG-13,6.4
R,7.1
PG,4.9
PG-13,5.8
R,7.1
PG-13,7.2
R,6.0
R,6.0
R,7.0
R,5.4
PG-13,6.5
R,6.4
TV-MA,8.3
R,4.9
PG,6.3
PG,1.7
R,7.7
PG-13,7.8
PG-13,5.5
R,7.5
R,6.4
R,5.6
Approved,7.5
R,6.8
R,6.8
PG-13,6.0
PG-13,7.3
PG-13,6.0
R,7.0
R,5.1
R,6.8
PG-13,6.5
R,6.6
R,7.2
PG-13,7.0
G,7.0
PG-13,5.9
R,5.4
R,6.6
Approved,7.0
PG,6.5
PG-13,6.3
PG-13,6.5
PG-13,6.5
R,5.8
PG-13,6.6
PG-13,5.4
R,6.1
PG,4.0
R,7.6
PG-13,7.9
PG-13,5.3
R,6.6
R,6.3
TV-G,7.5
R,7.2
R,7.0
,4.9
PG-13,6.9
PG-13,5.2
PG-13,8.1
PG-13,6.6
PG,6.2
PG,7.2
R,7.3
PG-13,6.7
R,6.4
PG,7.8
R,6.4
R,4.1
PG,4.1
R,7.4
PG,5.8
R,7.6
PG,7.2
R,7.8
PG-13,7.7
PG-13,6.4
PG-13,5.1
R,5.5
PG,7.4
R,6.0
R,7.5
PG-13,7.0
PG-13,7.5
R,7.3
PG-13,5.7
PG,7.3
PG-13,7.2
PG-13,5.9
R,7.8
PG-13,7.7
R,8.1
PG-13,6.6
R,7.1
PG-13,5.9
R,8.0
PG-13,4.6
R,6.1
PG-13,7.2
PG-13,6.4
PG-13,6.0
R,5.2
PG-13,7.6
PG-13,6.4
R,6.4
PG-13,6.1
PG-13,6.1
R,5.2
PG-13,7.7
R,7.3
PG-13,6.9
PG-13,8.5
R,6.3
PG,5.9
R,7.8
PG,6.7
R,6.4
PG,5.9
PG-13,6.6
PG,6.8
PG-13,6.5
PG,6.6
PG-13,5.8
R,6.9
PG-13,7.1
R,5.8
R,7.2
PG-13,6.0
R,4.7
PG,5.2
PG-13,5.5
PG-13,6.5
R,7.0
PG-13,5.8
R,6.2
R,6.5
R,7.2
R,5.1
PG-13,4.7
R,5.9
PG-13,5.8
PG-13,7.2
PG-13,6.2
TV-Y,7.4
PG-13,5.7
R,6.1
PG-13,6.0
PG-13,6.9
PG-13,6.5
R,5.0
R,5.7
PG-13,7.0
R,5.1
