director_name,duration,actor_3_facebook_likes,actor_2_name,gross,genres,actor_1_name,num_voted_users,actor_3_name,facenumber_in_poster,plot_keywords,movie_imdb_link,country,content_rating,title_year,aspect_ratio
Gnana Rajasekaran,153,7,Michael Lieber,,Biography|Drama|History,Mani Bharathi,102,Kevin McGowan,0,ramanujan,http://www.imdb.com/title/tt3037162/?ref_=fn_tt_tt_1,India,,2014,2.35
Tom Walsh,98,53,Maggie Wheeler,,Animation,Joey D. Vieira,50,Jacqueline Lovell,4,dwegons,http://www.imdb.com/title/tt1134666/?ref_=fn_tt_tt_1,USA,PG,2014,
Jonathan Jakubowicz,105,897,Jurnee Smollett-Bell,,Action|Biography|Drama|Sport,Robert De Niro,178,Edgar Ramírez,0,boxer|boxing|three word title,http://www.imdb.com/title/tt1781827/?ref_=fn_tt_tt_1,Panama,R,2016,
James McTeigue,96,889,Roger Rees,,Action|Crime|Thriller,Milla Jovovich,21833,Robert Forster,2,cigarette lighter|death|fire|on the run|terrorist,http://www.imdb.com/title/tt3247714/?ref_=fn_tt_tt_1,USA,PG-13,2015,2.35
Scott Walker,105,897,Radha Mitchell,,Crime|Drama|Mystery|Thriller,Nicolas Cage,43879,Jodi Lyn O'Keefe,3,anchorage alaska|based on true story|pole dancer|serial killer|strip club,http://www.imdb.com/title/tt2005374/?ref_=fn_tt_tt_1,USA,R,2013,2.35
John Curran,125,7,Sally Hawkins,8047690,Drama|Romance,Toby Jones,77656,Alan David,0,china|cholera|epidemic|love|marriage,http://www.imdb.com/title/tt0446755/?ref_=fn_tt_tt_1,China,PG-13,2006,2.35
Uli Edel,184,155,Alexandra Maria Lara,476270,Action|Biography|Crime|Drama,Moritz Bleibtreu,29602,Martina Gedeck,2,bonn germany|failed kidnapping|handcuffs|projectile|terrorist,http://www.imdb.com/title/tt0765432/?ref_=fn_tt_tt_1,Germany,R,2008,1.85
Kevin Costner,236,232,Michael Spears,184208848,Adventure|Drama|Western,Mary McDonnell,186485,Maury Chaykin,1,friendship|frontier|honor|outpost|soldier,http://www.imdb.com/title/tt0099348/?ref_=fn_tt_tt_1,USA,PG-13,1990,2.35
Jake Kasdan,97,384,John Michael Higgins,100292856,Comedy,Justin Timberlake,160418,Phyllis Smith,0,boob job|breast enlargement|breast surgery|cheating on a test|ejaculation,http://www.imdb.com/title/tt1284575/?ref_=fn_tt_tt_1,USA,R,2011,1.85
Harold Becker,113,551,Michael O'Neill,58571513,Crime|Drama|Mystery|Thriller,Al Pacino,30213,Ellen Barkin,1,detective|love|single|suspect|title from song,http://www.imdb.com/title/tt0098273/?ref_=fn_tt_tt_1,USA,R,1989,1.85
Mark Rosman,95,528,Lin Shaye,51431160,Comedy|Family|Romance,Dan Byrd,62861,Julie Gonzalo,2,cinderella story|correspondence|evil step mother|female protagonist|teenage girl,http://www.imdb.com/title/tt0356470/?ref_=fn_tt_tt_1,USA,PG,2004,1.85
Wes Craven,103,157,W. Earl Brown,103001286,Horror|Mystery,David Arquette,222018,Roger Jackson,0,mask|mystery killer|slasher|teenage girl|telephone,http://www.imdb.com/title/tt0117571/?ref_=fn_tt_tt_1,USA,R,1996,2.35
Steve Beck,91,670,Embeth Davidtz,41867960,Horror,Shannon Elizabeth,65512,F. Murray Abraham,0,collector|ghost|ghost hunter|glass house|machine,http://www.imdb.com/title/tt0245674/?ref_=fn_tt_tt_1,USA,R,2001,1.33
Stanley Kubrick,146,413,Shelley Duvall,,Drama|Horror,Scatman Crothers,610333,Joe Turkel,0,breaking down a door|haunted hotel|identical twins|labyrinth|twin sisters,http://www.imdb.com/title/tt0081505/?ref_=fn_tt_tt_1,USA,R,1980,1.37
Robert Zemeckis,116,459,Thomas F. Wilson,210609762,Adventure|Comedy|Sci-Fi,Lea Thompson,732212,J.J. Cohen,0,clock tower|delorean|future|time travel|time travel comedy,http://www.imdb.com/title/tt0088763/?ref_=fn_tt_tt_1,USA,PG,1985,1.18
William Malone,93,545,Peter Gallagher,40846082,Horror|Mystery|Thriller,Jeffrey Combs,45317,Bridgette Wilson-Sampras,0,billionaire|corpse|eccentric|haunted hospital|haunted house,http://www.imdb.com/title/tt0185371/?ref_=fn_tt_tt_1,USA,R,1999,1.37
Tyler Perry,113,256,Mary J. Blige,51697449,Comedy|Drama,Eric Mendenhall,8346,Hope Olaide Wilson,6,aunt|immigrant|looting|love|nightclub singer,http://www.imdb.com/title/tt1385912/?ref_=fn_tt_tt_1,USA,PG-13,2009,1.85
Rob Hawk,90,319,Erin O'Brien,,Action|Drama,Kari J. Kramer,60,Cabrina Collesides,4,,http://www.imdb.com/title/tt4280822/?ref_=fn_tt_tt_1,USA,,2016,
