director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,gross,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,plot_keywords,movie_imdb_link,language,content_rating,budget,imdb_score,aspect_ratio
Gilles Paquet-Brenner,136,111,15,121,7691700,2140,Arben Bajraktaraj,2,apartment|escape|jewish family|journalist|key,http://www.imdb.com/title/tt1668200/?ref_=fn_tt_tt_1,French,PG-13,10000000,7.5,2.35
Peter Cousens,5,94,5,124,,994,Bart Shatto,2,19th century|christian film|hymn|religion|slave,http://www.imdb.com/title/tt2584018/?ref_=fn_tt_tt_1,English,R,14500000,6.2,
Clint Eastwood,131,131,16000,638,101157447,28544,Frances Fisher,1,englishman|leaving flowers on a grave|one last job|reputation|visiting wife's grave,http://www.imdb.com/title/tt0105695/?ref_=fn_tt_tt_1,English,R,14400000,8.3,2.35
Lars von Trier,140,139,3000,236,74205,4211,Jean-Marc Barr,1,cotton|female frontal nudity|flogging|gangster|slavery,http://www.imdb.com/title/tt0342735/?ref_=fn_tt_tt_1,English,Not Rated,14200000,7.4,2.35
Danny Boyle,418,120,0,40,141319195,820,Ayush Mahesh Khedekar,0,cheating|falling from height|murder|non professional cast|slum,http://www.imdb.com/title/tt1010048/?ref_=fn_tt_tt_1,English,R,15000000,8.0,2.35
Adrian Lyne,94,119,213,249,156645693,1639,Anne Archer,0,borderline personality disorder|killing a pet|madame butterfly|new york|new york city,http://www.imdb.com/title/tt0093010/?ref_=fn_tt_tt_1,English,R,14000000,6.9,1.85
Garry Marshall,82,125,0,700,178406268,11135,Jason Alexander,2,businessman|falling in love with a prostitute|hotel|prostitute|rich man poor woman,http://www.imdb.com/title/tt0100405/?ref_=fn_tt_tt_1,English,R,14000000,6.9,1.85
John Blanchard,,65,0,176,,1125,Joe Flaherty,2,,http://www.imdb.com/title/tt0691996/?ref_=fn_tt_tt_1,English,,,9.5,1.33
John Cornell,32,108,5,57,109306210,717,John Meillon,1,australia|australian|crime boss|crocodile|gangster,http://www.imdb.com/title/tt0092493/?ref_=fn_tt_tt_1,English,PG,15800000,5.5,2.35
Vidhu Vinod Chopra,22,101,34,277,,2055,Chad Bishop,0,,http://www.imdb.com/title/tt2503954/?ref_=fn_tt_tt_1,English,R,15000000,5.7,2.35
