director_facebook_likes,genres,movie_title,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,num_user_for_reviews,budget,title_year,imdb_score,movie_facebook_likes
80,Biography|Drama|Family|Sport,Soul Surfer ,5024,Craig T. Nelson,1,114,18000000,2011,7.1,15000
0,Comedy|Drama|War,Catch-22 ,2032,Martin Balsam,0,124,18000000,1970,7.2,0
62,Comedy|Crime|Drama,Observe and Report ,727,Dan Bakkedahl,1,248,18000000,2009,5.8,0
130,Action|Adventure|Fantasy,Conan the Destroyer ,2481,Grace Jones,1,109,18000000,1984,5.8,2000
17000,Biography|Drama|Sport,Raging Bull ,23008,Frank Vincent,1,494,18000000,1980,8.3,0
7,Drama|Romance,Love Happens ,4947,Frances Conroy,0,77,18000000,2009,5.6,0
272,Adventure|Fantasy|Mystery|Thriller,Young Sherlock Holmes ,605,Freddie Jones,1,86,18000000,1985,6.8,0
64,Comedy|Drama|Musical|Romance,Fame ,5734,Megan Mullally,0,82,18000000,2009,5.0,0
0,Adventure|Biography|Drama|Thriller,127 Hours ,11984,Kate Burton,0,440,18000000,2010,7.6,63000
11000,Comedy|Crime,Small Time Crooks ,23283,Michael Rapaport,0,192,18000000,2000,6.7,812
13,Drama|Music|Romance,Center Stage ,1201,Ethan Stiefel,2,210,18000000,2000,6.7,0
24,Comedy,Love the Coopers ,10691,Timothée Chalamet,13,68,17000000,2015,5.7,0
38,Comedy|Crime,Catch That Kid ,18711,Kevin G. Schmidt,0,49,18000000,2004,5.2,591
34,Drama,Life as a House ,21622,Kristin Scott Thomas,0,359,18000000,2001,7.5,0
0,Biography|Drama,Steve Jobs ,28933,Michael Stuhlbarg,0,307,30000000,2015,7.2,23000
0,Comedy|Romance,"I Love You, Beth Cooper ",4072,Shawn Roberts,1,80,18000000,2009,5.3,0
44,Comedy|Drama|Romance,Youth in Revolt ,16004,Fred Willard,2,105,18000000,2009,6.5,0
28,Action|Adventure|Western,The Legend of the Lone Ranger ,927,Michael Horse,0,41,18000000,1981,5.0,346
128,Drama|Thriller,The Tailor of Panama ,14995,Mark Margolis,0,213,18000000,2001,6.1,813
0,Mystery|Thriller,Blow Out ,1067,John McMartin,0,149,18000000,1981,7.4,2000
31,Action|Crime|Thriller,Getaway ,676,Bruce Payne,1,109,18000000,2013,4.4,4000
0,Drama,The Ice Storm ,1466,Henry Czerny,0,287,18000000,1997,7.5,0
0,Comedy|Drama|Romance,And So It Goes ,1673,Frankie Valli,2,48,18000000,2014,5.7,3000
6,Adventure|Comedy,Troop Beverly Hills ,2368,Kellie Martin,1,35,18000000,1989,5.5,0
109,Comedy|Drama|Romance,Being Julia ,847,Juliet Stevenson,2,112,18000000,2004,7.1,562
213,Drama|Romance,9½ Weeks ,711,Kim Chan,0,118,17000000,1986,5.9,0
25,Action|Adventure|Fantasy,Dragonslayer ,1263,Albert Salmi,0,102,18000000,1981,6.7,0
97,Biography|Drama|Romance,The Last Station ,1341,Anne-Marie Duff,2,82,13000000,2009,7.0,0
13000,Biography|Comedy|Drama,Ed Wood ,56585,Martin Landau,1,420,18000000,1994,7.9,0
655,Drama,Labor Day ,39307,Brooke Smith,1,111,18000000,2013,6.9,0
44,Adventure|Biography|Drama|History|War,Mongol: The Rise of Genghis Khan ,653,Honglei Sun,0,165,20000000,2007,7.3,0
0,Action|Crime|Thriller,RocknRolla ,46944,Tom Wilkinson,4,192,18000000,2008,7.3,12000
379,Action|Sci-Fi,Megaforce ,1356,Henry Silva,2,54,20000000,1982,3.5,0
0,Drama,Hamlet ,1645,Richard Briers,0,224,18000000,1996,7.8,0
78,Biography|Drama|Music|Romance,Mao's Last Dancer ,1598,Aden Young,0,53,,2009,7.4,0
