director_name,duration,director_facebook_likes,actor_3_facebook_likes,gross,genres,actor_1_name,movie_title,num_voted_users,facenumber_in_poster,movie_imdb_link,country,content_rating,budget,movie_facebook_likes
Angelo Pizzo,118,14,400,2246000,Biography|Drama|Sport,Donny Boaz,Courage ,2302,4,http://www.imdb.com/title/tt3719896/?ref_=fn_tt_tt_1,USA,PG,20000000,0
Richard Benjamin,80,121,587,1646664,Comedy|Music,Damon Wayans,Marci X ,4518,2,http://www.imdb.com/title/tt0266747/?ref_=fn_tt_tt_1,USA,R,20000000,241
Kurt Wimmer,107,110,722,1190018,Action|Drama|Sci-Fi|Thriller,Christian Bale,Equilibrium ,261317,2,http://www.imdb.com/title/tt0238380/?ref_=fn_tt_tt_1,USA,R,20000000,20000
Roger Spottiswoode,125,55,2,1027749,Drama|War,Radha Mitchell,The Children of Huang Shi ,8087,4,http://www.imdb.com/title/tt0889588/?ref_=fn_tt_tt_1,Australia,R,40000000,1000
James Gray,115,115,977,882710,Crime|Drama|Romance|Thriller,Charlize Theron,The Yards ,16215,2,http://www.imdb.com/title/tt0138946/?ref_=fn_tt_tt_1,USA,R,24000000,401
Matthew Diamond,88,12,231,1064277,Adventure|Family|Fantasy|Musical,Chazz Palminteri,The Oogieloves in the Big Balloon Adventure ,14015,0,http://www.imdb.com/title/tt1520498/?ref_=fn_tt_tt_1,USA,G,20000000,831
Angelina Jolie Pitt,122,11000,188,531009,Drama|Romance,Brad Pitt,By the Sea ,7976,0,http://www.imdb.com/title/tt3707106/?ref_=fn_tt_tt_1,USA,R,10000000,0
Katsuhiro Ôtomo,103,78,101,410388,Action|Adventure|Animation|Family|Sci-Fi|Thriller,William Hootkins,Steamboy ,13727,1,http://www.imdb.com/title/tt0348121/?ref_=fn_tt_tt_1,Japan,PG-13,2127519898,973
David Anspaugh,101,25,407,375474,Drama|History|Sport,Gerard Butler,The Game of Their Lives ,2613,0,http://www.imdb.com/title/tt0354595/?ref_=fn_tt_tt_1,USA,PG,20000000,445
Andrew Jarecki,101,46,902,578382,Crime|Drama|Mystery|Romance|Thriller,Ryan Gosling,All Good Things ,41249,2,http://www.imdb.com/title/tt1175709/?ref_=fn_tt_tt_1,USA,R,,0
Kevin Reynolds,107,58,324,305070,Action|Adventure|Drama|History|Romance,Esai Morales,Rapa Nui ,3843,1,http://www.imdb.com/title/tt0110944/?ref_=fn_tt_tt_1,USA,R,20000000,399
Stephen Chow,86,0,3,206678,Comedy|Family|Sci-Fi,Jiao Xu,CJ7 ,11391,1,http://www.imdb.com/title/tt0940709/?ref_=fn_tt_tt_1,Hong Kong,PG,,1000
Jean-Marie Poiré,118,8,11,146072,Comedy|Family|Fantasy|Sci-Fi,Christian Clavier,Les couloirs du temps: Les visiteurs II ,7147,0,http://www.imdb.com/title/tt0120882/?ref_=fn_tt_tt_1,France,,140000000,136
Kevin Munroe,107,14,311,1183354,Action|Comedy|Crime|Fantasy|Horror|Mystery|Sci-Fi|Thriller,Marco St. John,Dylan Dog: Dead of Night ,13026,1,http://www.imdb.com/title/tt1013860/?ref_=fn_tt_tt_1,USA,PG-13,20000000,0
Daniel Algrant,100,3,442,121972,Crime|Drama|Mystery,Al Pacino,People I Know ,9868,3,http://www.imdb.com/title/tt0274711/?ref_=fn_tt_tt_1,USA,R,22000000,217
,30,,9,,Drama|Family,Peter Vaughan,The Doombolt Chase             ,18,4,http://www.imdb.com/title/tt0166038/?ref_=fn_tt_tt_1,UK,,,0
Julie Taymor,110,278,181,263365,Comedy|Drama|Fantasy|Romance,Djimon Hounsou,The Tempest ,6147,2,http://www.imdb.com/title/tt1274300/?ref_=fn_tt_tt_1,USA,PG-13,20000000,0
Alejandro Amenábar,106,448,648,54734,Crime|Drama|Mystery|Thriller,Emma Watson,Regression ,20821,1,http://www.imdb.com/title/tt3319920/?ref_=fn_tt_tt_1,Spain,R,,0
Jane Clark,7,23,51,,Romance|Short,Necar Zadegan,The Touch ,118,0,http://www.imdb.com/title/tt1128219/?ref_=fn_tt_tt_1,USA,,13000,30
Daniel Lee,102,10,60,,Action|Drama|History|War,Andy Lau,Three Kingdoms: Resurrection of the Dragon ,5154,3,http://www.imdb.com/title/tt0882978/?ref_=fn_tt_tt_1,China,R,25000000,314
Mike Barker,98,5,716,,Crime|Drama|Thriller,Gerard Butler,Shattered ,25450,1,http://www.imdb.com/title/tt0489664/?ref_=fn_tt_tt_1,UK,R,20000000,0
Wayne Thornley,83,0,700,,Adventure|Animation|Comedy|Family,Leonard Nimoy,Zambezia ,5203,0,http://www.imdb.com/title/tt1488181/?ref_=fn_tt_tt_1,South Africa,G,20000000,1000
Gnana Rajasekaran,153,0,7,,Biography|Drama|History,Mani Bharathi,Ramanujan ,102,0,http://www.imdb.com/title/tt3037162/?ref_=fn_tt_tt_1,India,,,58
Tom Walsh,98,2,53,,Animation,Joey D. Vieira,Dwegons and Leprechauns ,50,4,http://www.imdb.com/title/tt1134666/?ref_=fn_tt_tt_1,USA,PG,20000000,70
Jonathan Jakubowicz,105,23,897,,Action|Biography|Drama|Sport,Robert De Niro,Hands of Stone ,178,0,http://www.imdb.com/title/tt1781827/?ref_=fn_tt_tt_1,Panama,R,20000000,0
James McTeigue,96,160,889,,Action|Crime|Thriller,Milla Jovovich,Survivor ,21833,2,http://www.imdb.com/title/tt3247714/?ref_=fn_tt_tt_1,USA,PG-13,20000000,0
Scott Walker,105,17,897,,Crime|Drama|Mystery|Thriller,Nicolas Cage,The Frozen Ground ,43879,3,http://www.imdb.com/title/tt2005374/?ref_=fn_tt_tt_1,USA,R,27220000,11000
John Curran,125,43,7,8047690,Drama|Romance,Toby Jones,The Painted Veil ,77656,0,http://www.imdb.com/title/tt0446755/?ref_=fn_tt_tt_1,China,PG-13,19400000,0
Uli Edel,184,34,155,476270,Action|Biography|Crime|Drama,Moritz Bleibtreu,The Baader Meinhof Complex ,29602,2,http://www.imdb.com/title/tt0765432/?ref_=fn_tt_tt_1,Germany,R,20000000,0
Kevin Costner,236,0,232,184208848,Adventure|Drama|Western,Mary McDonnell,Dances with Wolves ,186485,1,http://www.imdb.com/title/tt0099348/?ref_=fn_tt_tt_1,USA,PG-13,22000000,0
Jake Kasdan,97,52,384,100292856,Comedy,Justin Timberlake,Bad Teacher ,160418,0,http://www.imdb.com/title/tt1284575/?ref_=fn_tt_tt_1,USA,R,20000000,16000
Harold Becker,113,17,551,58571513,Crime|Drama|Mystery|Thriller,Al Pacino,Sea of Love ,30213,1,http://www.imdb.com/title/tt0098273/?ref_=fn_tt_tt_1,USA,R,19000000,0
Mark Rosman,95,15,528,51431160,Comedy|Family|Romance,Dan Byrd,A Cinderella Story ,62861,2,http://www.imdb.com/title/tt0356470/?ref_=fn_tt_tt_1,USA,PG,20000000,0
Wes Craven,103,0,157,103001286,Horror|Mystery,David Arquette,Scream ,222018,0,http://www.imdb.com/title/tt0117571/?ref_=fn_tt_tt_1,USA,R,15000000,11000
Steve Beck,91,17,670,41867960,Horror,Shannon Elizabeth,Thir13en Ghosts ,65512,0,http://www.imdb.com/title/tt0245674/?ref_=fn_tt_tt_1,USA,R,20000000,0
Stanley Kubrick,146,0,413,,Drama|Horror,Scatman Crothers,The Shining ,610333,0,http://www.imdb.com/title/tt0081505/?ref_=fn_tt_tt_1,USA,R,19000000,37000
Robert Zemeckis,116,0,459,210609762,Adventure|Comedy|Sci-Fi,Lea Thompson,Back to the Future ,732212,0,http://www.imdb.com/title/tt0088763/?ref_=fn_tt_tt_1,USA,PG,19000000,39000
William Malone,93,37,545,40846082,Horror|Mystery|Thriller,Jeffrey Combs,House on Haunted Hill ,45317,0,http://www.imdb.com/title/tt0185371/?ref_=fn_tt_tt_1,USA,R,19000000,0
Tyler Perry,113,0,256,51697449,Comedy|Drama,Eric Mendenhall,I Can Do Bad All by Myself ,8346,6,http://www.imdb.com/title/tt1385912/?ref_=fn_tt_tt_1,USA,PG-13,13000000,1000
Rob Hawk,90,97,319,,Action|Drama,Kari J. Kramer,Fight Valley ,60,4,http://www.imdb.com/title/tt4280822/?ref_=fn_tt_tt_1,USA,,27000000,1000
Josh Gordon,101,8,110,27758465,Comedy|Drama|Romance,Caroline Dhavernas,The Switch ,77987,2,http://www.imdb.com/title/tt0889573/?ref_=fn_tt_tt_1,USA,PG-13,19000000,0
