genres,imdb_score
Crime|Drama,7.8
Drama|Horror,6.7
Adventure|Family,4.7
Horror,6.3
Adventure|Drama,7.4
Action|Sci-Fi,6.1
Crime|Drama,7.5
Horror|Thriller,6.3
Comedy|Crime|Romance,6.3
Drama|Romance,6.8
Drama|Romance,7.8
Drama|Romance,6.9
Comedy|Drama|Romance,8.0
Drama|Romance|War,7.8
Western,7.4
Drama|Music,6.1
Comedy|Drama,4.3
Crime|Drama|Thriller,3.5
Comedy|Drama|Romance,7.2
Horror|Thriller,4.7
Comedy|Drama|Romance,7.3
Drama|Mystery|Thriller,7.9
Romance,5.1
Crime|Drama|Romance,7.2
Drama|Mystery,5.4
Horror,3.7
Action|Horror|Thriller,7.4
Comedy|Drama|Romance,7.1
Action|Biography|Drama|Sport,6.8
Comedy|Drama,8.2
Drama,7.0
Comedy|Drama,7.4
Comedy|Drama|Romance,6.7
Comedy|Drama,5.7
Action,9.1
Film-Noir|Mystery|Romance|Thriller,7.6
Drama|Mystery|Romance,7.2
Comedy|Crime|Drama|Romance,7.5
Fantasy|Horror|Mystery|Thriller,6.8
Comedy|Crime|Sci-Fi|Thriller,6.9
Crime|Drama|Thriller,7.9
Documentary|War,7.6
Drama,6.7
Comedy|Romance,5.8
Crime|Drama|Thriller,6.5
Drama,7.2
Drama|Romance,6.9
Action|Horror|Thriller,5.5
Horror|Mystery,6.5
Comedy|Romance,6.2
Drama|Family,6.7
Comedy|Horror,5.7
Comedy|Drama|Family,8.6
Drama,6.5
Comedy|Fantasy,6.3
Comedy|Drama,4.3
Comedy,6.1
Drama|Music|Romance,6.0
Drama|War,5.8
Fantasy|Horror,6.7
Drama,6.7
Comedy|Drama|Romance,7.6
Drama|Fantasy|Horror|Thriller,5.1
Comedy|Horror|Mystery,6.8
Documentary,6.8
Drama|Fantasy|Romance,6.8
Comedy|Drama,6.3
Comedy|Drama,7.1
Sci-Fi,2.8
Comedy|Drama|Family,8.2
Action|Crime|Thriller,3.1
Action|Crime|Mystery|Thriller,7.0
Drama|Horror|Mystery|Thriller,3.3
Action|Horror|Thriller,3.6
Animation|Family|Fantasy|Musical,7.7
Drama,6.7
Western,5.5
Adventure|Comedy|Horror,6.6
Drama,4.8
Horror|Thriller,5.5
Crime|Romance|Thriller,6.3
Horror|Thriller,6.9
Adventure|Comedy|Family,6.5
Comedy|Crime,8.2
Western,7.1
Action|Crime|Drama|Mystery,7.3
Drama,8.1
Comedy|Drama,7.2
Drama,7.4
Drama,6.5
Comedy|Horror,5.7
Action|Crime|Drama|Thriller,6.1
Drama|Sci-Fi,7.7
Action|Biography|Drama|History,8.7
Action|Sci-Fi,4.3
Comedy,6.2
Comedy|Musical|Romance,3.3
Comedy,2.7
Horror|Romance|Thriller,5.2
Drama|Film-Noir|Mystery|Thriller,8.2
Horror|Mystery|Thriller,6.1
Drama|Film-Noir,8.0
Horror|Sci-Fi,5.5
Drama|Music,5.7
Animation,3.7
Crime|Film-Noir|Thriller,7.1
Drama|Family,7.8
Drama,7.3
Comedy|Romance|Thriller,4.1
Drama,7.2
Horror|Mystery|Thriller,7.7
Comedy|Crime|Mystery,7.1
Action|Romance|Thriller,7.6
Comedy|Drama,7.0
Drama|Sci-Fi|Thriller,5.5
Comedy|Drama|Romance,7.4
Drama,7.7
Comedy|Mystery|Romance,7.2
Crime|Drama|Mystery|Thriller,7.8
Comedy|Drama,6.6
Drama|Sport,6.0
Crime|Drama|Thriller,8.4
Drama|Family|Fantasy,6.5
