director_name,duration,director_facebook_likes,actor_3_facebook_likes,genres,actor_1_name,cast_total_facebook_likes,actor_3_name,num_user_for_reviews,country,budget,actor_2_facebook_likes,movie_facebook_likes
Robert Moresco,107,53,463,Crime|Drama|Thriller,Brian Dennehy,2512,Dash Mihok,34,USA,8000000,551,294
Thomas Vinterberg,102,346,488,Comedy|Crime|Drama|Romance,Michael Angarano,2572,William Hootkins,58,Italy,50000000,526,532
Claudia Llosa,97,43,47,Drama,Ian Tracey,326,William Shimell,11,Spain,8000000,63,675
Katsuhiro Ôtomo,124,78,4,Action|Animation|Sci-Fi,Mitsuo Iwata,28,Tesshô Genda,430,Japan,1100000000,5,0
John Herzfeld,97,17,1000,Action|Crime|Thriller,Paul Walker,37457,Jason Flemyng,31,USA,22000000,10000,0
Charles Binamé,124,2,23,Biography|Drama|Sport,Stephen McHattie,733,Julie LeBreton,31,Canada,8000000,265,520
Keith Parmer,96,2,600,Action|Crime|Drama|Thriller,Rachel Ann Mullins,33858,Grant Bowler,24,USA,8000000,920,438
Dennie Gordon,114,29,11,Action|Adventure|Comedy|Romance,Leehom Wang,219,Jack Kao,2,China,,20,81
Ol Parker,90,21,112,Comedy|Drama|Romance,Celia Imrie,619,Darren Boyd,149,UK,7900000,119,0
Bruce Beresford,104,78,189,Drama,Mckenna Grace,1546,Natalie Coughlin,5,USA,8000000,206,205
François Ozon,102,341,15,Crime|Drama|Mystery|Thriller,Charlotte Rampling,1389,Jean-Claude Lecas,288,France,,521,0
James Nunn,93,16,376,Action|Drama,Spencer Wilding,2284,Kacey Clarke,13,UK,,524,0
David Webb Peoples,90,73,26,Action|Sci-Fi|Sport,Delroy Lindo,1526,Anna Katarina,43,Australia,10000000,643,999
Michael Winnick,106,155,391,Action,Scott Takeda,2741,Craig Sheffer,14,USA,8000000,505,689
Bruce Beresford,99,78,325,Comedy|Drama|Family,Morgan Freeman,12619,Patti LuPone,134,USA,7500000,509,3000
George Tillman Jr.,115,88,890,Comedy|Drama,Vanessa Williams,4737,Vivica A. Fox,30,USA,7500000,1000,508
Stanley Tong,89,7,36,Action|Comedy,Françoise Yip,407,Garvin Cross,81,Hong Kong,7500000,147,0
David Oelhoffen,101,2,40,Drama|War|Western,Viggo Mortensen,10218,Ángela Molina,19,France,7700000,154,2000
Jason Reitman,92,655,88,Comedy|Drama,J.K. Simmons,25092,Todd Louiso,323,USA,6500000,829,0
Eli Roth,94,0,658,Horror,Jay Hernandez,4707,Stanislav Ianevski,384,USA,10000000,683,0
Lone Scherfig,100,92,221,Drama,Dominic Cooper,4198,Ellie Kendrick,237,UK,4500000,766,12000
Anand Tucker,106,14,161,Drama|Romance,Frances Conroy,1871,Clyde Kusatsu,268,USA,,545,1000
Tony Richardson,109,62,518,Comedy|Drama|Romance,Joely Richardson,2024,Nastassja Kinski,61,UK,7500000,552,345
Joe Carnahan,105,248,147,Crime|Drama|Mystery|Thriller,Jason Patric,1442,Alan Van Sprang,214,USA,7500000,466,1000
Paul Gross,102,329,280,Comedy|Drama|Romance|Sport,Molly Parker,1834,Kari Matchett,83,Canada,7500000,329,0
Charles Robert Carner,97,18,742,Comedy|Crime,Ivana Milicevic,4091,Richard Bull,20,USA,7500000,749,140
Russell Holt,118,0,249,Drama|Romance,Eric Johnson,1233,Tiffany Dupont,33,USA,7500000,266,31
Mike Judge,92,406,968,Comedy|Crime|Romance,J.K. Simmons,41867,Clifton Collins Jr.,106,USA,8000000,15000,0
Larry Charles,112,119,844,Comedy|Drama|Music,Jeff Bridges,15396,Bruce Dern,95,USA,,844,655
Claude Miller,103,27,59,Comedy|Crime|Drama|Romance|Thriller,Sandrine Kiberlain,262,Roschdy Zem,26,France,50000000,59,26
Michael Winterbottom,93,187,158,Drama|Romance|Sci-Fi|Thriller,Samantha Morton,1176,Natalie Mendoza,150,UK,7500000,163,0
Sacha Bennett,101,22,447,Comedy,Bob Hoskins,7206,Vincent Regan,3,UK,7500000,659,223
Paul Haggis,115,549,911,Crime|Drama|Thriller,Don Cheadle,5732,Jennifer Esposito,1624,Germany,6500000,912,18000
Rodrigo García,113,127,373,Drama,Mia Wasikowska,4370,Mark Williams,98,UK,8000000,415,0
Jeta Amata,95,20,36,Action|Crime|Drama|Thriller,Akon,409,Razaaq Adoti,4,Nigeria,7500000,65,389
Siddharth Anand,153,5,60,Comedy|Family|Romance,Saif Ali Khan,902,Vic Aviles,37,USA,6000000,249,108
Vincent Paronnaud,89,10,106,Animation|Biography|Drama|War,Catherine Deneuve,1754,Danielle Darrieux,158,France,7300000,545,14000
Joe Dante,92,287,664,Adventure|Fantasy|Thriller,Bruce Dern,4099,Haley Bennett,69,USA,12000000,708,0
Dennis Gansel,107,23,93,Drama|Thriller,Max Riemelt,635,Jennifer Ulrich,96,Germany,5000000,150,25000
Nicolas Winding Refn,118,0,500,Horror|Thriller,Keanu Reeves,19879,Charles Baker,73,France,7000000,860,0
Daniel Barber,97,12,641,Action|Crime|Drama|Thriller,Joseph Gilgun,2486,Sean Harris,224,UK,7300000,698,0
Sam Raimi,156,0,4000,Action|Adventure|Romance,J.K. Simmons,46055,Kirsten Dunst,1902,USA,258000000,11000,0
Robert Marcarelli,100,0,440,Action|Adventure|Fantasy|Sci-Fi|Thriller,George Coe,2428,Ayla Kell,206,USA,7500000,488,129
Jason Reitman,96,655,973,Comedy|Drama|Romance,J.K. Simmons,28817,Rainn Wilson,881,USA,7500000,3000,10000
Ernie Barbarash,104,249,96,Action|Thriller,Darren Shahlavi,835,Brahim Achabbakhe,29,Canada,7500000,284,0
Guy Hamilton,120,82,175,Action|Adventure|Thriller,Desmond Llewelyn,1105,Jill St. John,276,UK,7200000,177,0
Francis Ford Coppola,175,0,3000,Crime|Drama,Al Pacino,28122,Robert Duvall,2238,USA,6000000,10000,43000
Adrian Lyne,95,213,92,Drama|Music|Romance,Michael Nouri,791,Lee Ving,128,USA,4000000,174,0
Marc Webb,95,464,11000,Comedy|Drama|Romance,Joseph Gordon-Levitt,54075,Zooey Deschanel,494,USA,7500000,17000,40000
Jane Campion,121,319,11,Drama|Music|Romance,Holly Hunter,1051,Geneviève Lemon,241,New Zealand,7000000,18,0
Steven Soderbergh,110,0,11000,Comedy|Drama,Channing Tatum,46646,Matthew McConaughey,281,USA,7000000,15000,54000
Jonathan Liebesman,96,474,82,Horror|Mystery|Thriller,Sullivan Stapleton,2212,Angus Sampson,369,USA,11000000,970,2000
Guy Hamilton,121,82,189,Action|Adventure|Thriller,Yaphet Kotto,1865,Clifton James,251,UK,7000000,547,0
Jay Russell,95,13,430,Drama|Family|Sport,Clint Howard,2515,Cody Linley,149,USA,5000000,934,0
Adam Brooks,112,20,61,Comedy|Drama|Romance,Ryan Reynolds,16289,Paulina Gerzon,168,Germany,,109,0
Salim Akil,112,70,826,Comedy|Drama,Gary Dourdan,5959,Laz Alonso,59,USA,6600000,912,0
Baz Luhrmann,143,1000,76,Drama|Romance,Leonardo DiCaprio,29769,Steve Bisley,753,Australia,105000000,509,115000
George Clooney,93,0,566,Biography|Drama|History,Robert Downey Jr.,22745,Alex Borstein,526,USA,7500000,650,0
Bennett Miller,110,152,27,Biography|Crime|Drama,Philip Seymour Hoffman,22140,Kwesi Ameyaw,416,Canada,7000000,68,0
Robert Rodriguez,104,0,4000,Action|Crime|Thriller,Quentin Tarantino,33758,Salma Hayek,202,USA,7000000,12000,0
Michael Winterbottom,115,187,887,Drama|Romance|Western,Milla Jovovich,17104,Shirley Henderson,92,UK,20000000,900,141
,53,,1000,Crime|Drama|Thriller,Kirsten Dunst,19949,Oliver Platt,173,USA,,1000,61000
Michael Anderson,119,23,440,Action|Adventure|Sci-Fi,Farrah Fawcett,2951,Peter Ustinov,242,USA,9000000,659,0
Guy Hamilton,125,82,244,Action|Adventure|Thriller,Christopher Lee,17611,Desmond Llewelyn,258,UK,13000000,387,2000
Craig R. Baxley,96,22,794,Action|Comedy|Crime|Thriller,Bill Duke,5282,Carl Weathers,65,USA,7000000,841,978
Neil Marshall,100,197,159,Adventure|Horror|Thriller,MyAnna Buring,1379,Craig Conway,1100,UK,3500000,239,10000
Don Kempf,46,0,69,Documentary|Sport,Bill Murray,13448,Bob Costas,13,USA,,366,407
Matt Bettinelli-Olpin,89,14,270,Horror|Mystery,Zach Gilford,2517,Vanessa Ray,120,USA,7000000,479,0
David O. Russell,92,737,380,Comedy,Lily Tomlin,2240,David Patrick Kelly,105,USA,7000000,524,824
Rob Zombie,109,0,597,Crime|Horror,Sid Haig,3544,Lew Temple,687,USA,7000000,649,0
,44,,970,Action|Drama|Fantasy|Romance,Sarah Michelle Gellar,7970,Emma Caulfield,665,USA,2300000,3000,6000
Rick Famuyiwa,103,44,190,Comedy|Crime|Drama,Kimberly Elise,1342,Kiersey Clemons,89,USA,7000000,256,23000
Michael Rymer,95,48,826,Crime|Drama|Thriller,LL Cool J,4837,Nia Long,29,USA,7000000,865,375
Sam Mendes,143,0,393,Action|Adventure|Thriller,Albert Finney,2039,Rory Kinnear,1498,UK,200000000,563,80000
Rob Zombie,105,0,303,Horror,Sid Haig,2444,Erin Daniels,922,USA,7000000,340,0
Sharron Miller,79,0,23,Horror,Bernard Fox,345,Charles Aidman,21,USA,350000,29,44
Ethan Coen,106,1000,98,Comedy|Drama,Michael Stuhlbarg,1120,Peter Breitmayer,324,USA,7000000,105,10000
Aaron Schneider,100,11,970,Drama|Mystery,Bill Murray,19330,Bill Cobbs,97,USA,7500000,3000,0
