actor_1_facebook_likes,num_voted_users,actor_2_facebook_likes
1000,33884,692
906,736638,466
15000,143525,383
745,259083,440
940,45031,826
13000,34435,658
21,11798,17
3000,193770,2000
1000,74343,1000
710,271592,529
692,314630,309
1000,263853,843
8000,74274,3000
14000,142569,223
870,34359,861
960,98989,848
13000,885175,11000
49000,182802,8000
12000,115687,3000
13000,269858,982
10000,119807,1000
898,49049,372
10000,206776,834
3000,78635,579
886,143628,766
1000,31649,1000
4000,103241,973
18000,203154,11000
1000,56741,906
833,154955,697
12000,350698,1000
443,43559,277
25000,116159,19000
13000,102248,13000
2000,131217,650
903,84118,592
3000,138582,692
18000,58023,13000
15000,212085,588
11000,96385,691
17000,43709,1000
12000,39659,405
12000,88146,585
989,41663,229
5000,117096,327
394,61995,217
13000,43651,787
26000,105556,22000
1000,22264,841
349,16761,324
11000,26893,893
2000,25572,509
2000,5116,1000
26000,38983,326
11000,72868,1000
844,31124,729
13000,177653,1000
576,44891,358
11000,86504,655
21000,184637,17000
22000,101899,10000
7000,385943,2000
584,32224,220
14000,117739,11000
614,52496,451
1000,53970,855
966,103230,919
14000,133526,826
788,27481,562
29000,174248,149
7000,80338,1000
3000,128629,3000
537,88132,427
995,15114,363
940,85720,826
14000,29285,394
15000,881236,14000
3000,136954,3000
2000,158864,955
1000,328159,939
11000,75573,599
23000,197412,826
18000,1217752,145
15000,208817,968
605,240241,308
901,34561,857
20000,243834,13000
15000,151812,793
8000,212499,3000
12000,135404,174
21000,272789,561
769,103589,698
16000,60165,495
13000,96096,730
848,77390,517
13000,34473,718
12000,67395,1000
8000,61490,4000
600,213863,346
10000,227071,580
2000,24735,1000
10000,149337,806
27000,147641,1000
16000,132954,1000
1000,41776,1000
509,23940,317
14000,104831,1000
26000,166610,872
394,60508,380
324,49300,192
17000,67707,14000
11000,1347461,783
11000,46951,529
1000,8739,773
13000,43376,773
975,8560,909
623,65709,593
268,25474,85
3000,71202,1000
23000,111102,13000
11000,17025,1000
963,134625,580
177,190490,27
645,162909,522
12000,25681,9000
967,613473,610
2000,35314,925
11000,69663,913
21,11584,18
979,39471,862
11000,65297,919
524,43027,517
3000,43300,966
11000,38076,904
46000,272839,1000
8000,129995,1000
989,24089,664
18000,607235,13000
22000,211296,713
2000,116681,899
15000,782610,745
419,99989,330
925,63912,729
835,569841,812
13000,407601,147
394,199025,387
577,42705,501
2000,667983,617
770,91093,263
1000,49486,955
18000,156898,497
3000,46031,664
26000,285623,9000
1000,85673,976
13000,124641,11000
4000,83506,722
10000,60476,3000
12000,42737,3000
988,138246,960
11000,63493,8000
12000,85844,3000
13000,238916,11000
14000,97047,2000
19000,32353,1000
10000,293662,851
12000,102129,1000
2000,48753,1000
10000,226570,3000
1000,99043,975
433,33158,208
13000,180479,240
658,23476,257
309,143121,229
11000,163130,946
18000,266310,992
21000,14888,936
881,120795,869
854,68406,628
366,244566,334
3000,23302,552
10000,72287,884
24000,88225,13000
834,89816,780
1000,11370,944
9000,31209,2000
732,26404,607
966,61966,680
789,35918,520
539,99035,394
34000,75329,22000
18000,69484,992
1000,170179,720
650,256213,467
874,40883,668
1000,55749,967
11000,246698,8000
1000,51252,759
23000,107859,18000
33000,173530,301
10000,76770,1000
13000,124222,11000
18000,113295,748
8000,41727,1000
1000,10883,417
310,42144,219
12000,41259,10000
27000,58450,1000
436,76560,399
16000,47954,897
2000,75201,1000
510,19176,344
22000,69319,394
22000,73368,14000
13000,54314,968
21000,44099,939
13000,45296,10000
22000,207287,11000
13000,27517,1000
287,51349,233
865,97089,441
11000,36144,102
722,120416,585
26000,995415,21000
780,31788,265
19000,63363,972
11000,35565,779
968,57100,848
889,14596,290
20000,41288,882
5000,107028,2000
973,31640,400
794,44966,329
11000,35599,1000
3000,60232,1000
19000,53864,961
40000,47320,2000
26000,38398,368
11000,22570,708
879,1212,107
11000,18209,298
16000,479047,805
743,16260,730
14000,325264,962
2000,47968,1000
870,24420,558
970,82819,834
1000,15517,891
13000,92106,1000
142,27664,117
12000,27019,11000
963,29523,935
1000,159931,847
14000,131447,1000
1000,28807,664
962,80025,722
18000,259519,14000
11000,70681,3000
2000,78343,663
4000,38298,3000
12000,87745,1000
23000,28099,243
883,26992,701
14000,66308,799
12000,53118,795
15000,1251222,294
1000,57276,718
22000,260442,713
23000,119675,2000
10000,126357,593
851,86556,773
10000,244840,975
3000,56168,562
3000,162331,864
15000,323353,535
15000,127571,11000
795,85903,419
18000,229574,17000
5000,68417,827
18000,81026,10000
10000,338383,617
931,126746,507
2000,36587,812
12000,94407,702
926,735784,890
21000,56874,860
847,63982,440
890,512749,387
13000,75365,549
13000,78974,11000
485,96690,110
1000,40858,780
1000,67191,549
5000,88049,962
1000,18042,591
534,207686,273
57,29205,40
22000,145422,2000
1000,46239,416
838,49207,722
622,104066,591
933,35830,518
12000,27191,509
13000,44453,390
8000,67005,509
4000,36877,796
11000,199056,963
18000,40346,11000
22000,38533,617
18000,96654,893
13000,54787,2000
9000,110614,460
789,13215,640
995,8983,879
939,10417,605
3000,24285,2000
956,11148,579
2000,61680,828
226,62607,52
617,67822,367
13000,19706,854
12000,158267,919
10000,232710,3000
13000,39247,11000
14000,267980,1000
5000,58658,4000
277,68417,245
593,76331,467
117,41620,62
14000,20740,12000
23000,58416,1000
4000,86347,808
1000,224013,691
12000,21283,708
40000,115216,19000
23000,101221,638
18000,217480,1000
16000,155496,3000
852,6082,637
21000,18310,3000
29000,525801,15000
1000,216032,1000
4000,102167,957
14000,145974,11000
14000,95437,12000
631,66382,534
648,138941,568
16000,136680,10000
134,100743,27
22000,333542,721
211,97775,135
961,42324,691
889,185878,624
677,21396,560
2000,15740,1000
21000,220758,17000
145,467113,50
13000,200035,963
25000,145257,11000
10000,189923,743
15000,471644,3000
625,224671,440
49000,80580,22000
11000,131227,8000
12000,110432,11000
1000,287822,560
8000,135246,883
11000,156717,1000
17000,258186,920
11000,239752,10000
14000,271691,11000
12000,33354,919
8000,46482,818
8000,54010,2000
40000,101178,11000
18000,273108,412
1000,111368,495
426,34471,387
19000,111003,13000
12000,186879,748
14000,58412,11000
6000,71153,989
33000,375456,15000
13000,58961,258
2000,27548,843
22000,283563,18000
18000,91176,11000
14000,200647,664
12000,43328,536
20000,791783,979
154,81444,131
416,1824,171
8000,12845,2000
660,36431,651
1000,40362,912
10000,159868,520
838,63067,593
15000,195043,348
13000,109188,903
769,47764,726
17000,45580,995
87000,50170,11000
16000,39529,1000
10000,60326,2000
495,261069,294
992,172792,495
18000,48322,4000
3000,172112,1000
18000,107227,822
490,54101,298
437,60293,289
16000,68428,823
21000,136973,3000
294,46451,273
14000,151580,919
14000,74315,1000
18000,45895,886
854,17997,643
12000,20310,722
29000,176169,414
627,30890,508
330,58349,119
24000,26034,743
325,4438,7
2000,34896,472
15000,11257,2000
13000,80140,563
33000,43574,455
45000,62981,13000
879,86374,184
13000,18404,559
430,92461,329
933,49926,631
16000,34356,1000
6000,80196,450
12000,54021,898
629,7945,512
14000,128455,631
13000,139535,1000
11000,3077,552
18000,88270,14000
1000,19829,923
14000,76010,988
10000,189249,6000
23000,63599,1000
51,55889,40
20000,85237,11000
6000,46239,694
972,16562,713
1000,33186,619
10000,12037,3000
6000,38513,3000
3000,33535,845
984,58015,940
2000,9227,979
18000,113483,8000
1000,67796,852
49000,34730,811
14000,34964,8000
11000,15880,387
2000,8070,602
12000,81800,2000
841,19824,342
26000,77684,5000
1000,50391,531
879,14429,560
22000,90932,882
599,170684,399
11000,515306,844
2000,70886,35
20000,172965,2000
18000,120202,11000
17000,206104,324
598,1263,555
2000,137854,490
27000,40568,254
779,93367,629
18000,148490,12000
20000,64595,1000
3000,81888,575
12000,12771,5000
23000,237872,8000
14000,133436,794
3000,71708,745
2000,122347,1000
113,5639,102
678,47819,631
1000,73068,977
919,22447,811
