director_name,num_critic_for_reviews,actor_1_facebook_likes,actor_1_name,cast_total_facebook_likes,actor_3_name,plot_keywords,num_user_for_reviews,country,budget,imdb_score,movie_facebook_likes
Marco Kreuzpaintner,69,662,Zack Ward,1952,Alicja Bachleda,friend|girl|mexico city|new jersey|sex,75,Germany,12000000,7.5,0
Lajos Koltai,73,9,Marcell Nagy,11,Bálint Péntek,bus|death|gay slur|hatred|jewish,45,Hungary,2500000000,7.1,607
Alan Rudolph,42,13000,Bruce Willis,17417,Omar Epps,breakfast|manitoba|science fiction writer|suicide|writer,133,USA,12000000,4.6,458
Yimou Zhang,101,9,Honglei Sun,18,Dahong Ni,betrayal|husband wife relationship|murder|noodles|salary,20,China,,5.7,784
Vincenzo Natali,82,686,David Hewlett,1501,Kari Matchett,brainwashing|corporate espionage|spy|suburb|surprise ending,124,USA,7500000,6.8,0
Chuan Lu,149,52,Ye Liu,91,Ryu Kohata,atrocity|battle|chinese|horseback riding|martial arts,62,China,12000000,7.7,0
Tim Johnson,165,17000,Jim Parsons,17883,April Winchell,alien friendship|alien invasion|australia|flying car|mother daughter relationship,214,USA,135000000,6.7,26000
Lijun Sun,5,970,Jon Heder,1854,Rebecca Black,anthropomorphic animal|china|furry|rabbit,12,China,,3.2,211
Takashi Yamazaki,44,84,Takuya Kimura,164,Hiroyuki Ikeuchi,alien|battleship|message|radiation|yamato,49,Japan,12000000,6.1,0
Renny Harlin,74,567,Richard Coyle,708,Ana Imnadze,cameraman|epic battle|journalist|south ossetia|street shootout,61,Georgia,20000000,5.6,0
Christopher Smith,156,181,Rachael Carpani,433,Emma Lung,deja vu|lost at sea|ship|time loop|trapped in a time loop,293,UK,12000000,6.9,13000
Timothy Hines,1,1000,Christopher Lambert,2059,Alexandra Callas,,10,USA,12000000,7.5,26000
Randall Wallace,82,399,Jacob Vargas,663,Rob Moran,based on true story|christ|christian|near death experience|pastor,153,USA,12000000,5.8,23000
Guy Ritchie,151,26000,Jason Statham,39175,Jason Flemyng,boxer|boxing|diamond|fight|gypsy,726,UK,6000000,8.3,27000
David Winters,3,551,Gary Daniels,895,Ginger Jensen,,7,USA,12000000,2.8,634
Mary Lambert,98,969,Miko Hughes,2987,Denise Crosby,cat|cemetery|maine|secret|woods,248,USA,11500000,6.6,0
Akira Kurosawa,25,15,Tatsuo Matsumura,30,Akira Terao,air raid|beer|birthday|japan|professor,40,Japan,11900000,7.5,355
Jamie Thraves,35,680,Paddy Considine,1780,Charlotte Sullivan,isolated house|promotion|river|small town|stalking,27,UK,11500000,6.0,443
Mabel Cheung,6,215,Wei Tang,244,Hailu Qin,,6,China,12000000,6.2,4
Joe Dante,183,767,Phoebe Cates,2053,Zach Galligan,bright light|midnight|pet|small town|water,245,USA,11000000,7.2,14000
George Lucas,282,11000,Harrison Ford,13485,Kenny Baker,death star|empire|galactic war|princess|rebellion,1470,USA,11000000,8.7,33000
Dan Mazer,158,22000,Robert De Niro,24063,Jason Mantzoukas,female removes her clothes|fondling|voyeur|voyeurism|white panties,166,USA,11500000,6.0,11000
David Lean,89,597,Julie Christie,1966,Geraldine Chaplin,bolshevik|poet|poetry|russia|russian revolution,255,USA,11000000,8.0,7000
Stephen Daldry,101,585,Wagner Moura,679,Daniel Zettel,bible|key|poverty|slum|wallet,26,UK,,7.2,0
Kenny Ortega,128,755,Lucas Grabeel,3507,Corbin Bleu,basketball|curtain call|graduation|high school|high school senior,171,USA,11000000,4.5,0
David O. Russell,410,23000,Christian Bale,23811,Melissa McMeekin,boxer|boxing|boxing match|crack cocaine|lowell massachusetts,389,USA,25000000,7.9,36000
Jeff Tremaine,104,608,Bam Margera,1853,Chris Pontius,blindfold|male frontal nudity|male rear nudity|pubic hair|vomiting,196,USA,,7.1,641
Jonathan Lynn,54,886,Fred Gwynne,3280,Lane Smith,alabama|jail|judicial system|lawyer|trial,201,USA,11000000,7.5,7000
R.J. Cutler,141,17000,Chloë Grace Moretz,20466,Stacy Keach,car accident|coma|out of body experience|reference to the exploited|teenage girl,132,USA,11000000,6.8,15000
Brian Trenchard-Smith,30,84,Zoe Ventoura,179,Christopher Sommers,,33,Canada,12000000,4.3,774
David S. Ward,57,1000,Corbin Bernsen,3435,Rene Russo,cleveland indians|league|manager|owner|team,97,USA,11000000,7.2,0
Oliver Parker,56,785,Lily Cole,3135,Tamsin Egerton,2000s|female protagonist|reward|school|st trinian's,102,UK,13500000,5.8,0
Joel Schumacher,216,991,Radha Mitchell,2562,Richard T. Jones,phone booth|publicist|single set production|sniper|sniper rifle,629,USA,13000000,7.1,0
Adam Shankman,80,683,Lauren German,2436,Paz de la Huerta,community service|love|punishment|school|student,962,USA,11000000,7.4,19000
Tim Robbins,77,276,Lois Smith,903,Robert Prosky,death|execution|nun|solitary confinement|visit,190,UK,11000000,7.6,0
Roger Kumble,101,4000,Sarah Michelle Gellar,6223,Eric Mabius,bet|revenge|seduction|virgin|wager,749,USA,10500000,6.9,0
Kevin Greutert,156,723,Costas Mandylor,3101,George Newbern,deception|flash photography|game of death|jigsaw|pig mask,194,Canada,11000000,6.0,0
Mel Brooks,48,1000,Madeline Kahn,3931,Dom DeLuise,french revolution|old testament|part of an unfinished series|reference to john wayne|roman emperor,131,USA,11000000,6.9,0
Gina Prince-Bythewood,109,664,Nate Parker,3376,Jennifer Hudson,beekeeping|insect in title|racism|sister|south carolina,56,USA,11000000,7.3,0
Rob Pritts,62,584,Vincent Pastore,3850,Peter Berg,fbi|mafia|mobster|undercover|veterinarian,100,USA,11000000,4.6,365
Brian De Palma,33,636,Steven Bauer,1852,Gregg Henry,hitchcockian|long tracking shot|psychologist|psychology|wig,80,USA,12000000,6.0,541
Norman Jewison,20,13000,Sylvester Stallone,14735,Rod Steiger,1930s|driving through a gate|funeral|senator|trade union,35,USA,11000000,6.4,745
Tobe Hooper,52,425,Louise Fletcher,1661,William Bassett,alien|boy|nurse|school|school nurse,64,USA,12000000,5.5,902
John Crowley,351,838,Julie Walters,995,Eva Birthistle,1950s|immigrant|irish|irish accent|torn between two worlds,212,UK,11000000,7.5,36000
Stanley Kubrick,124,385,Ryan O'Neal,1104,Hardy Krüger,18th century|england|rise and fall|rural setting|wealth,369,UK,11000000,8.1,0
Brendan Malloy,37,799,Lee Majors,4291,Thomas Lennon,alaska|mountain|ski resort|snowboard|snowboarding,90,USA,11000000,6.3,0
Reginald Hudlin,58,8000,Will Ferrell,10982,Tim Meadows,black pantyhose|female stockinged legs|pantyhose|radio|tattoo,79,USA,11000000,5.1,671
Dustin Hoffman,175,358,Luke Newberry,1114,Pauline Collins,divorced couple|opera|reference to giuseppe verdi|retirement|senility,126,UK,11000000,6.8,13000
Gregory Poirier,75,1000,Shannon Elizabeth,2729,David Ogden Stiers,box office flop|critically bashed|dominatrix|friend|money,121,USA,11000000,5.3,449
Bill Paxton,161,11000,Matthew McConaughey,12237,Matt O'Leary,demon|fbi|fbi agent|murder|religious fanatic,463,USA,11000000,7.3,5000
