director_name,num_critic_for_reviews,duration,actor_2_name,gross,movie_title,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,budget,actor_2_facebook_likes,imdb_score
Rowan Joffe,136,111,Sean Harris,,Brighton Rock ,3117,Geoff Bell,2,12000000,641,5.7
David Hackl,160,95,Costas Mandylor,56729973,Saw V ,5286,Scott Patterson,0,10800000,723,5.8
Giuliano Montaldo,28,96,Gena Rowlands,,Machine Gun McCain ,1827,Britt Ekland,0,,545,6.2
Lisa Azuelos,54,97,Lina Esco,,LOL ,248,Alix Freihage,1,11000000,79,4.3
Ray Lawrence,75,118,Deborra-Lee Furness,399879,Jindabyne ,378,Max Cullen,2,15000000,71,6.4
Karan Johar,20,193,John Abraham,3275443,Kabhi Alvida Naa Kehna ,10822,Preity Zinta,2,700000000,1000,6.0
Oliver Parker,105,97,Rupert Everett,18535191,An Ideal Husband ,2640,Jeremy Northam,3,14000000,692,6.9
Ruairi Robinson,120,98,Olivia Williams,23838,The Last Days on Mars ,2271,Tom Cullen,0,7000000,766,5.5
Jaume Balagueró,108,103,Giancarlo Giannini,22160085,Darkness ,1228,Francesc Pagès,0,10600000,451,5.4
Stanley Kubrick,285,161,Gary Lockwood,56715371,2001: A Space Odyssey ,727,Glenn Beck,0,12000000,117,8.3
Steven Spielberg,215,120,Dee Wallace,434949459,E.T. the Extra-Terrestrial ,2811,Peter Coyote,0,10500000,725,7.9
Jon Kasdan,81,97,Elena Anaya,11043445,In the Land of Women ,20312,Dustin Milligan,0,10000000,1000,6.5
Léa Pool,17,97,Marc Donato,,The Blue Butterfly ,1554,Raoul Max Trujillo,1,12500000,450,6.3
Floyd Mutrux,5,99,Kelli Williams,125169,There Goes My Baby ,2272,Seymour Cassel,2,10500000,446,6.4
,3,24,Johnny Flynn,,Lovesick             ,592,Hannah Britland,3,,102,7.9
Sajid Khan,10,144,Boman Irani,1165104,Housefull ,1121,Riteish Deshmukh,5,,154,5.3
Christopher Cain,43,111,Taylor Handley,1066555,September Dawn ,1526,Trent Ford,0,11000000,362,5.8
Dean Wright,43,145,Eduardo Verástegui,5669081,For Greater Glory: The True Story of Cristiada ,1807,Catalina Sandino Moreno,1,10818775,377,6.6
Eric Lartigau,94,106,Eric Elmosnino,,La Famille Bélier ,175,François Damiens,4,11000000,29,7.4
Gus Van Sant,161,126,Matt Damon,138339411,Good Will Hunting ,63710,Minnie Driver,2,10000000,13000,8.3
Shintaro Shimosawa,38,106,Anthony Hopkins,,Misconduct ,27660,Glen Powell,3,11000000,12000,5.3
Darren Lynn Bousman,210,121,Shawnee Smith,80150343,Saw III ,3189,Leigh Whannell,0,10000000,651,6.2
Ivan Reitman,52,117,Harold Ramis,85300000,Stripes ,27378,Judge Reinhold,1,10000000,11000,6.9
Peyton Reed,139,98,Lindsay Sloane,68353550,Bring It On ,5270,Clare Kramer,1,10000000,464,5.9
James DeMonaco,165,109,Joseph Julian Soria,78845130,The Purge: Election Year ,2480,Mykelti Williamson,1,10000000,465,6.1
Robert Iscove,96,95,Clea DuVall,63319509,She's All That ,28734,Kieran Culkin,2,10000000,1000,5.8
Lee Daniels,323,109,Gabourey Sidibe,47536959,Precious ,3276,Mariah Carey,0,10000000,906,7.3
Darren Lynn Bousman,190,96,Shawnee Smith,63270259,Saw IV ,3492,Angus Macfadyen,0,10000000,651,5.9
Geoffrey Sax,173,101,Keegan Connor Tracy,55865715,White Noise ,2013,Mike Dopud,0,10000000,392,5.5
Tyler Perry,46,107,Cicely Tyson,63231524,Madea's Family Reunion ,5264,Blair Underwood,4,6000000,907,5.0
Martin Scorsese,59,119,Bill Cobbs,52293982,The Color of Money ,11895,Mary Elizabeth Mastrantonio,1,13800000,970,7.0
Ken Annakin,53,178,Richard Beymer,,The Longest Day ,1554,Eddie Albert,3,10000000,249,7.8
Stephen Herek,22,100,Shaun Weiss,50752337,The Mighty Ducks ,3362,Elden Henson,8,10000000,613,6.4
Takashi Shimizu,203,98,Clea DuVall,110175871,The Grudge ,7461,Ted Raimi,0,10000000,1000,5.9
Dennis Dugan,77,92,Kevin Nealon,38624000,Happy Gilmore ,13162,Frances Bay,1,12000000,503,7.0
Victor Salva,190,90,Patricia Belcher,37470017,Jeepers Creepers ,1982,Jonathan Breck,0,10000000,322,6.1
Stephen Herek,81,90,George Carlin,40485039,Bill & Ted's Excellent Adventure ,20795,Al Leong,6,10000000,769,6.9
Carol Reed,56,153,Ron Moody,16800000,Oliver! ,1593,Jack Wild,1,10000000,275,7.5
John Madden,264,124,Penelope Wilton,46377022,The Best Exotic Marigold Hotel ,1898,Celia Imrie,3,10000000,400,7.3
Chuck Sheetz,44,82,Andrew Lawrence,36696761,Recess: School's Out ,2197,Dabney Coleman,0,23000000,563,6.5
George Miller,117,107,Bruce Spence,36200000,Mad Max Beyond Thunderdome ,1529,Angelo Rossitto,2,12305523,531,6.2
Mark L. Lester,124,75,Vernon Wells,,Commando ,3192,Rae Dawn Chong,0,10000000,745,6.7
William Brent Bell,159,97,Rupert Evans,35794166,The Boy ,4687,Stephanie Lemelin,0,10000000,334,6.0
John Erick Dowdle,273,80,Bokeem Woodbine,33583175,Devil ,5628,Geoffrey Arend,0,10000000,904,6.3
Marcus Raboy,26,85,Mike Epps,32983713,Friday After Next ,3712,Katt Williams,0,20000000,706,5.8
Leigh Whannell,242,97,Hayley Kiyoko,52200504,Insidious: Chapter 3 ,2426,Leigh Whannell,0,10000000,542,6.1
Michael Schultz,55,109,Vanity,33000000,The Last Dragon ,3394,Keshia Knight Pulliam,1,10000000,841,6.9
Guy Ritchie,151,104,Brad Pitt,30093107,Snatch ,39175,Jason Flemyng,6,6000000,11000,8.3
Brett Leonard,48,140,Austin O'Brien,32101000,The Lawnmower Man ,1109,Troy Evans,0,10000000,211,5.4
Peter Sollett,166,90,Alexis Dziena,31487293,Nick and Norah's Infinite Playlist ,2807,Aaron Yoo,2,9000000,715,6.7
Kevin Smith,206,130,Janeane Garofalo,30651422,Dogma ,16693,George Carlin,8,10000000,1000,7.4
Bob Dolman,92,98,Eva Amurri Martino,30306281,The Banger Sisters ,1917,Sal Lopez,2,10000000,797,5.6
Joe Dante,78,101,Al Leong,29500000,Twilight Zone: The Movie ,1954,Vic Morrow,0,10000000,730,6.5
Rowdy Herrington,83,114,Kevin Tighe,30050028,Road House ,2484,Kelly Lynch,1,17000000,472,6.5
Keenen Ivory Wayans,8,100,Salli Richardson-Whitfield,29392418,A Low Down Dirty Shame ,3190,Charles S. Dutton,2,10000000,543,5.8
John Polson,86,85,Shiri Appleby,28563926,Swimfan ,3819,Jason Ritter,0,8500000,855,5.0
Greg Coolidge,85,103,Danny Woodburn,28435406,Employee of the Month ,4441,Jessica Simpson,2,12000000,809,5.5
