director_name,actor_3_facebook_likes,actor_1_facebook_likes,gross,movie_title,num_voted_users,movie_imdb_link,language,movie_facebook_likes
Caroline Link,8,56,6173485,Nowhere in Africa ,10672,http://www.imdb.com/title/tt0161860/?ref_=fn_tt_tt_1,English,802
Steve McQueen,726,13000,4000304,Shame ,145395,http://www.imdb.com/title/tt1723811/?ref_=fn_tt_tt_1,English,23000
Matthew Vaughn,466,27000,2338695,Layer Cake ,134070,http://www.imdb.com/title/tt0375912/?ref_=fn_tt_tt_1,English,0
Sterling Van Wagenen,266,1000,2024854,The Work and the Glory II: American Zion ,564,http://www.imdb.com/title/tt0457530/?ref_=fn_tt_tt_1,English,19
Zal Batmanglij,782,10000,2268296,The East ,41856,http://www.imdb.com/title/tt1869716/?ref_=fn_tt_tt_1,English,12000
Michael Mayer,874,18000,1029017,A Home at the End of the World ,12049,http://www.imdb.com/title/tt0359423/?ref_=fn_tt_tt_1,English,1000
Hans Petter Moland,0,844,64148,Aberdeen ,2601,http://www.imdb.com/title/tt0168446/?ref_=fn_tt_tt_1,English,260
Oren Moverman,706,12000,66637,The Messenger ,29608,http://www.imdb.com/title/tt0790712/?ref_=fn_tt_tt_1,English,0
Ian Sharp,368,1000,,Tracker ,2892,http://www.imdb.com/title/tt1414378/?ref_=fn_tt_tt_1,English,830
Anton Corbijn,471,845,871577,Control ,51353,http://www.imdb.com/title/tt0421082/?ref_=fn_tt_tt_1,English,13000
James Cameron,255,2000,38400000,The Terminator ,600266,http://www.imdb.com/title/tt0088247/?ref_=fn_tt_tt_1,English,13000
Wolfgang Becker,43,65,4063859,Good Bye Lenin! ,114407,http://www.imdb.com/title/tt0301357/?ref_=fn_tt_tt_1,German,11000
Tom Hooper,27,1000,449558,The Damned United ,32307,http://www.imdb.com/title/tt1226271/?ref_=fn_tt_tt_1,English,0
Dan O'Bannon,358,431,,The Return of the Living Dead ,39856,http://www.imdb.com/title/tt0089907/?ref_=fn_tt_tt_1,English,0
,5,18,,Gomorrah             ,9638,http://www.imdb.com/title/tt2049116/?ref_=fn_tt_tt_1,Italian,0
Kevin Smith,781,1000,2122561,Mallrats ,99033,http://www.imdb.com/title/tt0113749/?ref_=fn_tt_tt_1,English,0
Randal Kleiser,898,1000,181360000,Grease ,170027,http://www.imdb.com/title/tt0077631/?ref_=fn_tt_tt_1,English,13000
Oliver Stone,576,40000,137963328,Platoon ,291603,http://www.imdb.com/title/tt0091763/?ref_=fn_tt_tt_1,English,9000
Michael Moore,282,503,119078393,Fahrenheit 9/11 ,113152,http://www.imdb.com/title/tt0361596/?ref_=fn_tt_tt_1,English,0
George Roy Hill,399,640,102308900,Butch Cassidy and the Sundance Kid ,152089,http://www.imdb.com/title/tt0064115/?ref_=fn_tt_tt_1,English,0
Robert Stevenson,266,382,102300000,Mary Poppins ,107408,http://www.imdb.com/title/tt0058331/?ref_=fn_tt_tt_1,English,0
Robert Redford,535,2000,54800000,Ordinary People ,35130,http://www.imdb.com/title/tt0081283/?ref_=fn_tt_tt_1,English,0
Frank Coraci,447,1000,24004159,Around the World in 80 Days ,68722,http://www.imdb.com/title/tt0327437/?ref_=fn_tt_tt_1,English,0
Jerome Robbins,249,804,43650000,West Side Story ,71919,http://www.imdb.com/title/tt0055614/?ref_=fn_tt_tt_1,English,0
Harold Ramis,484,13000,39800000,Caddyshack ,81599,http://www.imdb.com/title/tt0080487/?ref_=fn_tt_tt_1,English,0
Gary Hardwick,578,3000,27457409,The Brothers ,3198,http://www.imdb.com/title/tt0250274/?ref_=fn_tt_tt_1,English,478
Rick Famuyiwa,328,865,25047631,The Wood ,6585,http://www.imdb.com/title/tt0161100/?ref_=fn_tt_tt_1,English,990
