duration,actor_3_facebook_likes,actor_1_facebook_likes,actor_1_name,movie_title,actor_3_name,language,budget,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes
81,616,13000,Bruce Willis,Beavis and Butt-Head Do America ,John Doman,English,12000000,2000,6.8,1.85,0
154,889,22000,Robert De Niro,Jackie Brown ,Robert Forster,English,12000000,1000,7.5,1.85,0
102,816,1000,Danneel Ackles,Harold & Kumar Escape from Guantanamo Bay ,Beverly D'Angelo,English,12000000,954,6.6,1.85,0
89,371,963,Michael Kelly,Chronicle ,Ashley Hinshaw,English,12000000,465,7.1,1.85,32000
132,122,405,Miriam Margolyes,Yentl ,Steven Hill,English,12000000,194,6.6,1.85,0
103,504,629,Shelley Duvall,Time Bandits ,Kenny Baker,English,5000000,561,7.0,1.85,0
93,135,1000,Britney Spears,Crossroads ,Dave Allen,English,12000000,188,3.3,1.85,0
93,281,971,Dax Flame,Project X ,Oliver Cooper,English,12000000,329,6.7,1.85,29000
172,78,654,George C. Scott,Patton ,Bill Hickman,English,12000000,416,8.0,2.2,0
96,933,49000,Robin Williams,One Hour Photo ,Connie Nielsen,English,12000000,989,6.8,1.85,0
89,1000,137000,Andrew Fiscella,Quarantine ,Dania Ramirez,English,12000000,1000,6.0,1.85,0
92,451,17000,Chloë Grace Moretz,The Eye ,Obba Babatundé,English,12000000,527,5.4,2.35,0
97,826,1000,Vanessa Williams,Johnson Family Vacation ,Shad Moss,English,12000000,1000,4.3,2.35,243
93,722,995,Hector Elizondo,How High ,T.J. Thyne,English,12000000,729,6.2,1.85,0
89,84,227,Steven Mackintosh,The Muppet Christmas Carol ,Steve Whitmire,English,12000000,94,7.7,1.85,0
144,834,6000,Eva Green,Casino Royale ,Ivana Milicevic,English,150000000,1000,8.0,2.35,0
123,898,4000,Salma Hayek,Frida ,Valeria Golino,English,12000000,1000,7.4,1.85,0
93,8,28,Lexie Contursi,Katy Perry: Part of Me ,Anthony Burrell,English,12000000,9,5.9,1.85,0
133,733,8000,Shailene Woodley,The Fault in Our Stars ,Nat Wolff,English,12000000,1000,7.8,1.85,93000
121,599,13000,Matt Damon,Rounders ,Gretchen Mol,English,12000000,940,7.4,2.35,0
