num_critic_for_reviews,actor_1_name,num_user_for_reviews,country,budget,title_year,imdb_score
16,Aidan Quinn,29,USA,6000000,2010,5.7
60,Benoît Magimel,36,France,,2003,6.6
63,Jennifer Ehle,50,USA,6000000,2009,6.7
56,Bingbing Li,22,China,6000000,2011,6.1
36,Tim Blake Nelson,29,USA,6000000,2006,6.2
47,James Nesbitt,34,UK,6000000,2001,6.2
38,Meryl Streep,44,USA,7840000,1977,7.4
26,Matthew McConaughey,37,USA,6000000,2008,4.7
47,Noam Chomsky,29,USA,,2006,8.3
68,Henry Thomas,133,USA,6000000,2003,7.2
19,Catherine Bell,38,USA,8600000,1994,5.8
39,Pruitt Taylor Vince,17,USA,,2009,5.9
162,Charlie Hunnam,86,USA,12000000,2012,6.3
37,Connie Nielsen,19,Canada,6000000,2009,7.2
26,Drew Waters,39,USA,6000000,2011,5.4
10,Romola Garai,50,UK,,,8.2
179,Debbie Harry,228,Canada,5952000,1983,7.3
88,Romain Duris,149,France,5300000,2002,7.3
43,Anne Hathaway,21,USA,6000000,2014,5.8
136,Ryan Gosling,302,USA,50000000,2002,6.1
111,Yorick van Wageningen,37,Netherlands,4000000,2008,7.1
13,Billy Burke,11,USA,6000000,2012,6.5
64,Jeanne Moreau,124,France,6700000,1964,7.9
6,Mira Sorvino,8,USA,,2012,5.4
112,Jon Foo,214,Thailand,200000000,2005,7.1
12,Sean Pertwee,21,UK,,1998,6.4
15,Simon Bird,42,UK,,,8.4
161,Archie Panjabi,438,UK,3500159,2002,6.7
68,Miguel Ferrer,81,USA,5600000,2002,6.9
25,Wesley Jonathan,36,USA,5600000,2006,2.1
23,Asin,31,India,,2012,4.3
222,Jonathan D. Mellor,148,Spain,5600000,2009,6.6
9,Kayla Jackson,6,USA,,2010,3.4
119,Eileen Brennan,252,USA,5500000,1973,8.3
90,Alice Krige,213,UK,5500000,1981,7.2
62,Cicely Tyson,202,USA,5500000,2005,5.6
71,Noah Taylor,104,Australia,5500000,1996,7.7
364,Joseph Gordon-Levitt,314,USA,3000000,2013,6.6
72,Clint Eastwood,169,USA,5500000,1973,7.6
122,Scarlett Johansson,488,USA,7000000,2001,7.4
100,Kate Winslet,144,UK,5500000,2001,7.1
24,Stephen Macht,44,USA,,1980,3.4
112,Jean-Baptiste Maunier,110,France,5500000,2004,7.9
67,Paul Sorvino,67,Canada,5000000,2003,6.7
91,Alexis Dziena,153,USA,5000000,2003,6.6
103,Ruby Dee,418,USA,6500000,1989,7.9
27,Sarah Michelle Gellar,69,USA,5500000,2001,4.9
205,Jean-Pierre Léaud,41,Finland,3850000,2011,7.2
192,Philippe Nahon,664,France,,2002,7.4
72,Lindsay Kay Hayward,12,Japan,5500000,2013,6.1
33,Anupam Kher,321,India,,2006,8.4
22,Kim Shaw,8,USA,,2014,6.2
48,Jim Gaffigan,31,USA,9000000,2011,5.3
65,Jon Hamm,117,USA,5250000,2007,5.0
29,Bob Hoskins,47,UK,,1999,7.7
284,Aksel Hennie,121,Norway,30300000,2011,7.6
187,Russell Tovey,70,UK,4000000,2012,6.3
47,Campbell Scott,52,Canada,6000000,2004,7.6
88,Samantha Morton,14,Norway,5500000,2014,5.6
41,Teresa Wright,249,USA,5100000,1980,7.3
24,Abhishek Bachchan,27,India,,2011,6.2
318,Lin Shaye,269,USA,5000000,2013,6.6
250,Emmanuelle Vaugier,864,USA,4000000,2005,6.6
411,Bradley Cooper,440,USA,15000000,2016,7.3
106,Bam Margera,327,USA,5000000,2002,6.6
159,Billy Burke,95,USA,4900000,2016,6.9
251,Johanna Braddy,314,USA,5000000,2011,5.8
183,Lin Shaye,159,USA,5000000,2014,4.4
131,John Saxon,311,USA,4500000,1987,6.6
297,Busy Philipps,279,USA,5000000,2015,7.1
41,Eugenio Derbez,81,Mexico,5000000,2013,7.6
248,Matt Shively,247,USA,5000000,2012,4.6
42,Richard Burton,69,USA,5000000,1953,6.8
33,Burt Kwouk,73,UK,5000000,1975,7.1
91,Johnny Depp,252,USA,8500000,1991,4.9
185,Charlize Theron,533,USA,4500000,2003,7.3
69,James Mason,108,USA,5000000,1954,7.2
220,Richard Cabral,155,USA,5000000,2014,5.0
117,Anthony Hopkins,356,USA,5000000,1980,8.2
471,Matthew McConaughey,340,USA,5000000,2013,8.0
152,Olivia Wilde,126,USA,3300000,2015,5.2
274,Callum Rennie,2067,USA,9000000,2000,8.5
336,James Lafferty,339,USA,5000000,2013,6.5
174,Ethan Suplee,472,USA,5000000,2006,7.4
151,Julie Walters,433,UK,5000000,2000,7.7
276,Steve Carell,216,USA,5000000,2013,7.4
12,William Schallert,11,USA,5000000,1991,5.1
18,Tony Bonner,56,Australia,3500000,1982,7.3
28,Frank Welker,18,USA,5000000,1999,5.0
95,John Beasley,157,USA,5000000,1997,7.2
74,Faye Dunaway,161,USA,5000000,1981,6.7
179,Zooey Deschanel,115,USA,5000000,2011,6.4
125,William Hurt,49,Canada,,2016,7.1
22,Bernie Mac,26,USA,4500000,1998,5.6
92,Mekhi Phifer,153,USA,5000000,2001,6.2
196,Ben Feldman,211,USA,5000000,2014,6.1
9,Boris Kodjoe,33,USA,5000000,2014,5.2
31,Jurnee Smollett-Bell,209,USA,6000000,1997,7.3
309,Kristen Stewart,195,USA,5000000,2014,7.5
15,Gene Tierney,67,USA,5000000,1954,6.6
36,Sylvester Stallone,107,USA,5000000,1981,6.4
129,Kane Hodder,291,USA,5000000,1989,4.5
168,Nia Vardalos,756,USA,5000000,2002,6.6
444,James Franco,561,USA,5000000,2012,5.3
123,Donald Pleasence,335,USA,5000000,1995,4.9
173,Maribel Verdú,385,Mexico,2000000,2001,7.7
246,Peter Serafinowicz,859,UK,4000000,2004,8.0
74,Jessica Lowndes,113,USA,5000000,2008,3.8
68,Matthew McConaughey,173,USA,5000000,1996,7.6
144,Donald Pleasence,374,USA,5000000,1988,5.9
96,Thomas F. Wilson,125,USA,5000000,1986,6.2
42,Steve Guttenberg,87,USA,5000000,1982,7.2
29,David Carradine,65,USA,5000000,1983,6.3
228,Warren Christie,323,USA,5000000,2011,5.2
195,Clifton Collins Jr.,134,USA,8000000,2008,6.9
203,Sterling Jerins,214,USA,5000000,2015,6.8
44,Vanna Bonta,87,USA,8000000,1982,6.2
14,Gina Lollobrigida,33,USA,5000000,1959,6.2
59,Fred Willard,53,USA,5000000,2016,3.5
45,Eddie Cibrian,21,USA,8000000,2009,6.1
42,Gary Cooper,46,USA,800000,1932,6.6
12,Donald Faison,9,USA,5000000,2016,4.5
29,Lara Jill Miller,65,USA,5000000,2000,5.9
121,Macaulay Culkin,324,USA,5000000,2004,6.9
135,Marie-Josée Croze,166,Canada,6000000,2003,7.7
27,Robert Shaw,90,USA,5000000,1976,6.6
56,Brendan Fehr,131,USA,5000000,2001,5.3
22,Harrison Ford,80,UK,5000000,1978,6.3
