num_critic_for_reviews,duration,actor_3_facebook_likes,genres,actor_1_name,movie_title,num_voted_users,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,movie_imdb_link,country,content_rating,budget,title_year,actor_2_facebook_likes,imdb_score,aspect_ratio
486,101,726,Drama,Michael Fassbender,Shame ,145395,15230,James Badge Dale,0,http://www.imdb.com/title/tt1723811/?ref_=fn_tt_tt_1,UK,NC-17,6500000,2011,898,7.3,2.35
149,105,466,Crime|Drama|Thriller,Tom Hardy,Layer Cake ,134070,29277,Jamie Foreman,1,http://www.imdb.com/title/tt0375912/?ref_=fn_tt_tt_1,UK,R,4000000,2004,594,7.4,2.35
4,100,266,Drama|Western,Emily Podleski,The Work and the Glory II: American Zion ,564,1942,Brenda Strong,2,http://www.imdb.com/title/tt0457530/?ref_=fn_tt_tt_1,USA,PG-13,6500000,2005,373,6.6,2.35
200,116,782,Drama|Thriller,Alexander Skarsgård,The East ,41856,13180,Jason Ritter,4,http://www.imdb.com/title/tt1869716/?ref_=fn_tt_tt_1,UK,PG-13,6500000,2013,918,6.9,2.35
84,97,874,Drama|Romance,Robin Wright,A Home at the End of the World ,12049,21107,Sissy Spacek,2,http://www.imdb.com/title/tt0359423/?ref_=fn_tt_tt_1,USA,R,6500000,2004,986,6.8,2.35
28,106,0,Drama,Charlotte Rampling,Aberdeen ,2601,846,Stellan Skarsgård,0,http://www.imdb.com/title/tt0168446/?ref_=fn_tt_tt_1,UK,,6500000,2000,2,7.3,1.85
217,105,706,Drama|Romance|War,Steve Buscemi,The Messenger ,29608,14462,Eamonn Walker,0,http://www.imdb.com/title/tt0790712/?ref_=fn_tt_tt_1,USA,R,6500000,2009,712,7.2,2.35
12,102,368,Action|Adventure|Drama|Western,Ray Winstone,Tracker ,2892,1904,Temuera Morrison,0,http://www.imdb.com/title/tt1414378/?ref_=fn_tt_tt_1,New Zealand,R,6500000,2010,433,6.5,2.35
183,122,471,Biography|Drama|Music,Sam Riley,Control ,51353,2614,Alexandra Maria Lara,1,http://www.imdb.com/title/tt0421082/?ref_=fn_tt_tt_1,UK,R,4500000,2007,631,7.7,2.35
204,107,255,Action|Sci-Fi,Michael Biehn,The Terminator ,600266,3582,Paul Winfield,1,http://www.imdb.com/title/tt0088247/?ref_=fn_tt_tt_1,UK,R,6500000,1984,663,8.1,1.85
153,121,43,Drama|Romance,Florian Lukas,Good Bye Lenin! ,114407,200,Burghart Klaußner,2,http://www.imdb.com/title/tt0301357/?ref_=fn_tt_tt_1,Germany,R,4800000,2003,51,7.7,1.85
145,98,27,Biography|Drama|Sport,Stephen Graham,The Damned United ,32307,1163,Maurice Roëves,2,http://www.imdb.com/title/tt1226271/?ref_=fn_tt_tt_1,UK,R,10000000,2009,54,7.6,1.85
203,108,358,Comedy|Horror|Sci-Fi,Linnea Quigley,The Return of the Living Dead ,39856,2020,Beverly Randolph,0,http://www.imdb.com/title/tt0089907/?ref_=fn_tt_tt_1,USA,R,4000000,1985,426,7.3,1.85
10,55,5,Crime|Drama|Thriller,Maria Pia Calzone,Gomorrah             ,9638,39,Marco D'Amore,5,http://www.imdb.com/title/tt2049116/?ref_=fn_tt_tt_1,Italy,TV-MA,,,9,8.7,1.85
93,123,781,Comedy|Romance,Ethan Suplee,Mallrats ,99033,3254,Joey Lauren Adams,6,http://www.imdb.com/title/tt0113749/?ref_=fn_tt_tt_1,USA,R,6000000,1995,898,7.2,1.85
124,110,898,Musical|Romance,Olivia Newton-John,Grease ,170027,5127,Sid Caesar,2,http://www.imdb.com/title/tt0077631/?ref_=fn_tt_tt_1,USA,PG-13,6000000,1978,944,7.2,2.35
120,120,576,Drama|War,Johnny Depp,Platoon ,291603,42028,Kevin Dillon,0,http://www.imdb.com/title/tt0091763/?ref_=fn_tt_tt_1,UK,R,6000000,1986,854,8.1,1.85
288,122,282,Documentary|Drama|War,Osama bin Laden,Fahrenheit 9/11 ,113152,1448,Ricky Martin,0,http://www.imdb.com/title/tt0361596/?ref_=fn_tt_tt_1,USA,R,6000000,2004,328,7.5,1.85
130,110,399,Biography|Crime|Drama|Western,Katharine Ross,Butch Cassidy and the Sundance Kid ,152089,2169,Kenneth Mars,1,http://www.imdb.com/title/tt0064115/?ref_=fn_tt_tt_1,USA,M,6000000,1969,566,8.1,2.35
145,139,266,Comedy|Family|Fantasy|Musical,Ed Wynn,Mary Poppins ,107408,2045,Elsa Lanchester,2,http://www.imdb.com/title/tt0058331/?ref_=fn_tt_tt_1,USA,Approved,6000000,1964,279,7.8,1.66
62,124,535,Drama,Adam Baldwin,Ordinary People ,35130,5122,Judd Hirsch,3,http://www.imdb.com/title/tt0081283/?ref_=fn_tt_tt_1,USA,R,6000000,1980,553,7.8,1.85
188,120,447,Action|Adventure|Comedy,Jim Broadbent,Around the World in 80 Days ,68722,3175,Cécile De France,0,http://www.imdb.com/title/tt0327437/?ref_=fn_tt_tt_1,USA,PG,110000000,2004,1000,5.8,2.35
120,152,249,Crime|Drama|Musical|Romance|Thriller,Rita Moreno,West Side Story ,71919,1802,Richard Beymer,0,http://www.imdb.com/title/tt0055614/?ref_=fn_tt_tt_1,USA,Unrated,6000000,1961,271,7.6,2.2
71,98,484,Comedy|Sport,Bill Murray,Caddyshack ,81599,14921,Brian Doyle-Murray,3,http://www.imdb.com/title/tt0080487/?ref_=fn_tt_tt_1,USA,R,6000000,1980,573,7.4,1.85
52,106,578,Comedy|Drama,Julie Benz,The Brothers ,3198,6419,Jenifer Lewis,4,http://www.imdb.com/title/tt0250274/?ref_=fn_tt_tt_1,USA,R,6000000,2001,685,6.3,1.85
18,106,328,Comedy|Drama|Romance,Omar Epps,The Wood ,6585,2724,Richard T. Jones,0,http://www.imdb.com/title/tt0161100/?ref_=fn_tt_tt_1,USA,R,6000000,1999,405,6.9,1.85
162,106,574,Crime|Drama|Mystery|Thriller,Kevin Spacey,The Usual Suspects ,740918,20821,Kevin Pollak,4,http://www.imdb.com/title/tt0114814/?ref_=fn_tt_tt_1,USA,R,6000000,1995,979,8.6,2.35
88,89,92,Fantasy|Horror|Romance|Thriller,Lisa Wilcox,A Nightmare on Elm Street 5: The Dream Child ,29659,584,Matthew Borlenghi,0,http://www.imdb.com/title/tt0097981/?ref_=fn_tt_tt_1,USA,X,8000000,1989,101,5.1,1.85
