duration,director_facebook_likes,actor_1_facebook_likes,genres,actor_1_name,facenumber_in_poster,content_rating,title_year,imdb_score
107,164,8000,Comedy|Crime,Will Ferrell,2,R,2015,6.0
155,0,18000,Fantasy|Horror|Romance,Keanu Reeves,0,R,1992,7.5
123,0,11000,Biography|Drama|Romance,Meryl Streep,2,PG-13,2009,7.0
128,241,11000,Biography|Drama|Sport,Harrison Ford,0,PG-13,2013,7.5
139,333,22000,Crime|Drama|Thriller,Philip Seymour Hoffman,1,R,1999,7.3
109,101,13000,Comedy,Bill Murray,1,PG-13,2014,5.7
120,155,23000,Adventure|Drama|Family,Paul Walker,1,PG,2006,7.3
121,278,22000,Comedy|Drama,Robert De Niro,2,PG-13,2015,7.2
102,167,2000,Action|Comedy,Olivia Munn,0,PG-13,2016,5.9
117,0,855,Action|Adventure|Drama|Romance|War,Wes Studi,1,R,1992,7.8
178,138,904,Biography|Drama|Music,Bokeem Woodbine,0,PG-13,2004,7.7
147,436,3000,Crime|Thriller,Rosario Dawson,1,R,2005,8.1
90,38,2000,Crime|Drama|Mystery|Thriller,Dennis Quaid,4,PG-13,2008,6.6
105,29,24000,Comedy|Romance,J.K. Simmons,2,R,2009,7.1
114,101,700,Comedy|Drama|Fantasy|Romance,Jason Alexander,2,PG-13,2001,5.9
206,0,433,Drama|History|Thriller,Sally Kirkland,1,R,1991,8.0
99,14,17000,Comedy|Crime,Chloë Grace Moretz,0,PG-13,2006,4.6
123,563,24000,Adventure|Comedy|Crime|Romance,J.K. Simmons,0,R,2001,6.1
137,11000,769,Biography|Drama|Sport|War,Finn Wittrock,0,PG-13,2014,7.2
102,23,2000,Comedy|Drama|Family|Fantasy|Romance,Matthew Perry,1,PG-13,2009,6.4
109,415,982,Comedy|Romance,Don Johnson,2,PG-13,2014,6.0
82,160,164000,Horror,Krista Allen,0,R,2009,5.2
142,14000,15000,Drama|History|Thriller,Tom Hanks,0,PG-13,2015,7.6
