num_critic_for_reviews,actor_2_name,gross,genres,movie_title,facenumber_in_poster,plot_keywords,content_rating,title_year,actor_2_facebook_likes
122,Steve Buscemi,6200756,Comedy|Drama,Ghost World ,0,art class|diner|friend|graduation|high school,R,2001,12000
100,Jim Broadbent,1292119,Biography|Drama|Romance,Iris ,1,alzheimer's disease|book|love|novelist|writer,R,2001,1000
24,Avery Schreiber,,Comedy|Sci-Fi,Galaxina ,0,alien|android|fem bot|female android|stars,R,1980,110
112,François Berléand,3629758,Drama|Music,The Chorus ,0,boarding school|boy|choir|school|teacher,PG-13,2004,86
67,Luke Kirby,6239558,Comedy|Drama,Mambo Italiano ,0,gay|immigrant|italian|police|police officer,R,2003,210
91,Louis Lombardi,1056102,Crime|Drama|Mystery|Thriller,Wonderland ,0,murder|police|police investigation|porn star|robbery,R,2003,436
103,John Savage,27545445,Drama,Do the Right Thing ,2,black militant|frustration|pizza|pizza parlor|pizzeria,R,1989,652
27,Eric Stoltz,56007,Comedy|Crime|Drama|Romance|Thriller,Harvard Man ,3,basketball|cheerleader|college|harvard|philosophy,R,2001,902
205,Kati Outinen,611709,Comedy|Drama,Le Havre ,1,bar|container|illegal immigrant|neighbor|shoe shiner,Not Rated,2011,67
192,Albert Dupontel,753501,Crime|Drama|Mystery|Thriller,Irreversible ,0,long take|male frontal nudity|revenge|reverse chronology|vengeance,Not Rated,2002,46
72,Hitoshi Matsumoto,22770,Comedy|Drama,R100 ,0,coma|one word title|spitting|sushi|swimming pool,Unrated,2013,17
33,Steven Mackintosh,2197331,Comedy|Drama|History|Romance,Rang De Basanti ,0,freedom|friend|india|student|urination,Not Rated,2006,227
22,John Heard,,Drama,Animals ,0,drug addict|drug addiction|drug use|drugs|junkie,,2014,697
48,Cree Kelly,27445,Action|Comedy|Drama|Thriller,Salvation Boulevard ,5,cross|doused with gasoline|pastor|security guard|shower,R,2011,39
65,Ken Marino,766487,Comedy|Romance,The Ten ,4,death|mexico|sabbath|surgeon|ten stories,R,2007,543
29,Paddy Considine,18434,Comedy|Drama,A Room for Romeo Brass ,2,betrayal|family relationships|friendship|psychosis|stranger,R,1999,680
284,Synnøve Macody Lund,1196752,Crime|Drama|Thriller,Headhunters ,3,art thief|male frontal nudity|male nudity|male star appears nude|painting,R,2011,52
187,Richard Coyle,,Comedy|Horror|Sci-Fi|Thriller,Grabbers ,0,bathtub|eaten alive|ferry boat|lobster trap|sprinkler system,Not Rated,2012,567
