num_critic_for_reviews,actor_1_facebook_likes,actor_3_name,facenumber_in_poster,budget,actor_2_facebook_likes
152,11000,Candice Bergen,2,30000000,826
94,506,Bonnie Somerville,3,19000000,316
119,3000,Christa B. Allen,1,37000000,2000
487,617,Nina Arianda,1,17000000,204
121,14000,Sarah Gadon,0,42000000,3000
147,40000,Jordi Mollà,1,30000000,1000
85,18000,Raphael Sbarge,0,55000000,652
98,12000,Walter Koenig,1,27800000,664
39,1000,Anne Meara,7,30000000,889
43,3000,Priscilla Presley,5,30000000,459
108,1000,Tanya Roberts,2,30000000,439
209,567,Peter Sallis,0,30000000,269
131,18000,Nellie McKay,1,30000000,631
73,984,M. Emmet Walsh,0,,934
316,19000,Brenda Blethyn,1,30000000,1000
159,898,Luisa Ranieri,1,30000000,60
63,939,Kate Capshaw,2,30000000,255
162,971,Sean Hayes,0,,860
267,40000,Joanna Lumley,1,40000000,16000
95,696,Derek Luke,1,,663
478,455,Daniel Kaluuya,2,30000000,221
305,15000,Oona Laurence,0,30000000,1000
397,2000,Reggie Lee,0,30000000,1000
214,11000,Ellen Burstyn,1,25000000,2000
82,3000,Emmanuelle Vaugier,1,30000000,3000
138,2000,Facundo Lombard,0,30000000,594
69,585,Sanoe Lake,3,30000000,495
253,8000,Danny Rhodes,1,38000000,189
304,430,Megan Franich,0,32000000,72
634,26000,Kristen Connolly,0,30000000,821
111,869,Method Man,0,30000000,759
77,22000,Philip Baker Hall,1,30000000,581
120,581,Richard Dawson,1,27000000,571
63,13000,Tisha Campbell-Martin,2,25000000,854
417,157,John Macmillan,0,30000000,33
9,971,Liam James,4,,805
59,663,Robin Shou,0,30000000,349
218,15000,Randall Park,0,30000000,839
359,17000,Portia Doubleday,1,30000000,2000
101,1000,Jasika Nicole,0,30000000,712
52,680,Kevin Dillon,2,,638
85,12000,Kevin Dunn,1,30000000,2000
64,1000,Richard Schiff,0,45000000,611
263,940,Tom Kane,0,30000000,271
450,17000,Katie Lowes,0,30000000,681
85,1000,Luke Mably,1,,530
162,759,Huell Howser,0,30000000,73
85,577,Cheri Oteri,0,19000000,291
110,631,Graham Beckel,1,30000000,199
165,521,Aunjanue Ellis,0,30000000,491
64,11000,Tom Everett Scott,3,30000000,882
44,18000,Traci Lords,1,30000000,723
147,973,Wanda Sykes,1,30000000,776
242,2000,Edgar Ramírez,0,30000000,1000
244,2000,Richard Roxburgh,0,30000000,942
73,1000,Dave Annable,1,35000000,681
232,2000,David Paymer,2,30000000,401
63,1000,Paul Sorvino,1,30000000,962
239,10000,Aisha Hinds,0,35000000,796
158,14000,Nick Chinlund,1,30000000,829
