director_facebook_likes,actor_2_name,facenumber_in_poster,plot_keywords,num_user_for_reviews,language,imdb_score,aspect_ratio
512,Jennifer Hale,2,bar|female nudity|murder|small town|werewolf,34,English,5.3,2.35
209,Mari Koda,2,audition|dance|kissing in the rain|student|subway,108,English,6.2,1.85
19,Chazz Palminteri,1,animal|axe|red riding hood|wolf|woodsman,247,English,6.5,1.85
83,Sophie Okonedo,1,atrocity|central africa|ethnic warfare|united nations peace keeping force|united nations soldier,609,English,8.1,2.35
87,Dougray Scott,1,hitman|impersonation|see through dress|topless female nudity|woman on top,376,English,6.3,2.35
148,Mary J. Blige,5,based on stage musical|based on the bible|christmas|color in title|nativity,17,English,4.4,2.35
32,50 Cent,4,assassin|fight|mechanic|rescue|rival,101,English,4.6,2.35
0,Shawn Andrews,0,bag over head|buddhist temple|loss of friend|male bonding|nightclub,67,English,6.0,1.85
448,Elaine Cassidy,0,curtain|haunting|mansion|mute|xeroderma pigmentosum,1109,English,7.6,1.85
0,Carrie Henn,1,alien|human versus alien|monster|rescue mission|space marine,1076,English,8.4,1.85
165,Rex Harrison,1,colonel|flower girl|professor|street|wager,258,English,7.9,2.2
13,Sarah Michelle Gellar,1,beach|corpse|fourth of july|overalls|revenge,419,English,5.6,2.35
42,Damon Wayans Jr.,1,friendship between men|impersonating a police officer|mobster|party|police officer,147,English,6.5,1.85
729,Patrick Gallagher,0,actor|california|teacher|wine|writer,835,English,7.5,1.85
422,Owain Yeoman,2,beer|competition|germany|oktoberfest|prostitute,177,English,6.3,2.35
0,Donald Pleasence,0,halloween|masked killer|michael myers|slasher|trick or treat,1191,English,7.9,2.35
611,Tony Chiu Wai Leung,4,china|flying|king|palace|sword,841,Mandarin,7.9,2.35
9,Molly Shannon,1,dog|friend|neighborhood|planet|star,48,English,5.1,1.85
92,Sanaa Lathan,5,childbirth|christmas|gay slur|infidelity|punched in the nose,64,English,6.7,2.35
248,Common,0,casino|fbi|mafia|mob hit|sniper,482,English,6.7,2.35
52,Gina Holden,0,blood splatter|self help guru|sequel|support group|survivor,279,English,5.6,1.85
36,Vinessa Shaw,0,female on male rape|lent|male rear nudity|masturbation|sex,207,English,5.6,1.85
364,Olivia Wilde,0,arcade|bridge|disappearance|escape|warrior,665,English,6.8,2.35
12,Chris Kattan,2,1990s|bar|car accident|nightclub|whipped cream,239,English,6.2,1.85
33,Mary-Kate Olsen,1,love|maid|newscaster|student|tutor,129,English,5.6,2.35
192,Greg Nicotero,0,desert|horror movie remake|murder of family|rape|slasher,855,English,6.4,2.35
39,Jenna Boyd,1,dental braces|dental headgear|former child star|panties|white panties,117,English,5.6,2.35
51,Valente Rodriguez,0,coach|high school|place name in title|school|student,83,English,7.4,2.35
