director_facebook_likes,num_voted_users,cast_total_facebook_likes,plot_keywords,title_year,actor_2_facebook_likes
473,217480,22517,attorney|deal|district attorney|investigation|justice,2009,1000
0,155496,22186,anthropophagus|blood and gore|double feature|real twins playing twins|zombie,2007,3000
438,6082,2397,farm|freedom|ohio|slavery|spirit,1998,637
161,18310,26334,losing|poker|poker player|reference to frederic chopin|reference to johannes brahms,2007,3000
14000,525801,48153,attorney|cat and mouse|fbi|pan am|pilot,2002,15000
0,216032,2759,al qaeda|cia|interrogation|lie|navy seal,2012,1000
235,102167,8315,art|break up|football video game|kitchen|talking to one's self in a mirror,2006,957
58,145974,26002,bride|greece|island|mediterranean|wedding,2008,11000
0,95437,45696,flower|indian restaurant|tv station|valentine|valentine's day,2010,12000
422,66382,2297,1969 dodge charger|bikini|farm|misogynist|tow truck,2005,534
0,138941,1937,battle|hill|jungle|multiple perspectives|tropical island,1998,568
71,136680,28045,best friend|fountain|law firm|lawyer|sex,2011,10000
869,100743,209,andy kaufman|comedian|eccentric|wrestler|wrestling,1999,27
17000,333542,24183,car bomb|card cheat|cash|casino|gambling syndicate,1995,721
180,97775,488,ambassador|cia|dinner|spy|terrorist,2010,135
13,42324,2422,monastery|monk|scroll|tibetan|tibetan monk,2003,691
101,185878,1711,dissociative identity disorder|limousine|multiple personality|police|rhode island,2000,624
176,21396,2055,cow|farmer|howl|howling at the moon|vegetarian,2006,560
14,15740,5468,christmas|december|holiday|massachusetts|neighbor,2006,1000
129,220758,64040,forks washington|protecting a woman|title same as book|vampire|werewolf,2009,17000
80,467113,275,donkey|fairy tale|ogre|princess|swamp,2001,50
53,200035,14607,love at first sight|obscene finger gesture|rain|teleportation|three word title,2011,963
58,145257,38518,balladeer|crusades|england|king|modern minstrel,1991,11000
488,189923,12182,agent|career|client|fiance|sports agent,1996,743
3000,471644,21773,2010s|car accident|sex scene|teddy bear|testicle,2012,3000
274,224671,1474,dog|friendship|neighbor|unlikely friendship|writer,1997,440
293,80580,74382,doctor|hospital|mental institution|nurse|student,1998,22000
285,131227,28176,fame|father son relationship|interracial kiss|interracial relationship|interracial sex,2013,8000
65,110432,26826,abbreviation in title|reporter|small town|sudden wealth|unknowing heir,2002,11000
14000,287822,3388,deputy|group of friends|time|train|train crash,2011,560
0,135246,10003,contamination|corporate crime|environmental issue|female protagonist|working single mother,2000,883
80,156717,14087,advertising executive|diamond|magazine|party|wager,2003,1000
97,258186,19428,college|drugs|hidden camera|tattoo|undercover,2014,920
277,239752,25697,betrayal|dangerous friend|gothic|monster as victim|vampire,1994,10000
235,271691,29505,best friend|dvd|girlfriend|loan|self help,2008,11000
43,33354,14569,accountant|blooper|espionage|facebook|high school reunion,2016,919
0,46482,9988,attorney|cancer|custody|fashion photographer|photographer,1998,818
51,54010,10886,biological father|dad|drinking|product placement|wilhelm scream,2015,2000
252,101178,62837,based on stage musical|cinderella|little red riding hood|singing|witch,2014,11000
0,273108,19148,bank|detective|negotiation|police|robber,2006,412
241,111368,3148,anti hero|criminal|greed|prostitute|tough guy,1999,495
155,34471,1761,captain|congo|expedition|laser|lost city,1995,387
488,111003,36873,blocked road|father son relationship|love at first sight|teenage boy|zookeeper,2011,13000
295,186879,13421,disaster|end of the world|number|student|time capsule,2009,748
9,58412,37967,friend|intervention|moving|secret|slacker,2006,11000
62,71153,10163,cartoon on tv|foreign language adaptation|second part|videotape|writer,2005,989
43,375456,57426,bar|divorce|friend|girl|male objectification,2011,15000
12,58961,13430,cat|dog|first part|lasagna|veterinarian,2004,258
148,27548,6729,act of kindness|christmas|christmas eve|neighbor|vacation,2004,843
152,283563,53094,baseball|meeting|statistics|strategy|voice over,2011,18000
249,91176,30383,disease|epidemic|monkey|quarantine|virus,1995,11000
174,200647,16967,air marshal|death|passenger|terrorist|transatlantic flight,2014,664
99,43328,14007,alien|military|mountain|spacecraft|ufo,2009,536
160,791783,22417,dystopia|freedom|government|revolution|terrorist,2005,979
71,81444,428,1880s|arrow|imperial seal|murder|revenge,2003,131
,1824,1816,,,171
5,12845,11124,hat|monkey|museum|shrine|yellow,2006,2000
23,36431,2177,automobile racing|car|mechanic|nascar|street racing,2005,651
39,40362,3341,mental institution|post traumatic stress|psychiatrist|vomiting|voyeur,2001,912
75,159868,11946,bounty hunter|brother sister team|death of loved one|hansel and gretel|supernatural power,2013,520
213,63067,2583,erotic thriller|infidelity|marital infidelity|unfaithfulness|wife's lover murdered by husband,2002,593
154,195043,15608,based on young adult novel|good versus evil|guardian|human alien|ohio,2011,348
79,109188,14747,cia|hezbollah|lebanon|oil|prince,2005,903
0,47764,3580,based on true story|cia agent|libya|mercenary|u.s. ambassador,2016,726
34,45580,19513,afterlife|bullfight|bullfighting|love triangle|mexico,2014,995
12,50170,101383,architect|bank|cayman islands|meeting|murder,2006,11000
16000,39529,19139,death|death of wife|murder|thief|violence,1997,1000
0,60326,15569,feminism|hit in the crotch|kicked in the crotch|kicked in the testicles|navy,1997,2000
21000,261069,1397,birthday|falling through a glass roof|game|hitchcockian|suicide,1997,294
50,172792,1933,gothic|police|police officer|silent hill|sleepwalking,2006,495
41,48322,24024,coach|football player|misfits|strike|sumo wrestler,2000,4000
22,172112,8398,bikini|female female kiss|high school reunion|outdoor sex|upskirt,2012,1000
473,107227,20152,hostage|innocence|murder|negotiator|police,1998,822
77,54101,1367,danger|graduation|storm|teenage boy|tornado,2014,298
644,60293,1093,california|counterfeit|counterfeit money|money|theme park,1994,289
287,68428,19610,gremlin|horror host|hulk hogan|monster|skyscraper,1990,823
71,136973,30183,courtroom|dysfunctional family|indiana|lawyer|trial,2014,3000
75,46451,1289,nuclear explosion|nuclear weapon|russia|train|train crash,1997,273
38,151580,16791,cover up|monster|strong female character|strong female lead|zombie apocalypse,2004,919
17,74315,15634,american actress playing british character|intern|prison|six word title|thailand,2004,1000
73,45895,19739,cancer|florida|insurance|life insurance policy|small town,2003,886
0,17997,1860,environmental|murder|oil|oil spill|tribe,1994,643
0,20310,14899,boy|bully|dream|dream sequence|planet,2005,722
0,176169,29461,love|map|paradise|thailand|travel,2000,414
0,30890,2052,fashion show|female protagonist|love|pastor|queens new york city,2004,508
160,58349,701,critically bashed|kung fu|martial artist|martial arts|ninja,2009,119
0,26034,25469,baseball|baseball movie|detroit tigers|perfect game|pitcher,1999,743
,4438,344,cult tv|death|detective inspector|four word title|internal affairs,,7
31,34896,3016,bouncer|breasts|congressman|private dancer|stripper,1996,472
9,11257,20061,dog|great dane|rivalry|talking animal|talking cat,2010,2000
16000,80140,14344,death|france|near death experience|tsunami|twin brother,2010,563
58,43574,34606,disposing of a dead body|high school student|murder|sociopath|teenage boy,2002,455
503,62981,58528,assassin|floppy disk|modem|rival|russian,1995,13000
73,86374,1344,aunt|cannibalism|faked death|medical student|revenge,2007,184
0,18404,14706,four word title|husband wife relationship|male rear nudity|marriage|summer camp,1999,559
487,92461,1300,alien|alien creature|body snatching|desert|parasite,2013,329
323,49926,3357,2000s|army|military crime|necklace yanked off|panama,2003,631
16000,34356,18635,boat|heart transplant|murder|serial killer|sister,2002,1000
670,80196,7654,bank|chase|district attorney|interpol|murder,2009,450
0,54021,15935,escape|island|los angeles california|machismo|president's daughter,1996,898
,7945,2758,,,512
663,128455,16358,boy|friend|government agent|maine|robot,1999,631
0,139535,15757,expedition|oceanographer|sea|shark|team,2004,1000
378,3077,12786,american civil war|civil war|u.s. civil war,2016,552
