director_facebook_likes,gross,content_rating,budget,title_year,movie_facebook_likes
0,,PG,22000000,1982,12000
529,54235441,PG,22000000,2014,55000
34,50728000,PG-13,22000000,1995,0
24,40270895,PG-13,22000000,2001,15000
25,59696176,PG-13,22000000,2014,15000
235,51483949,R,22000000,2003,0
101,36020063,R,22000000,2005,0
0,33313582,R,21000000,2009,0
0,25842000,PG,22000000,1993,2000
2,22264487,R,22000000,2005,887
31,30659817,PG-13,26000000,2013,0
118,5773519,PG-13,40000000,2015,11000
24,3108216,R,,2016,0
221,19351569,PG-13,22000000,2001,739
42,49002815,PG,22000000,2012,0
0,19283782,R,22000000,1999,0
0,30059386,R,22000000,2001,0
0,35799026,PG-13,126000000,2005,0
12,17951431,PG-13,30000000,2001,804
1000,29997095,PG-13,22000000,2016,23000
4,14252830,PG-13,22000000,2001,0
39,19783777,R,22000000,2013,15000
34,13555988,PG,22000000,2000,0
737,12784713,R,22000000,2004,0
87,10696210,PG-13,23500000,1993,716
53,5974653,PG-13,22000000,2001,158
688,5000000,G,25000000,1970,104
37,9694105,PG,22000000,1999,272
11,16027866,PG-13,25000000,2015,0
2,4829497,R,,2004,0
719,4398392,R,21000000,2006,0
13,1050445,PG-13,22000000,2005,11000
21,13746550,R,2000000,2012,0
144,20668843,PG-13,22000000,2008,687
17,2963012,R,22000000,2014,11000
607,,PG,12000000,1977,0
43,1796024,R,22000000,2010,0
2,634277,PG-13,16000000,2007,815
108,11326836,R,22000000,2013,17000
209,49024969,R,25000000,2007,0
88,22294341,PG-13,21500000,1996,758
89,24362501,R,21500000,1999,0
195,,PG,22000000,2013,0
11000,16684352,R,17000000,2012,18000
16000,46700000,PG,21000000,1982,0
406,52008288,R,21000000,1999,0
0,8579684,R,9000000,2007,0
8,42660000,PG,17000000,1993,1000
48,40219708,PG-13,21000000,2001,0
737,132088910,R,21000000,2012,117000
98,36581633,PG-13,21000000,2007,10000
0,37721949,R,,2010,0
255,25296447,PG-13,21000000,2002,0
65,24848292,PG-13,20000000,2008,0
52,17757087,R,21000000,1999,897
,,,3000000,,141
0,9430988,R,17000000,2009,7000
0,16284360,PG-13,21000000,2008,1000
52,6830957,PG-13,21000000,2002,365
140,24104113,R,20000000,2011,24000
18,15593,PG-13,21000000,1999,284
0,958319,PG-13,21000000,2011,17000
19,69700000,R,35000000,1982,0
0,2840417,R,31000000,1999,6000
14000,242374454,PG,18000000,1981,16000
0,173585516,PG,18000000,1992,0
14000,128300000,PG,19400870,1977,0
2,20259297,PG-13,20000000,2006,0
12000,153665036,R,28000000,1987,0
163,132541238,PG-13,33000000,2003,800
438,130727000,R,19000000,1991,40000
122,121697350,PG-13,20000000,1992,0
79,117224271,R,20000000,2010,0
82,102922376,PG,20000000,1978,0
67,94497271,PG,20000000,2008,0
0,137387272,R,20000000,2013,131000
32,82301521,PG,32000000,2005,773
265,84518155,R,20000000,2014,11000
154,80050171,PG-13,20000000,2007,0
0,81257845,PG-13,35000000,2003,0
545,70360285,PG-13,18000000,1995,0
118,12831121,PG-13,30000000,2004,0
322,69148997,PG-13,37000000,2004,0
729,82624961,R,20000000,2011,22000
99,67325559,PG,20000000,2003,0
30,62933793,PG,20000000,2010,10000
0,56667870,R,20000000,2013,83000
30,56398162,PG-13,20000000,2002,2000
0,60072596,PG-13,20000000,2010,0
13000,56362352,PG-13,20000000,1990,16000
17,56154094,PG-13,20000000,2016,51000
0,65623128,PG-13,20000000,2012,0
607,,R,1800000,1971,0
24,55461307,R,20000000,2016,18000
64,48546578,PG-13,20000000,2006,806
2,48423368,G,20000000,2002,302
151,52066000,PG-13,20000000,2014,22000
0,47887943,G,20000000,2003,227
19,46363118,PG-13,20000000,2005,1000
9,47852604,PG-13,20000000,2007,0
25,45542421,G,30000000,2000,347
174,41573740,R,,2009,20000
132,42652003,PG,20000000,2015,33000
,,,,,211
82,39737645,PG-13,20000000,2007,0
468,37567440,R,20000000,1982,0
310,44988180,R,20000000,2015,80000
119,39263506,PG-13,22000000,2008,0
70,39143839,PG-13,20000000,2006,930
8,37672350,R,20000000,1998,0
12,38037513,PG,20000000,1991,0
272,37442180,PG-13,20000000,2006,0
20,,PG,20000000,1979,4000
210,35596227,R,20000000,2010,10000
16,35422828,PG,20000000,1997,0
82,36658108,PG-13,20000000,2010,16000
