duration,actor_1_facebook_likes,gross,actor_1_name,movie_imdb_link,language,country,content_rating,title_year,imdb_score,aspect_ratio
133,14000,350123553,Bradley Cooper,http://www.imdb.com/title/tt2179136/?ref_=fn_tt_tt_1,English,USA,R,2014,7.3,2.35
103,2000,80021740,Odeya Rush,http://www.imdb.com/title/tt1051904/?ref_=fn_tt_tt_1,English,USA,PG,2015,6.4,2.35
22,870,,Nate Richert,http://www.imdb.com/title/tt0115341/?ref_=fn_tt_tt_1,English,USA,TV-G,,6.6,1.33
95,970,48291624,Jon Heder,http://www.imdb.com/title/tt0425123/?ref_=fn_tt_tt_1,English,USA,PG-13,2005,6.7,1.85
90,1000,35231365,Taylor Negron,http://www.imdb.com/title/tt0158622/?ref_=fn_tt_tt_1,English,USA,PG,2000,3.6,1.85
87,13000,53715611,Sylvester Stallone,http://www.imdb.com/title/tt0095956/?ref_=fn_tt_tt_1,English,USA,R,1988,5.7,2.35
114,142,31199215,Robert Baker,http://www.imdb.com/title/tt0379865/?ref_=fn_tt_tt_1,English,USA,PG-13,2008,6.0,1.85
119,12000,,Taylor Lautner,http://www.imdb.com/title/tt2479478/?ref_=fn_tt_tt_1,English,USA,TV-14,2015,4.9,2.35
103,963,29580087,Michael Kelly,http://www.imdb.com/title/tt1314228/?ref_=fn_tt_tt_1,English,USA,PG-13,2009,4.7,2.35
125,1000,44665963,Josh Gad,http://www.imdb.com/title/tt2234155/?ref_=fn_tt_tt_1,English,USA,PG-13,2013,6.3,2.35
97,14000,60128566,Milla Jovovich,http://www.imdb.com/title/tt1220634/?ref_=fn_tt_tt_1,English,Germany,R,2010,5.9,2.35
125,1000,49875589,David Oyelowo,http://www.imdb.com/title/tt0485985/?ref_=fn_tt_tt_1,English,USA,PG-13,2012,5.9,2.35
30,962,,Chris Noth,http://www.imdb.com/title/tt0159206/?ref_=fn_tt_tt_1,English,USA,TV-MA,,7.0,1.33
136,18000,60984028,Keanu Reeves,http://www.imdb.com/title/tt0118971/?ref_=fn_tt_tt_1,English,USA,R,1997,7.5,2.35
116,11000,36931089,Adam Sandler,http://www.imdb.com/title/tt1232200/?ref_=fn_tt_tt_1,English,USA,R,2012,5.6,2.35
103,2000,51317350,Dennis Quaid,http://www.imdb.com/title/tt0116136/?ref_=fn_tt_tt_1,English,USA,PG-13,1996,6.4,2.35
97,4000,28328132,Salma Hayek,http://www.imdb.com/title/tt0367479/?ref_=fn_tt_tt_1,English,USA,PG-13,2004,6.3,2.35
96,12000,51774002,Nicolas Cage,http://www.imdb.com/title/tt1071875/?ref_=fn_tt_tt_1,English,USA,PG-13,2011,4.3,2.35
131,23000,25528495,Christian Bale,http://www.imdb.com/title/tt0238112/?ref_=fn_tt_tt_1,English,UK,R,2001,5.9,2.35
22,883,,Barry Corbin,http://www.imdb.com/title/tt1986770/?ref_=fn_tt_tt_1,English,USA,,,6.7,16.0
95,14000,113006880,Vin Diesel,http://www.imdb.com/title/tt0395699/?ref_=fn_tt_tt_1,English,Canada,PG,2005,5.5,2.35
86,12000,45860039,Dwayne Johnson,http://www.imdb.com/title/tt0351977/?ref_=fn_tt_tt_1,English,USA,PG-13,2004,6.2,2.35
142,15000,329691196,Tom Hanks,http://www.imdb.com/title/tt0109830/?ref_=fn_tt_tt_1,English,USA,PG-13,1994,8.8,2.35
92,1000,217326336,Jesse McCartney,http://www.imdb.com/title/tt0952640/?ref_=fn_tt_tt_1,English,USA,PG,2007,5.2,1.85
108,22000,166225040,Robert De Niro,http://www.imdb.com/title/tt0212338/?ref_=fn_tt_tt_1,English,USA,PG-13,2000,7.0,1.85
84,23000,141600000,Christian Bale,http://www.imdb.com/title/tt0114148/?ref_=fn_tt_tt_1,English,USA,G,1995,6.6,1.78
188,10000,134218018,Marlon Brando,http://www.imdb.com/title/tt0078346/?ref_=fn_tt_tt_1,English,USA,PG,1978,7.3,2.35
95,851,128769345,Jada Pinkett Smith,http://www.imdb.com/title/tt0117218/?ref_=fn_tt_tt_1,English,USA,PG-13,1996,5.6,1.85
118,10000,177575142,Will Smith,http://www.imdb.com/title/tt0386588/?ref_=fn_tt_tt_1,English,USA,PG-13,2005,6.6,2.35
92,3000,105263257,Brendan Fraser,http://www.imdb.com/title/tt0119190/?ref_=fn_tt_tt_1,English,USA,PG,1997,5.4,1.85
74,3000,104354205,Alyson Hannigan,http://www.imdb.com/title/tt0328828/?ref_=fn_tt_tt_1,English,USA,R,2003,6.3,2.35
134,15000,107100855,Tom Hanks,http://www.imdb.com/title/tt1535109/?ref_=fn_tt_tt_1,English,USA,PG-13,2013,7.9,2.35
101,15000,98711404,Mila Kunis,http://www.imdb.com/title/tt1279935/?ref_=fn_tt_tt_1,English,USA,PG-13,2010,6.3,2.35
100,795,100328194,Eric Idle,http://www.imdb.com/title/tt0112642/?ref_=fn_tt_tt_1,English,USA,PG,1995,6.0,1.85
132,18000,101530738,Denzel Washington,http://www.imdb.com/title/tt0455944/?ref_=fn_tt_tt_1,English,USA,R,2014,7.2,2.35
105,5000,93815117,Bob Hoskins,http://www.imdb.com/title/tt0252076/?ref_=fn_tt_tt_1,English,USA,PG-13,2002,5.1,2.35
123,18000,91400000,Denzel Washington,http://www.imdb.com/title/tt0112740/?ref_=fn_tt_tt_1,English,USA,R,1995,7.3,2.35
