director_name,duration,actor_3_facebook_likes,actor_1_facebook_likes,movie_title,num_voted_users,cast_total_facebook_likes,plot_keywords,num_user_for_reviews,actor_2_facebook_likes,imdb_score
Richard Donner,135,67,8000,Conspiracy Theory ,76099,8355,conspiracy|fbi|mk ultra|newsletter|taxi,162,137,6.7
David Ayer,134,697,11000,Fury ,303185,20411,battle|battlefield|brutality|combat|tank,701,8000,7.6
Ivan Reitman,98,397,11000,Six Days Seven Nights ,60910,12729,airplane|island|pilot|storm|thunderstorm,164,643,5.7
Eric Brevig,80,375,3000,Yogi Bear ,16385,4394,bear|mayor|park|sabotage|yogi bear,100,642,4.6
Kelly Asbury,83,495,13000,Spirit: Stallion of the Cimarron ,44143,14261,cavalry|escape|herd|stallion|wild stallion,216,503,7.0
Frank Coraci,102,269,3000,Zookeeper ,44662,5392,champagne bottle|coca cola|jewelry box|red bull|zoo,127,1000,5.2
Stephen Hopkins,130,427,10000,Lost in Space ,58402,12186,based on tv series|remake|robot|scientist|spaceship,370,882,5.1
Jonathan Demme,129,502,18000,The Manchurian Candidate ,86422,20056,brainwashed assassin|conspiracy|critically acclaimed|mother son relationship|soldier,363,1000,6.6
Henry Jaglom,117,87,898,Déjà Vu ,666,1753,american|love|pin|ruby|stranger,40,577,7.0
Genndy Tartakovsky,89,859,12000,Hotel Transylvania 2 ,56501,26839,california|dracula|hotel|transylvania|vampire,97,11000,6.7
,25,474,1000,Bewitched             ,11427,2614,connecticut|magic|marriage|witch|witchcraft,71,960,7.6
James Algar,74,62,340,Fantasia 2000 ,27543,814,abstract|ark|disney|fairy tale|piano,186,243,7.3
Simon Wells,96,102,891,The Time Machine ,103787,1919,hunter|scientist|time machine|time travel|time travel romance,615,639,5.9
Ron Underwood,114,372,9000,Mighty Joe Young ,22955,10731,animal|california|gorilla|hunter|poacher,88,496,5.6
Dominic Sena,99,820,20000,Swordfish ,155532,25942,computer|secret agent|terrorism|told in flashback|wearing a sound wire,543,3000,6.5
Martin Campbell,129,163,2000,The Legend of Zorro ,71574,2864,california|fight|hero|mask|zorro,244,277,5.9
Vincent Ward,113,129,49000,What Dreams May Come ,83560,49631,heaven|hell|soul|soul mate|suicide,619,448,7.0
Steven Brill,90,658,11000,Little Nicky ,80639,25190,angel|devil|flask|hell|the devil,237,11000,5.3
Terry Gilliam,118,871,13000,The Brothers Grimm ,98472,27114,creature|curse|exorcism|girl|village,492,13000,5.9
Tim Burton,106,733,20000,Mars Attacks! ,172217,22590,alien|general|martian|president|weapon,405,770,6.3
Lucile Hadzihalilovic,81,8,23,Evolution ,979,54,boy|giving birth|nurse|sea|ultrasonography,3,21,6.4
Lee Tamahori,117,904,12000,The Edge ,55913,14831,bear|billionaire|crash|survival tactics|wilderness,182,1000,6.9
Jonathan Mostow,89,1000,13000,Surrogates ,151424,18132,android|fbi agent|future|murder|robot,252,1000,6.3
Roger Donaldson,145,183,981,Thirteen Days ,45231,1825,blockade|crisis|cuba|missile|president,315,274,7.3
Rob Cohen,114,366,13000,Daylight ,53132,25126,collapsing tunnel|explosion|new jersey|tunnel|weimaraner,101,10000,5.8
Barry Cook,87,210,882,Walking with Dinosaurs 3D ,8913,1971,brother|dinosaur|head butt|hero|orphan,66,396,5.2
Roger Christian,119,41,743,Battlefield Earth ,65464,971,alien|bad acting|pulp fiction|resistance fighter|voyager golden record,1308,117,2.4
Joe Dante,91,695,3000,Looney Tunes: Back in Action ,24183,5593,diamond|duck|monkey|spy|stuntman,160,739,5.7
Rob Marshall,118,30,529,Nine ,37446,619,based on stage musical based on film|child abuse|film director|italian|mistress,232,48,5.8
Richard Donner,116,982,23000,Timeline ,53057,43887,castle|france|professor|student|time machine,457,18000,5.6
Kevin Costner,177,582,766,The Postman ,56403,4346,drifter|escape|hope|postman|usa,376,674,6.0
George Miller,97,231,1000,Babe: Pig in the City ,24868,2521,animal|farm|farmer|hotel|pig,216,971,5.8
Breck Eisner,106,612,14000,The Last Witch Hunter ,58752,16922,box office flop|burned to death|magic|witch|witch hunter,117,788,6.0
Antony Hoffman,106,0,2,Red Planet ,47612,2,astronaut|mars|robot|robot as menace|survival,348,0,5.7
Luc Besson,94,14,563,Arthur and the Invisibles ,25843,683,boy|debt|garden|princess|treasure,64,80,6.0
Jacques Perrin,104,7,67,Oceans ,7630,152,damselfish|ocean habitat|ocean life|razorfish|spider crab,42,63,7.8
Peter Hyams,102,212,1000,A Sound of Thunder ,16474,1890,butterfly|hunter|time|time travel|wave,301,307,4.2
Paul W.S. Anderson,105,74,795,Pompeii ,84508,1099,arena|lava bomb|mount vesuvius|pompeii|slave,308,172,5.6
Andrés Couturier,89,20,163,Top Cat Begins ,230,370,,1,94,4.4
Ron Howard,135,535,1000,A Beautiful Mind ,610568,2827,conspiracy|cryptography|mathematician|mental illness|nobel prize,1171,592,8.2
Roger Allers,73,847,2000,The Lion King ,644348,6458,king|prince|scar|uncle|unnecessary guilt,656,886,8.5
Brad Peyton,94,722,14000,Journey 2: The Mysterious Island ,67296,27842,gold|hurricane|island|mountain|mysterious island,133,12000,5.8
Cody Cameron,95,18,622,Cloudy with a Chance of Meatballs 2 ,64387,848,food|inventor|island|orangutan|scientist,85,161,6.5
Brett Ratner,124,876,22000,Red Dragon ,204063,35867,criminal profile|fbi agent|madman|tabloid reporter|tragic villain,764,12000,7.2
Joe Johnston,136,1000,24000,Hidalgo ,67856,36925,arab|cowboy|horse|race|sheik,345,10000,6.7
Dennis Dugan,91,553,14000,Jack and Jill ,60370,27405,advertising|advertising executive|commercial|protective male|twins,264,11000,3.4
John Singleton,107,771,23000,2 Fast 2 Furious ,191912,25296,bust|racing|shotgun|street racing|undercover agent,370,787,5.9
Mark Osborne,108,6000,12000,The Little Prince ,28276,30230,aviator|based on book|girl|little girl|the little prince,64,11000,7.8
Oliver Hirschbiegel,99,327,1000,The Invasion ,65037,2323,alien|epidemic|psychiatrist|space shuttle|virus,273,422,5.9
Des McAnuff,92,924,22000,The Adventures of Rocky & Bullwinkle ,16611,28050,deforestation|fbi|lighthouse|moose|squirrel,197,1000,4.1
Yarrow Cheney,87,745,1000,The Secret Life of Pets ,24407,4782,animal control|lost animal|mongrel|pet|terrier,155,904,6.8
Stephen Norrington,110,845,1000,The League of Extraordinary Gentlemen ,141533,4714,box office flop|captain nemo|dorian gray|invisible man|steampunk,786,872,5.8
Pierre Coffin,98,1000,7000,Despicable Me 2 ,286877,11905,dating|minion|overprotective father|undercover spy|woman agent,284,2000,7.5
Roland Emmerich,154,933,10000,Independence Day ,430055,16785,alien|area 51|military|spacecraft|spaceship,856,2000,6.9
Steven Spielberg,129,227,610,The Lost World: Jurassic Park ,278362,1635,capture|dinosaur|island|jurassic|jurassic park,552,506,6.5
Eric Darnell,86,179,851,Madagascar ,266636,1777,escape|jungle|lemur|madagascar|zoo,385,436,6.9
Alfonso Cuarón,109,18,16000,Children of Men ,361767,16479,chaos|england|long take|survival|violence,1206,430,7.9
Bryan Singer,104,505,20000,X-Men ,452928,21397,first part|mutant|professor|superhero|superhero team,1401,764,7.4
Timur Bekmambetov,110,988,11000,Wanted ,299852,25763,assassin|bobble head doll|femme fatale|rejuvenation|strong female lead,713,11000,6.7
Michael Bay,136,904,12000,The Rock ,259492,15999,alcatraz|fbi|general|hostage|rocket,415,2000,7.4
Carlos Saldanha,115,241,835,Ice Age: The Meltdown ,194249,1815,flood|mammoth|no opening credits|squirrel|valley,253,590,6.9
Peter Segal,99,328,11000,50 First Dates ,266103,12952,dream|hawaii|hawaiian shirt|short term memory loss|veterinarian,456,427,6.8
Adam Shankman,117,260,719,Hairspray ,98693,1673,audition|best friend|dance|friend|tv dance show,401,339,6.7
