num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,gross,genres,cast_total_facebook_likes,plot_keywords,movie_imdb_link,country,budget,title_year,imdb_score
210,121,163,482,80150343,Horror|Mystery,3189,brutality|female full frontal nudity|female nudity|torture|trap,http://www.imdb.com/title/tt0489270/?ref_=fn_tt_tt_1,USA,10000000,2006,6.2
52,117,425,901,85300000,Action|Comedy|War,27378,army|boot camp|breasts|graduation|rescue,http://www.imdb.com/title/tt0083131/?ref_=fn_tt_tt_1,USA,10000000,1981,6.9
139,98,235,229,68353550,Comedy|Sport,5270,championship|cheerleading|high school|teen comedy|teenage romance,http://www.imdb.com/title/tt0204946/?ref_=fn_tt_tt_1,USA,10000000,2000,5.9
165,109,65,393,78845130,Action|Horror|Sci-Fi|Thriller,2480,cathedral|minister|presidential election|reference to george washington|ritual sacrifice,http://www.imdb.com/title/tt4094724/?ref_=fn_tt_tt_1,France,10000000,2016,6.1
96,95,7,1000,63319509,Comedy|Romance,28734,bet|friend|high school|prom|prom queen,http://www.imdb.com/title/tt0160862/?ref_=fn_tt_tt_1,USA,10000000,1999,5.8
323,109,304,736,47536959,Drama,3276,abuse|african american lesbian|lesbian|lesbian couple|school,http://www.imdb.com/title/tt0929632/?ref_=fn_tt_tt_1,USA,10000000,2009,7.3
190,96,163,448,63270259,Horror|Mystery,3492,detective|fbi|rape|rapist|serial rapist,http://www.imdb.com/title/tt0890870/?ref_=fn_tt_tt_1,USA,10000000,2007,5.9
173,101,13,368,55865715,Drama|Horror|Mystery|Thriller,2013,architect|grave|obsession|river|voice,http://www.imdb.com/title/tt0375210/?ref_=fn_tt_tt_1,UK,10000000,2005,5.5
46,107,0,685,63231524,Comedy|Drama|Romance,5264,cross dressing|family reunion|madea series|reflective|sister sister relationship,http://www.imdb.com/title/tt0455612/?ref_=fn_tt_tt_1,USA,6000000,2006,5.0
59,119,17000,638,52293982,Drama|Sport,11895,hustler|losing|pool|pool player|tournament,http://www.imdb.com/title/tt0090863/?ref_=fn_tt_tt_1,USA,13800000,1986,7.0
53,178,19,196,,Action|Drama|History|War,1554,allies|d day|invasion|normandy|world war two,http://www.imdb.com/title/tt0056197/?ref_=fn_tt_tt_1,USA,10000000,1962,7.8
22,100,65,577,50752337,Comedy|Drama|Family|Sport,3362,coach|hockey team|lawyer|respect|team,http://www.imdb.com/title/tt0104868/?ref_=fn_tt_tt_1,USA,10000000,1992,6.4
203,98,70,634,110175871,Horror|Mystery|Thriller,7461,american|curse|japan|nurse|rage,http://www.imdb.com/title/tt0391198/?ref_=fn_tt_tt_1,USA,10000000,2004,5.9
77,92,221,491,38624000,Comedy|Sport,13162,golf|golf ball|golfer|grandmother's house|tournament,http://www.imdb.com/title/tt0116483/?ref_=fn_tt_tt_1,USA,12000000,1996,7.0
