director_name,num_critic_for_reviews,actor_2_name,gross,movie_title,cast_total_facebook_likes,facenumber_in_poster,num_user_for_reviews,country
James Mangold,125,Natasha Lyonne,47095453,Kate & Leopold ,22209,1,316,USA
Harold Ramis,125,Frances O'Connor,37879996,Bedazzled ,5390,2,254,USA
Francis Ford Coppola,36,Bob Hoskins,25900000,The Cotton Club ,18793,1,84,USA
James Mangold,295,Logan Lerman,53574088,3:10 to Yuma ,33548,1,560,USA
Olivier Megaton,222,Dougray Scott,89253340,Taken 3 ,16967,0,323,France
Steven Soderbergh,158,Albert Brooks,37339525,Out of Sight ,3768,1,307,USA
Ben Stiller,72,Janeane Garofalo,60154431,The Cable Guy ,3718,1,345,USA
Deepa Mehta,34,Gulshan Grover,528972,Earth ,371,0,55,India
Warren Beatty,72,Warren Beatty,103738726,Dick Tracy ,2096,1,164,USA
John McTiernan,152,Faye Dunaway,69304264,The Thomas Crown Affair ,4660,0,419,USA
Penny Marshall,89,Adam Garcia,29781453,Riding in Cars with Boys ,4796,1,210,USA
Ted Kotcheff,145,Brian Dennehy,,First Blood ,15192,1,376,USA
Andrei Tarkovsky,144,Anatoliy Solonitsyn,,Solaris ,95,0,236,Soviet Union
Paul Bolger,93,George Carlin,15519841,Happily N'Ever After ,6863,3,71,USA
Stephen Frears,46,Bronagh Gallagher,5600000,Mary Reilly ,8349,1,97,USA
P.J. Hogan,84,Christopher Masterson,126805112,My Best Friend's Wedding ,12344,1,169,USA
Joe Roth,142,Rainn Wilson,93607673,America's Sweethearts ,9176,4,343,USA
Christopher Nolan,185,Maura Tierney,67263182,Insomnia ,15658,0,651,USA
Jonathan Frakes,143,Alfre Woodard,92001027,Star Trek: First Contact ,6315,2,286,USA
Jimmy Hayward,178,Billy Blair,10539414,Jonah Hex ,14619,1,176,USA
Edward Zwick,65,Matt Damon,58918501,Courage Under Fire ,33233,1,107,USA
Tom Shadyac,73,Swoosie Kurtz,181395380,Liar Liar ,2070,1,243,USA
Brad Furman,72,Amy Ryan,14946229,The Infiltrator ,2104,1,29,UK
Terence Young,10,Ben Gazzara,,Inchon ,2704,1,16,South Korea
Brian Levant,35,Elizabeth Perkins,130512915,The Flintstones ,3244,2,85,USA
Olivier Megaton,358,Luke Grimes,139852971,Taken 2 ,16410,0,461,France
David Zucker,151,Pamela Anderson,110000082,Scary Movie 3 ,3629,7,347,USA
Donald Petrie,140,Wendy Raquel Robinson,106807667,Miss Congeniality ,1574,1,370,USA
Eric Brevig,201,Brendan Fraser,101702060,Journey to the Center of the Earth ,17925,0,212,USA
Garry Marshall,77,Raven-Symoné,95149435,The Princess Diaries 2: Royal Engagement ,15362,2,152,USA
Alan J. Pakula,43,Julia Roberts,100768056,The Pelican Brief ,30063,0,89,USA
Joel Schumacher,39,Anthony LaPaglia,92115211,The Client ,4043,3,94,USA
Rob Reiner,207,Noel Gugliemi,93452056,The Bucket List ,14868,1,310,USA
Phillip Noyce,47,Polly Walker,83287363,Patriot Games ,12757,1,137,USA
Robert Luketic,132,Jane Fonda,82931301,Monster-in-Law ,6292,0,228,Germany
Denis Villeneuve,454,Jake Gyllenhaal,60962878,Prisoners ,37321,2,620,USA
Antoine Fuqua,109,Snoop Dogg,76261036,Training Day ,22370,2,633,USA
Dean Parisot,213,Enrico Colantoni,71423726,Galaxy Quest ,26998,3,609,USA
Keenen Ivory Wayans,127,Veronica Cartwright,71277420,Scary Movie 2 ,1645,7,548,USA
James Bobin,398,Eric Jacobson,88625922,The Muppets ,1336,3,252,USA
Stephen Norrington,184,Traci Lords,70001065,Blade ,3174,1,582,USA
Thomas Carter,127,Rick Gonzalez,67253092,Coach Carter ,20299,0,209,USA
Roger Michell,167,Matt Malloy,66790248,Changing Lanes ,758,0,350,USA
Luis Llosa,119,Eric Stoltz,65557989,Anaconda ,3717,0,271,USA
