director_facebook_likes,actor_1_facebook_likes,num_user_for_reviews
0,3000,342
21000,21000,589
55,3000,289
293,11000,604
13000,26000,741
0,10000,378
378,34000,1959
480,14000,402
13000,920,610
12,13000,250
255,1000,367
56,12000,102
75,11000,493
23,13000,205
88,11000,316
31,1000,56
221,12000,255
88,13000,380
278,18000,402
17000,29000,964
91,4000,124
77,1000,269
610,12000,535
163,11000,116
0,15000,1009
221,11000,203
,577,394
165,12000,339
154,3000,318
333,22000,674
117,18000,560
10,49000,64
101,14000,805
30,13000,123
189,1000,424
301,18000,698
503,8000,162
452,11000,701
425,11000,164
40,3000,100
21,13000,216
153,3000,127
81,10000,370
438,18000,363
69,898,40
266,12000,97
,1000,71
11,340,186
25,891,615
31,9000,88
57,20000,543
258,2000,244
25,49000,619
65,11000,237
0,13000,492
13000,20000,405
92,23,3
93,12000,182
84,13000,252
79,981,315
357,13000,101
43,882,66
64,743,1308
287,3000,160
252,529,232
503,23000,457
0,766,376
750,1000,216
42,14000,117
14,2,348
0,563,64
63,67,42
0,1000,301
545,795,308
0,163,1
2000,1000,1171
28,2000,656
62,14000,133
18,622,85
420,22000,764
394,24000,345
221,14000,264
309,23000,370
54,12000,64
101,1000,273
5,22000,197
11,1000,155
45,1000,786
275,7000,284
776,10000,856
14000,610,552
35,851,385
0,16000,1206
0,20000,1401
335,11000,713
0,12000,415
107,835,253
88,11000,456
163,719,401
212,613,308
16,2000,231
255,11000,629
221,12000,311
14000,15000,596
,1000,94
87,3000,57
258,867,379
0,22000,289
10,22000,288
386,912,503
,374,67
473,12000,323
14000,745,824
845,13000,394
126,19000,120
0,15000,360
274,11000,342
27,12000,229
272,13000,261
109,919,180
72,582,217
763,15000,405
17,87000,288
383,13000,377
41,11000,254
545,933,373
10,3000,119
253,3000,171
212,2000,222
0,18000,1344
22,7000,275
0,4000,918
0,12000,241
272,548,274
6,22000,126
72,11000,138
0,11000,301
532,3000,289
285,8000,437
41,1000,79
0,906,1065
0,15000,657
30,745,763
0,940,376
212,13000,346
218,21,124
0,3000,2003
84,1000,98
0,710,2335
80,692,483
487,1000,584
0,8000,255
357,14000,737
5,870,133
2000,960,158
16000,13000,1527
14000,49000,363
420,12000,269
212,13000,316
69,10000,340
,898,110
488,10000,1248
0,3000,1040
545,886,1283
84,1000,98
130,4000,742
845,18000,698
906,1000,515
473,833,800
13000,12000,816
0,443,137
14000,25000,488
0,13000,403
0,2000,380
0,903,245
28,3000,423
380,18000,281
905,15000,492
218,11000,119
2000,17000,141
541,12000,189
43,12000,814
84,989,141
24,5000,271
163,394,356
40,13000,196
5,26000,157
323,1000,289
8,349,277
13,11000,126
101,2000,123
6,2000,54
0,26000,207
14,11000,618
105,844,313
101,13000,279
212,576,202
31,11000,568
171,21000,498
0,22000,445
275,7000,296
29,584,62
3000,14000,229
448,614,172
18,1000,435
101,966,143
0,14000,521
44,788,113
0,29000,263
116,7000,264
335,3000,348
36,537,274
,995,87
38,940,297
4,14000,174
14000,15000,2277
76,3000,346
278,2000,395
77,1000,467
759,11000,662
14000,23000,720
0,18000,3646
2000,15000,296
719,605,391
54,901,116
0,20000,845
0,15000,556
285,8000,277
258,12000,318
480,21000,285
11000,769,351
16000,16000,326
212,13000,172
610,848,189
226,13000,139
0,12000,564
179,8000,264
119,600,310
0,10000,1500
87,2000,213
43,10000,221
368,27000,238
687,16000,514
468,1000,383
0,509,157
545,14000,423
545,26000,211
212,394,285
138,324,265
4000,17000,202
21000,11000,2968
368,11000,175
,1000,28
36,13000,249
0,975,69
72,623,194
2000,268,138
38,3000,380
436,23000,239
521,11000,290
175,963,265
670,177,482
116,645,795
42,12000,77
14000,967,895
759,2000,145
176,11000,133
10,21,86
322,979,187
84,11000,602
0,524,214
12,3000,250
11,11000,399
16000,46000,1018
8,8000,246
25,989,82
0,18000,2073
116,22000,428
64,2000,320
0,15000,1377
12,419,255
10,925,251
21000,835,1127
218,13000,849
258,394,416
165,577,274
608,2000,877
59,770,353
41,1000,116
175,18000,172
6,3000,235
473,26000,497
30,1000,269
35,13000,289
0,4000,144
12000,10000,97
163,12000,128
47,988,360
708,11000,302
420,12000,322
124,13000,328
0,14000,452
0,19000,263
0,10000,836
55,12000,432
13,2000,323
188,10000,448
212,1000,643
197,433,223
0,13000,411
18,658,181
253,309,279
0,11000,1264
12000,18000,690
48,21000,83
480,881,308
32,854,162
0,366,597
234,3000,181
28,10000,176
105,24000,227
610,834,347
50,1000,54
18,9000,106
,732,41
11,966,207
14,789,126
0,539,289
737,34000,256
24,18000,323
0,1000,656
845,650,338
7,874,122
165,1000,257
97,11000,471
11,1000,156
38,23000,569
181,33000,264
11000,10000,203
16000,13000,259
162,18000,235
209,8000,184
80,1000,73
69,310,213
2,12000,72
53,27000,842
0,436,322
39,16000,150
258,2000,256
0,510,165
11000,22000,138
50,22000,248
17,13000,127
456,21000,143
0,13000,267
488,22000,822
25,13000,74
93,287,213
124,865,233
0,11000,91
545,722,857
0,26000,1722
293,780,243
0,19000,644
23,11000,247
37,968,281
394,889,282
167,20000,126
91,5000,457
48,973,109
179,794,411
2000,11000,195
34,3000,110
436,19000,290
192,40000,188
892,26000,368
258,11000,156
3,879,9
131,11000,183
84,16000,1058
65,743,88
16000,14000,916
11,2000,154
,870,94
70,970,263
32,1000,85
10,13000,171
0,142,120
153,12000,143
30,963,121
189,1000,281
545,14000,410
143,1000,273
,962,238
138,18000,431
51,11000,198
357,2000,139
420,4000,147
83,12000,331
108,23000,220
,883,54
163,14000,225
10,12000,221
0,15000,1398
25,1000,146
116,22000,507
12,23000,216
503,10000,497
293,851,99
72,10000,372
39,3000,103
58,3000,332
521,15000,527
189,15000,207
52,795,92
845,18000,436
61,5000,242
12000,18000,194
125,10000,611
124,931,600
272,2000,95
52,12000,322
16000,926,2105
0,21000,358
,847,181
16000,890,935
96,13000,149
0,13000,173
9,485,293
53,1000,144
70,1000,108
50,5000,279
39,1000,73
21000,534,776
317,57,194
287,22000,572
81,1000,155
17,838,174
82,622,207
607,933,321
226,12000,232
101,13000,154
3,8000,119
91,4000,101
16000,11000,387
99,18000,95
12000,22000,89
541,18000,2047
159,13000,216
45,9000,532
33,789,497
0,995,84
11,939,39
33,3000,110
906,956,229
59,2000,222
0,226,239
0,617,207
13,13000,142
0,12000,559
125,10000,599
394,13000,131
0,14000,545
488,5000,495
94,277,195
44,593,269
102,117,418
234,14000,178
309,23000,301
383,4000,191
1000,1000,2319
