director_name,actor_2_name,num_voted_users,cast_total_facebook_likes,facenumber_in_poster,movie_imdb_link,budget
Patricia Riggen,Brighton Sharbino,6276,7833,0,http://www.imdb.com/title/tt4257926/?ref_=fn_tt_tt_1,13000000
Danny Leiner,Mary Lynn Rajskub,116625,6454,2,http://www.imdb.com/title/tt0242423/?ref_=fn_tt_tt_1,13000000
Christopher Cain,Patrick Wayne,42614,1747,5,http://www.imdb.com/title/tt0096487/?ref_=fn_tt_tt_1,13000000
Theodore Melfi,Naomi Watts,72803,20330,3,http://www.imdb.com/title/tt2170593/?ref_=fn_tt_tt_1,13000000
Steve Pink,Regina Hall,16979,2800,4,http://www.imdb.com/title/tt1826590/?ref_=fn_tt_tt_1,12500000
Gil Junger,Heath Ledger,222099,37907,6,http://www.imdb.com/title/tt0147800/?ref_=fn_tt_tt_1,16000000
Ed Decter,Eddie Griffin,28805,12687,1,http://www.imdb.com/title/tt0241760/?ref_=fn_tt_tt_1,13000000
Gene Quintano,Lin Shaye,37611,12322,2,http://www.imdb.com/title/tt0107659/?ref_=fn_tt_tt_1,8200000
Jaume Collet-Serra,Brett Cullen,12983,971,0,http://www.imdb.com/title/tt4052882/?ref_=fn_tt_tt_1,17000000
Eric Bress,Eric Stoltz,357579,12755,0,http://www.imdb.com/title/tt0289879/?ref_=fn_tt_tt_1,13000000
Chris Koch,Mark Webber,9285,2241,1,http://www.imdb.com/title/tt0184907/?ref_=fn_tt_tt_1,13000000
Preston A. Whitmore II,Chris Brown,6528,6554,9,http://www.imdb.com/title/tt0937375/?ref_=fn_tt_tt_1,13000000
Bob Clark,Dom DeLuise,19547,2936,2,http://www.imdb.com/title/tt0118665/?ref_=fn_tt_tt_1,18000000
Kirk Wong,Elliott Gould,24834,3353,5,http://www.imdb.com/title/tt0120609/?ref_=fn_tt_tt_1,13000000
Bronwen Hughes,Eartha Kitt,7984,2486,1,http://www.imdb.com/title/tt0116493/?ref_=fn_tt_tt_1,13000000
John Lafia,Beth Grant,31371,2646,0,http://www.imdb.com/title/tt0099253/?ref_=fn_tt_tt_1,13000000
Sam Miller,Kate del Castillo,12676,2297,2,http://www.imdb.com/title/tt2011159/?ref_=fn_tt_tt_1,13200000
Frank Darabont,Alexa Davalos,220475,5371,0,http://www.imdb.com/title/tt0884328/?ref_=fn_tt_tt_1,18000000
Alex Garland,Sonoya Mizuno,289508,430,0,http://www.imdb.com/title/tt0470752/?ref_=fn_tt_tt_1,15000000
Spike Jonze,Orson Bean,254404,1171,2,http://www.imdb.com/title/tt0120601/?ref_=fn_tt_tt_1,13000000
Mark Brown,Vivica A. Fox,4339,2815,2,http://www.imdb.com/title/tt0269341/?ref_=fn_tt_tt_1,6000000
Dave Green,Ella Wahlestedt,15664,1921,0,http://www.imdb.com/title/tt2183034/?ref_=fn_tt_tt_1,13000000
John Stockwell,Jay Hernandez,21406,6214,2,http://www.imdb.com/title/tt0250224/?ref_=fn_tt_tt_1,14000000
Clint Eastwood,Kazunari Ninomiya,132149,751,0,http://www.imdb.com/title/tt0498380/?ref_=fn_tt_tt_1,19000000
Michael Polish,Virginia Madsen,19707,27806,0,http://www.imdb.com/title/tt0469263/?ref_=fn_tt_tt_1,13000000
Daisy von Scherler Mayer,Jada Pinkett Smith,1520,3352,0,http://www.imdb.com/title/tt0120531/?ref_=fn_tt_tt_1,13000000
Lenny Abrahamson,Jacob Tremblay,161288,2499,0,http://www.imdb.com/title/tt3170832/?ref_=fn_tt_tt_1,13000000
Bob Saget,Jack Warden,20033,1805,0,http://www.imdb.com/title/tt0120654/?ref_=fn_tt_tt_1,13000000
John Waters,Sam Waterston,21212,3092,4,http://www.imdb.com/title/tt0111127/?ref_=fn_tt_tt_1,13000000
Andrew Fleming,Will Ferrell,16059,31005,2,http://www.imdb.com/title/tt0144168/?ref_=fn_tt_tt_1,13000000
Niels Arden Oplev,David Dencik,335,998,0,http://www.imdb.com/title/tt1639008/?ref_=fn_tt_tt_1,
Craig Bolotin,Vanessa Williams,3116,6485,3,http://www.imdb.com/title/tt0172726/?ref_=fn_tt_tt_1,13000000
Mark Christopher,Ellen Albertini Dow,27675,6910,4,http://www.imdb.com/title/tt0120577/?ref_=fn_tt_tt_1,13000000
Blair Hayes,Geoffrey Arend,25541,18864,0,http://www.imdb.com/title/tt0258470/?ref_=fn_tt_tt_1,13000000
Jez Butterworth,Mathieu Kassovitz,21530,1775,1,http://www.imdb.com/title/tt0188453/?ref_=fn_tt_tt_1,13000000
Jon Lucas,Josie Loren,60407,2730,0,http://www.imdb.com/title/tt1711425/?ref_=fn_tt_tt_1,13000000
Olivier Assayas,Miranda Richardson,63084,13208,0,http://www.imdb.com/title/tt0401711/?ref_=fn_tt_tt_1,13000000
Rod Lurie,Kathryn Morris,18442,2417,1,http://www.imdb.com/title/tt0416185/?ref_=fn_tt_tt_1,13000000
Paul Weitz,Sarita Choudhury,28573,3004,2,http://www.imdb.com/title/tt1814621/?ref_=fn_tt_tt_1,13000000
Patrice Leconte,Daniel Auteuil,4767,2389,1,http://www.imdb.com/title/tt0191636/?ref_=fn_tt_tt_1,100000000
Atom Egoyan,Meghan Heffern,56264,14372,2,http://www.imdb.com/title/tt1352824/?ref_=fn_tt_tt_1,11000000
Paul Mazursky,Ryan O'Neal,1595,1679,3,http://www.imdb.com/title/tt0116269/?ref_=fn_tt_tt_1,13000000
Jim Sheridan,Jake Gyllenhaal,88037,39473,0,http://www.imdb.com/title/tt0765010/?ref_=fn_tt_tt_1,26000000
Sidney Lumet,Vin Diesel,28068,37606,2,http://www.imdb.com/title/tt0419749/?ref_=fn_tt_tt_1,13000000
Stephen Chbosky,Ezra Miller,351274,13631,2,http://www.imdb.com/title/tt1659337/?ref_=fn_tt_tt_1,13000000
Jon Hess,Ian Gomez,922,1139,1,http://www.imdb.com/title/tt0104215/?ref_=fn_tt_tt_1,3000000
Douglas McGrath,Isabella Rossellini,14143,3474,4,http://www.imdb.com/title/tt0420609/?ref_=fn_tt_tt_1,13000000
Michael Winterbottom,Sarah Polley,5254,17104,4,http://www.imdb.com/title/tt0218378/?ref_=fn_tt_tt_1,20000000
Mark Neveldine,Alison Lohman,7199,7875,0,http://www.imdb.com/title/tt1524575/?ref_=fn_tt_tt_1,8495000
Joe Cornish,Luke Treadaway,82331,2011,6,http://www.imdb.com/title/tt1478964/?ref_=fn_tt_tt_1,13000000
Angelina Jolie Pitt,Nikola Djuricko,31414,796,0,http://www.imdb.com/title/tt1714209/?ref_=fn_tt_tt_1,13000000
Brad Anderson,Tara Platt,88241,2812,0,http://www.imdb.com/title/tt1911644/?ref_=fn_tt_tt_1,13000000
John H. Lee,Dean Dawson,90,14133,1,http://www.imdb.com/title/tt4939066/?ref_=fn_tt_tt_1,12620000
