director_name,duration,actor_3_facebook_likes,actor_2_name,actor_1_name,movie_title,facenumber_in_poster,movie_imdb_link,num_user_for_reviews,country,title_year,aspect_ratio
Jonathan Frakes,103,748,Jonathan Frakes,LeVar Burton,Star Trek: Insurrection ,0,http://www.imdb.com/title/tt0120844/?ref_=fn_tt_tt_1,515,USA,1998,2.35
Jonathan Liebesman,116,464,Jim Parrack,Noel Fisher,Battle Los Angeles ,0,http://www.imdb.com/title/tt1217613/?ref_=fn_tt_tt_1,800,USA,2011,2.35
Tim Burton,125,883,Alison Lohman,Steve Buscemi,Big Fish ,0,http://www.imdb.com/title/tt0319061/?ref_=fn_tt_tt_1,816,USA,2003,1.37
Mike Nichols,125,184,Peter Gerety,David Hyde Pierce,Wolf ,1,http://www.imdb.com/title/tt0111742/?ref_=fn_tt_tt_1,137,USA,1994,1.85
Steven Spielberg,146,979,Benedict Cumberbatch,Jeremy Irvine,War Horse ,1,http://www.imdb.com/title/tt1568911/?ref_=fn_tt_tt_1,488,USA,2011,2.35
George Clooney,118,559,Matt Damon,Bill Murray,The Monuments Men ,7,http://www.imdb.com/title/tt2177771/?ref_=fn_tt_tt_1,403,USA,2014,2.35
James Cameron,171,638,Todd Graff,Michael Biehn,The Abyss ,0,http://www.imdb.com/title/tt0096754/?ref_=fn_tt_tt_1,380,USA,1989,2.35
Oliver Stone,136,17,Austin Pendleton,Frank Langella,Wall Street: Money Never Sleeps ,2,http://www.imdb.com/title/tt1027718/?ref_=fn_tt_tt_1,245,USA,2010,2.35
Gary Shore,92,423,Sarah Gadon,Dominic Cooper,Dracula Untold ,1,http://www.imdb.com/title/tt0829150/?ref_=fn_tt_tt_1,423,USA,2014,2.35
Edward Zwick,116,774,Bruce Willis,Denzel Washington,The Siege ,0,http://www.imdb.com/title/tt0133952/?ref_=fn_tt_tt_1,281,USA,1998,2.35
Matthew Vaughn,127,271,David Kelly,Henry Cavill,Stardust ,8,http://www.imdb.com/title/tt0486655/?ref_=fn_tt_tt_1,492,UK,2007,2.35
Jean-Jacques Annaud,136,400,Mako,Brad Pitt,Seven Years in Tibet ,1,http://www.imdb.com/title/tt0120102/?ref_=fn_tt_tt_1,119,USA,1997,2.35
Ron Howard,111,244,Clint Howard,Channing Tatum,The Dilemma ,2,http://www.imdb.com/title/tt1578275/?ref_=fn_tt_tt_1,141,USA,2011,2.35
Joel Schumacher,116,384,Brooke Smith,Anthony Hopkins,Bad Company ,2,http://www.imdb.com/title/tt0280486/?ref_=fn_tt_tt_1,189,USA,2002,2.35
Andrzej Bartkowiak,113,452,Ben Daniels,Dwayne Johnson,Doom ,0,http://www.imdb.com/title/tt0419706/?ref_=fn_tt_tt_1,814,UK,2005,2.35
Betty Thomas,97,150,Phill Lewis,Gary Cole,I Spy ,1,http://www.imdb.com/title/tt0297181/?ref_=fn_tt_tt_1,141,USA,2002,1.37
Måns Mårlind,88,324,Stephen Rea,Theo James,Underworld: Awakening ,1,http://www.imdb.com/title/tt1496025/?ref_=fn_tt_tt_1,271,USA,2012,2.35
Adam Shankman,136,66,Shane Hartline,James Martin Kelly,Rock of Ages ,7,http://www.imdb.com/title/tt1336608/?ref_=fn_tt_tt_1,356,USA,2012,2.35
Gregory Hoblit,125,407,Cole Hauser,Bruce Willis,Hart's War ,0,http://www.imdb.com/title/tt0251114/?ref_=fn_tt_tt_1,196,USA,2002,2.35
Gary McKendry,116,748,Robert De Niro,Jason Statham,Killer Elite ,2,http://www.imdb.com/title/tt1448755/?ref_=fn_tt_tt_1,157,UK,2011,2.35
John McTiernan,98,390,Chris Klein,LL Cool J,Rollerball ,3,http://www.imdb.com/title/tt0246894/?ref_=fn_tt_tt_1,289,USA,2002,2.35
Wych Kaosayananda,91,298,Sandrine Holt,Talisa Soto,Ballistic: Ecks vs. Sever ,1,http://www.imdb.com/title/tt0308208/?ref_=fn_tt_tt_1,277,USA,2002,2.35
Mikael Salomon,97,695,Minnie Driver,Morgan Freeman,Hard Rain ,0,http://www.imdb.com/title/tt0120696/?ref_=fn_tt_tt_1,126,USA,1998,2.35
Bobby Farrelly,95,443,Brandy Norwood,Ron Howard,Osmosis Jones ,0,http://www.imdb.com/title/tt0181739/?ref_=fn_tt_tt_1,123,USA,2001,2.35
Will Finn,88,854,Oliver Platt,Lea Michele,Legends of Oz: Dorothy's Return ,1,http://www.imdb.com/title/tt0884726/?ref_=fn_tt_tt_1,54,USA,2013,
Michael Mann,133,301,Archie Kao,Chris Hemsworth,Blackhat ,1,http://www.imdb.com/title/tt2717822/?ref_=fn_tt_tt_1,207,USA,2015,2.35
Kerry Conran,106,582,Laurence Olivier,Angelina Jolie Pitt,Sky Captain and the World of Tomorrow ,2,http://www.imdb.com/title/tt0346156/?ref_=fn_tt_tt_1,618,USA,2004,1.85
Michael Caton-Jones,116,246,Indira Varma,Charlotte Rampling,Basic Instinct 2 ,1,http://www.imdb.com/title/tt0430912/?ref_=fn_tt_tt_1,313,UK,2006,2.35
Mikael Håfström,115,585,50 Cent,Sylvester Stallone,Escape Plan ,1,http://www.imdb.com/title/tt1211956/?ref_=fn_tt_tt_1,279,USA,2013,2.35
