facenumber_in_poster,num_user_for_reviews,title_year
1,27,2006
3,26,2009
0,309,1996
1,112,2011
0,1516,2005
0,123,2005
0,219,2011
0,69,1988
0,70,2006
2,11,2014
3,258,1986
0,106,1973
1,475,2013
0,6,2005
6,12,2011
2,1,2013
0,182,2004
2,8,2007
1,21,2010
1,3,2013
1,65,2007
0,22,2006
0,133,1984
0,140,1980
4,197,1994
1,228,1982
0,115,1956
0,454,2002
0,27,
0,208,1996
0,1916,2000
2,55,1945
3,40,1998
0,89,1986
,125,2014
1,2110,2001
6,14,2011
1,68,1997
0,199,2002
1,37,2009
0,131,2005
2,17,2010
1,84,2001
0,26,2006
0,40,2011
1,206,2002
1,137,2009
4,7,2014
0,760,1975
3,4,2015
0,61,1976
1,178,2016
0,74,
1,32,2014
4,99,2012
6,346,2000
1,25,2010
1,346,2002
0,49,2009
0,62,2009
4,186,2015
0,726,2006
0,23,
1,48,1997
0,310,2004
0,148,1992
0,152,1981
0,159,2009
5,580,1968
0,1848,2003
0,491,1977
0,107,1952
0,657,2014
1,522,2001
2,200,2015
0,286,1995
0,11,2013
0,300,1985
2,50,1974
1,131,2015
0,35,1956
1,47,
1,291,2010
0,333,1988
0,301,1963
0,486,2004
0,68,2013
0,836,2014
0,248,2006
0,1368,2001
2,38,2001
1,10,2000
1,215,2003
2,121,1961
0,156,2006
0,37,1995
2,136,2010
0,308,2007
2,48,2014
2,425,2002
0,89,1969
0,58,2006
6,177,1995
1,390,2002
1,62,2003
0,78,1988
0,202,1996
3,85,1999
1,76,2007
0,91,2005
0,287,2011
0,151,2005
0,69,2011
0,35,1987
1,71,2011
0,20,2015
4,113,2002
0,70,1999
0,110,2012
2,118,2013
3,53,1997
0,38,1987
1,93,2000
1,31,1999
0,7,2013
0,137,2010
4,26,2000
1,26,1998
0,87,2013
0,40,1998
1,38,2002
1,141,2010
1,47,
1,28,1997
2,10,2014
4,42,2011
1,97,2011
0,50,2003
0,3,2013
0,129,1972
3,20,2012
1,53,1930
5,19,2007
2,29,2016
1,104,2009
0,21,2012
2,4,2012
1,15,2014
2,1,2016
0,167,1966
0,317,1976
1,706,1939
0,10,2014
2,67,1965
3,6,2009
0,90,1950
0,148,2010
1,35,2005
0,90,2009
0,54,1948
2,14,2009
0,172,2006
3,332,2011
5,147,
2,334,1969
3,174,1997
0,427,1980
3,14,2015
1,157,1995
2,96,1993
2,92,
0,118,1987
2,62,1970
1,128,1967
0,83,1959
1,74,1966
0,199,1972
0,452,2015
2,38,1998
2,98,1996
2,229,1998
0,231,2009
1,419,1985
1,52,2008
0,537,1987
0,131,2001
0,236,2013
0,494,1998
0,199,2010
3,24,2006
4,207,2012
4,53,2005
3,135,2004
0,15,2016
0,11,2008
6,20,1998
3,4,
0,12,2009
0,55,2013
0,2,2015
1,10,2014
2,10,2014
0,13,2014
1,18,2014
0,102,1977
0,331,2005
8,225,2011
1,13,2011
0,72,2008
0,731,2014
0,749,2002
2,160,1999
7,13,2012
0,73,2006
1,249,2012
0,458,1983
0,174,2006
4,75,1982
5,3,2014
0,18,1999
7,86,2008
0,447,1968
1,214,1962
0,70,2009
0,172,2004
4,142,2010
0,252,2005
6,257,1978
2,418,1964
0,47,2012
0,706,1946
4,514,1996
0,83,2000
0,359,2010
0,213,1998
2,888,2002
1,20,2014
0,327,1985
0,94,1985
0,578,2013
0,524,2012
1,35,2002
0,141,1958
0,150,1970
0,34,1997
0,55,2000
0,307,1986
2,273,1957
1,54,1990
1,111,1976
2,241,1960
0,317,1993
1,137,1966
0,72,2005
2,88,2015
0,16,1985
3,20,2009
1,81,1960
0,176,1961
3,8,1999
0,75,
0,162,1948
0,101,2006
1,270,2013
1,65,1987
1,100,1988
0,23,2004
1,109,2002
0,1,
0,147,2005
0,161,1999
1,81,2000
0,92,1996
0,53,2010
1,349,1971
0,49,1993
0,49,1997
0,181,1978
2,115,2001
3,183,1999
4,78,1996
0,139,2012
1,177,2005
9,499,1998
1,14,2003
0,261,2014
0,809,2003
0,65,2010
4,230,2011
2,8,2016
1,196,1996
0,18,2006
0,112,2009
5,54,2011
3,33,
3,129,2012
0,28,
2,27,2004
3,71,2012
1,145,2014
0,20,
0,56,2004
1,8,2011
0,48,2009
1,25,1999
4,226,2011
0,31,2009
1,39,2015
1,24,2005
0,736,2010
1,1,2009
2,14,2009
3,9,2013
2,85,2014
0,13,2013
3,30,2011
0,128,1967
0,1,2009
0,9,2013
2,15,2014
4,8,2015
1,9,1988
1,323,2015
3,14,2009
2,20,2010
0,257,1998
2,40,1961
1,31,2015
8,27,2005
0,15,2014
0,23,2010
2,310,1976
1,539,2003
1,32,2010
0,17,2015
1,206,2005
2,350,1959
0,270,1988
3,533,1939
0,315,1974
0,332,2007
0,106,2006
1,57,1997
0,90,1979
2,8,2015
0,6,2008
1,65,1963
0,5,1996
0,27,1943
0,363,1974
0,326,1984
1,123,2013
1,69,1987
2,53,2006
0,260,1999
1,37,2004
0,124,2007
1,4,2009
1,47,2007
0,568,1952
2,25,2010
6,107,2013
0,199,2012
0,491,2009
6,212,1996
0,532,1982
0,92,1971
0,120,1963
0,30,2013
2,153,1991
3,978,2004
1,395,1995
0,5,2003
1,87,1999
0,84,2004
1,29,2007
3,84,2012
1,134,2003
1,178,2013
0,2,1990
1,345,2008
0,34,2008
7,3,2006
0,392,2004
1,18,2006
0,30,2010
2,26,2008
