director_name,num_critic_for_reviews,duration,actor_2_name,gross,movie_title,cast_total_facebook_likes,plot_keywords,movie_imdb_link,language,country,budget,title_year,actor_2_facebook_likes,aspect_ratio
Alex Proyas,279,121,Ben Mendelsohn,79948113,Knowing ,13421,disaster|end of the world|number|student|time capsule,http://www.imdb.com/title/tt0448011/?ref_=fn_tt_tt_1,English,USA,50000000,2009,748,2.35
Tom Dey,143,95,Matthew McConaughey,88658172,Failure to Launch ,37967,friend|intervention|moving|secret|slacker,http://www.imdb.com/title/tt0427229/?ref_=fn_tt_tt_1,English,USA,50000000,2006,11000,2.35
Hideo Nakata,196,128,Gary Cole,75888270,The Ring Two ,10163,cartoon on tv|foreign language adaptation|second part|videotape|writer,http://www.imdb.com/title/tt0377109/?ref_=fn_tt_tt_1,English,USA,,2005,989,1.85
Glenn Ficarra,310,118,Emma Stone,84244877,Crazy, Stupid, Love. ,57426,bar|divorce|friend|girl|male objectification,http://www.imdb.com/title/tt1570728/?ref_=fn_tt_tt_1,English,USA,50000000,2011,15000,2.39
Peter Hewitt,116,80,Mark Christopher Lawrence,75367693,Garfield ,13430,cat|dog|first part|lasagna|veterinarian,http://www.imdb.com/title/tt0356634/?ref_=fn_tt_tt_1,English,USA,35000000,2004,258,1.85
Joe Roth,105,99,Cheech Marin,73701902,Christmas with the Kranks ,6729,act of kindness|christmas|christmas eve|neighbor|vacation,http://www.imdb.com/title/tt0388419/?ref_=fn_tt_tt_1,English,USA,60000000,2004,843,2.35
Bennett Miller,419,133,Robin Wright,75605492,Moneyball ,53094,baseball|meeting|statistics|strategy|voice over,http://www.imdb.com/title/tt1210166/?ref_=fn_tt_tt_1,English,USA,50000000,2011,18000,1.85
Wolfgang Petersen,64,127,Morgan Freeman,67823573,Outbreak ,30383,disease|epidemic|monkey|quarantine|virus,http://www.imdb.com/title/tt0114069/?ref_=fn_tt_tt_1,English,USA,50000000,1995,11000,1.85
Jaume Collet-Serra,359,106,Nate Parker,91439400,Non-Stop ,16967,air marshal|death|passenger|terrorist|transatlantic flight,http://www.imdb.com/title/tt2024469/?ref_=fn_tt_tt_1,English,UK,50000000,2014,664,2.35
Andy Fickman,166,98,Billy Brown,67128202,Race to Witch Mountain ,14007,alien|military|mountain|spacecraft|ufo,http://www.imdb.com/title/tt1075417/?ref_=fn_tt_tt_1,English,USA,65000000,2009,536,2.35
