director_facebook_likes,actor_3_facebook_likes,actor_2_name,gross,genres,actor_1_name,movie_title,num_voted_users,actor_3_name,facenumber_in_poster,movie_imdb_link,language,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes
53,463,Brad Renfro,53481,Crime|Drama|Thriller,Brian Dennehy,10th & Wolf ,5557,Dash Mihok,5,http://www.imdb.com/title/tt0360323/?ref_=fn_tt_tt_1,English,551,6.4,2.35,294
346,488,Chris Owen,23106,Comedy|Crime|Drama|Romance,Michael Angarano,Dear Wendy ,9003,William Hootkins,0,http://www.imdb.com/title/tt0342272/?ref_=fn_tt_tt_1,English,526,6.6,1.66,532
43,47,Zen McGrath,52961,Drama,Ian Tracey,Aloft ,2103,William Shimell,1,http://www.imdb.com/title/tt2494384/?ref_=fn_tt_tt_1,English,63,5.3,2.35,675
78,4,Takeshi Kusao,439162,Action|Animation|Sci-Fi,Mitsuo Iwata,Akira ,106160,Tesshô Genda,0,http://www.imdb.com/title/tt0094625/?ref_=fn_tt_tt_1,Japanese,5,8.1,1.85,0
17,1000,Olivia Wilde,,Action|Crime|Thriller,Paul Walker,The Death and Life of Bobby Z ,12078,Jason Flemyng,2,http://www.imdb.com/title/tt0473188/?ref_=fn_tt_tt_1,English,10000,5.9,2.35,0
2,23,Roy Dupuis,,Biography|Drama|Sport,Stephen McHattie,The Rocket: The Legend of Rocket Richard ,4412,Julie LeBreton,0,http://www.imdb.com/title/tt0460505/?ref_=fn_tt_tt_1,French,265,7.7,2.35,520
2,600,Josh Henderson,,Action|Crime|Drama|Thriller,Rachel Ann Mullins,Swelter ,1965,Grant Bowler,6,http://www.imdb.com/title/tt2112277/?ref_=fn_tt_tt_1,English,920,4.6,,438
29,11,Ruby Lin,50000,Action|Adventure|Comedy|Romance,Leehom Wang,My Lucky Star ,322,Jack Kao,2,http://www.imdb.com/title/tt2102502/?ref_=fn_tt_tt_1,Chinese,20,5.1,2.35,81
21,112,Ben Miles,671240,Comedy|Drama|Romance,Celia Imrie,Imagine Me & You ,23023,Darren Boyd,0,http://www.imdb.com/title/tt0421994/?ref_=fn_tt_tt_1,English,119,6.9,2.35,0
78,189,Lucy Fry,,Drama,Mckenna Grace,Mr. Church ,63,Natalie Coughlin,0,http://www.imdb.com/title/tt4196848/?ref_=fn_tt_tt_1,English,206,8.0,2.35,205
341,15,Ludivine Sagnier,10105505,Crime|Drama|Mystery|Thriller,Charlotte Rampling,Swimming Pool ,35065,Jean-Claude Lecas,0,http://www.imdb.com/title/tt0324133/?ref_=fn_tt_tt_1,English,521,6.8,1.85,0
16,376,Mark Wingett,,Action|Drama,Spencer Wilding,Green Street 3: Never Back Down ,3740,Kacey Clarke,2,http://www.imdb.com/title/tt2628316/?ref_=fn_tt_tt_1,English,524,5.4,2.35,0
73,26,Joan Chen,882290,Action|Sci-Fi|Sport,Delroy Lindo,The Blood of Heroes ,4792,Anna Katarina,2,http://www.imdb.com/title/tt0094764/?ref_=fn_tt_tt_1,English,643,6.5,1.33,999
155,391,Helena Mattsson,,Action,Scott Takeda,Code of Honor ,662,Craig Sheffer,0,http://www.imdb.com/title/tt4060866/?ref_=fn_tt_tt_1,English,505,4.2,,689
78,325,Jessica Tandy,106593296,Comedy|Drama|Family,Morgan Freeman,Driving Miss Daisy ,72324,Patti LuPone,1,http://www.imdb.com/title/tt0097239/?ref_=fn_tt_tt_1,English,509,7.4,1.85,3000
88,890,Mekhi Phifer,43490057,Comedy|Drama,Vanessa Williams,Soul Food ,5275,Vivica A. Fox,6,http://www.imdb.com/title/tt0120169/?ref_=fn_tt_tt_1,English,1000,6.9,1.85,508
7,36,Anita Mui,32333860,Action|Comedy,Françoise Yip,Rumble in the Bronx ,29843,Garvin Cross,1,http://www.imdb.com/title/tt0113326/?ref_=fn_tt_tt_1,Cantonese,147,6.7,2.35,0
2,40,Reda Kateb,,Drama|War|Western,Viggo Mortensen,Far from Men ,4035,Ángela Molina,0,http://www.imdb.com/title/tt2936180/?ref_=fn_tt_tt_1,French,154,7.3,2.35,2000
655,88,Cameron Bright,24792061,Comedy|Drama,J.K. Simmons,Thank You for Smoking ,191998,Todd Louiso,0,http://www.imdb.com/title/tt0427944/?ref_=fn_tt_tt_1,English,829,7.6,2.35,0
0,658,Lauren German,17544812,Horror,Jay Hernandez,Hostel: Part II ,69989,Stanislav Ianevski,0,http://www.imdb.com/title/tt0498353/?ref_=fn_tt_tt_1,English,683,5.4,2.35,0
92,221,Olivia Williams,12574715,Drama,Dominic Cooper,An Education ,112138,Ellie Kendrick,0,http://www.imdb.com/title/tt1174732/?ref_=fn_tt_tt_1,English,766,7.3,2.35,12000
14,161,Bridgette Wilson-Sampras,10281585,Drama|Romance,Frances Conroy,Shopgirl ,21225,Clyde Kusatsu,3,http://www.imdb.com/title/tt0338427/?ref_=fn_tt_tt_1,English,545,6.4,2.35,1000
