director_facebook_likes,actor_2_name,movie_title
44,Djimon Hounsou,Seventh Son 
165,Noah Taylor,Lara Croft: Tomb Raider 
0,Morgan Freeman,Transcendence 
394,Trevor Morgan,Jurassic Park III 
81,David Oyelowo,Rise of the Planet of the Apes 
70,Tod Fennell,The Spiderwick Chronicles 
212,Cole Hauser,A Good Day to Die Hard 
102,Marc Blucas,The Alamo 
663,Craig T. Nelson,The Incredibles 
212,Frank Langella,Cutthroat Island 
0,Rosario Dawson,Percy Jackson & the Olympians: The Lightning Thief 
188,Rip Torn,Men in Black 
487,John Ratzenberger,Toy Story 2 
12000,Rosario Dawson,Unstoppable 
420,John Lone,Rush Hour 2 
0,Amber Valletta,What Lies Beneath 
97,Bobb'e J. Thompson,Cloudy with a Chance of Meatballs 
107,Maile Flanagan,Ice Age: Dawn of the Dinosaurs 
0,Adrian Martinez,The Secret Life of Walter Mitty 
368,LL Cool J,Charlie's Angels 
17000,Matt Damon,The Departed 
7,Harvey Fierstein,Mulan 
0,Steve Coogan,Tropic Thunder 
21000,Goran Visnjic,The Girl with the Dragon Tattoo 
323,Aldis Hodge,Die Hard with a Vengeance 
0,Eddie Marsan,Sherlock Holmes 
335,Ayelet Zurer,Ben-Hur 
21,Jim Varney,Atlantis: The Lost Empire 
12,Joshua Mikel,Alvin and the Chipmunks: The Road Chip 
0,Tom Wilkinson,Valkyrie 
221,Sayed Badreya,You Don't Mess with the Zohan 
0,Adam Sandler,Pixels 
14000,William Hurt,A.I. Artificial Intelligence 
50,Rachael Harris,The Haunted Mansion 
0,Tom Skerritt,Contact 
719,Kim Dickens,Hollow Man 
521,George Harris,The Interpreter 
87,Leven Rambin,Percy Jackson: Sea of Monsters 
101,Angelina Jolie Pitt,Lara Croft Tomb Raider: The Cradle of Life 
209,Morgan Freeman,Now You See Me 2 
176,Michael Byrne,The Saint 
12000,Stephen Dillane,Spy Game 
0,Connie Nielsen,Mission to Mars 
107,Wanda Sykes,Rio 
0,Oliver Platt,Bicentennial Man 
81,Anne Heche,Volcano 
79,Brad Pitt,The Devil's Own 
0,Christian Camargo,K-19: The Widowmaker 
128,Reg E. Cathey,Fantastic Four 
468,Mako,Conan the Barbarian 
2000,Bruce McGill,Cinderella Man 
96,Nathan Lane,The Nutcracker in 3D 
378,Michael Angarano,Seabiscuit 
101,Alan Ruck,Twister 
357,Vin Diesel,The Fast and the Furious 
0,Paul Sanchez,Cast Away 
750,Hugh Jackman,Happy Feet 
521,Joan Allen,The Bourne Supremacy 
249,Gary Oldman,Air Force One 
0,Bernie Mac,Ocean's Eleven 
545,Logan Lerman,The Three Musketeers 
266,Adam Sandler,Hotel Transylvania 
36,Teala Dunn,Enchanted 
,Scott Thompson,Hannibal             
79,Ryan Reynolds,Safe House 
36,Eric Idle,102 Dalmatians 
420,Gabourey Sidibe,Tower Heist 
278,Rufus Sewell,The Holiday 
12000,Jake Busey,Enemy of the State 
278,Hunter Parrish,It's Complicated 
0,Matt Damon,Ocean's Thirteen 
28,Debra Messing,Open Season 
168,Theo James,Divergent 
218,Gabriel Thomson,Enemy at the Gates 
532,Rosario Dawson,The Rundown 
323,Tom Noonan,Last Action Hero 
252,Mako,Memoirs of a Geisha 
681,Zachery Ty Bryan,The Fast and the Furious: Tokyo Drift 
6,Imelda Staunton,Arthur Christmas 
102,Brad Pitt,Meet Joe Black 
99,Rick Worthy,Collateral Damage 
189,Ben Vereen,All That Jazz 
