duration,director_facebook_likes,actor_3_facebook_likes,actor_1_facebook_likes,gross,genres,movie_title,facenumber_in_poster,movie_imdb_link,language,country,content_rating,budget,title_year,actor_2_facebook_likes,imdb_score,aspect_ratio
138,0,258,820,132122995,Action|Sci-Fi,Hulk ,0,http://www.imdb.com/title/tt0286716/?ref_=fn_tt_tt_1,English,USA,PG-13,137000000,2003,300,5.7,1.85
122,209,934,17000,122512052,Action|Adventure|Sci-Fi|Thriller,G.I. Joe: Retaliation ,6,http://www.imdb.com/title/tt1583421/?ref_=fn_tt_tt_1,English,USA,PG-13,130000000,2013,12000,5.8,2.35
124,42,848,11000,68642452,Action|Adventure|Comedy|Thriller,Sahara ,3,http://www.imdb.com/title/tt0318649/?ref_=fn_tt_tt_1,English,UK,PG-13,130000000,2005,973,6.0,2.35
106,6,422,12000,32131830,Action|Adventure|Animation|Fantasy|Romance|Sci-Fi,Final Fantasy: The Spirits Within ,1,http://www.imdb.com/title/tt0173840/?ref_=fn_tt_tt_1,English,USA,PG-13,137000000,2001,2000,6.4,1.85
124,394,2000,11000,176636816,Action|Adventure|Sci-Fi,Captain America: The First Avenger ,0,http://www.imdb.com/title/tt0458339/?ref_=fn_tt_tt_1,English,USA,PG-13,140000000,2011,3000,6.9,2.35
128,150,244,766,126930660,Action|Adventure|Thriller,The World Is Not Enough ,2,http://www.imdb.com/title/tt0143145/?ref_=fn_tt_tt_1,English,UK,PG-13,135000000,1999,536,6.4,2.35
138,608,168,613,93926386,Action|Adventure|Drama|History|War,Master and Commander: The Far Side of the World ,1,http://www.imdb.com/title/tt0311113/?ref_=fn_tt_tt_1,English,USA,PG-13,150000000,2003,172,7.4,2.35
115,386,12000,21000,292298923,Adventure|Drama|Fantasy|Romance,The Twilight Saga: Breaking Dawn - Part 2 ,3,http://www.imdb.com/title/tt1673434/?ref_=fn_tt_tt_1,English,USA,PG-13,120000000,2012,17000,5.5,2.35
100,750,988,49000,63992328,Animation|Comedy|Family|Musical,Happy Feet 2 ,0,http://www.imdb.com/title/tt1402488/?ref_=fn_tt_tt_1,English,Australia,PG,135000000,2011,11000,5.9,2.35
135,255,882,3000,134518390,Action|Adventure|Sci-Fi,The Incredible Hulk ,0,http://www.imdb.com/title/tt0800080/?ref_=fn_tt_tt_1,English,USA,PG-13,150000000,2008,1000,6.8,2.35
60,,184,982,,Action|Crime|Drama|Mystery|Thriller,Miami Vice             ,2,http://www.imdb.com/title/tt0086759/?ref_=fn_tt_tt_1,English,USA,TV-14,1500000,,321,7.5,1.33
117,14000,358,535,52792307,Adventure|Family|Fantasy,The BFG ,0,http://www.imdb.com/title/tt3691740/?ref_=fn_tt_tt_1,English,UK,PG,140000000,2016,400,6.8,2.35
156,0,733,29000,183635922,Adventure|Drama|Thriller|Western,The Revenant ,0,http://www.imdb.com/title/tt1663202/?ref_=fn_tt_tt_1,English,USA,R,135000000,2015,27000,8.1,2.35
96,13,463,16000,83024900,Adventure|Animation|Comedy|Family|Sport,Turbo ,0,http://www.imdb.com/title/tt1860353/?ref_=fn_tt_tt_1,English,USA,PG,135000000,2013,881,6.5,2.35
107,563,939,40000,123207194,Adventure|Animation|Comedy|Family|Western,Rango ,0,http://www.imdb.com/title/tt1192628/?ref_=fn_tt_tt_1,English,USA,PG,135000000,2011,1000,7.2,2.35
92,35,179,19000,83348920,Adventure|Animation|Comedy|Family,Penguins of Madagascar ,0,http://www.imdb.com/title/tt1911658/?ref_=fn_tt_tt_1,English,USA,PG,132000000,2014,411,6.7,1.85
115,521,883,13000,227137090,Action|Mystery|Thriller,The Bourne Ultimatum ,0,http://www.imdb.com/title/tt0440963/?ref_=fn_tt_tt_1,English,USA,PG-13,110000000,2007,897,8.1,2.35
92,54,562,11000,215395021,Action|Adventure|Animation|Comedy|Family,Kung Fu Panda ,0,http://www.imdb.com/title/tt0441773/?ref_=fn_tt_tt_1,English,USA,PG,130000000,2008,967,7.6,2.35
117,235,680,2000,180191634,Action|Adventure|Comedy|Sci-Fi,Ant-Man ,6,http://www.imdb.com/title/tt0478970/?ref_=fn_tt_tt_1,English,USA,PG-13,130000000,2015,2000,7.4,1.85
146,508,523,34000,424645577,Adventure|Sci-Fi|Thriller,The Hunger Games: Catching Fire ,1,http://www.imdb.com/title/tt1951264/?ref_=fn_tt_tt_1,English,USA,PG-13,130000000,2013,14000,7.6,2.35
115,386,12000,21000,292298923,Adventure|Drama|Fantasy|Romance,The Twilight Saga: Breaking Dawn - Part 2 ,3,http://www.imdb.com/title/tt1673434/?ref_=fn_tt_tt_1,English,USA,PG-13,120000000,2012,17000,5.5,2.35
94,12,183,17000,177343675,Adventure|Animation|Comedy|Family|Fantasy|Sci-Fi,Home ,0,http://www.imdb.com/title/tt2224026/?ref_=fn_tt_tt_1,English,USA,PG,135000000,2015,523,6.7,1.85
116,14000,807,10000,234277056,Adventure|Sci-Fi|Thriller,War of the Worlds ,0,http://www.imdb.com/title/tt0407304/?ref_=fn_tt_tt_1,English,USA,PG-13,132000000,2005,1000,6.5,1.85
147,0,877,10000,138396624,Action|Comedy|Crime|Thriller,Bad Boys II ,1,http://www.imdb.com/title/tt0172156/?ref_=fn_tt_tt_1,English,USA,R,130000000,2003,898,6.6,2.35
90,50,397,4000,149234747,Action|Adventure|Animation|Comedy|Family|Fantasy,Puss in Boots ,0,http://www.imdb.com/title/tt0448694/?ref_=fn_tt_tt_1,English,USA,PG,130000000,2011,442,6.7,2.35
