duration,gross,genres,cast_total_facebook_likes,content_rating,aspect_ratio,movie_facebook_likes
95,94900000,Drama|Music|Romance,791,R,1.85,0
95,32391374,Comedy|Drama|Romance,54075,PG-13,2.35,40000
121,40158000,Drama|Music|Romance,1051,R,1.85,0
110,113709992,Comedy|Drama,46646,R,2.35,54000
96,32131483,Horror|Mystery|Thriller,2212,PG-13,2.35,2000
121,35400000,Action|Adventure|Thriller,1865,PG,1.66,0
95,34099640,Drama|Family|Sport,2515,PG,1.37,0
112,31973840,Comedy|Drama|Romance,16289,PG-13,2.35,0
112,37295394,Comedy|Drama,5959,PG-13,1.85,0
143,144812796,Drama|Romance,29769,PG-13,2.35,115000
93,31501218,Biography|Drama|History,22745,PG,1.85,0
110,28747570,Biography|Crime|Drama,22140,R,2.35,0
104,25625110,Action|Crime|Thriller,33758,R,1.85,0
115,403932,Drama|Romance|Western,17104,R,2.35,141
53,,Crime|Drama|Thriller,19949,TV-MA,1.78,61000
119,25000000,Action|Adventure|Sci-Fi,2951,PG,2.35,0
125,21000000,Action|Adventure|Thriller,17611,PG,1.66,2000
96,20257000,Action|Comedy|Crime|Thriller,5282,R,1.85,978
100,26005908,Adventure|Horror|Thriller,1379,R,2.35,10000
46,18642318,Documentary|Sport,13448,,1.44,407
89,15818967,Horror|Mystery,2517,R,1.85,0
92,14891000,Comedy,2240,R,1.85,824
109,16901126,Crime|Horror,3544,R,1.85,0
44,,Action|Drama|Fantasy|Romance,7970,TV-14,1.33,6000
103,17474107,Comedy|Crime|Drama,1342,R,2.35,23000
95,14003141,Crime|Drama|Thriller,4837,R,2.35,375
143,304360277,Action|Adventure|Thriller,2039,PG-13,2.35,80000
105,12583510,Horror,2444,R,1.85,0
79,,Horror,345,PG,,44
106,9190525,Comedy|Drama,1120,R,1.85,10000
100,9176553,Drama|Mystery,19330,PG-13,2.35,0
103,9094451,Action|Fantasy|Horror|Thriller,1990,R,1.85,0
116,14612840,Drama|Music,3110,PG-13,,0
99,9166863,Drama|Romance,14816,R,2.35,16000
164,8373585,Drama,1934,R,1.85,0
96,7292175,Comedy|Drama|Romance,2018,R,1.85,0
122,6601079,Comedy|Drama|Musical|Romance,2321,PG-13,2.35,0
94,6165429,Adventure|Biography|Drama|History,312,PG,2.35,0
93,5694308,Comedy|Sport,3128,PG-13,1.85,446
96,5430822,Action|Crime|Horror|Sci-Fi|Thriller,493,R,1.85,0
60,,Action|Crime|Drama|Thriller,2352,,16.0,0
113,4720371,Adventure|Biography|Drama,11116,PG,1.85,650
60,,Action|Drama|Mystery|Sci-Fi,12051,TV-14,1.33,0
192,2921738,Drama|Musical|Romance,9984,,2.35,2000
99,2344847,Drama|Sport,2158,R,2.35,0
91,7455447,Comedy|Drama|Romance,1136,R,1.85,0
100,2148212,Drama|Family,1906,PG,1.85,157
105,2062066,Biography|Crime|Drama,2684,R,1.85,357
99,1654367,Biography|Drama,6526,R,1.85,3000
112,1738692,Drama|Thriller,3547,R,2.35,38000
100,2209479,Drama|Family,2909,PG,,962
99,1889522,Drama|Sport,2589,G,2.35,797
100,,Comedy|Drama|Family,11059,R,,168
125,1110286,Drama|Romance,8876,R,2.35,0
107,1000000,Adventure|Drama|Romance|War,2209,PG,1.85,122
107,700000,Comedy|Fantasy|Sci-Fi,215,R,2.35,0
97,1768416,Comedy|Drama,684,R,1.85,0
105,1425993,Comedy,1417,R,2.35,0
95,306715,Comedy,5213,PG-13,1.85,724
106,382946,Drama,44969,R,2.35,19000
93,518134,Comedy|Crime|Drama,1105,R,2.35,0
103,236266,Adventure|Drama|Mystery,13000,R,2.35,0
96,196067,Drama|Romance,1251,R,1.85,97
103,532988,Biography|Drama|Romance,9660,PG-13,1.85,0
108,453079,Comedy,2029,R,2.35,916
177,,Drama|Sci-Fi,8,Not Rated,1.66,1000
118,46451,Comedy|Crime|Thriller,27756,R,1.85,694
97,233103,Drama,2544,R,2.35,311
102,,Action|Crime|Thriller,12680,R,2.35,16000
92,,Action|Crime,198,,2.35,55
88,,Comedy|Fantasy|Horror|Mystery,3150,R,1.85,0
80,,Adventure|Animation|Family,218,PG,,453
45,,Action|Adventure|Animation|Comedy|Drama|Family|Fantasy|Thriller,236,,,41
115,41400000,Western,17209,R,2.35,0
97,,Action|Adventure|Drama|Fantasy|Sci-Fi,4334,,1.78,389
102,7993039,Comedy,18643,R,1.85,10000
