director_name,duration,actor_3_facebook_likes,actor_1_facebook_likes,gross,num_voted_users,cast_total_facebook_likes,actor_3_name,plot_keywords,movie_imdb_link,num_user_for_reviews,budget,title_year
Kenneth Branagh,111,591,18000,22551000,37269,37645,Brian Blessed,16th century|bachelor|dishonor|masquerade party|wedding,http://www.imdb.com/title/tt0107616/?ref_=fn_tt_tt_1,165,8000000,1993
Peter R. Hunt,142,244,803,22800000,59941,1769,Desmond Llewelyn,bond girl|british|mission|portugal|switzerland,http://www.imdb.com/title/tt0064757/?ref_=fn_tt_tt_1,452,7000000,1969
,60,460,666,,5817,4043,Jeff Marlow,bet|friend|pit boss|secret|surveillance,http://www.imdb.com/title/tt4474310/?ref_=fn_tt_tt_1,25,,
Wes Craven,107,112,969,18090181,38191,1775,Tracy Middendorf,earthquake|elm street|freddy krueger|nightmare|sleep,http://www.imdb.com/title/tt0111686/?ref_=fn_tt_tt_1,271,8000000,1994
John Schultz,91,292,452,17843379,14904,1760,Keri Lynn Pratt,centennial|girl|next door neighbor|prom|school,http://www.imdb.com/title/tt0164114/?ref_=fn_tt_tt_1,147,8000000,1999
Doug Atchison,112,268,876,18811135,15337,2832,Tzi Ma,national spelling bee|principal|school principal|spelling|spelling bee,http://www.imdb.com/title/tt0437800/?ref_=fn_tt_tt_1,172,,2006
Tamra Davis,82,475,744,17278980,48225,2400,Clarence Williams III,bail|diabetic|friend|jail|pharmaceutical lab,http://www.imdb.com/title/tt0120693/?ref_=fn_tt_tt_1,164,8000000,1998
Jonas Elmer,97,631,24000,16699684,17461,25792,Harry Connick Jr.,love|manufacturing|minnesota|plant|small town,http://www.imdb.com/title/tt1095174/?ref_=fn_tt_tt_1,78,8000000,2009
Stephen Gaghan,128,414,13000,50815288,109191,14747,Kayvan Novak,cia|hezbollah|lebanon|oil|prince,http://www.imdb.com/title/tt0365737/?ref_=fn_tt_tt_1,625,50000000,2005
Mary Harron,102,517,23000,15047419,357275,25462,Samantha Mathis,1980s|business card|male rear nudity|materialism|narcissism,http://www.imdb.com/title/tt0144084/?ref_=fn_tt_tt_1,1061,7000000,2000
Miguel Arteta,93,596,15000,14015786,37952,27646,Tim Blake Nelson,dysfunctional marriage|marijuana|small town|store|trying to conceive,http://www.imdb.com/title/tt0279113/?ref_=fn_tt_tt_1,298,5000000,2002
Erik Canuel,116,50,539,,8616,895,Sarain Boylan,border|hockey|killer|police|tattoo,http://www.imdb.com/title/tt0479647/?ref_=fn_tt_tt_1,90,8000000,2006
Troy Duffy,138,968,12000,10269307,53251,17524,Clifton Collins Jr.,final showdown|ireland|justice|priest|sheep,http://www.imdb.com/title/tt1300851/?ref_=fn_tt_tt_1,188,8000000,2009
James Ivory,117,86,471,,2311,858,Diego Velazquez,child|student|university|widow|writer,http://www.imdb.com/title/tt0896923/?ref_=fn_tt_tt_1,25,8300000,2009
Nicole Holofcener,93,216,434,17536788,49240,1183,Michaela Watkins,dating|divorcee|ex husband|ex wife|party,http://www.imdb.com/title/tt2390361/?ref_=fn_tt_tt_1,142,8000000,2013
Will Gluck,92,424,15000,58401464,276746,16982,Fred Armisen,gay|gay interest|high school|school|student,http://www.imdb.com/title/tt1282140/?ref_=fn_tt_tt_1,264,8000000,2010
Matty Rich,110,582,851,8880705,1103,3293,Larenz Tate,fire|marriage|martha's vineyard|teenager|vacation,http://www.imdb.com/title/tt0110137/?ref_=fn_tt_tt_1,11,,1994
E. Elias Merhige,92,306,776,8279017,34191,1761,Catherine McCormack,actor|breasts|film actress|nosferatu|vampire,http://www.imdb.com/title/tt0189998/?ref_=fn_tt_tt_1,339,8000000,2000
